"Taxa"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.252428571428571	0.182428571428571	0.220428571428571	0.225285714285714	0.156571428571429	0.242	0.221428571428571	0.353142857142857	0.227857142857143	0.122857142857143	0.296428571428571	0.229428571428571	0.429142857142857	0.368714285714286	0.300285714285714	0.383571428571429	0.371571428571429	0.251714285714286	0.294285714285714	0.205285714285714	0.136285714285714	0.301142857142857	0.206857142857143	0.383	0.227571428571429	0.254571428571429	0.218857142857143	0.273285714285714	0.399428571428571	0.376857142857143	0.287428571428571	0.292285714285714	0.258857142857143	0.387714285714286	0.262714285714286	0.203142857142857	0.193571428571429	0.262	0.359285714285714	0.236142857142857	0.304142857142857	0.254714285714286	0.260142857142857	0.242428571428571	0.262	0.278285714285714	0.262142857142857	0.329857142857143	0.281142857142857	0.206428571428571	0.359857142857143	0.354428571428571	0.225142857142857	0.223142857142857	0.123857142857143	0.135142857142857	0.225142857142857	0.305857142857143	0.263285714285714	0.234857142857143	0.175428571428571	0.172571428571429	0.0908571428571429	0.360285714285714	0.348142857142857	0.254428571428571	0.172714285714286	0.195714285714286	0.267285714285714	0.429428571428571	0.208714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.268571428571429	0.350857142857143	0.156	0.399285714285714	0.347428571428571	0.321	0.224142857142857	0.349857142857143	0.451571428571429	0.281857142857143	0.238	0.263571428571429	0.175714285714286	0.157285714285714	0.147142857142857	0.17	0.216714285714286	0.244714285714286	0.280714285714286	0.446714285714286	0.319857142857143	0.278142857142857	0.294571428571429	0.275142857142857	0.302428571428571	0.182571428571429	0.266	0.328714285714286	0.282	0.0882857142857143	0.197428571428571	0.141142857142857	0.202428571428571	0.151	0.160714285714286	0.375142857142857	0.150714285714286	0.316857142857143	0.134285714285714	0.315285714285714	0.187857142857143	0.285428571428571	0.051	0.0374285714285714	0.2	0.263	0.0685714285714286	0.161428571428571	0.108857142857143	0.297857142857143	0.111285714285714	0.31	0.378857142857143	0.354571428571429	0.446857142857143	0.246142857142857	0.375142857142857	0.305142857142857	0.312428571428571	0.0467142857142857	0.0654285714285714	0.287428571428571	0.545142857142857	0.340714285714286	0.232714285714286	0.334142857142857	0.435	0.445857142857143	0.419714285714286	0.233142857142857	0.0772857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0745714285714286	0.131428571428571	0.111285714285714	0.144285714285714	0.239428571428571	0.174285714285714	0.113142857142857	0.106714285714286	0.156571428571429	0.318428571428571	0.196142857142857	0.192	0.109428571428571	0.124142857142857	0.214428571428571	0.127571428571429	0.156714285714286	0.195714285714286	0.190428571428571	0.151142857142857	0.283857142857143	0.195	0.214142857142857	0.113285714285714	0.364142857142857	0.126857142857143	0.207571428571429	0.319285714285714	0.124428571428571	0.271714285714286	0.268571428571429	0.297857142857143	0.300571428571429	0.195142857142857	0.195	0.148571428571429	0.224285714285714	0.121857142857143	0.0657142857142857	0.147714285714286	0.151428571428571	0.213428571428571	0.114285714285714	0.0628571428571429	0.176857142857143	0.097	0.112285714285714	0.138428571428571	0.174857142857143	0.224714285714286	0.106285714285714	0.0755714285714286	0.137714285714286	0.109	0.276428571428571	0.240571428571429	0.0405714285714286	0.0342857142857143	0.138571428571429	0.207285714285714	0.108428571428571	0.265142857142857	0.251285714285714	0.156428571428571	0.174857142857143	0.233142857142857	0.226571428571429	0.0925714285714286	0.166142857142857	0.1	0.108428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.136571428571429	0.116857142857143	0.0941428571428571	0.0537142857142857	0.112285714285714	0.114857142857143	0.145	0.0881428571428571	0.0915714285714286	0.130571428571429	0.0725714285714286	0.140714285714286	0.125285714285714	0.128714285714286	0.128857142857143	0.119	0.102	0.150428571428571	0.113428571428571	0.073	0.171285714285714	0.106571428571429	0.142857142857143	0.077	0.0442857142857143	0.0967142857142857	0.128	0.0445714285714286	0.0738571428571429	0.0775714285714286	0.125714285714286	0.109571428571429	0.0905714285714286	0.108714285714286	0.154428571428571	0.097	0.22	0.121142857142857	0.158571428571429	0.151571428571429	0.170285714285714	0.120142857142857	0.267142857142857	0.228	0.167428571428571	0.086	0.198	0.126714285714286	0.127	0.107142857142857	0.0762857142857143	0.0748571428571429	0.105714285714286	0.149857142857143	0.0412857142857143	0.128	0.284857142857143	0.188571428571429	0.174428571428571	0.176571428571429	0.142571428571429	0.0745714285714286	0.0438571428571429	0.0494285714285714	0.092	0.0307142857142857	0.0148571428571429	0.0165714285714286	0.00385714285714286	0.0365714285714286	0.180571428571429
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.203	0.175428571428571	0.318285714285714	0.143714285714286	0.130428571428571	0.0874285714285714	0.189571428571429	0.0584285714285714	0.0484285714285714	0.0495714285714286	0.0995714285714286	0.0954285714285714	0.082	0.112142857142857	0.0761428571428571	0.0831428571428571	0.0378571428571429	0.059	0.0585714285714286	0.108142857142857	0.0441428571428571	0.0564285714285714	0.0678571428571429	0.105	0.0387142857142857	0.0577142857142857	0.0934285714285714	0.019	0.0791428571428571	0.055	0.0411428571428571	0.0361428571428571	0.0695714285714286	0.0494285714285714	0.082	0.111571428571429	0.0752857142857143	0.133	0.190285714285714	0.0848571428571429	0.08	0.044	0.053	0.0772857142857143	0.0778571428571429	0.206142857142857	0.100571428571429	0.124428571428571	0.110285714285714	0.0727142857142857	0.294571428571429	0.131857142857143	0.0741428571428571	0.0854285714285714	0.0988571428571429	0.136714285714286	0.0268571428571429	0.0498571428571429	0.0565714285714286	0.0831428571428571	0.0874285714285714	0.136428571428571	0.0337142857142857	0.0441428571428571	0.06	0.136428571428571	0.137571428571429	0.238857142857143	0.121285714285714	0.0787142857142857	0.113857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0375714285714286	0.0285714285714286	0.0314285714285714	0.00571428571428571	0.00671428571428571	0.0312857142857143	0.0861428571428571	0.019	0.00228571428571429	0.0537142857142857	0.0641428571428571	0.0592857142857143	0.061	0.0885714285714286	0.113428571428571	0.0791428571428571	0.0748571428571429	0.0824285714285714	0.0394285714285714	0.00257142857142857	0.0258571428571429	0.0408571428571429	0.0634285714285714	0.0351428571428571	0.015	0.0378571428571429	0.0595714285714286	0	0.0167142857142857	0.0632857142857143	0.0527142857142857	0.0787142857142857	0.0524285714285714	0.0575714285714286	0.0824285714285714	0.0462857142857143	0.08	0.0357142857142857	0.0691428571428571	0.0362857142857143	0.0818571428571429	0.059	0.0867142857142857	0.0978571428571429	0.0741428571428571	0.0452857142857143	0.094	0.054	0.129857142857143	0.0575714285714286	0.0307142857142857	0.0431428571428571	0.0614285714285714	0.054	0.00871428571428571	0.0567142857142857	0.00957142857142857	0.00671428571428571	0.0482857142857143	0.0667142857142857	0.0845714285714286	0.0525714285714286	0.0118571428571429	0.0232857142857143	0.055	0.000428571428571429	0	0	0.000142857142857143	0	0.0714285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.0161428571428571	0.00471428571428571	0.0545714285714286	0.0224285714285714	0.00214285714285714	0.00657142857142857	0.00628571428571429	0.000142857142857143	0.000857142857142857	0.00785714285714286	0.00914285714285714	0.00114285714285714	0.004	0.00271428571428571	0.00285714285714286	0.00642857142857143	0.0138571428571429	0.00157142857142857	0.00257142857142857	0.00285714285714286	0.00114285714285714	0.00657142857142857	0	0.00171428571428571	0	0.210571428571429	0.00242857142857143	0.00757142857142857	0.003	0.0382857142857143	0.00457142857142857	0.0251428571428571	0.00442857142857143	0.0178571428571429	0.042	0.00457142857142857	0.0148571428571429	0.00142857142857143	0.00742857142857143	0.0145714285714286	0.00985714285714286	0.00528571428571429	0.0211428571428571	0.196142857142857	0.0324285714285714	0.00971428571428571	0.134285714285714	0.0421428571428571	0.0508571428571429	0.00714285714285714	0.00828571428571429	0.00114285714285714	0.00328571428571429	0.00985714285714286	0.001	0.0191428571428571	0.00985714285714286	0.00314285714285714	0.000571428571428571	0.134	0.291285714285714	0.000571428571428571	0.00685714285714286	0.013	0.00314285714285714	0.00171428571428571	0.00242857142857143	0.000714285714285714	0.00514285714285714	0.0992857142857143	0.179571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00428571428571429	0.00285714285714286	0.000142857142857143	0.000571428571428571	0.00157142857142857	0.0112857142857143	0.00228571428571429	0.0125714285714286	0.00185714285714286	0.00657142857142857	0.00328571428571429	0.00757142857142857	0.00142857142857143	0.00128571428571429	0.000857142857142857	0.00328571428571429	0.00328571428571429	0.00171428571428571	0.00528571428571429	0.00142857142857143	0.00685714285714286	0.00342857142857143	0.00142857142857143	0.00228571428571429	0.00114285714285714	0.00414285714285714	0.00457142857142857	0.00171428571428571	0.00542857142857143	0.00442857142857143	0.0125714285714286	0.00285714285714286	0.00971428571428571	0.0218571428571429	0.00257142857142857	0.00628571428571429	0.00557142857142857	0.00142857142857143	0.00142857142857143	0.00442857142857143	0.00657142857142857	0.00414285714285714	0.000571428571428571	0.00528571428571429	0.00114285714285714	0.00642857142857143	0.00271428571428571	0.00271428571428571	0.00157142857142857	0.0134285714285714	0.002	0.00214285714285714	0.00657142857142857	0.002	0.000857142857142857	0.00214285714285714	0.00314285714285714	0.0351428571428571	0.000714285714285714	0.00642857142857143	0.000571428571428571	0.000857142857142857	0.0111428571428571	0.00171428571428571	0.0178571428571429	0.00314285714285714	0.00171428571428571	0.00157142857142857	0.00142857142857143	0.000714285714285714	0.00285714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00414285714285714	0.003	0.00285714285714286	0.00314285714285714	0.00142857142857143	0.00314285714285714	0.00414285714285714	0.00514285714285714	0.00457142857142857	0.0138571428571429	0.00885714285714286	0.00571428571428571	0.00528571428571429	0.005	0.00214285714285714	0.00328571428571429	0.00942857142857143	0.00457142857142857	0.00971428571428571	0.00314285714285714	0.00714285714285714	0.006	0.00485714285714286	0.003	0.00285714285714286	0.002	0.003	0.00214285714285714	0.00257142857142857	0.00657142857142857	0.00414285714285714	0.00357142857142857	0.00442857142857143	0.00714285714285714	0.00457142857142857	0.00342857142857143	0.00371428571428571	0.00185714285714286	0.00514285714285714	0.002	0.00457142857142857	0.00214285714285714	0.00514285714285714	0.0127142857142857	0.00257142857142857	0.00414285714285714	0.00314285714285714	0.00385714285714286	0.00342857142857143	0.00257142857142857	0.00214285714285714	0.00271428571428571	0.00228571428571429	0.00185714285714286	0.001	0.00342857142857143	0.00414285714285714	0.00757142857142857	0.00142857142857143	0.00571428571428571	0.00371428571428571	0.004	0.000571428571428571	0.00285714285714286	0.00328571428571429	0.00214285714285714	0.00114285714285714	0.00171428571428571	0.00528571428571429	0.00571428571428571	0.00371428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000142857142857143	0.00242857142857143	0	0	0.000142857142857143	0	0	0	0	0	0.000714285714285714	0	0.000857142857142857	0.00242857142857143	0	0	0	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0.000428571428571429	0.000285714285714286	0	0	0.00457142857142857	0.000714285714285714	0.00171428571428571	0.000428571428571429	0	0.000857142857142857	0.000285714285714286	0.01	0	0	0.00228571428571429	0.000428571428571429	0.000142857142857143	0.134714285714286	0.0235714285714286	0.000142857142857143	0	0.0142857142857143	0.00371428571428571	0.000142857142857143	0	0.000428571428571429	0	0.000428571428571429	0.000428571428571429	0	0.00657142857142857	0	0	0	0.0224285714285714	0.0198571428571429	0	0.000142857142857143	0.000142857142857143	0.001	0.000142857142857143	0	0	0	0	0.0337142857142857
