"Taxa"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.268571428571429	0.350857142857143	0.156	0.399285714285714	0.347428571428571	0.321	0.224142857142857	0.349857142857143	0.451571428571429	0.281857142857143	0.238	0.263571428571429	0.175714285714286	0.157285714285714	0.147142857142857	0.17	0.216714285714286	0.244714285714286	0.280714285714286	0.446714285714286	0.319857142857143	0.278142857142857	0.294571428571429	0.275142857142857	0.302428571428571	0.182571428571429	0.266	0.328714285714286	0.282	0.0882857142857143	0.197428571428571	0.141142857142857	0.202428571428571	0.151	0.160714285714286	0.375142857142857	0.150714285714286	0.316857142857143	0.134285714285714	0.315285714285714	0.187857142857143	0.285428571428571	0.051	0.0374285714285714	0.2	0.263	0.0685714285714286	0.161428571428571	0.108857142857143	0.297857142857143	0.111285714285714	0.31	0.378857142857143	0.354571428571429	0.446857142857143	0.246142857142857	0.375142857142857	0.305142857142857	0.312428571428571	0.0467142857142857	0.0654285714285714	0.287428571428571	0.545142857142857	0.340714285714286	0.232714285714286	0.334142857142857	0.435	0.445857142857143	0.419714285714286	0.233142857142857	0.0772857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.223571428571429	0.168	0.205142857142857	0.22	0.149	0.197428571428571	0.190714285714286	0.275285714285714	0.178285714285714	0.086	0.259285714285714	0.181571428571429	0.38	0.321	0.270428571428571	0.335285714285714	0.280714285714286	0.222857142857143	0.231142857142857	0.159571428571429	0.123428571428571	0.265	0.181714285714286	0.367857142857143	0.211714285714286	0.229428571428571	0.188142857142857	0.193857142857143	0.387285714285714	0.286714285714286	0.216142857142857	0.240714285714286	0.230428571428571	0.294857142857143	0.204714285714286	0.179571428571429	0.175857142857143	0.249428571428571	0.308142857142857	0.215285714285714	0.251285714285714	0.221857142857143	0.225	0.145714285714286	0.229	0.246571428571429	0.211571428571429	0.288571428571429	0.180285714285714	0.178142857142857	0.340571428571429	0.338428571428571	0.190857142857143	0.174142857142857	0.121285714285714	0.0975714285714286	0.117714285714286	0.106714285714286	0.225428571428571	0.172142857142857	0.120285714285714	0.138	0.0708571428571429	0.335857142857143	0.269571428571429	0.254285714285714	0.172285714285714	0.194857142857143	0.253285714285714	0.409857142857143	0.175285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0745714285714286	0.131428571428571	0.111285714285714	0.144285714285714	0.239428571428571	0.174285714285714	0.113142857142857	0.106714285714286	0.156571428571429	0.318428571428571	0.196142857142857	0.192	0.109285714285714	0.124142857142857	0.214428571428571	0.127428571428571	0.156571428571429	0.195714285714286	0.190285714285714	0.151142857142857	0.283714285714286	0.195	0.214142857142857	0.113	0.364142857142857	0.126714285714286	0.207571428571429	0.319285714285714	0.124428571428571	0.271571428571429	0.268571428571429	0.297857142857143	0.300428571428571	0.194714285714286	0.195	0.148571428571429	0.224	0.121714285714286	0.0655714285714286	0.147714285714286	0.151428571428571	0.213428571428571	0.114285714285714	0.0624285714285714	0.176714285714286	0.0965714285714286	0.112285714285714	0.138428571428571	0.174571428571429	0.224571428571429	0.106285714285714	0.0755714285714286	0.137714285714286	0.109	0.276428571428571	0.240571428571429	0.0405714285714286	0.0342857142857143	0.138571428571429	0.207285714285714	0.108428571428571	0.265142857142857	0.251285714285714	0.156428571428571	0.174857142857143	0.233142857142857	0.226571428571429	0.0921428571428571	0.166142857142857	0.1	0.108428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.121285714285714	0.107857142857143	0.0585714285714286	0.0492857142857143	0.109714285714286	0.105857142857143	0.125714285714286	0.0827142857142857	0.0802857142857143	0.112571428571429	0.0601428571428571	0.119	0.100571428571429	0.107571428571429	0.113142857142857	0.104142857142857	0.0808571428571429	0.135	0.0847142857142857	0.0654285714285714	0.139285714285714	0.0844285714285714	0.103714285714286	0.0642857142857143	0.0382857142857143	0.0605714285714286	0.1	0.041	0.0612857142857143	0.0525714285714286	0.0925714285714286	0.0841428571428571	0.0718571428571429	0.0818571428571429	0.0934285714285714	0.0845714285714286	0.196428571428571	0.0991428571428571	0.118142857142857	0.115428571428571	0.127857142857143	0.0982857142857143	0.0877142857142857	0.131428571428571	0.128857142857143	0.0711428571428571	0.109714285714286	0.0887142857142857	0.0964285714285714	0.086	0.0477142857142857	0.0517142857142857	0.0887142857142857	0.123714285714286	0.0311428571428571	0.108	0.216857142857143	0.144285714285714	0.143571428571429	0.0835714285714286	0.072	0.0634285714285714	0.0387142857142857	0.0445714285714286	0.0787142857142857	0.0245714285714286	0.0112857142857143	0.0134285714285714	0.000714285714285714	0.00428571428571429	0.129
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae"	0.137857142857143	0.133714285714286	0.246571428571429	0.101714285714286	0.0988571428571429	0.0664285714285714	0.129571428571429	0.0457142857142857	0.0268571428571429	0.0351428571428571	0.0598571428571429	0.0704285714285714	0.0577142857142857	0.085	0.0582857142857143	0.0682857142857143	0.0257142857142857	0.0474285714285714	0.0382857142857143	0.0791428571428571	0.0354285714285714	0.0407142857142857	0.0482857142857143	0.0714285714285714	0.0235714285714286	0.045	0.0544285714285714	0.0135714285714286	0.0511428571428571	0.043	0.0291428571428571	0.0277142857142857	0.0538571428571429	0.0382857142857143	0.0488571428571429	0.0758571428571429	0.0638571428571429	0.0858571428571429	0.132285714285714	0.0585714285714286	0.049	0.0304285714285714	0.0411428571428571	0.0654285714285714	0.0487142857142857	0.146	0.0775714285714286	0.0858571428571429	0.0642857142857143	0.0548571428571429	0.165857142857143	0.0981428571428571	0.0517142857142857	0.0581428571428571	0.0537142857142857	0.0772857142857143	0.0108571428571429	0.0314285714285714	0.033	0.0657142857142857	0.0667142857142857	0.0534285714285714	0.0245714285714286	0.0294285714285714	0.0435714285714286	0.0848571428571429	0.0698571428571429	0.107285714285714	0.0485714285714286	0.0398571428571429	0.0821428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0375714285714286	0.0285714285714286	0.0314285714285714	0.00571428571428571	0.00671428571428571	0.0312857142857143	0.0861428571428571	0.019	0.00228571428571429	0.0537142857142857	0.0641428571428571	0.0592857142857143	0.061	0.0885714285714286	0.113428571428571	0.0791428571428571	0.0748571428571429	0.0824285714285714	0.0394285714285714	0.00257142857142857	0.0258571428571429	0.0408571428571429	0.0634285714285714	0.0351428571428571	0.015	0.0378571428571429	0.0595714285714286	0	0.0167142857142857	0.0632857142857143	0.0527142857142857	0.0787142857142857	0.0524285714285714	0.0575714285714286	0.0824285714285714	0.0462857142857143	0.08	0.0357142857142857	0.0691428571428571	0.0362857142857143	0.0818571428571429	0.059	0.0867142857142857	0.0978571428571429	0.0741428571428571	0.0452857142857143	0.094	0.054	0.129857142857143	0.0575714285714286	0.0307142857142857	0.0431428571428571	0.0614285714285714	0.054	0.00871428571428571	0.0567142857142857	0.00957142857142857	0.00671428571428571	0.0482857142857143	0.0667142857142857	0.0845714285714286	0.0525714285714286	0.0118571428571429	0.0232857142857143	0.055	0.000428571428571429	0	0	0.000142857142857143	0	0.0714285714285714
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.0651428571428571	0.0417142857142857	0.0717142857142857	0.042	0.0315714285714286	0.021	0.06	0.0127142857142857	0.0215714285714286	0.0144285714285714	0.0397142857142857	0.025	0.0242857142857143	0.027	0.0178571428571429	0.0148571428571429	0.0121428571428571	0.0115714285714286	0.0202857142857143	0.029	0.00871428571428571	0.0157142857142857	0.0195714285714286	0.0335714285714286	0.0151428571428571	0.0127142857142857	0.039	0.00542857142857143	0.028	0.012	0.012	0.00842857142857143	0.0157142857142857	0.0111428571428571	0.0331428571428571	0.0357142857142857	0.0114285714285714	0.0471428571428571	0.0578571428571429	0.0262857142857143	0.031	0.0135714285714286	0.0118571428571429	0.0118571428571429	0.0291428571428571	0.0601428571428571	0.023	0.0385714285714286	0.046	0.0178571428571429	0.128714285714286	0.0337142857142857	0.0224285714285714	0.0272857142857143	0.0451428571428571	0.0594285714285714	0.016	0.0184285714285714	0.0235714285714286	0.0174285714285714	0.0207142857142857	0.083	0.00914285714285714	0.0147142857142857	0.0164285714285714	0.0515714285714286	0.0677142857142857	0.131571428571429	0.0727142857142857	0.0388571428571429	0.0317142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00614285714285714	0.00585714285714286	0.0344285714285714	0.00385714285714286	0.00214285714285714	0.00714285714285714	0.0107142857142857	0.00457142857142857	0.00642857142857143	0.0125714285714286	0.00757142857142857	0.0147142857142857	0.0158571428571429	0.0151428571428571	0.00828571428571429	0.00985714285714286	0.0121428571428571	0.00742857142857143	0.019	0.00457142857142857	0.0194285714285714	0.0162857142857143	0.0308571428571429	0.00985714285714286	0.00414285714285714	0.0325714285714286	0.0217142857142857	0.00328571428571429	0.0102857142857143	0.0211428571428571	0.024	0.0198571428571429	0.0152857142857143	0.0152857142857143	0.0492857142857143	0.009	0.0164285714285714	0.0147142857142857	0.0221428571428571	0.028	0.0272857142857143	0.0141428571428571	0.174142857142857	0.0857142857142857	0.0271428571428571	0.009	0.0812857142857143	0.03	0.0218571428571429	0.0135714285714286	0.0251428571428571	0.0184285714285714	0.0125714285714286	0.0175714285714286	0.00971428571428571	0.00814285714285714	0.0245714285714286	0.0145714285714286	0.0222857142857143	0.0917142857142857	0.0677142857142857	0.00785714285714286	0.00271428571428571	0.00328571428571429	0.00742857142857143	0.006	0.00271428571428571	0.00314285714285714	0.000571428571428571	0.0247142857142857	0.044
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.006	0.00214285714285714	0.0394285714285714	0.0171428571428571	0.00157142857142857	0.006	0.000857142857142857	0	0.000571428571428571	0.00742857142857143	0.00614285714285714	0.001	0.00128571428571429	0.001	0.000428571428571429	0.00442857142857143	0.003	0.000428571428571429	0.000714285714285714	0.000857142857142857	0.000428571428571429	0.00171428571428571	0	0.000571428571428571	0	0.004	0.000714285714285714	0.00528571428571429	0.00285714285714286	0.016	0.00242857142857143	0.0222857142857143	0.00342857142857143	0.0165714285714286	0.0197142857142857	0.00214285714285714	0.00928571428571429	0.001	0.00714285714285714	0.0138571428571429	0.00442857142857143	0.00314285714285714	0.0108571428571429	0.136285714285714	0.0275714285714286	0.00757142857142857	0.112571428571429	0.0387142857142857	0.0277142857142857	0.00471428571428571	0.008	0.000857142857142857	0.002	0.00814285714285714	0.000714285714285714	0.0172857142857143	0.00142857142857143	0.00257142857142857	0.000571428571428571	0.123571428571429	0.283428571428571	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000428571428571429	0	0.00142857142857143	0.000285714285714286	0.005	0.0884285714285714	0.148285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0128571428571429	0.00828571428571429	0.00771428571428571	0.00328571428571429	0.00314285714285714	0.0275714285714286	0.0138571428571429	0.0361428571428571	0.0265714285714286	0.0181428571428571	0.0175714285714286	0.0191428571428571	0.0142857142857143	0.0148571428571429	0.0104285714285714	0.0151428571428571	0.0264285714285714	0.012	0.0255714285714286	0.0318571428571429	0.00514285714285714	0.0135714285714286	0.00957142857142857	0.00757142857142857	0.00828571428571429	0.00842857142857143	0.0147142857142857	0.0592857142857143	0.00214285714285714	0.0327142857142857	0.0271428571428571	0.0174285714285714	0.0111428571428571	0.0341428571428571	0.0181428571428571	0.00957142857142857	0.00457142857142857	0.004	0.0157142857142857	0.007	0.0181428571428571	0.0111428571428571	0.0107142857142857	0.043	0.00828571428571429	0.00785714285714286	0.0167142857142857	0.0101428571428571	0.0187142857142857	0.0108571428571429	0.00442857142857143	0.00428571428571429	0.0154285714285714	0.0131428571428571	0.000857142857142857	0.0128571428571429	0.0312857142857143	0.0998571428571429	0.0182857142857143	0.0222857142857143	0.0277142857142857	0.0111428571428571	0.006	0.00485714285714286	0.0272857142857143	0	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.0117142857142857
