"","culi_1","culi_2","culi_3","culi_4","culi_6","culi_7","culi_8","culi_10","culi_11","culi_12","culi_15","culi_21","culi_25","culi_27","culi_28","culi_29","culi_30","culi_32","culi_36","culi_38","culi_39","culi_42","culi_43","culi_46","culi_48","culi_50","culi_51","culi_52","culi_54","culi_55","culi_58","culi_59","culi_61","culi_62","culi_64","culi_65","culi_68","culi_74","culi_75","culi_77","culi_81","culi_82","culi_83","culi_84","culi_85","culi_86","culi_87","culi_88","culi_89","culi_90","culi_91","culi_92","culi_93","culi_95","culi_96","culi_99","culi_100","culi_103","culi_105","culi_106","culi_107","culi_108","culi_109","culi_111","culi_113","culi_114","culi_115","culi_116","culi_117","culi_118","culi_119","culi_120","culi_121","culi_122","culi_123","culi_125","culi_126","culi_127","culi_128","culi_129","culi_133","culi_134","culi_135","culi_136","culi_137","culi_138","culi_139","culi_140","culi_141","culi_142","culi_143","culi_144","culi_145","culi_146","culi_147","culi_148","culi_150","culi_151","culi_152","culi_153","culi_154","culi_156","culi_157","culi_159","culi_161","culi_172","culi_174","culi_177","culi_178","culi_183","culi_187","culi_192","culi_196","culi_199","culi_200","culi_201","culi_202","culi_416"
"culi_1",0,2.10515428039758,2.31701186520595,2.77499775437875,4.46828679816589,3.55123148174729,1.8345318027498,2.95256104141907,0.98828607114028,1.68401265870649,4.55929902457483,1.78596467528226,4.48121223221324,2.53962559664241,4.59119680964478,3.42514903431071,5.53835183426136,5.40721667007012,2.86597656876606,4.02936718750226,3.84691382248811,2.61003471828507,2.96440644433259,4.15511164391795,2.9093015369128,3.72204114562724,4.51432572503085,3.80852389517128,3.91797690728667,4.00245395987074,3.77588161507067,3.58293899765888,5.03570527033542,3.88196466658558,4.23247130788527,3.70513324196277,4.04190008859663,1.88661848991033,6.18544640685584,2.19210786666038,2.74193169621674,3.7929145979147,4.78753972137913,2.4466009087254,4.43534730144371,6.48634314645245,2.52842856997626,5.45453331983283,5.13335769050961,5.17457783728258,5.24401410045439,4.73020017144736,4.04543638221714,3.9282615395672,4.0862260242288,2.64145459335425,2.75932394475241,4.22526969767742,2.17427378534328,1.86538859411646,2.57439833476411,3.33114567283821,2.97055922344108,4.00836882713117,2.15568455293501,4.83607729440745,3.41211568059267,3.37480621221526,1.53541273843796,3.97344065432081,2.96242538906097,3.77366732153132,4.13602232826045,2.64688027565526,1.87188773018742,1.58043073007272,1.34386000831397,1.89074743488664,2.57117281648383,2.02311936795761,3.60586615584988,2.36029004696462,4.94667459219797,3.6708535198416,5.16913719803289,3.37525528308212,11.081232560391,3.03325730967616,4.19957574175611,2.8839139489833,6.43857707810244,3.14019149887366,4.35111072252887,2.10497485817024,6.62776314339376,5.13488828355456,3.24087851752273,5.1978969902129,5.79546717422605,6.19483792920179,4.78322101242753,4.50995647061416,2.92204291720001,4.08559429019914,3.80116261622024,4.28788349094085,4.59242582641058,4.5504300796416,2.25353179086808,2.68266921707016,10.3760652042245,3.65764613020732,5.35686453887828,8.06184335541192,3.67262156398594,4.45644292499442,6.24969702638352,4.20221539798912
"culi_2",2.10515428039758,0,2.11714323953943,1.34252095970274,2.45035618041946,2.40004515424415,1.02704800089253,2.83472506358984,1.87452685141184,2.43289613914295,2.91426428710592,2.45924420330706,2.96882041145574,2.2120175282187,3.05581550780025,2.39704668070262,3.93601064837519,3.77769770518695,1.76867012893683,2.75527788133976,2.58106146903132,2.22161429452422,2.36093223305687,2.49076949594325,2.18238347483503,2.4355558632217,3.79662807241366,2.20436864687524,2.43618439653367,2.95207169790048,2.26618415236761,2.65531309586101,3.15269745902075,2.62541422532019,2.49336769345808,2.23293951340102,2.30338272158707,1.36783890558124,4.3271179728332,1.20875275037462,1.49964699343075,2.17385838257409,3.039721657385,1.11063603283596,3.15861185248775,5.24880742778523,1.63406243055182,4.28430099350677,3.87098892793957,3.72338147497251,3.54004800412528,4.05988795223534,2.38936810666301,2.855626586512,2.37175174849005,1.29092625756176,1.38438463987111,2.49076607053363,1.13268977910669,2.93696228140232,1.24027935754762,2.44483931172889,2.62514064645318,2.59669345592576,1.62533910089215,5.35272360708032,1.6244667887965,2.39342771814733,1.52705447107068,4.02043922701283,2.41444522611462,2.88022357101575,2.58973357711095,1.69344986784365,1.44554309278769,2.2517190455549,1.68193178914997,1.62272447959373,1.54812285539352,2.21538502368252,3.03434621121661,1.6797209957355,3.0081130026586,2.07505513915911,3.21434772265495,1.61093704102683,11.2490768512043,1.75716723046149,2.75222040146955,4.28296629505727,7.1683220356511,2.30757663453019,3.26073964916498,2.21830213721509,4.72100491948684,3.30025959242359,2.26658114453251,4.76659159723218,5.88797757065226,5.29978210967809,2.99394131551056,2.67066373175211,1.42946797257506,3.17872858869565,2.84185964538528,2.43629026739363,2.66324051838845,2.66314938668426,2.1037001713108,1.596146025203,11.5920973411317,4.77286602706871,5.15164459741199,8.71331327910452,2.037187035668,4.76764437780535,7.4465680969473,4.33727119997544
"culi_3",2.31701186520595,2.11714323953943,0,1.53618591199063,3.71255178260929,3.40289444320234,2.29923672562175,3.55650899886369,2.5141910679393,3.00044902151038,4.06728793192671,2.9519963402637,4.07315712765797,2.98337552092739,4.24215624339377,3.63795862061638,4.82879318220028,4.79448788789554,3.13313715677591,3.62804704067874,3.60723783930303,3.14080302305795,3.3657977935426,3.81662340374453,3.25513970292759,3.57916014202703,4.67637169225329,3.55125811923058,3.69685817626148,3.98452816562904,3.47762205486975,3.86390784495165,4.33568817819689,3.56985968323281,3.82404489605105,3.57575135480989,3.67439605577201,2.49657401169301,5.45643014147254,2.56067431498629,2.79397734147845,3.49491524748965,3.78593010941418,2.59528999284655,4.35865420876084,6.22991295474213,2.48728382168022,5.16191622022502,4.79992350927303,4.45984776765372,4.59292322961908,4.50936067834595,3.51087328995535,3.69988884761018,3.45977663590505,2.54143361747134,2.71524492393946,3.68190337165665,2.25766612396389,3.01402994098228,1.95632766764517,3.33784208320923,2.02922109966564,3.62506145012415,2.07243643057064,4.52995341371976,3.01962070031812,2.22305378696729,1.87028225685671,2.63294708394113,1.87326835087799,3.00470760616819,3.60439054480621,2.65152529146172,1.78325475330314,2.69458222037174,2.18758531040183,2.58373231306959,2.64651849444944,2.54360233177094,3.96769483129871,2.67675214904313,4.19546928941354,3.27415287602581,4.38775205407889,2.96870455363441,10.6917269073141,2.89608269307252,3.61779245033744,4.41229797699589,7.21468471126753,3.31246895516095,2.80555314584846,2.53675743703316,5.76236875481167,4.37093026645249,3.27976298354581,3.89314438630818,4.44636063666813,4.26823230271397,4.30048141264318,3.75711485522561,2.74489184151634,4.07930498017715,3.61213907815146,3.42425631282875,3.7913099247481,3.7740073323815,2.63574717866634,2.91654840342463,10.0800396917856,4.74037581882045,5.59455565332453,7.63891726848102,2.85699340264579,3.54329557468446,6.60090583309135,2.57432034801299
"culi_4",2.77499775437875,1.34252095970274,1.53618591199063,0,2.36229175213322,3.03873584392523,2.03204959391329,3.66182105548117,2.69116972148503,3.29639262983432,3.22320766563873,3.31189261880001,3.30017432160272,2.89463516532075,3.47644240064162,3.22717544398077,4.07201066290364,3.97106956638326,2.70030539214621,3.0934747043208,3.03819428214426,2.93585746594413,3.01378557096291,2.86928054654739,2.86825683055255,2.9400787471834,4.38608712368356,2.64809433999844,2.94561010237686,3.55597177038191,2.66741146578659,3.4871892691744,3.17584559417183,2.97824089139935,2.83506201560143,2.79127292302627,2.67671692803455,2.09914626404263,4.36414503058351,1.9780334246414,2.2697201708618,2.65972807950172,2.7003112040926,1.86602513774744,3.83304191708747,5.73728790701346,1.75035474639768,4.67126259496791,4.23862152600741,3.80715202873689,3.64598409532883,4.41302069135338,2.54729449466211,3.26143717318046,2.49770142112256,1.85482834055945,2.04134741702759,2.58853750336244,1.53840945294484,3.51755236996129,1.2956635362183,2.99102214265929,2.47072525348608,2.86867717392485,1.9690355351016,5.4267988522721,1.9674940481442,2.04127053746105,1.93740352240078,3.59109822264465,2.11259185064136,2.92063693075062,2.76505446257499,2.24600368590881,1.5621023473424,2.69538575846363,2.22524529628792,2.41939456306869,2.2658700323912,2.7431781639422,3.74838549964566,2.33299795945359,2.93967011410906,2.35737291877482,3.02234638648775,1.75389914146343,11.1045752572147,2.27727757888283,2.93245520638475,5.0158711654588,7.70781898082114,2.94909666751148,2.67831122759082,2.37368522114329,4.60156463868956,3.3144550665513,2.91738653438392,4.38937876710975,5.4155050133987,4.41761490446058,3.24082171383818,2.62516752091804,1.75339848728112,3.74287449530422,3.20100364219945,2.11254522247356,2.42666215115259,2.44619272431894,2.25061403080327,2.38471741044371,11.19259681877,5.3294034580103,5.60053455759369,8.35918374851851,1.65904523384786,4.24215030437819,7.35953991794159,3.69950389853611
"culi_6",4.46828679816589,2.45035618041946,3.71255178260929,2.36229175213322,0,2.89425781199544,3.06479626409858,4.27552505601265,4.23011047995625,4.56633889625726,2.08765453841654,4.52991487938417,2.42084089204707,3.66859080589661,2.44485515632973,3.12826214797855,2.70414313984837,2.5339377217934,2.86715066124005,2.63395769642961,2.62056653859156,3.56496624061112,3.47472866137785,1.7971216441036,3.2726357668309,2.56177777816176,4.12591651599142,1.99582450790685,2.33396922456139,3.21544781483993,2.18304892853153,3.38127049377373,1.30122738345297,2.69321806035795,1.79384868157568,2.33144231234775,1.67681421657394,3.31465193820636,2.33615638575474,2.9143681822364,2.62061621758408,2.07224167129498,1.70316260395203,2.59638236019052,3.09231064151986,4.54046813850573,2.99385051168633,3.86580180120124,3.41215336029683,2.91948609695934,2.27800023673426,4.37217944903117,1.92033481216803,3.09306461474809,1.75363664542597,2.48252644907262,2.44576469414986,1.56402810666455,2.80844520643768,5.01222622928189,2.4303205049816,3.16677219765395,3.7518213951269,2.42938472024253,3.25190591674204,6.5944267701266,1.57911323956707,2.85560171663691,3.57664206359051,5.05260909333629,3.45095132496512,3.28520588896131,2.18569413476873,2.93084309651489,3.29808989282594,4.40164718117418,3.83302054847262,3.47879668381753,2.85565614004132,3.92746029994948,3.95051649181494,3.21368119057728,1.30509416157799,2.05139386317972,1.43781485977892,1.70089736764338,11.5401771030913,2.57870061815809,2.415073549959,6.35151524451949,8.55667199744532,3.23636874490721,3.08455654356381,4.12193627170209,2.68188878673708,1.8302767574586,3.09107957654341,5.02195666997652,6.63589825092618,4.92030353626087,1.90224684253005,1.46337382221004,2.25167409995213,3.54870411497329,3.21629855545019,1.14213021187794,0.756881809033625,0.982069839208578,3.85007015543854,2.81416944505556,13.2350453332886,6.61540139605344,5.74296313028006,9.91717849978183,1.7726403938829,5.91665343958822,9.184832270468,5.33611521597609
"culi_7",3.55123148174729,2.40004515424415,3.40289444320234,3.03873584392523,2.89425781199544,0,2.01983153793837,1.79737255543419,3.28459414240841,2.95684454433067,1.63578492614915,2.77634095744489,1.69461205243802,2.14634948375143,1.67251635662091,1.31407063650835,2.43728980329476,2.30865086690953,1.4034174324204,1.50499755092121,1.21011881169325,2.29190386849789,2.40526259437327,1.86071845848495,2.040143932468,1.47769199290096,2.33346961101882,1.75606198693348,1.35430912037511,1.34690325693261,1.53601884489217,1.48310254471852,2.7174133911793,1.40172744008637,1.88151195646654,1.56657462111576,1.88331373450558,2.81200572948755,3.53913867718239,2.40475582328106,1.50115628115422,1.41299276685264,3.05003573993906,2.16632288224859,1.59702736251968,3.27226193706355,3.25487685634159,2.52009766519792,2.07053173093971,2.38716401274708,2.48803790387236,2.22574134824284,2.11338511697177,1.71423677708516,2.00119179001262,2.01904172937385,1.9282415962227,2.47545350007101,2.88994361117424,3.56054123997786,2.24401206673982,1.52672007233303,2.54034162316111,2.04521992642339,2.39339826584301,4.57054782137004,1.90465063202653,2.65883247231247,2.88810726959844,3.79222201384734,2.60764528056908,1.80749124565252,1.89184561768923,1.90466441785268,3.0753993572078,4.13776698375852,3.12682755245994,2.39467034456103,1.44109267454137,3.0215813444758,2.01878654304785,2.18344928178214,2.99956021343468,2.05420518249275,3.63911012611526,2.57558447316274,11.3843053895754,1.86921141078098,2.384770381284,4.59341999940213,6.60494684067066,1.99287374129344,3.0183141873721,4.31871431969755,4.0942532144666,2.77187756763488,1.26324078284201,4.09654824176204,5.34034565040331,4.89947722888826,2.39233427806173,2.53096753301829,2.5787105634274,1.43948295086869,1.78060196319109,3.30055379933165,3.3221931864373,3.42053433701064,4.37644546932037,1.92279722122678,12.6729016327433,5.05126734100554,4.27471325298147,9.42757480786929,3.35568031936024,5.53142163977421,8.61335218396255,4.50102695292981
"culi_8",1.8345318027498,1.02704800089253,2.29923672562175,2.03204959391329,3.06479626409858,2.01983153793837,0,2.03864288025967,1.45194639598457,1.6422674490315,2.8831266642749,1.68655977707628,2.87683612566596,1.5132361106147,2.90746878237655,1.87903412435205,3.96304593188042,3.81368466829915,1.34331282387141,2.54718793797103,2.34045339395321,1.64172602869176,1.9354097634374,2.55363041865937,1.72628059590396,2.23357776720984,3.2720611684391,2.23629189377563,2.28126819419961,2.53447857436959,2.18599551103328,2.09280653721392,3.50442612577527,2.45784784969868,2.57535094996658,2.11217218288175,2.4521832520492,1.23760970423715,4.58380100198885,1.0481191009107,1.29703812477722,2.18791676187818,3.46439599093208,1.07041044697164,2.87174426493339,4.94612938878697,1.96844341833187,3.98233890424515,3.6263368696477,3.66936677032838,3.65981551676431,3.56188278137016,2.52954537150561,2.56891370467086,2.62631856989104,1.38407682210333,1.44491049737892,2.81393469000806,1.45707761339257,2.25147320020558,1.52746347137344,2.00348998289037,2.30206356415142,2.6167305830112,1.35168413321384,4.75043677888323,1.92792792693791,2.54858786327959,1.33951053794909,3.71602448768213,2.22890261981086,2.56759887671649,2.71117823251161,1.34327214432505,1.54176504241415,2.2609153668455,1.52322435257607,1.14500181313764,1.19595754925116,2.01184425838912,2.42134984953733,1.26434693145013,3.50653304935033,2.20383742818894,3.83093347042484,2.08930258439481,11.3642478948981,1.71921441689377,2.9509695684889,3.61039465660545,6.50626056802147,2.01233822601867,3.43436745151164,2.64998861026775,5.10620764680203,3.65135594708806,1.81398993682471,4.64516164594114,5.61621252550656,5.42867268435526,3.19344972851853,3.13029578713936,1.7942338416607,2.7057549212656,2.5449843858844,3.10339041655179,3.30739919176284,3.34196005559707,2.60948663840759,1.23450810504085,11.5378306941793,4.20033282445367,4.60961117111728,8.67667009618954,2.72788179828745,4.74061693853448,7.40728178085891,4.21870645795929
"culi_10",2.95256104141907,2.83472506358984,3.55650899886369,3.66182105548117,4.27552505601265,1.79737255543419,2.03864288025967,0,2.59313931832946,1.75531151051602,3.08395738632533,1.61731808940921,2.83687220269259,1.58551226826076,2.93283562191209,1.75023226342739,3.96648484781284,3.80480348533118,1.85093790514456,2.54635760675955,2.29719479184882,1.84921584486709,2.17838044699744,3.07736831210493,1.94315434041624,2.27146535769394,2.35368568332067,2.71051915589359,2.46605411137409,1.98930570748052,2.50793683284166,1.69901653601653,4.15628575935234,2.35926359832679,3.10583100112133,2.42948856215302,3.05287158722088,2.56144865219052,5.0246979684119,2.38538461784873,2.06853031284515,2.65843971060559,4.26717663285949,2.3945218982136,2.66417406220079,4.25945563046373,3.31709228434464,3.33648561700144,3.10107259803999,3.62409463792776,3.88178497719097,2.4329056756833,3.17528083701808,2.39537169138465,3.28403320361258,2.47067379238806,2.41730915910066,3.58740851199457,3.01496114308515,2.398515221691,2.76393566323507,1.79326455329941,2.59738505016891,2.90165235564629,2.31168697962957,3.93895996424083,2.95045621961386,3.40893608434854,2.6043286125571,3.69533328846528,2.76512787458706,2.4553047367574,3.03635470376843,2.01592542121762,3.01855484671794,3.5918268771777,2.67828390614931,1.99286750761118,1.69087464303848,2.80921014086438,1.52274573768031,1.96351892568203,4.3583358344781,2.9285412479783,4.91933954154066,3.3624900118503,11.6797536855076,2.3970695008874,3.48355484860981,3.34242923332405,5.54418633302718,2.04339534808831,4.03271464258,4.27390486952725,5.58606311762405,4.26560969328666,1.6496071571451,4.65710361250516,5.34254005775737,5.73970395534373,3.69352816238674,3.90561696200005,3.04593306319987,1.8049779027957,2.20124466831895,4.57247902138602,4.57878278406967,4.65636340186868,4.36632425732325,2.06055134901383,11.9996689952491,4.09220686174257,4.16329149888429,9.02257548626149,4.23793746243893,5.34610759663747,7.94072971900833,4.56501682880369
"culi_11",0.98828607114028,1.87452685141184,2.5141910679393,2.69116972148503,4.23011047995625,3.28459414240841,1.45194639598457,2.59313931832946,0,1.16150426254636,4.2267612556517,1.39701473808857,4.09150974292741,2.0880073726936,4.20031322834542,2.98893871024768,5.28450525529661,5.14644625979063,2.49234973028112,3.75460419473811,3.5869637585437,2.22601383280289,2.56520800736431,3.83036152638132,2.51544740056834,3.37457879556745,4.18373389365889,3.42083203883051,3.5684961262216,3.66745243747119,3.37040800313488,3.11048655871115,4.74808141096868,3.58217454588964,3.8568534395941,3.27984383390327,3.70110277161484,1.35944609070705,5.85595528126347,1.70812001157531,2.48220064140246,3.47824838162675,4.58159185018018,1.99328123563415,4.0710546572134,6.16400782229204,2.18392718380424,5.15695538044626,4.85673330481287,4.93742475759126,4.95709887236712,4.52752994993595,3.7278087394092,3.70493183503168,3.89079091770369,2.38719198806759,2.49241493491172,3.96929464858765,1.86680456138127,1.67629589097672,2.41953030825321,3.05201347009588,2.96423024106909,3.75042314096212,1.92766566494274,4.97251667072657,3.13200314231489,3.46017098179872,1.36808517480799,4.1119444033788,2.89443172043886,3.63851979110884,3.89510939913398,2.26149827854146,1.68757157653,1.26899388537801,1.1332223027417,1.50509894109546,2.26537805248618,2.24964128955918,3.18854292305684,1.95996242575796,4.69826554527565,3.35112439430706,4.91746040247926,3.05782038084514,11.5979872458946,2.78585297103549,4.1058841174519,2.9957134038236,6.395358127053,2.86123869100995,4.44716254699046,2.21784061316055,6.36734885799008,4.9334250531038,2.9410152850559,5.43297938541172,6.03421575648158,6.25824181081225,4.46664990198305,4.30936977290512,2.57892656761955,3.76018823152519,3.53347718206874,4.15858080203227,4.35472680346562,4.33993339947325,2.17398761988794,2.16383067615725,10.714071888954,3.83280406176046,5.24320617280198,8.26286708483561,3.50872917502641,4.64854153198721,6.53266090016032,4.51004871503283
"culi_12",1.68401265870649,2.43289613914295,3.00044902151038,3.29639262983432,4.56633889625726,2.95684454433067,1.6422674490315,1.75531151051602,1.16150426254636,0,4.04012053418147,0.629911136040965,3.82911962768588,1.60024709795134,3.91266999994347,2.53884650778735,5.07829760389904,4.9206619641891,2.25781870990265,3.43663260290637,3.26007941981217,1.7745179999901,2.25672584662176,3.73888099392314,2.19176228317904,3.07525018639436,3.46805908106243,3.31266602636413,3.32530065585093,3.15736899926251,3.21939258135005,2.59518970475287,4.82510970783103,3.35902590753191,3.78718919009691,3.11065186302999,3.662730144139,1.79955108729919,5.82777481851522,1.96762322894699,2.42762298855051,3.40853930923418,4.74757532710252,2.20319692739925,3.68725457392493,5.61531969286232,2.71900308582526,4.63729400510541,4.42467246879323,4.68379835620855,4.84872080669539,3.88066508576715,3.73622054282566,3.32066402046535,3.92880914128844,2.50591635262423,2.55238434459703,4.05935355811873,2.4124633035946,1.22268436601917,2.70966535568446,2.63834597668112,2.80606241229314,3.57825479060967,2.02826964510818,4.37845739869663,3.28723821284734,3.61601486833518,1.80441283738401,3.89540151947512,2.85758747937094,3.30887375126486,3.84419389686655,2.16350611656783,2.2654785832342,2.17720662593462,1.7359044583245,1.51128432360046,2.11321046674751,2.33600251245806,2.48163064637012,1.83436902243229,4.89264927707008,3.34943675013617,5.24643668240718,3.38619503142626,11.6836942445238,2.7162845210719,4.0884266152081,2.53330750008962,5.70194205672491,2.51147603125677,4.50866572092163,3.22644118295984,6.42542210167478,5.0204311228102,2.54543215012432,5.24996416262516,5.73922569487215,6.28079200333425,4.43879878808157,4.50318481577803,2.89983097283252,3.17344879543639,3.16673278374996,4.6433420007839,4.740095757883,4.75664353851277,3.19540481486593,2.07586449943587,11.0260710552274,3.50373539609728,4.6841275554911,8.4667554714816,4.01624165580257,4.85073748038709,6.96408226294506,4.53439247942617
