"","W1","W2","W4","W6","W7","W9","W10","W33","W42","W43","W52","W54","W57","W60","W63","W68","W73","W83","W84","W85","W87","W93","W94","W95","W96","W97","W100","W101","W104","W107","W108","W109","W111","W112","W114","W120","W121","W122","W123","W126","W127","W139","W140","W144","W150","W152","W153","W154","W164","W170","W181","W185","W187","W188","W189","W197","W221","W227","W228","W247","W251","W262","W265","W269","W280","W282","W318"
"W1",0,0.0985859902227876,0.11160967968541,0.196774423045089,0.0998999117274577,0.057577136622999,0.112146898066394,0.0941593013382157,0.209664787899211,0.0806330472386419,0.0720745637081397,0.0949718900335725,0.136432738322435,0.127363500659564,0.116032944377496,0.130430564029845,0.0792152035755429,0.188538278127692,0.0961558592618387,0.281099944868847,0.148951058363908,0.261731174201148,0.149178363576644,0.195591166802044,0.112578239707988,0.123987922171532,0.101717427130828,0.134506005879894,0.121942347415875,0.114161286657108,0.10466981725564,0.126119136230006,0.14420382183186,0.128667995875185,0.233007173536132,0.127116590199519,0.285270768608213,0.0851981835535092,0.142134635480807,0.220093738253335,0.397073947973658,0.122095609687491,0.173067646551053,0.0892398902876197,0.0733627488578058,0.16751648915615,0.263912403385605,0.154502733907375,0.19141274079883,0.403046590743697,0.115199989385291,0.154974986335627,0.121174686583385,0.257641260902463,0.1193158119869,0.0548186977822177,0.0780295898884475,0.120429905959869,0.0770780602985722,0.781773866160603,0.887523279502696,0.0896438086875965,0.162765344945406,0.21371078678839,0.10770201276887,0.141645087686699,0.114391205958476
"W2",0.0985859902227876,0,0.0699612652932585,0.232102441397697,0.144736685499888,0.0927680539158959,0.13675128595262,0.145172917620888,0.180460192789149,0.135046523870732,0.10429679735997,0.146764230206565,0.178998763821177,0.0922402095804939,0.176359608439975,0.158909675945242,0.118241268243965,0.170987256988454,0.156808400675361,0.229602294246042,0.089670354753237,0.20022722236429,0.0960977718342778,0.230173154250541,0.0598010917816775,0.0664020696416396,0.079644590892142,0.0913716361684989,0.190755348705651,0.162934541865134,0.098322441212381,0.108282153017427,0.105270190905482,0.102003522686162,0.216807929810912,0.127951925204667,0.251642536884814,0.115012450066971,0.152797414932816,0.27223205191587,0.430374257979807,0.11509932217023,0.122684845507032,0.120561802700237,0.150449061622692,0.239253854976645,0.282466789177527,0.111357458962923,0.156545337177087,0.376292711231121,0.171523071569655,0.182710873764749,0.136336998576578,0.194411229696132,0.161976176239135,0.118821906038488,0.126943294109904,0.0596645699355224,0.0809443953160572,0.772347446648327,0.87714134235628,0.153586574668851,0.192294736113305,0.241864178116526,0.141172404551635,0.0881156611888234,0.0653530297136731
"W4",0.11160967968541,0.0699612652932585,0,0.253020026102422,0.162545881416421,0.117193737491223,0.133574499103696,0.121116927429202,0.143091933084486,0.157372778908415,0.102767063778867,0.153275385255965,0.194817416468987,0.0952542922638547,0.197579554573626,0.139308118594905,0.122186987960271,0.124728232755475,0.157669825613437,0.213575474634887,0.0837126574789546,0.190033295985971,0.0963947651197086,0.223640070231002,0.0727441997684624,0.0723409655046608,0.100183617747795,0.0515236422692072,0.186451810175451,0.133438748708149,0.109017485166542,0.0549914306632661,0.0956928301191372,0.065384499887875,0.172027668923647,0.108538755502735,0.225458154010379,0.106017333484149,0.11749197834824,0.255981477151998,0.424277647727099,0.105463154847777,0.106674734033685,0.14761618863621,0.154366967771953,0.222621954072325,0.280693109665973,0.0992236548866447,0.106715480327919,0.350461945806315,0.157610190042096,0.171378082727245,0.126727362221081,0.173820337524283,0.157227361711383,0.146561470613063,0.153505084160163,0.0514898725038046,0.099661957839563,0.79210506355808,0.895379232055413,0.170673587155131,0.248418797049735,0.286443750942015,0.179819217965978,0.0867352108692989,0.0873048026469998
"W6",0.196774423045089,0.232102441397697,0.253020026102422,0,0.219777432596134,0.200707401657968,0.272020994078119,0.200115893529668,0.365288416043071,0.154801163371644,0.178980436832487,0.120249894377458,0.103107773739438,0.307427665228846,0.131700586030155,0.31567271764868,0.165901555049387,0.342862675927963,0.131336448604364,0.416783820630341,0.233366148994141,0.4260340012079,0.194326023964183,0.102121787730898,0.209156374309415,0.220402810298519,0.170777820131532,0.239450038834015,0.0965483176759472,0.215008212622546,0.159180565588051,0.272866304600398,0.282329477214103,0.266443201113457,0.400524127914367,0.194168304731141,0.466634762010175,0.159145336716237,0.301473980384306,0.382574895875667,0.426620202721779,0.192680558351039,0.323732668115438,0.225694426519213,0.20583325702681,0.31337856117426,0.390876828031323,0.283784578980548,0.304707578091833,0.543545030736228,0.246481308204955,0.311520869914862,0.249369928105963,0.383470842159611,0.130806290988591,0.189958156119596,0.150817455110942,0.244940672546336,0.240907271969958,0.780860299750136,0.890686671055681,0.201881469869676,0.221337812661057,0.145109739977274,0.129177430763007,0.282913755690907,0.211980470458347
"W7",0.0998999117274577,0.144736685499888,0.162545881416421,0.219777432596134,0,0.0868944661723245,0.111681905054817,0.159576894561227,0.26095726355275,0.134718614123626,0.141863632233635,0.13747898800581,0.168688072891562,0.18854034178122,0.161294101873009,0.17571925365864,0.13991974053562,0.242580098070959,0.154705672441182,0.310462441130126,0.182782440677528,0.282857509616374,0.186315947291381,0.206826519157088,0.153499531453889,0.17141980207345,0.143106142910978,0.183491541151438,0.165508496558388,0.174381070029786,0.152816015261205,0.172059754612453,0.198855858800896,0.185739353745984,0.282719788280464,0.194980446135366,0.310927864563633,0.12951621671046,0.203886448862582,0.236768197803918,0.439954643046888,0.154768824689817,0.19680048426809,0.0774039012962474,0.0873355176857365,0.155834058904615,0.199721418856332,0.207599659548216,0.242471915174173,0.364262115489556,0.105390058191444,0.133786092141293,0.122432843129746,0.29584890175178,0.135027343230216,0.105639531159483,0.0981550071261154,0.159133019960917,0.103930838345979,0.792946909663656,0.896109033637274,0.0934589093171317,0.181331767126251,0.239161192612286,0.131528771779142,0.155011132906208,0.162608580202129
"W9",0.057577136622999,0.0927680539158959,0.117193737491223,0.200707401657968,0.0868944661723245,0,0.114735610124285,0.123666722051291,0.221163394403472,0.104149586121135,0.0884579493398527,0.109029773150459,0.149832330920279,0.145007069402953,0.140508469876052,0.146473429136465,0.0973456782633642,0.202694226976064,0.117449791466297,0.278414589995776,0.14447828748574,0.247597421948743,0.146540900050475,0.19389493043669,0.106265214962701,0.125066768064431,0.0957335055049593,0.137769230372935,0.139749845263586,0.140439100455128,0.103549193051397,0.135729481680727,0.157980977603485,0.14056010179336,0.246006802014449,0.143493532805326,0.286642758310113,0.0782363712658656,0.157630900205222,0.240395498106134,0.425756286925872,0.110856454694738,0.16251467330302,0.0607272221708644,0.0862820788876578,0.170678750952445,0.242146904408129,0.162192225620681,0.202127036253755,0.392157762418515,0.104925337378724,0.157260128106837,0.108504577060087,0.254890914962938,0.122118247238196,0.072189685458378,0.0818476271951063,0.114376178476974,0.0674232760813384,0.78974269454742,0.893955166935398,0.0976860914529106,0.166482556920376,0.214710646234817,0.109670333910825,0.126930354932882,0.115070916063024
"W10",0.112146898066394,0.13675128595262,0.133574499103696,0.272020994078119,0.111681905054817,0.114735610124285,0,0.174889026626173,0.224785332561794,0.176447715459241,0.158136100569801,0.18386043814727,0.223819483230333,0.139351280170434,0.198922999524909,0.134289515280738,0.167420567270375,0.207248638671203,0.195383344509436,0.291381033341726,0.188037418507412,0.222302212645402,0.181359810760114,0.267201954962716,0.15364420697952,0.167739978363341,0.155454428260935,0.163020375180775,0.197983672974961,0.192902136403272,0.159439589986736,0.147497009157724,0.180608467584076,0.160159868625834,0.245221224672993,0.176553760787445,0.256492100608303,0.151071821194257,0.171471899028846,0.239102303007644,0.438102577621103,0.171633344420204,0.154503143207445,0.0891345316624322,0.102311419541031,0.13051776560755,0.184176378718707,0.176464002429542,0.21174368590613,0.324435639807887,0.0860920388974667,0.0681446319034578,0.0958816827668973,0.252825868385256,0.183307981881892,0.123734572226134,0.144475233533676,0.146012672175889,0.0788861301839724,0.790683987768457,0.893896190727179,0.0976361231510852,0.198722748331038,0.261065919474826,0.18669262506025,0.123041804990016,0.156528316779108
"W33",0.0941593013382157,0.145172917620888,0.121116927429202,0.200115893529668,0.159576894561227,0.123666722051291,0.174889026626173,0,0.182815278244026,0.125904489285234,0.0771894979758897,0.115671303964111,0.154803214823089,0.159050889975212,0.156330294303144,0.159611822946289,0.0870494680340474,0.163366456161064,0.104574017877291,0.274342059732648,0.158436397772932,0.288348613006578,0.11951642425469,0.16711915346681,0.135820390889726,0.143405845711171,0.125245175674008,0.12894496561125,0.14187348848828,0.069742164688041,0.110139159720785,0.114108183630538,0.139815481170246,0.124473661738179,0.219655235019541,0.092770406915625,0.279340302311508,0.087391496047612,0.136540322225332,0.246394976450786,0.405686644333373,0.0932957529014794,0.201978167195796,0.154955792228309,0.134344884269793,0.202086566306708,0.301393056287442,0.160040555718797,0.151062484936717,0.422744167316421,0.165163670186553,0.208480772761186,0.15847581903272,0.256605180506524,0.100550182944038,0.118908579952105,0.138105933178553,0.146543393498185,0.132390501825164,0.78447017242043,0.891973718873253,0.164416700635182,0.23335558044492,0.257615717029692,0.156368669925729,0.18230877423185,0.128949923236503
"W42",0.209664787899211,0.180460192789149,0.143091933084486,0.365288416043071,0.26095726355275,0.221163394403472,0.224785332561794,0.182815278244026,0,0.254617933357177,0.200309488627803,0.26556970871573,0.301395466340163,0.124536908078049,0.283796791498441,0.165599922001789,0.225306147245428,0.0495381449538155,0.254193881295567,0.144126976639067,0.148154897454934,0.180070744335558,0.196093815479406,0.328869467027935,0.169759303677417,0.168130476540617,0.210089849288654,0.13947571141181,0.301944818103827,0.194200124069956,0.223275254207232,0.124493309743494,0.0991968730176026,0.115165161481539,0.0594330297388178,0.181286283363059,0.192670419570717,0.218568398875446,0.144135714970038,0.27943099280124,0.436746860507866,0.191411715957229,0.110642739533895,0.249578555379706,0.235885340130724,0.270573495191375,0.332060922479209,0.132992979725991,0.0932153073845079,0.321458329625153,0.245445367678318,0.244655372488909,0.219562825268941,0.178373935777959,0.263835896701143,0.23280305433387,0.263489253399392,0.153094766740443,0.198741964785758,0.79651532327035,0.897110305051549,0.2747703572176,0.336982822695166,0.386963468704145,0.281768772529004,0.155187417771697,0.197445398893026
"W43",0.0806330472386419,0.135046523870732,0.157372778908415,0.154801163371644,0.134718614123626,0.104149586121135,0.176447715459241,0.125904489285234,0.254617933357177,0,0.0857789548570251,0.0486954464115049,0.0697879973822967,0.182390908039008,0.0596580415718082,0.196260409379554,0.0767135485866681,0.237055412603151,0.0607737174722754,0.323921632414177,0.175610647742799,0.320189581872603,0.166065626803337,0.153980498728656,0.139668180447455,0.153118685603787,0.105891482739622,0.162797942107131,0.0986524259694353,0.144833917823051,0.11343058043746,0.179838487553581,0.17672321277136,0.164257332802836,0.292212052151906,0.146977196302177,0.338725250905161,0.0942817702687473,0.189039429565203,0.258217967628139,0.389342675491846,0.141868102182535,0.232052781906613,0.132401410410182,0.105081292556264,0.216254054560015,0.31908675887792,0.184830277401791,0.222837915745256,0.460040965260236,0.174303897475939,0.218982395523705,0.177712002489923,0.29488290951268,0.101579531650778,0.0830818161036157,0.0614711564605597,0.162863145173985,0.134627115303458,0.775197510608222,0.880846601426091,0.108809361767384,0.158375206058041,0.160298941251563,0.0610040332918626,0.196883969089456,0.144797673140281
"W52",0.0720745637081397,0.10429679735997,0.102767063778867,0.178980436832487,0.141863632233635,0.0884579493398527,0.158136100569801,0.0771894979758897,0.200309488627803,0.0857789548570251,0,0.0850752689334412,0.113706735780377,0.139299150875144,0.119358449903459,0.163835591418457,0.046272403825773,0.17877646620868,0.0684345374381413,0.277425708510989,0.114971375216754,0.287886926436257,0.103241897098716,0.165347542424547,0.0874624311159402,0.097783937565459,0.0595137677711313,0.0970660440238185,0.123511603701223,0.099617918487696,0.0580425271736876,0.107228310525936,0.123572299891678,0.103146195446963,0.232205923869439,0.0662158731529259,0.296827535983874,0.0506452753160752,0.133295348043865,0.268033808155945,0.411982237051367,0.0816863338552561,0.192342674394844,0.12294005696982,0.121216353788074,0.216100108581977,0.301370782950114,0.141060829239608,0.158264195728936,0.427738536048247,0.162948866395374,0.200001584647575,0.156662585222599,0.248787583035522,0.115822388666343,0.11005065457866,0.104398698553244,0.11750349468779,0.1084853899347,0.789305321280014,0.894281662467425,0.146264434712108,0.216153733884546,0.221905265064152,0.123312404200111,0.156823765082377,0.0918817203330974
"W54",0.0949718900335725,0.146764230206565,0.153275385255965,0.120249894377458,0.13747898800581,0.109029773150459,0.18386043814727,0.115671303964111,0.26556970871573,0.0486954464115049,0.0850752689334412,0,0.05619528069773,0.202321285650359,0.0650692563229926,0.207617156054517,0.0808830803671483,0.242184864792314,0.0473273162780125,0.3277731283257,0.173551628810922,0.336009811783657,0.163816782925965,0.123415927884971,0.142770380279174,0.159163068614348,0.104915438068207,0.160616501579706,0.067479971134957,0.142757339749801,0.102632305900418,0.172033435479427,0.193587709435784,0.173741802490721,0.294946799971925,0.144426557838726,0.356400176866521,0.0849876933284914,0.19702333013065,0.274393389063472,0.406317899426155,0.120840111057798,0.239257606391616,0.137664841243972,0.113261963758725,0.226896576272281,0.321869182442016,0.204191647929274,0.222312310632888,0.45940164945776,0.173234697881559,0.227579991930949,0.173454482942235,0.306000480715584,0.0722338878055919,0.0948272030339533,0.0674524834221231,0.168096786227425,0.144141445241898,0.78401284436065,0.89157124084351,0.119580525938667,0.170261900097904,0.156682157997,0.0614606868121973,0.20319382367587,0.1511162664891
"W57",0.136432738322435,0.178998763821177,0.194817416468987,0.103107773739438,0.168688072891562,0.149832330920279,0.223819483230333,0.154803214823089,0.301395466340163,0.0697879973822967,0.113706735780377,0.05619528069773,0,0.241663500660708,0.0504434972808899,0.252381569520108,0.0911996524976447,0.27974629193835,0.072284987100334,0.360822512406408,0.178965129800162,0.371398279309142,0.169242520663557,0.111563797012032,0.157082299883903,0.163690768531677,0.110058738461426,0.176242878818446,0.0955430793783519,0.167209243687341,0.105724166771238,0.216108220740264,0.22069400760719,0.204952546085622,0.337694918837842,0.154955164690252,0.399922914864849,0.111543592273114,0.237660602173758,0.317354069548535,0.410980692246354,0.157665486135221,0.277356908406973,0.171806981625248,0.157411066343218,0.272402095092761,0.360853759657362,0.225462669188487,0.24754538137081,0.497812135704634,0.215374646114018,0.2676013330088,0.214514613801298,0.334280277191007,0.10797554237465,0.140516730394163,0.090622876863918,0.199740094597252,0.185142671719226,0.780770143910444,0.88904470989563,0.156709858235045,0.190729066129692,0.1424895074402,0.0703407304578208,0.23957429487539,0.161886243471859
"W60",0.127363500659564,0.0922402095804939,0.0952542922638547,0.307427665228846,0.18854034178122,0.145007069402953,0.139351280170434,0.159050889975212,0.124536908078049,0.182390908039008,0.139299150875144,0.202321285650359,0.241663500660708,0,0.222301782926747,0.100621600602577,0.163603966055206,0.120857253806463,0.188798236178521,0.228932634359978,0.14225021521262,0.183465801208943,0.160220864710241,0.289009178264877,0.119800647409004,0.116406393315013,0.151976335462446,0.122191047995329,0.229694619092063,0.157793176921985,0.157947829532593,0.0997600528923561,0.0931713768600612,0.0905444886694507,0.157796585975361,0.146715885433516,0.202562336399884,0.165460209519307,0.1090702221448,0.259090082914592,0.422313363759404,0.167533596702117,0.12762241848864,0.163028661014307,0.169816859533606,0.213507313684806,0.294379774192217,0.110343442849193,0.148672305606788,0.356157207374607,0.19759409544039,0.178474855377907,0.180725125097304,0.203046562567104,0.220801595701968,0.154771526625714,0.19227641171703,0.113572909741912,0.119135220898023,0.779254873690085,0.880404865520025,0.187721642862008,0.242453972830322,0.305976845581347,0.218031731552969,0.121333346047719,0.134643186166578
"W63",0.116032944377496,0.176359608439975,0.197579554573626,0.131700586030155,0.161294101873009,0.140508469876052,0.198922999524909,0.156330294303144,0.283796791498441,0.0596580415718082,0.119358449903459,0.0650692563229926,0.0504434972808899,0.222301782926747,0,0.230695586978723,0.0996812441829727,0.26902768981426,0.0722399981352144,0.362971290457255,0.198715146539656,0.363832292312383,0.194705296379165,0.153819743453315,0.163639942111242,0.180152475950211,0.13072802766467,0.185677763564624,0.0912842774347833,0.168545262422111,0.134158425844979,0.215563981020841,0.20745407410689,0.196488293574542,0.32264295150956,0.167174371942661,0.383538693564801,0.121256167354565,0.226931655908381,0.297973033586798,0.388099124102443,0.177299192007148,0.269553675261593,0.164313611692422,0.126771630372942,0.240102867363829,0.346658926918588,0.20993474520387,0.253066882439075,0.486935203744753,0.195018845893605,0.245661681039678,0.209353053617281,0.331585507226782,0.120937463733346,0.116760073639269,0.0827275995578837,0.2029247594206,0.175724183616441,0.780857524086907,0.889466683997277,0.135021751963912,0.171246379045295,0.136672527365676,0.0647671862792633,0.235764768572143,0.17424938075998
"W68",0.130430564029845,0.158909675945242,0.139308118594905,0.31567271764868,0.17571925365864,0.146473429136465,0.134289515280738,0.159611822946289,0.165599922001789,0.196260409379554,0.163835591418457,0.207617156054517,0.252381569520108,0.100621600602577,0.230695586978723,0,0.184298309114183,0.16422950822547,0.200082721435547,0.278396550488282,0.208419723673246,0.23212587696104,0.199800004295897,0.282267970799155,0.183107398733538,0.18790560199352,0.181159119939343,0.176432488668699,0.233385778471942,0.118067789532196,0.17885296832209,0.13422352856789,0.163679139861069,0.134025264106831,0.18045109281469,0.168753909956102,0.246332877875268,0.178560555304332,0.0638108311119947,0.224847432525538,0.419652366085405,0.178145982142563,0.165519762252259,0.162817351973364,0.155703134909472,0.190610840626374,0.271308159300726,0.16910533845385,0.198537332337031,0.379450701499856,0.168910889710407,0.161284903619102,0.159394386435253,0.250424246695454,0.213689255190731,0.164566992908401,0.189260851561273,0.173296732708822,0.11885334099171,0.791799585253776,0.896650651705451,0.179553030329101,0.25729393964996,0.321037606048391,0.223318457953263,0.160418963713687,0.180560042181293
"W73",0.0792152035755429,0.118241268243965,0.122186987960271,0.165901555049387,0.13991974053562,0.0973456782633642,0.167420567270375,0.0870494680340474,0.225306147245428,0.0767135485866681,0.046272403825773,0.0808830803671483,0.0911996524976447,0.163603966055206,0.0996812441829727,0.184298309114183,0,0.206951541803624,0.0590002957460401,0.300674009264366,0.12037557641214,0.303101323581383,0.113255266019085,0.153640709415611,0.0929130106537968,0.10373183895612,0.0509605685333801,0.109556952666332,0.127574244079006,0.105977471354706,0.0514270678517339,0.140471623567226,0.14887409372839,0.131351629690968,0.262184210533927,0.0893729193775194,0.322666627956195,0.0521128018536462,0.15864791924309,0.275104098504927,0.409165059860796,0.105790937342997,0.211633238599966,0.127554642477657,0.128486707104784,0.226609331947606,0.312367550992939,0.154220472900669,0.176353622440555,0.446777973800037,0.172546521749524,0.208753004387955,0.171174033186987,0.265848168722325,0.112089739647101,0.112474581189393,0.0913671075468213,0.13767928035608,0.121511410934349,0.788016787392652,0.894712401323546,0.146829712471336,0.209579893888973,0.212570954903137,0.110153772566241,0.177265451169521,0.099999439993568
"W83",0.188538278127692,0.170987256988454,0.124728232755475,0.342862675927963,0.242580098070959,0.202694226976064,0.207248638671203,0.163366456161064,0.0495381449538155,0.237055412603151,0.17877646620868,0.242184864792314,0.27974629193835,0.120857253806463,0.26902768981426,0.16422950822547,0.206951541803624,0,0.234891353443913,0.133958884855459,0.130056916508619,0.183067936157395,0.180182792965272,0.308193980795321,0.152298717409429,0.152355989201365,0.19316949314713,0.120181675674983,0.277976500444709,0.192172592928456,0.20456920824014,0.0983365989499891,0.0878170968841308,0.09677662384175,0.0669809050411713,0.161972124944371,0.188191393348633,0.20044968818225,0.143464789951259,0.271805571000857,0.437573243572794,0.164285235423155,0.102124808674991,0.230510340888758,0.221704273081817,0.255624017688789,0.315729469945612,0.125096927649888,0.0802335663878539,0.318896259466014,0.225947188760793,0.231149878664956,0.189670367978822,0.173956636936626,0.244164939443029,0.215619912956403,0.243373083768904,0.136355585049457,0.182345219357743,0.797184250958276,0.897932116105296,0.254809207534444,0.320863685064434,0.372007741413315,0.266618277689991,0.137487364354477,0.18166888323788
"W84",0.0961558592618387,0.156808400675361,0.157669825613437,0.131336448604364,0.154705672441182,0.117449791466297,0.195383344509436,0.104574017877291,0.254193881295567,0.0607737174722754,0.0684345374381413,0.0473273162780125,0.072284987100334,0.188798236178521,0.0722399981352144,0.200082721435547,0.0590002957460401,0.234891353443913,0,0.338584518152511,0.162123389618984,0.342099358101513,0.147114481925419,0.124493639882898,0.134174937260347,0.146110165956272,0.0945399663341999,0.144634432281821,0.0901262609544063,0.110867069468724,0.0824386611972911,0.159449230077297,0.177605599800459,0.155054852693676,0.287921279800493,0.105975501403424,0.355356038978694,0.0717811870100169,0.183480812615561,0.278515868673138,0.399448791270437,0.128635450276051,0.248316540444007,0.148813019639071,0.114716134188194,0.224518664528949,0.337852551691936,0.185857274146438,0.207406867701666,0.473724053462717,0.187835862030522,0.238707046347776,0.190416722622845,0.300433264624332,0.0888142888623033,0.105904522509837,0.0888191962856789,0.176082359839319,0.154738376023593,0.7873699946208,0.895164157068061,0.13494819019969,0.199110769119742,0.187802456889259,0.0888944077472939,0.213995499610889,0.140621366607811
