"Taxa"	"culi_1"	"culi_2"	"culi_3"	"culi_4"	"culi_6"	"culi_7"	"culi_8"	"culi_10"	"culi_11"	"culi_12"	"culi_15"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"culi_43"	"culi_46"	"culi_48"	"culi_50"	"culi_51"	"culi_52"	"culi_54"	"culi_55"	"culi_58"	"culi_59"	"culi_61"	"culi_62"	"culi_64"	"culi_65"	"culi_68"	"culi_74"	"culi_75"	"culi_77"	"culi_81"	"culi_82"	"culi_83"	"culi_84"	"culi_85"	"culi_86"	"culi_87"	"culi_88"	"culi_89"	"culi_90"	"culi_91"	"culi_92"	"culi_93"	"culi_95"	"culi_96"	"culi_99"	"culi_100"	"culi_103"	"culi_105"	"culi_106"	"culi_107"	"culi_108"	"culi_109"	"culi_111"	"culi_113"	"culi_114"	"culi_115"	"culi_116"	"culi_117"	"culi_118"	"culi_119"	"culi_120"	"culi_121"	"culi_122"	"culi_123"	"culi_125"	"culi_126"	"culi_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"culi_136"	"culi_137"	"culi_138"	"culi_139"	"culi_140"	"culi_141"	"culi_142"	"culi_143"	"culi_144"	"culi_145"	"culi_146"	"culi_147"	"culi_148"	"culi_150"	"culi_151"	"culi_152"	"culi_153"	"culi_154"	"culi_156"	"culi_157"	"culi_159"	"culi_161"	"culi_172"	"culi_174"	"culi_177"	"culi_178"	"culi_183"	"culi_187"	"culi_192"	"culi_196"	"culi_199"	"culi_200"	"culi_201"	"culi_202"	"culi_416"
"animal_parasites_or_symbionts"	0.31553900268984	0.356707818930041	0.287220026350461	0.440766550522648	0.327295552367288	0.266790231138247	0.256189756189756	0.330536912751678	0.348529411764706	0.415689062685152	0.240551263311756	0.323529411764706	0.300747198007472	0.241266273297743	0.257408113951418	0.349977575123337	0.16247582205029	0.204257060990585	0.410316139767055	0.354598085059007	0.269894135839182	0.39700410266196	0.336899888351321	0.29393376965908	0.343179924067043	0.33043801960541	0.274190843535133	0.27218333709641	0.292003593890386	0.301855349405622	0.446859296482412	0.327310736150515	0.26280834914611	0.292709466811752	0.312003530450132	0.368248359414437	0.291058267278543	0.528908204925589	0.497087378640777	0.131793048973144	0.206977106369724	0.281624578145002	0.41401077752117	0.464755244755245	0.271543985637343	0.308081416355534	0.607632238102255	0.277346506704305	0.259529036120535	0.253667853112249	0.325598617625277	0.281460674157303	0.320772603389027	0.219013072342755	0.123651564185545	0.316198277079508	0.376071980880079	0.184482123110947	0.424978926664794	0.370178251438272	0.331308529486206	0.279000808697996	0.280958619095322	0.29719512195122	0.259252823631625	0.139174494059083	0.354898866733611	0.256546324488908	0.410154751246962	0.175885770395221	0.320653074755511	0.185037803422205	0.264026402640264	0.364311541092544	0.590169992609017	0.520981458246201	0.411808669656204	0.449230106600625	0.297988319273199	0.241587197193905	0.249230195017262	0.37086915984668	0.311624072547403	0.452294442201588	0.54046052631579	0.413889708050723	0.12711808093561	0.440664236533009	0.194861233696185	0.170560090064734	0.140747176368375	0.30430733410943	0.264739987512265	0.186893203883495	0.341928454694026	0.184527220630373	0.30784543325527	0.173571428571429	0.14045072356003	0.167559431581743	0.350518608907871	0.232740021574973	0.533175355450237	0.309905754962904	0.268840899074482	0.506172839506173	0.710588235294117	0.686464877213021	0.808760951188986	0.493421926910299	0.156169771125799	0.0693132139331547	0.251464162870689	0.195947877946162	0.691997452770112	0.347503045066992	0.154925516578568	0.167837471062505
"chemoheterotrophy"	0.189944134078212	0.186172839506173	0.152256258234519	0.135571745327843	0.211262553802009	0.202791103358046	0.223776223776224	0.188338926174497	0.200678733031674	0.167081407749733	0.2206097306327	0.192612398494751	0.211955168119552	0.228341294371078	0.216711178939336	0.170130064284646	0.242263056092843	0.24014190203302	0.158402662229617	0.183812068581608	0.215177828000476	0.174887892376682	0.197432080387049	0.21988863924978	0.199555514399481	0.193696488398064	0.203169545530773	0.22804244750508	0.208702348864074	0.196422619708921	0.164949748743719	0.168134985814544	0.229601518026565	0.211425462459195	0.208075904677846	0.182104997476022	0.219162842441941	0.142236270248913	0.149298813376483	0.139454976303317	0.193272076000623	0.217735365995578	0.15796766743649	0.160839160839161	0.19195092758827	0.147657473202457	0.121113894209518	0.186701168352544	0.205048892436639	0.195763521138988	0.191063934830906	0.189165329052969	0.200379191847375	0.186708644172199	0.268608414239482	0.208445134867956	0.175453395191902	0.261979358643568	0.173503793200337	0.17146090729039	0.178815489749431	0.205409291041423	0.172998381752331	0.213536585365854	0.174341152620909	0.167827194879848	0.19581121790274	0.198695084819487	0.164343266402353	0.167784960314213	0.157715895905851	0.20685767343149	0.21997969027672	0.187139646242549	0.108277900960828	0.146382266833961	0.178176382660688	0.155701518251319	0.206489292667099	0.218897292557273	0.219744331436036	0.19051072205532	0.218741412475955	0.167272237922218	0.147697368421053	0.16691241521675	0.142268589275035	0.169029296611314	0.219966656859861	0.224411295618726	0.223594389971453	0.210128055878929	0.172241548479172	0.262621359223301	0.213727982567641	0.227936962750716	0.195901639344262	0.168367346938775	0.150403248870331	0.158971180663155	0.198749237339841	0.224379719525351	0.133590047393365	0.201323440946461	0.231908329660644	0.146604938271605	0.0915294117647058	0.0876641918903483	0.0613266583229036	0.139136212624585	0.131279474153785	0.272105485827105	0.181277307799572	0.137453535394796	0.0821481638717894	0.104384896467722	0.168957232099952	0.161970144487906
"fermentation"	0.185805917649493	0.181069958847737	0.146574440052701	0.130345264491606	0.208393113342898	0.196467509812473	0.219334719334719	0.180683724832215	0.195701357466063	0.162341509657542	0.217999582376279	0.185581303228362	0.202241594022416	0.214760700571322	0.20348467506041	0.164748093885484	0.229206963249516	0.227043252831218	0.15757071547421	0.173680694722779	0.208873557749494	0.169544890754699	0.193152214365463	0.217251147797206	0.192517825724604	0.188112669065641	0.195706858963609	0.222962293971551	0.199204209985881	0.18553494056216	0.161934673366834	0.163804688666567	0.214800759013283	0.202611534276387	0.206090026478376	0.174785461887935	0.212626894729523	0.138153562491769	0.143042071197411	0.137085308056872	0.190468774334216	0.201210287443268	0.151809083910701	0.158041958041958	0.183273488928785	0.1441647597254	0.117430381611905	0.180114482866776	0.200858112153263	0.190120670197066	0.182547519131079	0.18330658105939	0.195876288659794	0.183697214427486	0.257146709816613	0.203078661206044	0.171376353156193	0.244102469590859	0.16858668165215	0.16599075733283	0.176284484940521	0.201186090394465	0.169222470524775	0.210365853658537	0.171387199536635	0.163738184835106	0.193229091952374	0.196346237494563	0.159227522701113	0.165330169380574	0.154400795624068	0.204536410664544	0.212617415587713	0.181667155281931	0.103350578960335	0.141363446256796	0.174439461883408	0.152148164100355	0.202206359506814	0.216485805107969	0.206401045068583	0.184502227286854	0.204176971695521	0.162562239267932	0.144078947368421	0.161604246534945	0.139809954149777	0.163358984744161	0.207119741100324	0.216436813960034	0.185801166687353	0.208032596041909	0.167424850593167	0.245954692556634	0.19684038496459	0.224355300859599	0.192740046838408	0.160204081632653	0.145941772007093	0.152640665810793	0.192342892007322	0.222491909385113	0.127369668246445	0.193102065369962	0.218245923314235	0.114711934156379	0.0868235294117647	0.0833809251856082	0.0528160200250313	0.133554817275747	0.12838440669325	0.263996615428007	0.175885469926559	0.132796862873249	0.0708978985353428	0.100487210718636	0.1559827006247	0.159974455176818
"anaerobic_chemoheterotrophy"	0.180736602524312	0.179259259259259	0.14163372859025	0.126385809312639	0.206061692969871	0.191125163541212	0.219051219051219	0.180683724832215	0.195361990950226	0.162104514752933	0.217999582376279	0.185284214695979	0.201618929016189	0.214011426430645	0.20348467506041	0.164748093885484	0.22678916827853	0.226770364306181	0.15757071547421	0.173235359608105	0.208278815272987	0.168113729605954	0.192314849274284	0.216371983979682	0.191128808222984	0.188112669065641	0.194784504444072	0.222962293971551	0.198049030933128	0.184535051660927	0.161557788944724	0.1627594445274	0.214800759013283	0.201196953210011	0.205648720211827	0.173649671882887	0.212626894729523	0.137626761490847	0.143042071197411	0.136018957345972	0.180267871048123	0.200628418480158	0.142879137798306	0.157342657342657	0.182974266906044	0.139588100686499	0.116841019596287	0.17321414569121	0.199261624426262	0.18274155742686	0.181189829671686	0.178250401284109	0.194572816684441	0.177879679693382	0.256877022653722	0.20237254625053	0.166174609869254	0.237467747880575	0.168165214948019	0.165141940960106	0.170083523158694	0.200017971066583	0.167527163443015	0.207317073170732	0.15331595713872	0.153100832617263	0.191938028977191	0.192518486298391	0.157437012405678	0.160788806153343	0.148516492623902	0.203209974797719	0.209444021325209	0.181471709176195	0.102734663710273	0.141363446256796	0.173841554559043	0.151932809303327	0.20129785853342	0.208374438233037	0.206401045068583	0.1792188956801	0.204176971695521	0.160678239806217	0.142434210526316	0.153199646122088	0.092232041996146	0.162413932766302	0.191821123859959	0.21596772680364	0.185801166687353	0.208032596041909	0.163856926233164	0.237702265372168	0.195569275467587	0.220487106017192	0.192505854800937	0.145765306122449	0.139049362237602	0.149586081721192	0.192342892007322	0.222491909385113	0.126777251184834	0.193102065369962	0.218245923314235	0.111111111111111	0.0863529411764705	0.079954311821816	0.0523153942428035	0.128239202657807	0.128020247264252	0.263855591594979	0.171144371107186	0.129447326498101	0.0708978985353428	0.0998172959805116	0.155406054781355	0.152231180649796
"human_associated"	0.0255534864473412	0.0237037037037037	0.0611824769433465	0.0348432055749129	0.00878766140602582	0.0351068469254252	0.0235305235305235	0.0370176174496644	0.0168552036199095	0.0282023936485365	0.0301733138442264	0.0314913844325609	0.0226650062266501	0.0265055727264213	0.0316673025562763	0.0455972492151293	0.0316731141199226	0.0255150770910083	0.0362728785357737	0.0290581162324649	0.0285476388723683	0.0225169354069268	0.0202828433196874	0.0134805118687115	0.0177794240207427	0.0248169748107706	0.0301861479121248	0.0130955068864303	0.0279810037222436	0.0353294078435729	0.0195979899497487	0.0542033746453636	0.018595825426945	0.0225244831338411	0.0176522506619594	0.0235991923271075	0.017939090529829	0.0140919267746609	0.0187702265372168	0.0351500789889415	0.0344183149042205	0.0232747585243803	0.0270977675134719	0.0165034965034965	0.0507181328545781	0.0755148741418764	0.00751436569913069	0.0428134556574923	0.037317900618639	0.0388054518621408	0.0280177733892866	0.0419743178170144	0.0226330133902121	0.0576962562452946	0.020361380798274	0.0189238808077955	0.0231969633066217	0.0071876151861408	0.016858668165215	0.0354616617938319	0.0306251581878006	0.031808787851559	0.0500886183247284	0.0146341463414634	0.047552852591949	0.0862840380455717	0.0159231100272558	0.0360156589821662	0.0264739736539199	0.0771622616807135	0.0519641969169567	0.039063536278021	0.0203097232800203	0.0228671943711522	0.021680216802168	0.0126864631256099	0.0168908819133034	0.0242274146656617	0.0256975989617132	0.0238956483612847	0.0315386768685266	0.0168859421941365	0.00989282769991755	0.013457139012246	0.00361842105263158	0.0154821586552639	0.0691740314971094	0.0176859727285001	0.0338334804354222	0.0481283422459893	0.0672706962889413	0.0220023282887078	0.0528944786370529	0.00906148867313916	0.00926094062102778	0.033810888252149	0.0330210772833724	0.0712244897959184	0.0963221415088943	0.087210589224844	0.0193715680292861	0.0264293419633225	0.0207345971563981	0.029777421295368	0.0150727192595857	0.0231481481481482	0.00517647058823529	0.0114220445459737	0.00400500625782228	0.026843853820598	0.123176926858579	0.0342687914257509	0.0483406154132193	0.0978718189616437	0.0184674166843558	0.0803288672350792	0.0719846227775108	0.0716851600542827
"human_gut"	0.021104903786468	0.0212345679012346	0.0452075098814229	0.0224897054165347	0.00878766140602582	0.0346707370257305	0.0226800226800227	0.0370176174496644	0.0168552036199095	0.0277284038393174	0.0292336604719148	0.0275302040007922	0.0210460772104608	0.0246323873747307	0.0286150324303701	0.0448497533263567	0.0287717601547389	0.0242870787283395	0.035440931780366	0.0228234246270318	0.0283097418817652	0.0209903635149318	0.0199106810569408	0.0126013480511869	0.016760811186221	0.0196054101005088	0.0274190843535133	0.0127568299841951	0.0265691182133231	0.0311076547050328	0.0187185929648241	0.0507690010452441	0.0130929791271347	0.0219804134929271	0.0166593115622242	0.0196870267541646	0.017660965095258	0.0131700250230475	0.0187702265372168	0.00722748815165877	0.0222706743497898	0.0225765157686489	0.0161662817551963	0.0162237762237762	0.0502692998204668	0.0750331205588341	0.00486223662884927	0.0368540735513213	0.0362203153063261	0.032815348554562	0.0255492470994816	0.0383627608346709	0.0191965872733736	0.0409965094791595	0.0186084142394822	0.0153933060302217	0.0209475608041614	0.005989679321784	0.0153132902500702	0.0316891445817221	0.0241710959250823	0.0275855872046006	0.0339061416352007	0.0128048780487805	0.0412395018824211	0.0561794423538475	0.0150624013771338	0.0234014789038712	0.0195677196572452	0.05269617870878	0.0359688380573512	0.0259318211964452	0.0184056867225184	0.0189582722564253	0.0156442473515644	0.0121288163948139	0.0165919282511211	0.0213201249057823	0.0231018818948735	0.0219226131754905	0.0276196696836801	0.0145032632342277	0.00989282769991755	0.0125151392813888	0.00296052631578947	0.01105868475376	0.0652202804173035	0.0174159578776833	0.03187211925076	0.0411858523313632	0.065843366017128	0.0217694994179278	0.0354116492730354	0.00647249190938511	0.0085345923370256	0.0312320916905444	0.0312646370023419	0.0435204081632653	0.0534233255162157	0.0444021426357962	0.0183038438071995	0.0142934196332255	0.00725710900473934	0.0295768999398436	0.0137505509034817	0.0195473251028807	0.00211764705882353	0.00828098229583095	0.00225281602002503	0.0248504983388704	0.0237614027421205	0.0334931603440981	0.0477828390815283	0.0524488378742698	0.013797495223944	0.0507917174177832	0.0420951465641519	0.0420292168915143
"mammal_gut"	0.021104903786468	0.0212345679012346	0.0452075098814229	0.0224897054165347	0.00878766140602582	0.0346707370257305	0.0226800226800227	0.0370176174496644	0.0168552036199095	0.0277284038393174	0.0292336604719148	0.0275302040007922	0.0210460772104608	0.0246323873747307	0.0286150324303701	0.0448497533263567	0.0287717601547389	0.0242870787283395	0.035440931780366	0.0228234246270318	0.0283097418817652	0.0209903635149318	0.0199106810569408	0.0126013480511869	0.016760811186221	0.0196054101005088	0.0274190843535133	0.0127568299841951	0.0265691182133231	0.0311076547050328	0.0187185929648241	0.0507690010452441	0.0130929791271347	0.0219804134929271	0.0166593115622242	0.0196870267541646	0.017660965095258	0.0131700250230475	0.0187702265372168	0.00722748815165877	0.0222706743497898	0.0225765157686489	0.0161662817551963	0.0162237762237762	0.0502692998204668	0.0750331205588341	0.00486223662884927	0.0368540735513213	0.0362203153063261	0.032815348554562	0.0255492470994816	0.0383627608346709	0.0191965872733736	0.0409965094791595	0.0186084142394822	0.0153933060302217	0.0209475608041614	0.005989679321784	0.0153132902500702	0.0316891445817221	0.0241710959250823	0.0275855872046006	0.0339061416352007	0.0128048780487805	0.0412395018824211	0.0561794423538475	0.0150624013771338	0.0234014789038712	0.0195677196572452	0.05269617870878	0.0359688380573512	0.0259318211964452	0.0184056867225184	0.0189582722564253	0.0156442473515644	0.0121288163948139	0.0165919282511211	0.0213201249057823	0.0231018818948735	0.0219226131754905	0.0276196696836801	0.0145032632342277	0.00989282769991755	0.0125151392813888	0.00296052631578947	0.01105868475376	0.0652202804173035	0.0174159578776833	0.03187211925076	0.0411858523313632	0.065843366017128	0.0217694994179278	0.0354116492730354	0.00647249190938511	0.0085345923370256	0.0312320916905444	0.0312646370023419	0.0435204081632653	0.0534233255162157	0.0444021426357962	0.0183038438071995	0.0142934196332255	0.00725710900473934	0.0295768999398436	0.0137505509034817	0.0195473251028807	0.00211764705882353	0.00828098229583095	0.00225281602002503	0.0248504983388704	0.0237614027421205	0.0334931603440981	0.0477828390815283	0.0524488378742698	0.013797495223944	0.0507917174177832	0.0420951465641519	0.0420292168915143
"human_pathogens_all"	0.00641423546451479	0.00395061728395061	0.0303853754940712	0.0239151092809629	0.000717360114777618	0.00174443959877889	0.00113400113400113	0	0.00079185520361991	0.000829482166133428	0.00167049488410942	0.00643691820162408	0.00224159402241594	0.00393368923855015	0.00419687142312095	0.000597996711018089	0.00809961315280464	0.00177377541274389	0.000665557404326123	0.00946337118681808	0.00107053645771381	0.0019082148649938	0.00251209527353926	0.00107453355475237	0.00148161866839522	0.00545973445836953	0.0031863156129465	0.000225784601490178	0.00141188550892055	0.00466614820575492	0.00113065326633166	0.00403165596535762	0.00550284629981025	0.000979325353645267	0.000992939099735216	0.00454316002019182	0.000278125434570992	0.00144870275253523	0.000431499460625674	0.0281200631911532	0.0133935524061673	0.00186198068195043	0.0181678214010778	0.000559440559440559	0.000598444045481747	0.00240876791521137	0.00353617209370856	0.00854700854700855	0.00219517062462582	0.0129351506207136	0.00382621574919773	0.00842696629213483	0.00687285223367697	0.0188898774895627	0.00296655879180151	0.00381302075977969	0.00407704203570926	0.00184297825285662	0.00379320033717336	0.00735640856361407	0.0129081245254366	0.00602030730523857	0.0303614086460661	0.00329268292682927	0.00926730379380249	0.0452161545527275	0.00229522306699182	0.0251413658112223	0.0113825297352603	0.0465182881924556	0.0311619426487651	0.0231463058761109	0.00304645849200305	0.00742695201798104	0.0114560236511456	0.00125470514429109	0.000597907324364724	0.00452245073759018	0.00428293316028553	0.00712484928203441	0.00391900718484651	0.0027970579094582	0.00109920307776862	0.00148028529134706	0.000657894736842105	0.00530816868180478	0.0473785633596917	0.00054002970163359	0.00676669608708444	0.00759921193357726	0.00595755243887303	0.000465657741559953	0.0423691017750424	0.00355987055016181	0.00127110949700381	0.00644699140401147	0.00281030444964871	0.0563265306122449	0.0802493851169708	0.0835362344503962	0.00137278828553996	0.0137540453074434	0.0148104265402844	0.000200521355524363	0.00141031291317761	0.00668724279835391	0.00305882352941176	0.00456881781838949	0.00175219023779725	0.00239202657807309	0.118424646310155	0.00112819066422225	0.00148740355117598	0.0855765695845758	0.011887072808321	0.057673568818514	0.0674675636713119	0.0587530933184322
"aerobic_chemoheterotrophy"	0.00920753155390027	0.00691358024691358	0.0106225296442688	0.0091859360152043	0.00520086083213773	0.0116659398168338	0.00472500472500472	0.00765520134228188	0.00531674208144797	0.00497689299680057	0.00250574232616413	0.00722915428797781	0.0102117061021171	0.0144235272080172	0.0133536818008394	0.0053819703991628	0.0155947775628627	0.0133715377268386	0.000665557404326123	0.010688042752171	0.006899012727489	0.00677416277072798	0.0052102716784518	0.00351665527009866	0.00842670617649782	0.00545973445836953	0.00838504108670133	0.00496726123278392	0.0105249647028623	0.0118875680479947	0.00339195979899498	0.0053755412871435	0.0148007590132827	0.0101196953210011	0.00242718446601942	0.00845532559313478	0.0065359477124183	0.00474120900829712	0.00625674217907227	0.00343601895734597	0.0130042049524996	0.0171069475154195	0.0150885296381832	0.0034965034965035	0.00897666068222621	0.00806937251595809	0.00427287461323118	0.0134870226613346	0.00578726801037717	0.0129351506207136	0.00987410515921994	0.0109149277688604	0.005806375162934	0.00882896447881733	0.0117313915857605	0.00593136562632396	0.00941937297905244	0.0244194618503502	0.00533857825231807	0.00631896633028388	0.00873196659073652	0.00539131997484051	0.00547121830931648	0.00621951219512195	0.0210251954821894	0.0147263622625856	0.0038731889255487	0.00617659852109613	0.00677836040414375	0.00699615416087063	0.00919940328194928	0.00371402042711235	0.0104087331810104	0.00566793706635395	0.00542005420054201	0.00501882057716437	0.00433482810164425	0.00387638634650587	0.00519143413367943	0.0105228543242354	0.0132499766725763	0.0112918263752201	0.0145644407804342	0.00659399811600054	0.00526315789473684	0.0137127690946623	0.050036547278889	0.00661536384501148	0.0281455329999019	0.00844356881508584	0.0377932232841008	0.00209545983701979	0.00838462224600838	0.0249190938511327	0.0181587071000545	0.00730659025787966	0.00339578454332553	0.0226020408163265	0.0113538866327289	0.00938509894196291	0.00640634533251983	0.00188781014023732	0.00696090047393365	0.00832163625426108	0.0137505509034817	0.0354938271604938	0.00517647058823529	0.00770988006853226	0.00901126408010012	0.0108970099667774	0.00325922688953224	0.00824989423212523	0.0101329366923864	0.00804705690127037	0.0112502653364466	0.0046285018270402	0.0135511773185968	0.00969905005188792
"nitrate_reduction"	0.00662114628595075	0.00213991769547325	0.0212450592885376	0.0161545771301869	0.00286944045911047	0.00479720889664195	0.000945000945000944	0	0.00079185520361991	0.000473989809219102	0.00114846523282522	0.00326797385620915	0.00112079701120797	0.00168586681652149	0.00165331298486583	0.00104649424428166	0.00568181818181818	0.000955109837631328	0.000665557404326123	0.00467601870407482	0.000475793981206138	0.00295773304074039	0.00418682545589877	0.0028328611898017	0.00453745717196037	0.00223352773296935	0.00872044273016938	0.00124181530819598	0.000898472596585805	0.00144428396844795	0	0.00134388532178587	0	0.0014145810663765	0.00397175639894086	0.00365976779404341	0.000278125434570992	0.000526801000921902	0.000431499460625674	0.0584913112164297	0.0191558947204485	0.00209472826719423	0.0147806004618938	0.00153846153846154	0.00104727707959306	0.00566060460074672	0.00353617209370856	0.0091743119266055	0.0023947315905009	0.0152791040888966	0.00407306837817822	0.00658105939004815	0.00213295414148596	0.014783382383136	0.00269687162891046	0.00310690580426493	0.00632644453816955	0.00949133800221157	0.00182635571789829	0.00443270772422899	0.0124019235636548	0.00197681732410819	0.0183401402481313	0.00597560975609756	0.0260063712713582	0.024563690776023	0.00286902883373978	0.0140930839495433	0.0062667860340197	0.0292120121103019	0.0189789491132107	0.0166467701286643	0.00533130236100533	0.00283396853317698	0.00714461690071446	0.00125470514429109	0.00104633781763827	0.00193819317325293	0.00207657365347177	0.00833059300668639	0.000373238779509191	0.00549052108152906	0.00109920307776862	0.0026914278024492	0.00131578947368421	0.01105868475376	0.0678118147385208	0.00270014850816795	0.0261841718152398	0.0015010789004597	0.000124115675809855	0.000232828870779977	0.0226563196860227	0.0111650485436893	0.00236063192300708	0.0150429799426934	0.00187353629976581	0.0428061224489796	0.0464165189040782	0.0456859533401213	0.000305064063453325	0.000539374325782093	0.000592417061611374	0.000701824744335272	0.000176289114147201	0.00668724279835391	0.000470588235294117	0.00371216447744146	0.000500625782227784	0.0053156146179402	0.09908778063036	0.00141023833027782	0.0120851538533048	0.0450553490461991	0.00509445977499469	0.0281973203410475	0.0223930802498799	0.0479763710385567
