"Taxa"	"culi_1"	"culi_2"	"culi_3"	"culi_4"	"culi_6"	"culi_7"	"culi_8"	"culi_10"	"culi_11"	"culi_12"	"culi_15"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"culi_43"	"culi_46"	"culi_48"	"culi_50"	"culi_51"	"culi_52"	"culi_54"	"culi_55"	"culi_58"	"culi_59"	"culi_61"	"culi_62"	"culi_64"	"culi_65"	"culi_68"	"culi_74"	"culi_75"	"culi_77"	"culi_81"	"culi_82"	"culi_83"	"culi_84"	"culi_85"	"culi_86"	"culi_87"	"culi_88"	"culi_89"	"culi_90"	"culi_91"	"culi_92"	"culi_93"	"culi_95"	"culi_96"	"culi_99"	"culi_100"	"culi_103"	"culi_105"	"culi_106"	"culi_107"	"culi_108"	"culi_109"	"culi_111"	"culi_113"	"culi_114"	"culi_115"	"culi_116"	"culi_117"	"culi_118"	"culi_119"	"culi_120"	"culi_121"	"culi_122"	"culi_123"	"culi_125"	"culi_126"	"culi_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"culi_136"	"culi_137"	"culi_138"	"culi_139"	"culi_140"	"culi_141"	"culi_142"	"culi_143"	"culi_144"	"culi_145"	"culi_146"	"culi_147"	"culi_148"	"culi_150"	"culi_151"	"culi_152"	"culi_153"	"culi_154"	"culi_156"	"culi_157"	"culi_159"	"culi_161"	"culi_172"	"culi_174"	"culi_177"	"culi_178"	"culi_183"	"culi_187"	"culi_192"	"culi_196"	"culi_199"	"culi_200"	"culi_201"	"culi_202"	"culi_416"
"Metabolism|Global and overview maps"	0.394372424210506	0.398730477371342	0.393319775763505	0.395480924205231	0.400172464692523	0.391790031998962	0.393072755932365	0.39350616129387	0.393891742190908	0.398351391892444	0.390496895139891	0.390306219602222	0.386724598233062	0.382922774474815	0.390923679517025	0.393666363260236	0.383613041730666	0.388881574946479	0.394430160318744	0.391619391131258	0.390570858961157	0.387638089164846	0.392062186213984	0.390620267723948	0.388845850025522	0.393084131214014	0.385665985345778	0.391268446587619	0.390500243659888	0.388210080047103	0.392737458954139	0.397377060167955	0.389080552252027	0.383566378100815	0.384563803979369	0.389826185874474	0.386492861860123	0.396806559992234	0.398691871826119	0.37647896276485	0.384466776545331	0.387018813058416	0.39127739904966	0.396122248246862	0.394710311393492	0.395245880863404	0.395216929937636	0.385160768422957	0.386953876562464	0.380387170159879	0.393705741844195	0.385425884614995	0.387932793833348	0.379654091012303	0.382973133482142	0.393033214302755	0.390795359981896	0.381991312450018	0.391246207589276	0.388301097614489	0.385470479115156	0.382741441772007	0.383696895334316	0.387796521438919	0.384792383349697	0.369251224368374	0.388040892401524	0.379279835617016	0.395010702229038	0.375518264293108	0.385373703443809	0.382505546735882	0.390537004184646	0.382960482517175	0.393828791892516	0.394880065104291	0.391152222218593	0.391031239796217	0.391655555613085	0.386719153989837	0.389129792595218	0.393977576128859	0.396593882275972	0.39358943183335	0.397806646640474	0.392589340677135	0.36987703551692	0.394218812608616	0.385000468167964	0.366374842902854	0.370510036684075	0.382074304121575	0.381558016862909	0.395671759677686	0.391918613778438	0.383837860137109	0.389198173736788	0.373453648883072	0.367258316468984	0.367023180408975	0.392212569540035	0.394619989064881	0.393283075707227	0.387896361642995	0.377801476190459	0.400307663250054	0.399239729650724	0.399331278474432	0.39935854429087	0.387455893297036	0.365298141198489	0.367897596297841	0.366327952895664	0.36863061763632	0.3957021962043	0.375461250469165	0.375611986696767	0.372839047012462
"Metabolism|Carbohydrate metabolism"	0.0849444202676241	0.0846960281189153	0.0853442537225746	0.088069017626179	0.0857744958766775	0.0920421334902758	0.0854229986268515	0.0924204375302146	0.087058917954921	0.0833956402387767	0.0934671254111552	0.091758613553382	0.10300351580256	0.0945833972919628	0.0965459251109195	0.0954925805006501	0.1048561783859	0.0992739611619758	0.0898591369680042	0.0940731308051216	0.0918517298492117	0.0957137122177225	0.0900100495053773	0.0961122023776803	0.0942970153787653	0.0943081192765209	0.10394687112203	0.0969878777993357	0.0981316884828303	0.100383640067473	0.0921527005647717	0.0885515614049231	0.104795431837974	0.0999408989800947	0.0991477435422932	0.102304070070592	0.100959262446917	0.0918754329882326	0.098973598801192	0.096795637171602	0.0951680658690108	0.0936220079191321	0.0985058642755914	0.0873363395373047	0.0987670005764011	0.1063870923898	0.0928937972297856	0.100192792758336	0.103601566512736	0.105905292405709	0.0972131852779023	0.102241600997401	0.0994171166424484	0.0969585641569204	0.107108356581853	0.092428334795753	0.0994846020159511	0.0986311199447032	0.0903420493864368	0.0904156068527287	0.0976021310732328	0.0961315603079703	0.0997475102336805	0.102501124499839	0.0969858695750019	0.107246082269202	0.10063188621226	0.100958777876698	0.0861698990183229	0.104194374367158	0.0953175011770407	0.0972603259306551	0.0982017416353713	0.0964139148096527	0.0829163794838017	0.0883126897230072	0.0905571987303102	0.0855031403417024	0.0943850702647577	0.0955474981481567	0.0943209930030942	0.0852630973091487	0.101887928660497	0.0839407640416944	0.0922942749845221	0.0914260699228837	0.105604552474384	0.0855475370587137	0.0945410018853166	0.105813495106342	0.0993875104070072	0.10093734589215	0.097078903284767	0.0862307566846601	0.101286374088588	0.097938840796156	0.095431200942964	0.10591759587198	0.112254405172926	0.113744210919861	0.088860023802644	0.105247038582117	0.0958929587075196	0.0962227944270669	0.103090629139015	0.0860887515832744	0.0870496507737339	0.0873944180428344	0.0813947281752338	0.0934090550263983	0.114583891927266	0.10929797673799	0.109869086815693	0.110486872264752	0.0864854507268944	0.104683841945785	0.114118449758201	0.104691412447338
"Environmental Information Processing|Membrane transport"	0.0555375881267938	0.0542016287492412	0.0569468653715957	0.0566875708347204	0.0545591005036436	0.0617175841875037	0.0574743630788383	0.0606257886992259	0.0577103325408616	0.053277916166589	0.0631647532944143	0.0615590383606174	0.071813451516027	0.0660187869996348	0.0636141669619004	0.0604493374969887	0.0731956633973022	0.0682681592824825	0.0587448396712999	0.060192330989718	0.060891775731741	0.0636330883148831	0.0583457160800923	0.0633291467532916	0.0631727331412017	0.0588344628184869	0.063677854687982	0.0640601897654973	0.065137980788857	0.0663170024507246	0.0617034843133993	0.0561118669668563	0.070673475979047	0.0713478421839648	0.0696080341995773	0.0684384434768706	0.0708225754829763	0.0579122190325218	0.0617089298409551	0.0684998236633421	0.0663892512724744	0.0656807440274696	0.0656850600571351	0.0572972125511673	0.062500856656978	0.0652631202670451	0.0606097982433928	0.0687849437896028	0.0705554697996168	0.0738446910335283	0.0640070532406669	0.0679349519826806	0.068408948032567	0.068831440603616	0.0750829049139136	0.0614678613866969	0.0667435039588314	0.0717924209771526	0.0609986908015696	0.0611893641083744	0.0692949132050474	0.0674047636746618	0.0672193531605205	0.0695521021229868	0.0795950289631421	0.0779134517093534	0.0694715161022662	0.074003308143942	0.0569431677339622	0.073499261748634	0.0649232115511295	0.0657724684369239	0.065973362884679	0.069596923314786	0.0557261372712706	0.0580476317855163	0.0619709866644754	0.0577364724978684	0.0629257116938478	0.0648226189893878	0.0623668442993079	0.057987548690723	0.0648491833484472	0.0551677771812956	0.0588738705708859	0.0626955644981608	0.0823568395822676	0.0561323557390277	0.0648073724252179	0.0778431963074235	0.0645734653110614	0.0699688424271905	0.0695656419325492	0.0582181453640681	0.0686996675510327	0.0691973013039213	0.0637613055906871	0.0778352796222726	0.0795870687313513	0.0817695516522603	0.0600332694426062	0.0668202370376855	0.0622429148329287	0.0654812115525299	0.0749757405980492	0.0548166032318021	0.0550322329964736	0.0546957215491761	0.0517809820253033	0.0658888959289829	0.0793511452840353	0.0743782319782558	0.0581771951473569	0.0766525661395998	0.05190984588045	0.0684593007435741	0.0837578714977612	0.0758687811920264
"Metabolism|Amino acid metabolism"	0.0588898210655375	0.0596720731781664	0.0584694432773298	0.0595285463475762	0.0600123397343719	0.0603269865063626	0.0589765458789868	0.0615781194160264	0.0597563057324149	0.0586106491707881	0.0601825195778527	0.0596505704388033	0.0629766466130853	0.0600002802982438	0.0612587604026653	0.0629018731946893	0.0606472196487543	0.0614387196702098	0.0606380608310911	0.0598664843870804	0.0598910264362137	0.0594400748050983	0.0596189308837375	0.0599077800283203	0.0603552020333328	0.061381212420095	0.0631799916226783	0.0615854842464495	0.0625550059317285	0.0611052551222098	0.0607922581917896	0.0604421534520678	0.0632194225525312	0.0605407215176242	0.0607464022679007	0.0618750459813344	0.061033898955694	0.0602334264242869	0.0641386561304309	0.0640640875997927	0.0596750438360952	0.0615746511153779	0.0602576485947066	0.0596496976936103	0.0646828101677655	0.0658591588580542	0.061123136857769	0.0612274467140898	0.0615640299604512	0.0615638081638255	0.0614964749465678	0.0610476459320536	0.0612512906037793	0.0607547285690937	0.0626509228429179	0.0612625286741779	0.0626684384639496	0.0612888313486673	0.0599100366718551	0.0581814321093275	0.0598946570489286	0.0602250781144452	0.0589787295338885	0.0623269371075841	0.0566772341240824	0.05868666147169	0.0616120784136439	0.0590935107707824	0.0590823742581765	0.0580162227707207	0.0587005562198423	0.0589060964181314	0.0625431278825001	0.0590293216533815	0.0577979118279785	0.0607521976291517	0.0602322830188394	0.0579647060142046	0.061873291003572	0.0603649629118089	0.0614459287494394	0.0583293039469427	0.0645360316918139	0.0578175374825326	0.0613777814666158	0.0603307500794685	0.0618155781770588	0.0586870951481435	0.0606549273464758	0.061175801591238	0.0643689601324484	0.0609994021266895	0.0588874026709032	0.0605628770406802	0.062691113078945	0.0610360366152327	0.0606038253732664	0.0590171585143808	0.0572189001330783	0.0578583757357881	0.0586837866638106	0.0650151754070536	0.0642130368136828	0.062143865188547	0.0628387660773216	0.0609848947259622	0.059832565279841	0.0609973003273881	0.0587633524003103	0.0601078861357581	0.0544278972287467	0.0603436373464374	0.0579780740278375	0.0553025962924265	0.0596399685530374	0.0578771126729895	0.0598269924075468	0.0576888891085173
"Metabolism|Energy metabolism"	0.0472142403463717	0.0473800391687965	0.0472734556234636	0.0466182633862276	0.0470205882895849	0.0445023864459078	0.0464685914278467	0.0439215269780176	0.0459551918859317	0.0479068213376165	0.0440061287935541	0.0448846663044663	0.0402119833572773	0.0428242510730012	0.0429605270758701	0.0430112059792858	0.0406587716170024	0.0418747858227088	0.0451110709523158	0.0440038649777184	0.0444203924702876	0.0436313103506125	0.0451940069132633	0.0433536987387998	0.0437760661033882	0.0438043796275921	0.0400359728990197	0.0427820627656402	0.0418566540601534	0.0419367462674271	0.0444726965136135	0.0461844711303587	0.0402314986949787	0.0418971977252436	0.0418463012473254	0.0416649138618024	0.0418173134745897	0.0453184700756384	0.0421568663951052	0.0438922292439211	0.0440606380483954	0.042834574070055	0.0433444525450712	0.0464119478694732	0.041674987988792	0.0397052993924334	0.044582775653564	0.0412985390375679	0.0404774453903117	0.0396501106359625	0.0430140603660053	0.0413130794465432	0.0420158379835741	0.0419495155999235	0.0386448015910789	0.0438820224532655	0.0422259853810164	0.0409071379928409	0.0450522658460651	0.0454305442500906	0.0429477426760326	0.0422847072106211	0.0430558337410208	0.040630332392841	0.041267633584048	0.0404790720400516	0.0419010269184487	0.0421091392655793	0.0469339770609177	0.0420898544072194	0.0441899261422779	0.0434724381490189	0.0422424045495054	0.04315633169262	0.0478280296487762	0.0458509622607084	0.0447751002211021	0.0463572161175538	0.043505987592158	0.043075044815033	0.0428159443819671	0.0466860373593459	0.041018034417854	0.0471236156687863	0.0444623702031402	0.0441668742102664	0.0394634215771312	0.046724850950758	0.0426876720489787	0.037947859076699	0.0378785050760112	0.0406167770567468	0.0430930543440013	0.0458779182652193	0.0404290379032965	0.0415248586884075	0.0430818150179564	0.0404210911167158	0.0398600849434477	0.0391413758156283	0.0454681016912413	0.0402487284699409	0.0424599280496149	0.0416692952652938	0.0385515376796516	0.0467686542560382	0.0464904418985605	0.0460326805352584	0.0480139770758017	0.0430714854831593	0.041030188457657	0.0368698042767158	0.0367590231070038	0.0414691751089352	0.046600103734032	0.0422206930446179	0.0380244366541309	0.041727819510364
"Environmental Information Processing|Signal transduction"	0.0365492259621898	0.0338112968175935	0.0349822235647238	0.0340729982647922	0.0326050223332128	0.0367076317074192	0.0375140608727367	0.0373794957938701	0.0365251879403941	0.0339525179155843	0.0397575452359143	0.0380572607351431	0.0403641862784266	0.0423438726597236	0.0380771069708139	0.0368667078847052	0.0398238837284162	0.0387152892320505	0.0352867100006797	0.0375672089935849	0.0398973983001571	0.0418591622294996	0.0384832107688983	0.0383864121096871	0.0381696619376348	0.0376058685564519	0.0438960795411159	0.0382363246826665	0.0407344838682213	0.041023466346278	0.0381469058632014	0.03469595475609	0.0407788840437942	0.0426245644475951	0.0426444444133091	0.0382999195402205	0.0416634273042854	0.0348924756568989	0.0336034259511863	0.042588909384819	0.0406746817588191	0.0402172507780454	0.0357699910799143	0.0351185587858533	0.0359147388520824	0.0346809562387906	0.0355631498854665	0.0388651140676074	0.0398882651777004	0.0422099833672249	0.0361500615651196	0.0413282884742988	0.0399037203921891	0.0436488178155701	0.0431554221029235	0.0364649692164149	0.0385582346669763	0.0409698952673538	0.0386735697820002	0.0414244062921013	0.0401154570270848	0.0442999588216924	0.0399892073143288	0.039261471136382	0.0336552380437082	0.0446536890966184	0.0398242582024164	0.0425928977642335	0.0357925808474019	0.0420361013307324	0.0399320394422354	0.0421620782480676	0.03830828798529	0.0425627291586122	0.0356235551742906	0.037182800423477	0.0382301140226461	0.0369228518995097	0.0376894210134274	0.040000052951694	0.0411014925833522	0.0348594880232454	0.0351798220881411	0.0350591733325241	0.0333371853092461	0.0357105290074582	0.0414479058865213	0.0352414314460027	0.0419008005827267	0.0570700310985826	0.0548820703709792	0.0458151137606873	0.0403215988413267	0.0340285892581113	0.0362447708863659	0.0419442729903142	0.0405730169556409	0.0410612531036569	0.0442569116616161	0.0435091651006244	0.0359428450795119	0.0345216380121528	0.0361128523387404	0.0404701067261787	0.0442745588113802	0.0330819721326186	0.0325101306040374	0.0326607471842313	0.0320488684287163	0.038357036968003	0.042831818372705	0.0579903603256212	0.0619041689293107	0.0408746605767971	0.0343509181065858	0.0438906551802769	0.0363053471475733	0.0422751234463834
"Cellular Processes|Cellular community - prokaryotes"	0.033135776910626	0.0318213311304597	0.0333103058385221	0.0325587088695767	0.0315851940122678	0.0351420598331219	0.0343861749179158	0.0353222232880996	0.0343360341187285	0.031591934030068	0.0367907230021178	0.0353457256766086	0.0400254927856923	0.0390621438264249	0.0356840376772375	0.0345262757624365	0.0386523830294135	0.0371415951161852	0.033908896641889	0.0351619613791296	0.0365275993884467	0.0372918188640728	0.0347259564470692	0.0364664514555121	0.0356034600674967	0.0341957429200975	0.0392537196963071	0.0364923605821126	0.0375352822972362	0.0376546754653521	0.0355716118623852	0.0322278957246534	0.0394594517324603	0.0399199591127137	0.0393902049316209	0.0369520826989674	0.0397112493084359	0.0329654681975596	0.0338333617799172	0.0392618333701104	0.0371003500576317	0.0380972914485376	0.0354728145260753	0.0331198274728248	0.0343887267464364	0.0350113130456009	0.0344915107733625	0.0387724375505278	0.03855487665243	0.0406898229681182	0.0352097165721898	0.0383902215485005	0.0380184146587246	0.0405260019857108	0.0413925656053422	0.0357379428996276	0.0369325907586543	0.0414090497314756	0.0356281791151463	0.0363687482086007	0.0382171360959612	0.0402795686095203	0.0370722684262337	0.0390094342974892	0.0387182718856678	0.0422680970926779	0.0386452151709876	0.0408536801583157	0.0331391551241335	0.0396966514529257	0.0367899163822885	0.0377876397280296	0.0368377018613304	0.0396974321712393	0.0332513005185692	0.0340499261326185	0.0363488327173826	0.034450230309464	0.0359567011779874	0.0375298232058253	0.0375375580179941	0.0335329606297996	0.0355889987551687	0.0330894525248306	0.033436658626715	0.0355914608979092	0.0454658567732705	0.0329791596187175	0.0390642638345025	0.0472395755735261	0.0443694123831395	0.0421775632330226	0.0391540244570086	0.0334573685956053	0.0376003054352727	0.0403868959825262	0.037122172845939	0.0417387797727526	0.0421914399224842	0.0424341357875839	0.0350919409440294	0.0351545551455525	0.0355692771372205	0.0385592273692268	0.0433604974071038	0.0316400188099041	0.0318496944104231	0.0315827181925549	0.0308749173178911	0.0382232800519492	0.0397673901327521	0.04709927128165	0.0465488150189431	0.037883306076463	0.0301308050701549	0.0382571604896334	0.0368689118997478	0.0411155390228519
"Metabolism|Metabolism of cofactors and vitamins"	0.0388039069451232	0.0391220381110358	0.0390950594926656	0.0390688280572512	0.0394164813005435	0.0375086414986213	0.0379817985466659	0.0370422366705506	0.0379130086485847	0.0393160391764833	0.0366177720778269	0.0371878613814543	0.0352713868520944	0.0358839432642618	0.0372717166501333	0.0369904224931228	0.0350146876538899	0.0357281205902322	0.0376429355010073	0.037693776935532	0.0367590234156015	0.0363131710894441	0.0376957430132792	0.0372689885316535	0.0365195776669946	0.0379382963595231	0.0355700472446181	0.0363479394817559	0.0358948418497635	0.0363637587278197	0.0372923099830002	0.038530934941473	0.0353103321376492	0.0350063163474223	0.0354049473894346	0.0365105441311559	0.0357143878216	0.0384792661817165	0.0379951109258248	0.0364534990831169	0.0371873297245861	0.0366240809471544	0.0378821386749786	0.0386098906864069	0.0365531636263744	0.0376009670735146	0.0379062840129976	0.0374062075762446	0.0360452167246776	0.0359994154929814	0.0382381191428308	0.0360033984758482	0.0361769155839208	0.036237879145721	0.0334531700418133	0.0367234527946511	0.0364657218760389	0.0358343898035099	0.0371067091605851	0.0371102425498873	0.0357684873035412	0.0350925619827178	0.0368077610848452	0.0359076528244971	0.0387460489632449	0.0354226426465062	0.0359675297565405	0.0352115529725837	0.0383502863010069	0.0362622182922486	0.0372373998752118	0.036511962498516	0.0364274261791223	0.0357729327878099	0.0390460567466819	0.0377925516561518	0.0366537192589115	0.0381724245037652	0.0366148788089381	0.0358621546805879	0.036210836458049	0.038938707475109	0.0366356947199189	0.0396945073937407	0.0386799127450924	0.0374743497311143	0.0350169204550084	0.0390531782004752	0.0368880565630623	0.0306913403722004	0.0331191301858059	0.0337618798362741	0.0365434998317428	0.0380386685949434	0.0369647735072306	0.0354666981773127	0.0364810761756651	0.0359240693690062	0.035258276526129	0.0350607726840432	0.0384937796437423	0.0366562773697183	0.0378155686413046	0.0357624428532335	0.0338229008737589	0.0389369465553408	0.0395253259380184	0.0389831083409405	0.0400156886410892	0.0358461215987337	0.0360826605934439	0.030162300889791	0.0337176091355452	0.0359748987034389	0.0402943064702535	0.0362864006020032	0.0321633340685205	0.0359330998186131
"Metabolism|Nucleotide metabolism"	0.0304569248521693	0.030547243371056	0.0301606786714082	0.0301495579935654	0.0305816513754172	0.029268146959877	0.0302409921325996	0.0289448503233786	0.0300547778478694	0.0309041105313476	0.0288417874848212	0.029633882034433	0.0273452024887191	0.0279685872191046	0.0287341403613007	0.0288711365269735	0.027726399514858	0.0283641342787849	0.030140709573419	0.0294079924341987	0.0291633438793259	0.0283812386270216	0.0296451948273377	0.0289588094109558	0.0287615538602207	0.0294293552891783	0.027026012183303	0.0286774249513949	0.0280726964690436	0.0279690975336859	0.02926981516679	0.0298666043522937	0.0269297472412944	0.0276685981356536	0.0280134119038362	0.0279655445457995	0.0276904827435186	0.0296476659071815	0.0290215611648202	0.0270677273866393	0.0287326175597209	0.0285641761297566	0.028915070603668	0.0302675998697855	0.0283770944092392	0.0277490985447386	0.029412392205648	0.0280057559474248	0.0279215041613938	0.0270450240480229	0.029048266450601	0.0274825531683258	0.0283524901510803	0.0279909357437881	0.0269491553011874	0.0292969137024575	0.0278495763534764	0.0273172303518259	0.0293757996556388	0.0292655974533371	0.0283913959531145	0.028343986710176	0.0284729253205689	0.0278245837746879	0.0304476170220453	0.0263651046982709	0.0278918332716381	0.0277899638857603	0.0302671506431156	0.0274300256386338	0.0288659459330729	0.0285009189046468	0.028108089805706	0.0287340911430163	0.0312243571819474	0.0297090279201787	0.0294500960122502	0.0311434575756331	0.0289098194211969	0.0285648767470684	0.0285623694065663	0.0311876395737019	0.0280886373964352	0.0315820036284729	0.0300376307158305	0.0297014899321484	0.0250686915182057	0.0311908702298279	0.0281185496014363	0.0252672411397246	0.0246847728537323	0.0272961338125687	0.028306250685139	0.0301674781031152	0.0284143074437072	0.0281626883410135	0.0288925601988812	0.02677891670249	0.0260965660300865	0.0260744638911485	0.0308113129611655	0.0278894638020872	0.0285897419259921	0.0279956454653944	0.0267804906545882	0.0299915984419973	0.0307971603401567	0.0307094819550699	0.0317987508288714	0.0292905366722202	0.0274810906356494	0.0249496919143961	0.0248099193849311	0.0286217242792589	0.032342299944786	0.0280197404109486	0.027982034350735	0.027216538847498
"Genetic Information Processing|Translation"	0.0277609221467283	0.028547367742388	0.0273199930292914	0.02709999245125	0.0286117275795227	0.0257992994048985	0.0277194519995293	0.0255516761711714	0.027348774431836	0.0292094955832264	0.025352966855434	0.0258445292155087	0.0218620940927954	0.0236843331078024	0.0247037546321372	0.0248739663690453	0.0225061748754813	0.0239794834514809	0.0269101027479114	0.0257883114476269	0.0256880942888969	0.024565262532454	0.026458601871546	0.0253411552112717	0.0252802806252738	0.0254877381829788	0.0212947628369175	0.0246436604535789	0.0236015383877487	0.0233076744022091	0.0256080293351316	0.0273729243526692	0.021804057733711	0.0225960951114129	0.0231183699291063	0.0232085538400525	0.0226877232964409	0.0269681111606958	0.024874516778924	0.0182837816816883	0.0234472780460197	0.0242457515654428	0.0246372647507071	0.0276705172775439	0.0240153130520626	0.0222442167051621	0.0259014795886429	0.0224308761504411	0.0227203442177083	0.0203412755961979	0.0248873773200837	0.0220123183191203	0.0234573626843376	0.0220445751364861	0.0211207525955396	0.025918858191372	0.0230644985603722	0.0223629810391888	0.0261534684461371	0.0259575321154956	0.0235607552852422	0.0234308042817362	0.0227539099459621	0.0225801664364951	0.0237941613606183	0.0173379753572965	0.0230095392406308	0.02161675123263	0.027724614767579	0.0195888062414022	0.0238460434746104	0.0230071753798018	0.023663702666523	0.0236406122281377	0.0287375454814986	0.0266309269547382	0.0259822833276916	0.028284183743522	0.0248908668716518	0.0243184523412421	0.0244214462807217	0.0283260226834878	0.0237005299583497	0.0290078245008481	0.0269041358168547	0.0262739592084067	0.0173517522541921	0.0284999955318802	0.0236950157880428	0.0179232753740948	0.0188852923402259	0.0222090248842727	0.0226378888486155	0.0276943144964528	0.0241404074700452	0.0232880358797574	0.0246866613939228	0.0187047081438185	0.0162586495542246	0.0159963022396578	0.0275294097955212	0.0229876354843578	0.023852017202999	0.0238890744511862	0.0208988561055377	0.0280345774788197	0.0286163693894219	0.0282128339728835	0.0301628695614716	0.0252704758223131	0.0168102160045481	0.018251080784153	0.0180276840380477	0.0199923731985426	0.0286367528462917	0.0200017587080325	0.021323407894394	0.0189574493303535
