"ID"	"Function"
"fpt1"	"methanotrophy"
"fpt2"	"methanol_oxidation"
"fpt3"	"methylotrophy"
"fpt4"	"sulfate_respiration"
"fpt5"	"respiration_of_sulfur_compounds"
"fpt6"	"nitrate_denitrification"
"fpt7"	"nitrite_denitrification"
"fpt8"	"denitrification"
"fpt9"	"chitinolysis"
"fpt10"	"dark_hydrogen_oxidation"
"fpt11"	"nitrate_ammonification"
"fpt12"	"nitrite_ammonification"
"fpt13"	"nitrite_respiration"
"fpt14"	"cellulolysis"
"fpt15"	"xylanolysis"
"fpt16"	"dark_thiosulfate_oxidation"
"fpt17"	"dark_oxidation_of_sulfur_compounds"
"fpt18"	"manganese_oxidation"
"fpt19"	"ligninolysis"
"fpt20"	"fermentation"
"fpt21"	"aerobic_chemoheterotrophy"
"fpt22"	"invertebrate_parasites"
"fpt23"	"human_pathogens_septicemia"
"fpt24"	"human_pathogens_pneumonia"
"fpt25"	"human_pathogens_nosocomia"
"fpt26"	"human_pathogens_meningitis"
"fpt27"	"human_pathogens_gastroenteritis"
"fpt28"	"human_pathogens_diarrhea"
"fpt29"	"human_pathogens_all"
"fpt30"	"human_gut"
"fpt31"	"human_associated"
"fpt32"	"mammal_gut"
"fpt33"	"animal_parasites_or_symbionts"
"fpt34"	"plant_pathogen"
"fpt35"	"aromatic_hydrocarbon_degradation"
"fpt36"	"aromatic_compound_degradation"
"fpt37"	"aliphatic_non_methane_hydrocarbon_degradation"
"fpt38"	"hydrocarbon_degradation"
"fpt39"	"iron_respiration"
"fpt40"	"nitrate_respiration"
"fpt41"	"nitrate_reduction"
"fpt42"	"nitrogen_respiration"
"fpt43"	"fumarate_respiration"
"fpt44"	"plastic_degradation"
"fpt45"	"ureolysis"
"fpt46"	"reductive_acetogenesis"
"fpt47"	"chemoheterotrophy"
"fpt48"	"anaerobic_chemoheterotrophy"
