"ID"	"culi_1"	"warble_1"	"culi_2"	"warble_2"	"culi_3"	"warble_3"	"culi_4"	"warble_4"	"culi_6"	"warble_6"	"culi_7"	"warble_7"	"culi_8"	"warble_9"	"culi_10"	"warble_10"	"culi_11"	"culi_12"	"warble_12"	"warble_14"	"culi_15"	"warble_15"	"warble_20"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"warble_33"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"warble_42"	"culi_43"	"warble_43"	"warble_45"	"culi_46"	"culi_48"	"warble_49"	"culi_50"	"warble_50"	"culi_51"	"culi_52"	"warble_52"	"warble_53"	"culi_54"	"warble_54"	"culi_55"	"warble_57"	"culi_58"	"warble_58"	"culi_59"	"warble_60"	"culi_61"	"culi_62"	"warble_63"	"culi_64"	"culi_65"	"culi_68"	"warble_68"	"warble_69"	"warble_73"	"culi_74"	"culi_75"	"culi_77"	"warble_80"	"culi_81"	"culi_82"	"culi_83"	"warble_83"	"culi_84"	"warble_84"	"culi_85"	"warble_85"	"culi_86"	"culi_87"	"warble_87"	"culi_88"	"warble_88"	"culi_89"	"warble_89"	"culi_90"	"warble_90"	"culi_91"	"culi_92"	"culi_93"	"warble_93"	"warble_94"	"culi_95"	"warble_95"	"culi_96"	"warble_96"	"warble_97"	"culi_99"	"culi_100"	"warble_100"	"warble_101"	"culi_103"	"warble_103"	"warble_104"	"culi_105"	"culi_106"	"warble_106"	"culi_107"	"warble_107"	"culi_108"	"warble_108"	"culi_109"	"warble_109"	"warble_110"	"culi_111"	"warble_111"	"warble_112"	"culi_113"	"culi_114"	"warble_114"	"culi_115"	"culi_116"	"culi_117"	"warble_117"	"culi_118"	"warble_118"	"culi_119"	"warble_119"	"culi_120"	"warble_120"	"culi_121"	"warble_121"	"culi_122"	"warble_122"	"culi_123"	"warble_123"	"culi_125"	"warble_125"	"culi_126"	"warble_126"	"culi_127"	"warble_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"warble_135"	"culi_136"	"warble_136"	"culi_137"	"warble_137"	"culi_138"	"culi_139"	"warble_139"	"culi_140"	"warble_140"	"culi_141"	"warble_141"	"culi_142"	"culi_143"	"culi_144"	"warble_144"	"culi_145"	"warble_145"	"culi_146"	"culi_147"	"warble_147"	"culi_148"	"warble_148"	"warble_149"	"culi_150"	"warble_150"	"culi_151"	"warble_151"	"culi_152"	"warble_152"	"culi_153"	"warble_153"	"culi_154"	"warble_154"	"culi_156"	"culi_157"	"warble_157"	"warble_158"	"culi_159"	"warble_159"	"culi_161"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"culi_172"	"warble_173"	"culi_174"	"culi_177"	"culi_178"	"warble_178"	"warble_180"	"warble_181"	"culi_183"	"warble_185"	"culi_187"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"culi_192"	"warble_192"	"culi_196"	"warble_197"	"culi_199"	"culi_200"	"warble_200"	"culi_201"	"culi_202"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"	"culi_416"
"njc1"	0.11	0	0.02	0.49	0.09	0	0.02	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0	0	0	0	0	0.02	0	0	0.13	0	0	0	0.11	0	0	0	0	0.04	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.09	0	0.09	0.07	0	0	0	0.18	0.11	0.02	0.02	0.12	0	0.04	0	0.11	0	0.02	0.09	0.02	0.16	0.09	0.07	0	0	0	0.02	0	0.13	0.07	0	0.04	0.04	0.04	0	0.02	0	0.07	0	0.02	0	0.02	0.02	0.04	0.07	0.02	0	0	0.09	0	0	0.33	0.04	0.02	0.16	0.02	0.11	0	0.07	0	0.02	0.25	0	0	0.02	0	0	0.07	0.02	0.07	0	0.87	0.02	0.45	0	0.02	0	0	0	0	0.02	0	0.01	8.93	0.07	0.02	0	0.33	0	0	0	0	0.02	0.29	0.07	0	0	0	0.07	0	0.16	0.02	0	0.76	0	0.13	0.02	0	0.02	0	0	0	0.04	0	0	0	0.02	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	2.46	0.09	0.02	0.07	0	0.02	0	0	0	0	0.04	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0	0.45	0.02	0	0	0.7	0	0	0.09	0.04	0.02	0	0	0.33	0.02	0	0	0	0	0.25	0	0.02	0.02	0	0	0.13	0	0	0.22
"njc2"	0.13	0	0.02	0.93	0.16	0	0.04	0.02	0	0	0.02	0	0.01	0	0	0	0	0.02	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0.02	0	0	0.16	0	0	0	0.11	0	0	0.02	0	0.04	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.13	0	0.09	0.07	0	0	0	0.2	0.13	0.02	0.02	0.18	0	0.04	0	0.13	0	0.02	0.11	0.04	0.31	0.09	0.07	0	0	0	0.04	0	0.13	0.07	0	0.04	0.04	0.04	0	0.04	0	0.09	0	0.02	0	0.02	0.02	0.04	0.09	0.02	0.02	0.02	0.13	0	0.02	0.36	0.04	0.02	0.16	0.02	0.11	0	0.07	0	0.07	0.29	0	0	0.02	0.02	0	0.07	0.02	0.07	0.02	0.89	0.02	0.45	0	0.02	0.02	0	0.02	0	0.02	0	0.03	9.04	0.07	0.02	0	0.38	0	0	0	0	0.02	0.36	0.07	0	0	0	0.13	0	0.18	0.02	0	0.76	0	0.13	0.04	0.02	0.04	0	0	0	0.04	0	0	0	0.02	0	0	2.51	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	2.5	0.09	0.02	0.07	0	0.02	0	0	0	0	0.04	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0.02	0.56	0.02	0.05	0	1	0	0	0.09	0.04	0.02	0	0	0.33	0.02	0	0	0	0	0.27	0	0.02	0.02	0	0	0.13	0	0	0.27
"njc3"	0	0.36	0	0.09	0	0.51	0	0.62	0	0	0	0.16	0	0.24	0	0.25	0	0	0.16	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.07	0	0.02	0.89	0	0.19	0.02	0	0.07	0	0	0.04	0	0	0	0	0.02	0.29	0	0	0.09	0	0	0	0.2	0.11	0.02	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0.11	0	0	0	0	0	0.94	0.02	0	0	0	0.02	0.02	0	0	0.07	0.13	0	0	0.16	0	0	0	0	0.02	0	0.02	0	0	0.02	0	0	0.29	0	0	0	0	0	0	0.09	0	0.13	0	0.09	0	0	0	0	0	0.04	0	0.02	0	0	0	0	0.02	0.16	0	0	0	0	0	0.09	0	0	0	0.11	0	0	0	0	0.02	0.02	0.02	0	0.73	0	0	0	0.02	0	0	0.31	0	0	0.02	0	0.04	0	0.22	0	0.31	0	0.02	0	0	0	0	0.45	0.09	0	0.02	0	0	0	0	0.36	0	0.22	0	0	0	0	0.02	0.04	0	0	0	0	0.11	0.02	0.16	0.04	0.02	0.2	0.04	0.51	0.02	0.09	0.58	0.07	0	0.02	0.16	0.07	0.04	0.02	0.02	1.36	0.09	0.89	0.07	0	0	0.29	1.18	0	0	0	0.02	0.18	0	0.04	0	0.02	0.02	0.09	0.16	0.25	0.02	0	0	0.2	0.53	0.02	0.26	0.04	0	0	0.04	0.42	0
"njc4"	0	0.36	0	0.09	0	0.51	0	0.62	0	0	0	0.16	0	0.24	0	0.25	0	0	0.16	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.07	0	0.02	0.89	0	0.19	0.02	0	0.07	0	0	0.04	0	0	0	0	0.02	0.29	0	0	0.09	0	0	0	0.2	0.11	0.02	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0.11	0	0	0	0	0	0.94	0.02	0	0	0	0.02	0.02	0	0	0.07	0.13	0	0	0.16	0	0	0	0	0.02	0	0.02	0	0	0.02	0	0	0.29	0	0	0	0	0	0	0.09	0	0.13	0	0.09	0	0	0	0	0	0.04	0	0.02	0	0	0	0	0.02	0.16	0	0	0	0	0	0.09	0	0	0	0.11	0	0	0	0	0.02	0.02	0.02	0	0.73	0	0	0	0.02	0	0	0.31	0	0	0.02	0	0.04	0	0.22	0	0.31	0	0.02	0	0	0	0	0.45	0.09	0	0.02	0	0	0	0	0.36	0	0.22	0	0	0	0	0.02	0.04	0	0	0	0	0.11	0.02	0.16	0.04	0.02	0.2	0.04	0.51	0.02	0.09	0.58	0.07	0	0.02	0.16	0.07	0.04	0.02	0.02	1.36	0.09	0.89	0.07	0	0	0.29	1.18	0	0	0	0.02	0.18	0	0.04	0	0.02	0.02	0.09	0.16	0.25	0.02	0	0	0.2	0.53	0.02	0.26	0.04	0	0	0.04	0.42	0
"njc5"	0.11	0	0.02	0.62	0.09	0	0.02	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0.02	0	0	0.13	0	0	0.02	0.13	0	0	0	0	0.04	0.09	0	0	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0.02	0.04	0.09	0	0.13	0.07	0	0	0	0.2	0.13	0.02	0.02	0.28	0	0.04	0	0.13	0	0.02	0.09	0.02	0.51	0.11	0.07	0	0	0	0.02	0	0.13	0.07	0	0.09	0.04	0.04	0	0.02	0	0.07	0	0.04	0	0.02	0.02	0.04	0.09	0.02	0	0	0.22	0	0	0.38	0.04	0.02	0.18	0.02	0.11	0	0.07	0	0.11	0.27	0	0	0.02	0.02	0	0.07	0.02	0.07	0	1.1	0.02	0.45	0	0.02	0	0	0	0	0.02	0	0.01	8.95	0.07	0.02	0	0.33	0	0	0	0	0.02	0.29	0.07	0	0	0	0.07	0.02	0.16	0.02	0	0.76	0	0.13	0.02	0.02	0.02	0	0	0	0.04	0	0	0	0.02	0	0	0.47	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0.04	0	0	0	2.48	0.11	0.02	0.07	0	0.02	0	0	0	0	0.04	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0.04	0.52	0.04	0.02	0	0.86	0	0	0.09	0.07	0.04	0	0.04	0.33	0.09	0	0	0	0	0.54	0	0.05	0.04	0.02	0	0.13	0	0	0.25
"njc6"	0.13	0	0	0	0	0.11	0	0.04	0	0	0	0.07	0	0.07	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.04	0.09	0.02	0.04	0.02	0	0	0.02	0	0	0.04	0.01	0.02	0	0	0	0.04	0.02	0.02	0	0.02	0	0	0.02	0.04	0.02	0	0	0.02	0.02	0	0.04	0	0.02	0	0.02	0	0.02	0.02	0	0.04	0.02	0	0	0.02	0	0	0	0.02	0	0	0.02	0.04	0.07	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0.07	0	0.49	0	0.11	0	0	0	0	0.13	0	0.16	0.2	0.13	0	0.02	0	0.09	0	0	0.2	0	0	0.04	0	0.11	0	0.11	0	0.25	0	0.47	0	0	0	0	0.04	0.09	0	0.09	0	0	0	0	0.43	0	0.31	0	0	0	0.85	0.04	0.04	0	0.11	0	0.04	0.02	0.04	0.16	0.07	0	0.02	0.07	0	0	0.22	0	0	0.02	0	0.07	0	0	0.02	0	0	0.47	0	0	0.09	0	0	0.07	0	0.07	0	0	0	0.07	0	0	0.11	0	0.2	0.09	0.04	0.07	0.02	0	0	0	0	0	0	0	0	0	0.04	0
"njc7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0
"njc8"	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.04	0	0.02	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.04	0	0.11	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.22	0	0	0.02	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.02	0	0	0.13	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.07
"njc9"	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.04	0	0.02	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.04	0	0.11	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.22	0	0	0.02	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.02	0	0	0.13	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.07
"njc10"	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.04	0	0.02	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.04	0	0.11	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.22	0	0	0.02	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.02	0	0	0.13	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.07
