"ID"	"warble_1"	"warble_2"	"warble_3"	"warble_4"	"warble_6"	"warble_7"	"warble_9"	"warble_10"	"warble_12"	"warble_14"	"warble_15"	"warble_20"	"warble_33"	"warble_42"	"warble_43"	"warble_45"	"warble_49"	"warble_50"	"warble_52"	"warble_53"	"warble_54"	"warble_57"	"warble_58"	"warble_60"	"warble_63"	"warble_68"	"warble_69"	"warble_73"	"warble_80"	"warble_83"	"warble_84"	"warble_85"	"warble_87"	"warble_88"	"warble_89"	"warble_90"	"warble_93"	"warble_94"	"warble_95"	"warble_96"	"warble_97"	"warble_100"	"warble_101"	"warble_103"	"warble_104"	"warble_106"	"warble_107"	"warble_108"	"warble_109"	"warble_110"	"warble_111"	"warble_112"	"warble_114"	"warble_117"	"warble_118"	"warble_119"	"warble_120"	"warble_121"	"warble_122"	"warble_123"	"warble_125"	"warble_126"	"warble_127"	"warble_135"	"warble_136"	"warble_137"	"warble_139"	"warble_140"	"warble_141"	"warble_144"	"warble_145"	"warble_147"	"warble_148"	"warble_149"	"warble_150"	"warble_151"	"warble_152"	"warble_153"	"warble_154"	"warble_157"	"warble_158"	"warble_159"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"warble_173"	"warble_178"	"warble_180"	"warble_181"	"warble_185"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"warble_192"	"warble_197"	"warble_200"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"
"fpt1"	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt2"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.11	0.02	0.07	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.04	0	0	0	0.02	0	0	0	0.22	0	0	0.11	0	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.16	0
"fpt3"	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0.02	0.02	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0.02	0.11	0.02	0.07	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.04	0.02	0	0	0.02	0	0	0	0.22	0	0	0.11	0	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.16	0
"fpt4"	0	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0.16	0	0	0.11	0.02	0.09	0.02	0.02	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0	0.02	0	0	0	0	0	0.07	0.04	0.04	0.04	0.02	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0.22	0.01	0	0	0	0	0.02
"fpt5"	0	0.02	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0.16	0	0	0.11	0.02	0.09	0.02	0.02	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0	0.02	0	0	0	0	0	0.07	0.04	0.04	0.04	0.02	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0.22	0.01	0	0	0	0	0.02
"fpt6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0.22	0	0	0.11	0	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.16	0
"fpt7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0.22	0	0	0.11	0	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.16	0
"fpt8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0.22	0	0	0.11	0	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.16	0
"fpt9"	0.02	0.02	0.02	0	0	0.16	3.92	0.16	2.13	0.02	0	0	0	0.16	0.29	0.62	0.33	0.8	0	0.09	0.02	0	0.09	0.22	0.09	0.07	0.09	0	0.31	0.27	0.02	0	0.02	0	0.18	0.04	1.85	0.02	0.04	0.09	0.13	0.02	0.16	0	0.04	0.07	0.07	0.02	0.07	0.09	0.02	0.13	0.16	0.11	0.18	0.11	0.04	1.67	0.36	0.11	0	0.16	0.18	0.45	0.65	0.51	0	0	0.02	0.04	0.02	0	0.04	0.4	0.02	0.22	3.41	0.82	0	0.04	0.02	0	0	0.18	0.02	0	0	0.02	0.02	0.04	0.04	0	0	0.02	0	0.31	0.62	0	0.02	0	0.07	0.04	0.16	0.02	0.18	0.78	0.69	0.09	0.16	0.02	0.04	0.54	9.56	0.02	0.02	0.47	0.02	0.02	0.13	0	0	0	0	0	0.22	0.02	0.04	0	0	0.02	0.07	0.09	0.04	0.09	0.4	0	0	0.07
"fpt10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0.22	0	0	0.11	0	0.02	0	0	0	0	0.02	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.16	0
"fpt11"	0.04	0.73	0	0.02	0	0	0	0	0	0	0	0	0	0.27	0.16	0.07	0.02	0.01	0.02	0.02	0.02	0.02	0	0.04	0.07	0	0	0	0.02	0.09	0	0.93	0.33	0	0.02	0	0.33	0.04	0.04	0.04	0.2	0.18	0.04	0.07	0.02	0	0	0.02	0.07	0.02	0.04	0.04	0.11	0.02	0	0	0.07	1.36	0.04	0.02	0.04	0.05	6.3	0.02	0	0	0.04	0	0.07	0	0	0	0.07	0.11	0.11	0	0.09	0.07	0.76	0	0.02	0	0	2.66	0.04	0	0	0.02	0.38	0.02	0.04	0.02	0.04	0	0.02	4.04	0.89	0.92	0.4	0.02	0.02	0.09	0.13	0.04	0.78	0.07	0.07	0.02	0.16	0.09	0.58	0.69	0.02	1.84	0.04	38.67	0.13	0.02	0.02	2.88	0.02	0.02	0.16	0.02	0	0	0.02	0.02	0	1.29	0	0.09	0	0.07	0.02	0.04	0.04	0
"fpt12"	0.04	0.73	0	0.02	0	0	0	0	0	0	0	0	0	0.27	0.18	0.07	0.02	0.01	0.02	0.02	0.02	0.02	0	0.04	0.07	0	0	0	0.02	0.09	0	0.93	0.33	0	0.02	0	0.33	0.04	0.04	0.04	0.2	0.18	0.04	0.07	0.02	0	0	0.02	0.07	0.02	0.04	0.04	0.11	0.02	0	0	0.07	1.41	0.04	0.02	0.04	0.05	6.33	0.02	0	0	0.04	0	0.07	0	0	0	0.07	0.11	0.13	0	0.09	0.07	0.76	0	0.02	0	0	2.66	0.04	0	0	0.02	0.38	0.02	0.04	0.02	0.04	0	0.02	4.26	0.89	0.92	0.4	0.02	0.02	0.09	0.13	0.04	0.78	0.07	0.07	0.02	0.16	0.09	0.65	0.69	0.02	1.87	0.04	38.67	0.27	0.02	0.02	2.88	0.02	0.02	0.16	0.02	0	0	0.02	0.02	0	1.32	0	0.09	0	0.07	0.02	0.04	0.04	0
"fpt13"	0.04	0.73	0	0.02	0	0	0	0	0	0	0	0	0	0.27	0.18	0.07	0.02	0.01	0.02	0.04	0.02	0.02	0	0.04	0.07	0	0	0	0.02	0.09	0	0.93	0.33	0	0.02	0	0.33	0.04	0.04	0.04	0.2	0.18	0.04	0.07	0.02	0.04	0	0.02	0.07	0.02	0.04	0.04	0.11	0.02	0	0	0.07	1.41	0.04	0.02	0.09	0.11	6.33	0.02	0	0.02	0.04	0	0.07	0	0	0	0.07	0.11	0.13	0	0.09	0.07	0.76	0	0.02	0	0	2.66	0.04	0	0	0.02	0.38	0.02	0.04	0.02	0.04	0	0.02	4.26	0.89	0.92	0.4	0.02	0.02	0.09	0.18	0.04	0.78	0.07	0.09	0.02	0.16	0.09	0.87	0.69	0.02	1.98	0.04	38.69	0.27	0.02	0.02	2.88	0.04	0.07	0.16	0.02	0.02	0	0.02	0.02	0	1.32	0	0.09	0	0.07	0.02	0.04	0.2	0
"fpt14"	0.02	0	0.02	0	0	0	0.02	0.02	0.04	0.02	0.02	0	0	0	0	0.02	0	0.01	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0.02	0.02	0	0.02	0.02	0	0.02	0	0.04	0.02	0.02	0	0.02	0.02	0.02	0	0	0.02	0	0	0	0	0.02	0.04	0.02	0.02	0.05	0.02	1.16	0.18	0.09	0.02	0.02	0	0.02	0	0.02	0	0.04	0.07	0.07	0.04	0.09	0	0.04	0.04	0.04	0.02	0	0.02	0.04	0	0.16	0.02	0.07	0.07	0.02	0	0	0.02	0	0.04	0	0.02	0	0.02	0.02	0.02	0	0.04	0	0	0.07	0	0.02	0	0.02	0.04	0	0.04	0.02	0	0.09	0.02	0	0	0.02	0	0.02	0	0.04	0.02	0	0	0.04	0.02	0	0	0	0.02	0	0.04	0.02
