"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"njc1"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.06	0.01	0.07	0.01	0.1	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.77	0.13	0	0	0.04	0	0	0	0	0	0	0.22
"njc2"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.06	0.01	0.07	0.01	0.1	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.77	0.13	0	0	0.04	0	0	0	0	0	0	0.22
"njc3"	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0.03	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.77	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
"njc4"	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0.03	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.77	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
"njc5"	0.1	0.04	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0.13	0.01	0.28	0.04	0.16	0.01	0.09	0.09	0	0.09	0.01	0.03	0.06	0.04	0.09	0.01	0.23	0.39	0.04	0.17	0.1	0.06	0.13	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.78	0.13	0	0	0.04	0	0	0.01	0	0	0	0.25
"njc6"	0.13	0	0	0	0	0	0	0	0.01	0	0.04	0.09	0.01	0.03	0.01	0	0.01	0	0.03	0	0.04	0.01	0.01	0.03	0.01	0.03	0.01	0	0	0.01	0	0.04	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.01	0	0	0.21	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc7"	0.2	0.07	0.1	0.04	0.04	0.11	0.22	0.03	0.03	0.1	0.12	0.06	0.07	0.04	0.03	0.01	0.04	0.01	0.07	0.01	0	0.03	0.01	0.07	0	0.03	0.04	0.13	0.03	0.15	0.1	0.19	0.1	0.13	0.09	0.07	0.12	0.07	0.13	0.07	0.07	0.13	0.07	0.13	0.42	0.11	0.17	0.17	0.09	0.06	0.12	0.06	0.03	0.53	0.04	0.35	0.03	0.05	0.06	0.84	0.19	0	0.01	0.07	0.04	0.09	0.07	0.04	0	0	0.29
"njc8"	10.77	14.92	14.32	16.11	24.85	21.98	14.54	17.91	21.22	37.85	27.16	25.55	20.14	22.44	27.88	21.81	28.64	25.31	26.5	21.79	30.96	24.88	26.15	15.27	39.13	17.11	24.86	41.7	16.52	39.41	35.5	37.34	35.21	31.33	27.9	18.12	27.91	16.07	14.97	19	24.4	26.88	17.68	25.64	23.38	14.8	23.46	21.37	27.15	27.07	15.01	10.93	19.3	16.91	28.81	27.91	11.3	21.32	20.94	32.25	31.47	30.39	27.07	19.75	27.63	24	23.31	9.71	19.67	17.97	22.59
"njc9"	0.03	0.03	0.01	0	0.03	0.06	0.04	0	0	0.06	0.04	0.01	0.01	0	0.01	0.03	0.03	0.01	0.01	0	0	0.04	0	0.04	0	0	0.06	0.01	0	0.01	0.03	0.06	0.01	0	0.03	0.01	0	0.01	0	0.04	0	0	0	0.09	0.01	0.01	0.01	0	0.03	0	0.01	0	0.01	0.03	0	0.01	0.07	0.03	0	0.01	0.01	0	0.06	0.03	0	0	0.03	0	0	0	0
"njc10"	0.45	0.14	1.91	0.79	0	0.19	0.16	0.34	0.25	0.52	0.92	0.49	0.5	0.39	0.25	0.39	0.9	0.33	0.55	0.14	0.07	0.17	0.19	0.11	0.07	0.07	0.09	0.4	0.2	0.69	0.52	0.84	0.25	0.94	0.88	0.52	0.35	0.13	0.7	0.66	0.5	0.79	0.75	6.32	1.57	0.42	5.79	1.95	1.6	0.25	0.39	0.07	0.32	0.91	0.06	0.87	0.84	3.2	1	5.74	15.2	0.13	0.17	0.21	0.49	0.01	0.01	0	0.2	5.22	7.19
