"ID"	"W1"	"C1"	"W2"	"C2"	"C3"	"W4"	"C4"	"W6"	"C6"	"W7"	"C7"	"C8"	"W9"	"W10"	"C10"	"C29"	"C30"	"W33"	"C38"	"C39"	"W42"	"C42"	"W43"	"C43"	"C46"	"C48"	"C51"	"W52"	"C52"	"W54"	"C55"	"W57"	"C59"	"W60"	"C61"	"W63"	"C65"	"W68"	"C68"	"W73"	"C74"	"C75"	"C77"	"C82"	"W83"	"W84"	"W85"	"C86"	"W87"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"W93"	"W94"	"W95"	"C95"	"W96"	"W97"	"C99"	"W100"	"W101"	"C103"	"W104"	"C105"	"C106"	"W107"	"C107"	"W108"	"C108"	"W109"	"W111"	"C111"	"W112"	"C113"	"W114"	"C114"	"C116"	"C117"	"C118"	"C119"	"W120"	"C120"	"W121"	"C121"	"W122"	"W123"	"C123"	"C125"	"W126"	"W127"	"C128"	"C129"	"C137"	"W139"	"W140"	"C141"	"C142"	"C143"	"W144"	"C144"	"W150"	"C151"	"W152"	"C152"	"W153"	"W154"	"C154"	"C156"	"C157"	"C159"	"W164"	"W170"	"C174"	"C177"	"C178"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"C200"	"C201"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"	"C416"
"fpt1"	0.03	0.03	0.01	0.2	2.66	0	0.17	0	0	0.16	0	0.25	3.95	0.16	0.01	0.01	0	0	0.03	0	0.14	0.09	0.29	0.07	0	0	0.29	0.01	0.06	0.01	0.01	0	0.06	0.19	0	0.09	0	0.06	0.14	0	0	0	0.59	0.22	0.27	0.01	0	0	0.01	0	0.41	0.72	0.63	0.7	0.16	1.87	0.01	0.03	2.43	0.09	0.11	0	0	0.16	0	0.04	0	0.04	0.07	0.27	0.01	0.17	0.07	0.01	0.01	0.13	5.67	0.16	7.19	0.03	0.01	5.34	0.96	0.03	0.04	1.7	0.01	0.36	0.11	0	0	0.15	0.18	0	0.01	0	0	0	0.01	0	0	0.01	0	0.01	0	3.5	3.15	0.86	0.64	0	0	0	0	0	0	0	0	0	0.04	0.03	0	0	0.03	0.64	0.04	2.35	0	0.03	0.19	0	0.36	0.01	0	0	0	0	0	1.53
"fpt2"	0.04	0.4	0.73	0.07	0.32	0.01	0.26	0	0.09	0	0.34	0	0	0	0	0	0.09	0	0.04	0	0.24	0.19	0.19	0.1	0.07	0.09	0.77	0.01	0.11	0.01	0.09	0.03	0.01	0	0.01	0.06	0.2	0.01	0	0	0.01	0	13.1	0.07	0.09	0	0.95	0.22	0.33	0.01	0.44	0.03	0.33	0.07	0.27	0.36	0.04	0.01	0.24	0.04	0.19	0	0.14	0.04	0.22	0.01	0.03	0.01	0	0.22	0.03	0.03	0.07	0.06	0.14	0.04	0.49	0.1	2.08	0.04	0.09	0.61	0.04	0.06	1.18	1.41	0.16	0.03	0.01	0	0	0.05	6.58	0.04	0.03	0.06	0.04	0	0.23	0.06	0.01	0.01	0.01	0.1	1	0.1	1.46	0.06	1.22	0	0	0	0	0.04	0	0	0.07	0	0.01	0.03	0.03	0.08	0	0.91	0	0.42	0.03	0.03	0.79	1.93	41.88	0.06	2.89	0.03	0.14	0.03	0.06	2.16
"fpt3"	0.04	0.4	0.73	0.07	0.32	0.01	0.26	0	0.09	0	0.34	0	0	0	0	0	0.09	0	0.04	0	0.24	0.19	0.19	0.1	0.07	0.09	0.77	0.01	0.11	0.01	0.09	0.03	0.01	0	0.01	0.06	0.2	0.01	0	0	0.01	0	13.1	0.07	0.09	0	0.95	0.22	0.33	0.01	0.44	0.03	0.33	0.07	0.27	0.36	0.04	0.01	0.24	0.04	0.19	0	0.14	0.04	0.22	0.01	0.03	0.01	0	0.22	0.03	0.03	0.07	0.06	0.14	0.04	0.49	0.1	2.08	0.04	0.09	0.61	0.04	0.06	1.18	1.41	0.16	0.03	0.01	0	0	0.05	6.58	0.04	0.03	0.06	0.04	0	0.23	0.06	0.01	0.01	0.01	0.1	1	0.1	1.46	0.06	1.22	0	0	0	0	0.04	0	0	0.07	0	0.01	0.03	0.03	0.08	0	0.91	0	0.42	0.03	0.03	0.79	1.93	41.88	0.06	2.89	0.03	0.14	0.03	0.06	2.16
"fpt4"	0.04	0.4	0.73	0.07	0.32	0.01	0.26	0	0.09	0	0.34	0	0	0	0	0	0.09	0	0.04	0	0.24	0.19	0.19	0.1	0.07	0.09	0.77	0.01	0.11	0.01	0.09	0.03	0.01	0	0.01	0.06	0.2	0.01	0	0	0.01	0	13.1	0.07	0.09	0	0.95	0.22	0.33	0.01	0.44	0.03	0.33	0.07	0.27	0.36	0.04	0.01	0.24	0.04	0.19	0	0.14	0.04	0.22	0.01	0.03	0.01	0	0.22	0.03	0.03	0.07	0.06	0.14	0.04	0.49	0.1	2.08	0.04	0.09	0.61	0.04	0.06	1.18	1.41	0.16	0.03	0.01	0	0	0.05	6.58	0.04	0.03	0.06	0.04	0	0.23	0.06	0.01	0.01	0.01	0.1	1	0.1	1.46	0.06	1.22	0	0	0	0	0.04	0	0	0.07	0	0.01	0.03	0.03	0.08	0	0.91	0	0.42	0.03	0.03	0.79	1.93	41.88	0.06	2.89	0.03	0.14	0.03	0.06	2.16
"fpt5"	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0.01	0.01	0.03	0.01	0.01	0	0	0.03	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0	0.01	0	0.03	0	0	0	0	0.01	0.03	0	0	0	0.03	0	0.01	0.03	0	0	0.04	0.01	0	0.01	0	0.03	0.03	0.03	0.01	0.01	0	0.01	0.01	0.03	0	0	0.01	0	0.07	0.01	0.01	0	0	0.01	0.01	0	0.03	0	0	0.01	0.06	0.03	0.03	0.06	0	0.03	0.01	0	0.01	0.03	0.01	0.04	0.03	0	0	0.02	0.01	0	0.01	0	0.01	0.01	0	0.03	0.04	0.01	0.03	0.06	0.03	0.03	0	0.1	0.01	0	0.01	0.01	0.01	0.01	0.02	0	0	0	0.07	0.03	0.01	0	0	0	0	0	0	0	0.06	0	0.02	0.07	0	0	0.01	0.03	0	0.03
"fpt6"	0.46	0.04	0.92	0.01	0	1.03	0	0	0.01	0.72	0.01	0.06	0.5	0.98	0.01	0.09	0.03	0.03	0.09	0.07	0.04	0.07	0.13	0.07	0.03	0.06	0.14	0.09	0.03	0.06	0.17	0	0.03	0.66	0.01	0.14	0.07	0.29	0	0.06	0.04	0.01	0.03	0.03	0.03	0.01	0.06	0.03	0	0.04	0.04	0.09	0.13	0.06	0.14	2.55	0.09	0.03	0.12	0.1	0.1	0	0.16	0.13	0.07	0.22	0.01	0.13	0.01	0.03	0.04	0.13	0.03	0	0	0.36	0.06	0.11	0.7	0.09	0.03	0.06	0.09	0.03	0.2	0.39	0.01	0.14	0.09	0.03	0.03	0.06	0.16	0.04	0.13	0	0.01	0.41	0.01	0.69	2.3	0.12	0.03	0.25	0.04	1.08	0.07	5.44	0.81	0	0.01	0.01	0.1	0.03	28.04	0	0	0	2.44	1.3	1.4	2.73	0.1	0.23	0.04	0.68	0.03	0.1	0.1	0	0.03	0.27	0.06	0	0.04	0.31	0.13	0.06
"fpt7"	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.15	0.03	1.26	0	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.25	0.01	0	0	0	0	0.01	0
"fpt8"	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.15	0.03	1.26	0	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.25	0.01	0	0	0	0	0.01	0
"fpt9"	0.03	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0	0.01	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.04	0.03	1.3	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0.03	0	0.33	0.06	3.8	0.11	0	0.06	0	0	0	0	0
"fpt10"	15.13	17.27	19.05	10.85	16.76	16.74	7.85	5.84	11.63	23.79	17.93	21.19	17.71	19.73	17.21	11.51	18.87	14.47	15.35	17.46	17.04	17.52	12.33	20.42	21.99	20.46	22.74	10.94	19.8	11.31	16.51	7.78	10.9	18.65	11.22	9.58	13.86	18.58	15.27	8.96	10.46	6.65	34.39	17.03	18.25	6.62	22.82	11.8	10.4	7.93	22.3	19.76	21.75	14.7	22.58	36.39	10.38	5.09	26.58	10.99	10.74	14.14	10.53	10.43	25.85	11.12	11.95	17.62	9.41	13.76	10.32	22.36	13.49	12.53	17.32	9.89	29.16	19.95	54.88	22.52	12.42	40.03	18.42	6.58	30.82	41.61	16.44	9.2	11.65	8.17	10.21	15.31	39.58	15.58	19.53	4.37	17.77	16.74	20.87	23.02	29.58	18.38	17.86	15.85	30.62	20.6	50.79	37.16	17.81	12.55	8.06	8.44	19	15.1	52.96	3.57	2.73	2.11	22.22	26.95	23.22	17.16	14.43	17.13	3.05	15.65	15.01	14.38	17.83	66.3	88.59	18.51	22.82	10.43	10.81	16.06	15.65	39.62
