"Taxa"	"culi.1"	"culi.2"	"culi.3"	"culi.4"	"culi.6"	"culi.7"	"culi.8"	"culi.10"	"culi.11"	"culi.12"	"culi.15"	"culi.21"	"culi.25"	"culi.27"	"culi.28"	"culi.29"	"culi.30"	"culi.32"	"culi.36"	"culi.38"	"culi.39"	"culi.42"	"culi.43"	"culi.46"	"culi.48"	"culi.50"	"culi.51"	"culi.52"	"culi.54"	"culi.55"	"culi.58"	"culi.59"	"culi.61"	"culi.62"	"culi.64"	"culi.65"	"culi.68"	"culi.74"	"culi.75"	"culi.77"	"culi.81"	"culi.82"	"culi.83"	"culi.84"	"culi.85"	"culi.86"	"culi.87"	"culi.88"	"culi.89"	"culi.90"	"culi.91"	"culi.92"	"culi.93"	"culi.95"	"culi.96"	"culi.99"	"culi.100"	"culi.103"	"culi.105"	"culi.106"	"culi.107"	"culi.108"	"culi.109"	"culi.111"	"culi.113"	"culi.114"	"culi.115"	"culi.116"	"culi.117"	"culi.118"	"culi.119"	"culi.120"	"culi.121"	"culi.122"	"culi.123"	"culi.125"	"culi.126"	"culi.127"	"culi.128"	"culi.129"	"culi.133"	"culi.134"	"culi.135"	"culi.136"	"culi.137"	"culi.138"	"culi.139"	"culi.140"	"culi.141"	"culi.142"	"culi.143"	"culi.144"	"culi.145"	"culi.146"	"culi.147"	"culi.148"	"culi.150"	"culi.151"	"culi.152"	"culi.153"	"culi.154"	"culi.156"	"culi.157"	"culi.159"	"culi.161"	"culi.172"	"culi.174"	"culi.177"	"culi.178"	"culi.183"	"culi.187"	"culi.192"	"culi.196"	"culi.199"	"culi.200"	"culi.201"	"culi.202"	"culi.416"
"Acetate -- Production"	0.0517482517482517	0.0512311222218417	0.0540672921140877	0.0526144110643572	0.0506972660636626	0.0504925260039953	0.0518826696500367	0.0546817625458996	0.0545472431262604	0.0575390710983931	0.0530410686372033	0.0560837645926104	0.0552358384111939	0.0586736279445584	0.0544671061040408	0.0530380523731588	0.052793732225506	0.0522459885366239	0.0518600745737626	0.054858870967742	0.0534456740442656	0.0619971020747911	0.0622188905547226	0.0556143750374558	0.0613533241270467	0.0554152853096801	0.0600940084488606	0.0557735549578943	0.0537356381758659	0.054552937545015	0.0550546115160512	0.0545203761755486	0.0521982656814117	0.0543420577808911	0.0534354134440289	0.055834829443447	0.0545929564217787	0.0579501006341853	0.0516682756523004	0.0571600884540642	0.0531987414787625	0.0527120263241694	0.0543164241238852	0.0555085674905241	0.0508154052625158	0.0515384995307947	0.0591958570092786	0.0568979626997459	0.0544464888071144	0.0546964238643353	0.0533460745055212	0.0571094719929891	0.0551517391482896	0.0556955443564515	0.0516838351822504	0.0526744422791658	0.0538842345773039	0.0549689134511004	0.0570506683686133	0.065595363540569	0.0549759462122529	0.0586337258301428	0.0592273944504587	0.0546677537708928	0.0590301003344481	0.063883665538423	0.0540274813553632	0.0547598396586887	0.0584082662880581	0.064192439862543	0.0596939774539147	0.0578973230499712	0.053495078055086	0.0595539933156621	0.0583181765411555	0.060976290097629	0.056529012943559	0.0570779352913247	0.0551599897057562	0.0544219876416066	0.0608468924712312	0.0581140001909551	0.0516646526208865	0.053449445826736	0.0518061007670976	0.0547273999948151	0.0404814732638119	0.0531623083152643	0.0518060924408604	0.0510139128853324	0.0466494556066899	0.0565614528159118	0.054453749524172	0.0511223902464549	0.0515429543782193	0.0511376783648284	0.0543928972144983	0.0558808708797415	0.0664888550200039	0.0600760093501042	0.0529630789574416	0.0509875543672685	0.0564007421150278	0.0571978636194262	0.058696185863816	0.0496881686165612	0.051114944731966	0.0507268454038997	0.0518494761599316	0.0576711154646749	0.0410043031402255	0.04750907291323	0.0539532186352214	0.0576300926687504	0.0541992053705987	0.0562266365967438	0.0597940781479824	0.0640879895412948
"Succinate -- Production"	0.0463467566915842	0.0452039313722133	0.0488301119023398	0.0470691848517467	0.0437960675419074	0.0452572845629262	0.0462888508198441	0.0501223990208078	0.0488416703556146	0.0517279330838653	0.0465219553787125	0.0505074818469932	0.0480327992176334	0.0514326558518242	0.0462504793032301	0.0458009410801964	0.0444710868231751	0.0455518365822476	0.0451996698260894	0.0458467741935484	0.0473256203890007	0.0548756050189598	0.057276917097007	0.0476038274835694	0.0549558943719528	0.0470502996904297	0.0529541262569168	0.049578942727393	0.0486477469399671	0.0468155159995885	0.0485632629550037	0.0483510971786834	0.042683132570773	0.0484196225774268	0.0476003994439114	0.0468581687612208	0.046525237746891	0.0505829187711237	0.0413663594165333	0.0508945922401662	0.0486366019926587	0.0474471924424159	0.0473541603115075	0.0499953011934968	0.0413396234088414	0.0419197905862597	0.0525426167014313	0.0515570487143042	0.0496780128794848	0.0491023050112761	0.0476883873316345	0.0526363835536405	0.0484785019095725	0.0511759059275258	0.0467115689381933	0.0468281899886565	0.0475737134152976	0.0477055166288365	0.0523703152146935	0.0606340007024938	0.0500492667941807	0.0542512461171712	0.0541849467266822	0.0487566245413779	0.0548829431438127	0.0616522502193808	0.0476487374403491	0.0489697367495722	0.0550560025240574	0.0602886597938145	0.0550504909228229	0.0537953724870212	0.0478273839117033	0.0540509392647228	0.0544870554545103	0.0549511854951186	0.0523025446860967	0.0524316624838906	0.0512138629149867	0.0499485066941298	0.0567352771579713	0.0538175105820948	0.0465507276834971	0.0484053381587876	0.0465660676342421	0.0491276281336687	0.0279897936543155	0.0481987512735443	0.0443893687461853	0.0466945530599254	0.0438882029408463	0.0511296076099881	0.0495241720593833	0.0437967662602689	0.0458862214863871	0.0461241804859236	0.0503683106493	0.0500773227224549	0.0638005122668869	0.056402754146326	0.0490830636461704	0.0455272918981002	0.0514628228913943	0.0526849666708069	0.0544334590577365	0.0419948103974143	0.0410623389346794	0.0407816852367688	0.041372674791533	0.0509060854658994	0.0382303780362033	0.0442098317387001	0.0475352793350087	0.0390415090201239	0.0449650637073572	0.0493373289258241	0.0315917375455651	0.0603364974705849
"D-Glucose (Glucose) -- Consumption"	0.0480829515312274	0.0493133796787781	0.0460042952413248	0.0486022768046449	0.0499622271678543	0.0485407912562283	0.0482117260427228	0.0466340269277846	0.0471201613299887	0.0457406999779881	0.0494173653545545	0.0460143619368556	0.048653426615512	0.0462738516999192	0.0491171690981796	0.0473864566284779	0.05024256956449	0.0503785212532142	0.0481598497139442	0.0506048387096774	0.0498616700201207	0.0514227579615871	0.0518629574101838	0.051818853752572	0.0515739931798326	0.0494434320591916	0.0501973384105829	0.0500198403950443	0.0489813791521571	0.0480502109270501	0.0484303343155283	0.0467962382445141	0.0501231568647299	0.0497144919229871	0.0488731373969572	0.0486759425493716	0.0505799979099175	0.047620855960202	0.049671370194533	0.0486162299805669	0.0484530676455165	0.0492516717970491	0.0500816451039853	0.0483977069824265	0.0480499410305421	0.0476366869165803	0.049126087894699	0.0474508621556044	0.0485433915976694	0.0483408019213309	0.0500394369615338	0.0475060249762652	0.0489918278510123	0.0489960803135749	0.0498613312202853	0.0493586573979815	0.0482809269937983	0.0512977400572387	0.0502783391837748	0.0475939585528626	0.0497884425896945	0.051193142141636	0.0490570337872486	0.0489400733795353	0.0505351170568562	0.0448790272032093	0.0511258722812402	0.0484540190815538	0.0506783404322448	0.0436563573883162	0.0471621583820526	0.0493088640587946	0.0500149149845879	0.0497867926702777	0.050075461475949	0.0492608089260809	0.0507176190895483	0.0486332496778132	0.050070058048097	0.0484358908341916	0.0467320179507108	0.048025206072372	0.0500709294383439	0.0484958154263741	0.0500954370295675	0.0497498250071294	0.03831817173286	0.0485906110399959	0.0484768897848965	0.0414203873783759	0.0365697609159277	0.0509674629769755	0.0481347544727826	0.0519596044163047	0.0502322479764533	0.0497338989587351	0.0482950387823796	0.0443954058139737	0.0375097902245931	0.0445243055003419	0.0494658454257577	0.0503473856639867	0.0492935635792779	0.0496832691591107	0.0520900752114625	0.0504165338917467	0.0502204331991566	0.0500957520891365	0.0499251657045114	0.049069425737725	0.00800170703083325	0.0407043879907621	0.0411173400347961	0.0304874705269507	0.0520071242635978	0.0397911582069264	0.0559570250047964	0.0412095719888592
"Cellobiose -- Consumption"	0.0479864962623583	0.0492448888736687	0.0459289401303644	0.0486022768046449	0.0499622271678543	0.0484948680856927	0.0481767646750341	0.0466340269277846	0.0471201613299887	0.0457406999779881	0.0493107858462413	0.0458940105106912	0.048653426615512	0.0457144632979054	0.0486241714901309	0.0472841653027823	0.0488206100485139	0.0498613764670392	0.0475905843508952	0.0505040322580645	0.0496730382293763	0.0511452970373339	0.051418735076906	0.0511796080624863	0.0488966547360708	0.0489165038312073	0.0497213462644533	0.0497553017944535	0.0488771190858478	0.047967897931886	0.0483638699957906	0.0465705329153605	0.0500894152579546	0.0493748540618565	0.0487948150613852	0.0483168761220826	0.0505799979099175	0.0475449056317169	0.0496052474972559	0.0484487033438316	0.0483219716832722	0.049209213459293	0.0498842613361087	0.0482410800989882	0.0479889381430721	0.0475255593421248	0.049126087894699	0.0472929319033467	0.0482980680772769	0.0481797147292271	0.0499635966508919	0.0471043598919156	0.0486222331731757	0.0486361091112711	0.0498613312202853	0.0490968849073616	0.0482265259492982	0.051258265074509	0.0502074247420487	0.0471109940288022	0.0495276183852084	0.0511209034650486	0.048857614950715	0.0487973909498573	0.0504013377926421	0.0440767205716435	0.0507901489172921	0.0480789516866312	0.0504811484461272	0.0436013745704468	0.0470502671403395	0.0489243061935181	0.0496171820622452	0.0494698628558257	0.0499980650903603	0.0490934449093445	0.0506295676675178	0.0483280200773248	0.050070058048097	0.047985324407827	0.0465063805249831	0.0479615543744629	0.0500359025552111	0.0484505767925809	0.0500594230561458	0.0495683509190367	0.0382405147548259	0.0483032472112647	0.0484768897848965	0.0402382467945803	0.035559546525985	0.0509674629769755	0.0480966882375333	0.050023546648527	0.0501977557027226	0.0497030466640956	0.0482462559149227	0.0443606540286008	0.0374674541182448	0.0444766008873058	0.0492744545359641	0.0500649582948918	0.0491508491508491	0.0495590609862129	0.0520900752114625	0.0502572039877999	0.0502204331991566	0.0499869428969359	0.0499251657045114	0.0489163707603771	0.00149365197908887	0.0403744638733091	0.0400541271989175	0.0266217031309974	0.0516235100698726	0.0396984769378109	0.0438063567180406	0.0412095719888592
"Lactose -- Consumption"	0.0454786592717627	0.0487654532379028	0.045665197242003	0.0485370388492024	0.0497376319496907	0.0470023650432826	0.0472677691151278	0.0445226438188494	0.0464315577197383	0.0446401056570548	0.048866704561603	0.0454527219480884	0.0477695027458061	0.0454347690968985	0.048861540708821	0.0472841653027823	0.0496291752634807	0.0496602646057489	0.0481598497139442	0.05	0.048687961099933	0.0509294940962481	0.0515297906602254	0.0517189716134961	0.0512639855705549	0.0487628164313786	0.0496618472461871	0.0497553017944535	0.0486477469399671	0.0470830332338718	0.0475219886124466	0.0466708463949843	0.0495495495495495	0.0472733447961111	0.048618589806348	0.0482719928186715	0.0503082871773435	0.0469373030038355	0.0495523493394343	0.04801313408832	0.0477975878342947	0.048636025899586	0.0495612697159468	0.0476772233186104	0.0480499410305421	0.0474514742924878	0.0480112205998705	0.0469627141031716	0.0476540938362466	0.0479161175057845	0.0493568741657566	0.0447126268896516	0.048704365323806	0.0484161267098632	0.049148177496038	0.0488351124167418	0.0476281144597976	0.0509424652126715	0.0497464808708293	0.0462328767123287	0.0490349504434011	0.0499891641985119	0.0480314511993619	0.0483285772523441	0.0504682274247491	0.0429735489532406	0.0505263662741901	0.0473991420333342	0.0491796813377504	0.0428591065292096	0.0462110828274916	0.0487747559125772	0.0484040966491002	0.049585110061081	0.0491080066560891	0.0486471408647141	0.0479880250066038	0.0476497320762396	0.0486688970861571	0.0461830587023687	0.0464562388748214	0.0470386047547818	0.0497907143732815	0.0480434290884415	0.0500054020960133	0.0493350270914889	0.0280452629243399	0.0479636354136733	0.0477370669724601	0.0391015731563154	0.0323717588954989	0.0508323424494649	0.0474495622382946	0.050023546648527	0.0498988226637233	0.0492556883918241	0.0472462071320552	0.0426751924380115	0.036938252788891	0.0438723424555154	0.0494310470821589	0.0493118186439721	0.0489795918367347	0.0480064588249907	0.049367286361506	0.049551600127464	0.0498370711136669	0.0498563718662953	0.0496044472952748	0.0487939267784988	0.00387638251715922	0.0370752226987793	0.0397448289193892	0.0282118769534463	0.0519249212220852	0.0376285952608978	0.0420157319178871	0.0402432785767066
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0460573908849771	0.0487654532379028	0.0459289401303644	0.0486022768046449	0.0497784674439023	0.0471171729696218	0.0479320351012132	0.0445226438188494	0.0465791156362205	0.0450363196125908	0.0489555208185306	0.0451719019537048	0.0478259234183405	0.0458387718316862	0.0484050614421093	0.0472841653027823	0.0482350973066413	0.0491862152184219	0.0478467537642672	0.0501008064516129	0.048687961099933	0.0509294940962481	0.051613082347715	0.0510997023512256	0.0487839246963334	0.0484773969745538	0.0495031831974772	0.0496230324941581	0.0486477469399671	0.0472682374729911	0.0476327624786761	0.0467962382445141	0.0494820663359989	0.0470398437665839	0.0487948150613852	0.0478680430879713	0.0503082871773435	0.0468613526753503	0.0495259002605234	0.04801313408832	0.047745149449397	0.0485298800551958	0.0494715498214574	0.047896500955424	0.0479889381430721	0.0475502543586705	0.0480831475221175	0.0471062870597695	0.0475774302361239	0.0479746946665495	0.0493872102900134	0.0448404294164902	0.0485195679848877	0.0483161347092233	0.0492274167987322	0.0486315115907042	0.0479273202045479	0.0509819401954012	0.0498173953125554	0.0471988057604496	0.0489480090419057	0.0501577211105493	0.0484872656828671	0.0485120260905014	0.0504013377926421	0.0433747022690235	0.050310544111652	0.04789141798917	0.0492585581321975	0.0432439862542955	0.0467145934152004	0.0486892986091824	0.0481057969573432	0.0494122392531981	0.0494562903912387	0.0487587168758717	0.0483842564057409	0.0475479888760768	0.0487832775728461	0.0475669412976313	0.0464060972246597	0.0473250373953725	0.0497556874901487	0.0484053381587876	0.0500054020960133	0.0493350270914889	0.0379631684047038	0.0480681313513937	0.0484029075036529	0.0394198417750296	0.0344370860927152	0.0508863906604691	0.0479634564141606	0.0485060959656742	0.0498643303899927	0.0493482452757424	0.0476852529391678	0.0441173915309899	0.0374039499587223	0.0438405393801581	0.0494310470821589	0.0489352488185122	0.0488939631796775	0.0482341738086366	0.04961278371683	0.050052351254154	0.0500287521564117	0.0498563718662953	0.0498182595680992	0.0487939267784988	0.00462320850670365	0.0387248432860442	0.0407113860429152	0.0136261446509843	0.051376900945335	0.038524514195681	0.0276267826309395	0.0410106292275337
"Sucrose -- Consumption"	0.0463467566915842	0.0488681894455669	0.0459289401303644	0.0486022768046449	0.0498193029381138	0.0472090193106932	0.0479320351012132	0.0445226438188494	0.0467758595248635	0.0450363196125908	0.048902231064374	0.0454527219480884	0.0478259234183405	0.0454347690968985	0.0484963572954517	0.0472074468085106	0.0483466235431885	0.0491862152184219	0.0478467537642672	0.0501008064516129	0.048646042924212	0.0509294940962481	0.0515297906602254	0.0511796080624863	0.0489812022658738	0.0483676202603904	0.0495428492096547	0.049578942727393	0.0486894509664908	0.0470830332338718	0.0476327624786761	0.0467210031347963	0.0495158079427742	0.0471247532318665	0.0486577509741341	0.0479129263913824	0.0503500888285087	0.0470132533323207	0.0495259002605234	0.04801313408832	0.0479811221814368	0.048636025899586	0.049525381758151	0.0478338502020487	0.0480499410305421	0.0475502543586705	0.0480831475221175	0.0470919297641097	0.0476847592762956	0.0479746946665495	0.0494630506006553	0.044803914408822	0.0485606340602029	0.0482761379089673	0.0491877971473851	0.0487769407521596	0.0479273202045479	0.0509819401954012	0.0498883097542815	0.0467158412363891	0.0490349504434011	0.0501095619928243	0.0482308700358954	0.0485120260905014	0.0504013377926421	0.042472107308512	0.050430445313062	0.0479383014135353	0.0494557501183152	0.0432439862542955	0.0467145934152004	0.0487320272608798	0.0481455702495774	0.0494698628558257	0.0495723849696219	0.0487587168758717	0.0482521792726952	0.0475479888760768	0.0487260873295016	0.0475025746652935	0.0464060972246597	0.0473250373953725	0.0497556874901487	0.0484053381587876	0.0500054020960133	0.0493609519612164	0.0381406700687819	0.0480681313513937	0.0483474207927202	0.0388742384286624	0.0322146144348412	0.0508863906604691	0.048058622002284	0.0486107477369054	0.0498988226637233	0.0493945237177015	0.0474169471681546	0.044082639745617	0.0373192777460257	0.0439359486062302	0.0494310470821589	0.0490482197661501	0.0490366776081062	0.04804786154929	0.0494119222442922	0.0500978740838531	0.0500287521564117	0.0498998955431755	0.0498182595680992	0.0487939267784988	0.00131583626729258	0.036992741669416	0.0398414846317418	0.0247847781981686	0.0515139060145225	0.0375668077481541	0.0195689710302488	0.0410106292275337
"D-Xylose (Xylose) -- Consumption"	0.0463467566915842	0.0487654532379028	0.0459289401303644	0.0486022768046449	0.0497784674439023	0.0471171729696218	0.0479320351012132	0.0445226438188494	0.0465791156362205	0.0450363196125908	0.0489555208185306	0.0451719019537048	0.0478259234183405	0.0455590776306793	0.0484963572954517	0.0472074468085106	0.0482908604249149	0.0491862152184219	0.0475905843508952	0.0501411290322581	0.048729879275654	0.0510219810709992	0.0512799155977567	0.0510997023512256	0.0486430121466618	0.0482797988890597	0.049443684179211	0.049578942727393	0.0486060429134433	0.0473505504681552	0.0475884529321843	0.0465705329153605	0.0495158079427742	0.0470398437665839	0.0487948150613852	0.0479129263913824	0.0503500888285087	0.0469373030038355	0.0495259002605234	0.04801313408832	0.0479286837965391	0.0485298800551958	0.049525381758151	0.047896500955424	0.0479482695514254	0.0474761693090335	0.0481550744443645	0.0470488578771303	0.0475467647960749	0.0479746946665495	0.0493568741657566	0.0447126268896516	0.0484785019095725	0.0483161347092233	0.0492868462757528	0.0487187690875775	0.047981721249048	0.0509819401954012	0.0498173953125554	0.0468036529680365	0.0489480090419057	0.0503262780225867	0.0484872656828671	0.0484304932735426	0.0503010033444816	0.0433747022690235	0.050310544111652	0.04789141798917	0.0494557501183152	0.0432439862542955	0.0467145934152004	0.0486892986091824	0.0480461370189918	0.049268180246629	0.0494562903912387	0.0487587168758717	0.0483842564057409	0.0475479888760768	0.0487832775728461	0.0476313079299691	0.0462807430992554	0.0472613856974635	0.0497556874901487	0.0484053381587876	0.0500054020960133	0.0493350270914889	0.0379631684047038	0.0480681313513937	0.0484029075036529	0.0385559698099482	0.033853406667415	0.0508863906604691	0.0479634564141606	0.0485060959656742	0.0498643303899927	0.049317392981103	0.0476364700717108	0.044082639745617	0.037361613852374	0.043792834767122	0.0492396561923652	0.0488787633446932	0.0488939631796775	0.0481099656357388	0.04961278371683	0.050052351254154	0.0500287521564117	0.0498563718662953	0.0498182595680992	0.0487939267784988	0.00444539279490736	0.0391372484328604	0.0398414846317418	0.0134342271206887	0.05132209891766	0.038524514195681	0.0172027882586174	0.0410106292275337
"Raffinose -- Consumption"	0.0462503014227152	0.0487654532379028	0.0459289401303644	0.0486022768046449	0.0497784674439023	0.0471171729696218	0.0478970737335245	0.0445226438188494	0.0465791156362205	0.0450363196125908	0.048866704561603	0.0450916676695952	0.0478259234183405	0.0449996892286655	0.0484598389541147	0.0471563011456629	0.0482629788657781	0.0491143895536753	0.0475905843508952	0.0500604838709678	0.0485831656606305	0.0508678361130808	0.0511688600144372	0.0510997023512256	0.0485866471267931	0.0481700221748963	0.049225521112235	0.0495128080772453	0.0486060429134433	0.0470418767362898	0.0475219886124466	0.0465705329153605	0.0495158079427742	0.0469337069349806	0.0486577509741341	0.0478231597845601	0.0503500888285087	0.0468613526753503	0.0494862266421572	0.0479461234336259	0.0478500262191925	0.0485298800551958	0.049525381758151	0.0478338502020487	0.0479482695514254	0.0474761693090335	0.0480831475221175	0.0469770713988313	0.0474701011959522	0.047886828925402	0.0493568741657566	0.0445117943474768	0.0484374358342574	0.0481361491080714	0.0491877971473851	0.0487187690875775	0.0479273202045479	0.0509819401954012	0.0498173953125554	0.0463206884439761	0.0488900481075755	0.0501095619928243	0.0481454048202382	0.0484304932735426	0.0503010033444816	0.0421963144039113	0.050262583631088	0.047821092852622	0.0493374349266446	0.0431615120274914	0.0466027021734873	0.0484970196765441	0.0480461370189918	0.0491529330413737	0.0493788940056499	0.0487587168758717	0.0482521792726952	0.0472427592755884	0.0486688970861571	0.047341658084449	0.0462807430992554	0.0472613856974635	0.0497556874901487	0.0484053381587876	0.0500054020960133	0.0493350270914889	0.0379631684047038	0.0480681313513937	0.0484029075036529	0.0376466308993362	0.03300033673813	0.0508863906604691	0.0479634564141606	0.0485060959656742	0.0498643303899927	0.0492865406864636	0.0473681643006976	0.044047887960244	0.037213437480155	0.043792834767122	0.0492396561923652	0.0488787633446932	0.0488939631796775	0.0479236533763922	0.0494119222442922	0.050052351254154	0.0500287521564117	0.0498563718662953	0.0498182595680992	0.0487939267784988	0.000426757708311107	0.036992741669416	0.0393195437850377	0.0258540330098152	0.0515687080421976	0.0393586456177206	0.0195689710302488	0.0410106292275337
"Maltose -- Consumption"	0.0464914395948878	0.0487654532379028	0.0455898421310426	0.0485370388492024	0.0498193029381138	0.0471630961401575	0.0478970737335245	0.0445226438188494	0.0467758595248635	0.0450363196125908	0.048902231064374	0.0454527219480884	0.0477695027458061	0.0450929206290012	0.0484598389541147	0.0471563011456629	0.0482629788657781	0.0491862152184219	0.0475905843508952	0.0501814516129033	0.0487717974513749	0.0508678361130808	0.051224387806097	0.0511396552068559	0.0486430121466618	0.048323709574725	0.0492651871244125	0.0495128080772453	0.0486477469399671	0.0470830332338718	0.0476327624786761	0.0464952978056426	0.0496001619597125	0.0470822984992252	0.0486577509741341	0.0479578096947935	0.050391890479674	0.0471271788250484	0.0494862266421572	0.04801313408832	0.0477975878342947	0.0486784842373421	0.0493638859480701	0.047896500955424	0.0479889381430721	0.0473403467180323	0.0480112205998705	0.046862213033553	0.0474394357559031	0.0478428960548282	0.0493872102900134	0.0443474768129701	0.0483963697589422	0.0480961523078154	0.0492868462757528	0.0487769407521596	0.0475737134152976	0.0508832527385769	0.0498173953125554	0.0462328767123287	0.0488320871732452	0.0500373233162369	0.0480884280098	0.0482878108438647	0.0503010033444816	0.0421963144039113	0.050382484832498	0.0470943997749596	0.0492585581321975	0.0428041237113402	0.0462950012587764	0.048432926698998	0.0480461370189918	0.049268180246629	0.0493788940056499	0.0487587168758717	0.0481641278506648	0.0475479888760768	0.0486688970861571	0.0459899588053553	0.0462807430992554	0.0471659081505999	0.0497556874901487	0.0484053381587876	0.0500054020960133	0.0493350270914889	0.0279676059463058	0.0480158833825335	0.0477370669724601	0.0388742384286624	0.0316758334268717	0.0508863906604691	0.0474876284735439	0.0486107477369054	0.0498988226637233	0.0492556883918241	0.0473193814332407	0.0427099442233845	0.0369805888952393	0.0439041455308728	0.0492396561923652	0.0490105627836041	0.0488939631796775	0.0479236533763922	0.0494119222442922	0.0500978740838531	0.0500287521564117	0.0498998955431755	0.0498182595680992	0.0487939267784988	0.0013869625520111	0.0370752226987793	0.0387782717958632	0.0247847781981686	0.0515687080421976	0.0375668077481541	0.0299929654025709	0.0403569601546069
