"Taxa"	"W1"	"C1"	"W2"	"C2"	"C3"	"W4"	"C4"	"W6"	"C6"	"W7"	"C7"	"C8"	"W9"	"W10"	"C10"	"C29"	"C30"	"W33"	"C38"	"C39"	"W42"	"C42"	"W43"	"C43"	"C46"	"C48"	"C51"	"W52"	"C52"	"W54"	"C55"	"W57"	"C59"	"W60"	"C61"	"W63"	"C65"	"W68"	"C68"	"W73"	"C74"	"C75"	"C77"	"C82"	"W83"	"W84"	"W85"	"C86"	"W87"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"W93"	"W94"	"W95"	"C95"	"W96"	"W97"	"C99"	"W100"	"W101"	"C103"	"W104"	"C105"	"C106"	"W107"	"C107"	"W108"	"C108"	"W109"	"W111"	"C111"	"W112"	"C113"	"W114"	"C114"	"C116"	"C117"	"C118"	"C119"	"W120"	"C120"	"W121"	"C121"	"W122"	"W123"	"C123"	"C125"	"W126"	"W127"	"C128"	"C129"	"C137"	"W139"	"W140"	"C141"	"C142"	"C143"	"W144"	"C144"	"W150"	"C151"	"W152"	"C152"	"W153"	"W154"	"C154"	"C156"	"C157"	"C159"	"W164"	"W170"	"C174"	"C177"	"C178"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"C200"	"C201"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"	"C416"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.576142857142857	0.380714285714286	0.562285714285714	0.510857142857143	0.298714285714286	0.534142857142857	0.549285714285714	0.819142857142857	0.593571428571429	0.523428571428571	0.526571428571429	0.423428571428571	0.559714285714286	0.468714285714286	0.475571428571429	0.610428571428571	0.653714285714286	0.592	0.498285714285714	0.515	0.406428571428571	0.346142857142857	0.655714285714286	0.37	0.475	0.376714285714286	0.448285714285714	0.626857142857143	0.522857142857143	0.685	0.510571428571429	0.747	0.600428571428571	0.454	0.629571428571429	0.707142857142857	0.514	0.431142857142857	0.572142857142857	0.649714285714286	0.423571428571429	0.681571428571429	0.347285714285714	0.533142857142857	0.431714285714286	0.682142857142857	0.366714285714286	0.647857142857143	0.580428571428571	0.423142857142857	0.423285714285714	0.518714285714286	0.517714285714286	0.555428571428571	0.403714285714286	0.284571428571429	0.622285714285714	0.792428571428571	0.438142857142857	0.603285714285714	0.59	0.57	0.648857142857143	0.565	0.455	0.701714285714286	0.474428571428571	0.269142857142857	0.574142857142857	0.499428571428571	0.665714285714286	0.421142857142857	0.507428571428571	0.515142857142857	0.557857142857143	0.523857142857143	0.252	0.364428571428571	0.198	0.451	0.405285714285714	0.274857142857143	0.353857142857143	0.626714285714286	0.413571428571429	0.256571428571429	0.580142857142857	0.645428571428571	0.460857142857143	0.248285714285714	0.428714285714286	0.316142857142857	0.333571428571429	0.578	0.517571428571429	0.732	0.626714285714286	0.434	0.543428571428571	0.425285714285714	0.346142857142857	0.548857142857143	0.499428571428571	0.540857142857143	0.320714285714286	0.354571428571429	0.258428571428571	0.253142857142857	0.495285714285714	0.605142857142857	0.808285714285714	0.520571428571429	0.462571428571429	0.484571428571429	0.0835714285714286	0.567714285714286	0.661571428571429	0.538428571428571	0.495428571428571	0.415428571428571	0.534	0.360285714285714	0.676714285714286	0.571	0.586	0.333142857142857	0.657142857142857	0.550857142857143	0.523428571428571	0.0957142857142857	0.0374285714285714	0.566142857142857	0.547	0.765285714285714	0.702857142857143	0.500285714285714	0.576857142857143	0.257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.186142857142857	0.252428571428571	0.256	0.182428571428571	0.220571428571429	0.276714285714286	0.225285714285714	0.0854285714285714	0.156571428571429	0.175	0.242	0.221428571428571	0.194	0.226	0.353142857142857	0.227857142857143	0.123	0.181285714285714	0.296428571428571	0.229571428571429	0.320571428571429	0.429142857142857	0.141	0.368714285714286	0.300285714285714	0.383571428571429	0.371857142857143	0.196428571428571	0.251714285714286	0.136714285714286	0.294285714285714	0.125571428571429	0.205285714285714	0.264428571428571	0.136285714285714	0.122285714285714	0.301285714285714	0.219857142857143	0.206857142857143	0.184428571428571	0.383142857142857	0.227857142857143	0.254571428571429	0.218857142857143	0.311714285714286	0.147857142857143	0.424	0.273285714285714	0.291571428571429	0.399428571428571	0.376714285714286	0.287428571428571	0.292428571428571	0.258714285714286	0.387714285714286	0.334285714285714	0.246571428571429	0.138571428571429	0.262714285714286	0.262142857142857	0.265285714285714	0.203142857142857	0.224428571428571	0.276	0.193571428571429	0.101857142857143	0.262	0.359571428571429	0.178285714285714	0.236142857142857	0.219428571428571	0.304	0.266	0.273428571428571	0.254714285714286	0.263857142857143	0.260142857142857	0.335	0.242285714285714	0.262	0.278285714285714	0.262	0.329857142857143	0.226	0.281142857142857	0.271714285714286	0.206571428571429	0.189714285714286	0.218	0.359857142857143	0.354428571428571	0.153285714285714	0.0727142857142857	0.225142857142857	0.223285714285714	0.123857142857143	0.213285714285714	0.318428571428571	0.135142857142857	0.225142857142857	0.306285714285714	0.193857142857143	0.263142857142857	0.155714285714286	0.234857142857143	0.169	0.175285714285714	0.213428571428571	0.259857142857143	0.172571428571429	0.0905714285714286	0.360428571428571	0.348142857142857	0.310428571428571	0.393	0.254428571428571	0.172714285714286	0.195714285714286	0.190428571428571	0.216428571428571	0.231714285714286	0.284285714285714	0.153142857142857	0.158714285714286	0.267714285714286	0.429285714285714	0.158142857142857	0.284428571428571	0.217571428571429	0.0311428571428571	0.00985714285714286	0.149857142857143	0.109714285714286	0.0725714285714286	0.143571428571429	0.280285714285714	0.233	0.208714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.133	0.136571428571429	0.0952857142857143	0.116857142857143	0.0941428571428571	0.105	0.0537142857142857	0.0458571428571429	0.112142857142857	0.239	0.114857142857143	0.144857142857143	0.183285714285714	0.210285714285714	0.0881428571428571	0.0915714285714286	0.130714285714286	0.100285714285714	0.0725714285714286	0.140714285714286	0.112285714285714	0.125285714285714	0.103857142857143	0.128714285714286	0.128714285714286	0.119	0.102	0.0821428571428571	0.150428571428571	0.103285714285714	0.113714285714286	0.0522857142857143	0.073	0.128857142857143	0.171285714285714	0.074	0.107	0.153571428571429	0.143	0.0638571428571429	0.077	0.0442857142857143	0.0967142857142857	0.128	0.127428571428571	0.0761428571428571	0.126	0.0447142857142857	0.0588571428571429	0.0738571428571429	0.0777142857142857	0.125714285714286	0.109571428571429	0.0905714285714286	0.108714285714286	0.182285714285714	0.0522857142857143	0.0374285714285714	0.154428571428571	0.0715714285714286	0.055	0.097	0.0617142857142857	0.0667142857142857	0.22	0.119	0.121	0.158571428571429	0.0738571428571429	0.151857142857143	0.0488571428571429	0.170285714285714	0.125571428571429	0.085	0.120142857142857	0.0898571428571429	0.267285714285714	0.142714285714286	0.227714285714286	0.167428571428571	0.086	0.198	0.126714285714286	0.0404285714285714	0.126857142857143	0.195857142857143	0.107142857142857	0.0908571428571429	0.109714285714286	0.0764285714285714	0.0748571428571429	0.158285714285714	0.0588571428571429	0.105571428571429	0.149857142857143	0.0412857142857143	0.109	0.163714285714286	0.128	0.284857142857143	0.188571428571429	0.192714285714286	0.174428571428571	0.184857142857143	0.176714285714286	0.362285714285714	0.142571428571429	0.473142857142857	0.088	0.0745714285714286	0.044	0.0495714285714286	0.092	0.082	0.441857142857143	0.0307142857142857	0.0148571428571429	0.0165714285714286	0.232142857142857	0.245714285714286	0.195285714285714	0.094	0.115428571428571	0.161428571428571	0.00385714285714286	0.0365714285714286	0.115857142857143	0.0977142857142857	0.166428571428571	0.0165714285714286	0.0248571428571429	0.193142857142857	0.158	0.0904285714285714	0.0967142857142857	0.149	0.0641428571428571	0.180571428571429
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.0791428571428571	0.203	0.0415714285714286	0.175428571428571	0.318285714285714	0.0665714285714286	0.143714285714286	0.0385714285714286	0.130428571428571	0.0417142857142857	0.0874285714285714	0.189428571428571	0.0494285714285714	0.066	0.0584285714285714	0.0484285714285714	0.0492857142857143	0.0961428571428571	0.0995714285714286	0.0954285714285714	0.129714285714286	0.082	0.0715714285714286	0.112142857142857	0.0761428571428571	0.0831428571428571	0.0378571428571429	0.0822857142857143	0.059	0.0625714285714286	0.0584285714285714	0.0554285714285714	0.108142857142857	0.119142857142857	0.0441428571428571	0.0744285714285714	0.0561428571428571	0.185142857142857	0.0678571428571429	0.0721428571428571	0.105142857142857	0.0387142857142857	0.0577142857142857	0.0934285714285714	0.109428571428571	0.0857142857142857	0.0457142857142857	0.0191428571428571	0.0372857142857143	0.0791428571428571	0.055	0.0411428571428571	0.036	0.0695714285714286	0.0495714285714286	0.0477142857142857	0.0395714285714286	0.0201428571428571	0.0818571428571429	0.0425714285714286	0.047	0.111571428571429	0.0412857142857143	0.067	0.0752857142857143	0.066	0.133142857142857	0.190285714285714	0.162	0.0845714285714286	0.0525714285714286	0.08	0.089	0.0938571428571429	0.044	0.108571428571429	0.053	0.140571428571429	0.0771428571428571	0.0778571428571429	0.206142857142857	0.100714285714286	0.124428571428571	0.095	0.110285714285714	0.089	0.0727142857142857	0.0591428571428571	0.195714285714286	0.294428571428571	0.131857142857143	0.0731428571428571	0.0714285714285714	0.0741428571428571	0.0854285714285714	0.0988571428571429	0.0321428571428571	0.039	0.136714285714286	0.0268571428571429	0.0495714285714286	0.0467142857142857	0.0567142857142857	0.0837142857142857	0.0831428571428571	0.0925714285714286	0.0875714285714286	0.0322857142857143	0.0722857142857143	0.136428571428571	0.0338571428571429	0.044	0.06	0.0755714285714286	0.048	0.136428571428571	0.137571428571429	0.238857142857143	0.0524285714285714	0.0645714285714286	0.0201428571428571	0.0408571428571429	0.0272857142857143	0.067	0.121285714285714	0.0787142857142857	0.0522857142857143	0.0354285714285714	0.0567142857142857	0.0104285714285714	0.0105714285714286	0.0677142857142857	0.028	0.0525714285714286	0.0348571428571429	0.0327142857142857	0.0395714285714286	0.113857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0158571428571429	0.0172857142857143	0.0311428571428571	0.00614285714285714	0.064	0.00371428571428571	0.023	0.00414285714285714	0.00271428571428571	0.00185714285714286	0.01	0.00957142857142857	0.00385714285714286	0.00457142857142857	0.00414285714285714	0.0111428571428571	0.0101428571428571	0.00271428571428571	0.0152857142857143	0.00371428571428571	0.0118571428571429	0.00771428571428571	0.0185714285714286	0.0107142857142857	0.0112857142857143	0.0155714285714286	0.0224285714285714	0.00628571428571429	0.00557142857142857	0.00528571428571429	0.00514285714285714	0.00771428571428571	0.00371428571428571	0.0251428571428571	0.00228571428571429	0.00514285714285714	0.00771428571428571	0.00385714285714286	0.00228571428571429	0.00171428571428571	0.00257142857142857	0.001	0.236142857142857	0.0168571428571429	0.00842857142857143	0.00314285714285714	0.0287142857142857	0.009	0.0167142857142857	0.004	0.05	0.00771428571428571	0.0354285714285714	0.009	0.02	0.0955714285714286	0.0238571428571429	0.00157142857142857	0.0528571428571429	0.00457142857142857	0.0301428571428571	0.00614285714285714	0.00928571428571429	0.008	0.041	0.004	0.00457142857142857	0.01	0.00128571428571429	0.0171428571428571	0.00128571428571429	0.0114285714285714	0.00157142857142857	0.0197142857142857	0.00957142857142857	0.00628571428571429	0.159285714285714	0.00742857142857143	0.230714285714286	0.0354285714285714	0.0107142857142857	0.154142857142857	0.049	0.006	0.0572857142857143	0.171857142857143	0.0125714285714286	0.001	0.00957142857142857	0.0122857142857143	0.00285714285714286	0.210285714285714	0.389	0.00671428571428571	0.0124285714285714	0.00128571428571429	0.0128571428571429	0.0241428571428571	0.0485714285714286	0.0207142857142857	0.0571428571428571	0.00485714285714286	0.00342857142857143	0.00928571428571429	0.17	0.00628571428571429	0.328142857142857	0.00442857142857143	0.0691428571428571	0.00242857142857143	0.007	0.016	0.014	0.0341428571428571	0.0162857142857143	0.00185714285714286	0.00271428571428571	0.00242857142857143	0.006	0.004	0.007	0.193285714285714	0.00771428571428571	0.0278571428571429	0.00842857142857143	0.103	0.00485714285714286	0.0172857142857143	0.0228571428571429	0.762857142857143	0.895714285714286	0.0131428571428571	0.105285714285714	0.00414285714285714	0.0142857142857143	0.0211428571428571	0.0371428571428571	0.231285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00228571428571429	0.00414285714285714	0.00228571428571429	0.003	0.003	0.0102857142857143	0.00314285714285714	0.00157142857142857	0.00142857142857143	0.003	0.00314285714285714	0.00428571428571429	0.00228571428571429	0.00685714285714286	0.00514285714285714	0.00485714285714286	0.0138571428571429	0.0151428571428571	0.00914285714285714	0.00571428571428571	0.00457142857142857	0.00528571428571429	0.001	0.005	0.00214285714285714	0.00371428571428571	0.00942857142857143	0.00157142857142857	0.00471428571428571	0.00185714285714286	0.00971428571428571	0.00142857142857143	0.00314285714285714	0.00242857142857143	0.00714285714285714	0.00128571428571429	0.00585714285714286	0.00514285714285714	0.005	0.0162857142857143	0.003	0.00285714285714286	0.00242857142857143	0.00314285714285714	0.00342857142857143	0.00185714285714286	0.00257142857142857	0.00228571428571429	0.00214285714285714	0.003	0.00728571428571429	0.00414285714285714	0.00357142857142857	0.005	0.00714285714285714	0.00685714285714286	0.00342857142857143	0.00171428571428571	0.00471428571428571	0.00614285714285714	0.00357142857142857	0.00342857142857143	0.00385714285714286	0.00185714285714286	0.00528571428571429	0.00285714285714286	0.00185714285714286	0.00514285714285714	0.00485714285714286	0.002	0.00671428571428571	0.00457142857142857	0.00471428571428571	0.00428571428571429	0.00214285714285714	0.00228571428571429	0.00542857142857143	0.00485714285714286	0.0127142857142857	0.00271428571428571	0.00428571428571429	0.00571428571428571	0.004	0.00171428571428571	0.00342857142857143	0.00542857142857143	0.00257142857142857	0.00314285714285714	0.00271428571428571	0.00342857142857143	0.00314285714285714	0.0438571428571429	0.0257142857142857	0.00228571428571429	0.00214285714285714	0.001	0.00171428571428571	0.00542857142857143	0.00371428571428571	0.00414285714285714	0.00785714285714286	0.00285714285714286	0.00142857142857143	0.002	0.00585714285714286	0.00285714285714286	0.00428571428571429	0.00657142857142857	0.00271428571428571	0.004	0.000571428571428571	0.00285714285714286	0.00328571428571429	0.00714285714285714	0.001	0.00214285714285714	0.00128571428571429	0.00171428571428571	0.00371428571428571	0.0111428571428571	0.00242857142857143	0.002	0.00642857142857143	0.00228571428571429	0.00528571428571429	0.00585714285714286	0.00242857142857143	0.00614285714285714	0.00128571428571429	0.0378571428571429	0.00514285714285714	0.00171428571428571	0.002	0.00185714285714286	0.002	0.003	0.00314285714285714	0.00442857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.003	0.00428571428571429	0.000857142857142857	0.00285714285714286	0.000142857142857143	0.00285714285714286	0.000571428571428571	0.00214285714285714	0.00157142857142857	0.00685714285714286	0.0114285714285714	0.00228571428571429	0.00285714285714286	0.00814285714285714	0.0125714285714286	0.002	0.00657142857142857	0.00214285714285714	0.00328571428571429	0.00771428571428571	0.0117142857142857	0.00142857142857143	0.00457142857142857	0.00142857142857143	0.000857142857142857	0.00328571428571429	0.00342857142857143	0.00171428571428571	0.00171428571428571	0.00171428571428571	0.00542857142857143	0.005	0.00142857142857143	0.00242857142857143	0.007	0.00642857142857143	0.00342857142857143	0.000571428571428571	0.00128571428571429	0.00385714285714286	0.002	0.001	0.00414285714285714	0.00457142857142857	0.00471428571428571	0.00242857142857143	0.00342857142857143	0.00185714285714286	0.002	0.00542857142857143	0.00442857142857143	0.0125714285714286	0.00285714285714286	0.00971428571428571	0.0218571428571429	0.01	0.00171428571428571	0.00357142857142857	0.00271428571428571	0.00371428571428571	0.00228571428571429	0.00628571428571429	0.00485714285714286	0.00442857142857143	0.00571428571428571	0.00157142857142857	0.00142857142857143	0.00142857142857143	0.00171428571428571	0.00457142857142857	0.00471428571428571	0.00657142857142857	0.002	0.00285714285714286	0.00414285714285714	0.000571428571428571	0.000714285714285714	0.002	0.00542857142857143	0.00114285714285714	0.00642857142857143	0.00271428571428571	0.00271428571428571	0.00271428571428571	0.00157142857142857	0.00671428571428571	0.0135714285714286	0.00771428571428571	0.00128571428571429	0.00214285714285714	0.00214285714285714	0.00442857142857143	0.003	0.00657142857142857	0.002	0.000857142857142857	0.00328571428571429	0.00571428571428571	0.00214285714285714	0.00314285714285714	0.0352857142857143	0.00357142857142857	0.000571428571428571	0.0178571428571429	0.00642857142857143	0.00385714285714286	0.000714285714285714	0.00642857142857143	0.00442857142857143	0.000857142857142857	0.0114285714285714	0.00171428571428571	0.018	0.00357142857142857	0.004	0.00314285714285714	0.00171428571428571	0.00157142857142857	0.0124285714285714	0.0354285714285714	0.00185714285714286	0.00157142857142857	0.00371428571428571	0.00142857142857143	0.00142857142857143	0.000714285714285714	0.00242857142857143	0.00114285714285714	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.00114285714285714	0.00471428571428571	0.00157142857142857	0.00228571428571429	0.00128571428571429	0.00314285714285714	0.00285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00271428571428571	0.000714285714285714	0.00957142857142857	0.000571428571428571	0.000714285714285714	0.000428571428571429	0	0.00185714285714286	0.000714285714285714	0.00228571428571429	0.00328571428571429	0.004	0.00328571428571429	0.00357142857142857	0.00257142857142857	0.00128571428571429	0.012	0.00814285714285714	0.00228571428571429	0.001	0.00157142857142857	0.00114285714285714	0.00214285714285714	0.002	0.00414285714285714	0.00957142857142857	0.002	0.000857142857142857	0.00128571428571429	0.00314285714285714	0.00214285714285714	0.00314285714285714	0.000142857142857143	0.00128571428571429	0.000857142857142857	0.00385714285714286	0.00414285714285714	0.000428571428571429	0.000428571428571429	0.000571428571428571	0.00142857142857143	0.000428571428571429	0.000285714285714286	0.00157142857142857	0.00185714285714286	0.000142857142857143	0.00171428571428571	0.00114285714285714	0.00771428571428571	0.00971428571428571	0.00328571428571429	0.002	0.00214285714285714	0.000571428571428571	0.000571428571428571	0.011	0.00514285714285714	0.00142857142857143	0.002	0.00271428571428571	0.00257142857142857	0.00142857142857143	0.00285714285714286	0.00471428571428571	0.002	0.00214285714285714	0.000714285714285714	0.00471428571428571	0.00185714285714286	0.00357142857142857	0.000428571428571429	0.000571428571428571	0.001	0.00357142857142857	0.000285714285714286	0.00214285714285714	0.00128571428571429	0.00157142857142857	0.00571428571428571	0.002	0.00157142857142857	0.001	0.00614285714285714	0.000571428571428571	0.00342857142857143	0.00185714285714286	0.00228571428571429	0.001	0.000142857142857143	0.00185714285714286	0.000714285714285714	0.0328571428571429	0.042	0.000571428571428571	0.003	0.000428571428571429	0.000571428571428571	0.00271428571428571	0.000714285714285714	0.00457142857142857	0.00214285714285714	0.00471428571428571	0	0.00442857142857143	0.00157142857142857	0.00671428571428571	0.00214285714285714	0.00285714285714286	0.00585714285714286	0.000285714285714286	0.00357142857142857	0.00185714285714286	0.00171428571428571	0.00157142857142857	0.00385714285714286	0.000428571428571429	0.00457142857142857	0	0.002	0.00128571428571429	0.00171428571428571	0.0197142857142857	0.00714285714285714	0.00842857142857143	0.00442857142857143	0.00542857142857143	0.00271428571428571	0.00514285714285714	0.00842857142857143	0.039	0.0105714285714286	0.00242857142857143	0.0421428571428571	0.00985714285714286	0.00185714285714286	0.00557142857142857	0.0224285714285714	0.000571428571428571
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.000142857142857143	0	0.000428571428571429	0.000857142857142857	0.000428571428571429	0.00385714285714286	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.00428571428571429	0	0.000571428571428571	0	0.00171428571428571	0.002	0.000142857142857143	0.000714285714285714	0.001	0.000142857142857143	0.000142857142857143	0.000857142857142857	0.00442857142857143	0.000857142857142857	0.000142857142857143	0.00228571428571429	0.000285714285714286	0.000428571428571429	0.00228571428571429	0.004	0.00114285714285714	0.000142857142857143	0.00471428571428571	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.00657142857142857	0.00128571428571429	0.00185714285714286	0.000285714285714286	0	0.000285714285714286	0.000571428571428571	0.000857142857142857	0.000285714285714286	0.00214285714285714	0.00128571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0.000428571428571429	0.00128571428571429	0.00357142857142857	0.002	0.000285714285714286	0.00214285714285714	0.00228571428571429	0.000142857142857143	0.00114285714285714	0.00414285714285714	0.00142857142857143	0.000142857142857143	0.000571428571428571	0.000285714285714286	0.00142857142857143	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.00185714285714286	0.00642857142857143	0.00214285714285714	0.000285714285714286	0.00114285714285714	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.00171428571428571	0.000714285714285714	0.00185714285714286	0.000285714285714286	0.00114285714285714	0.000285714285714286	0.00142857142857143	0.001	0.000857142857142857	0	0.000285714285714286	0.000142857142857143	0.00328571428571429	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.00114285714285714	0.00128571428571429	0.000571428571428571	0.000428571428571429	0.000714285714285714	0.000142857142857143	0.000285714285714286	0.000714285714285714	0.000142857142857143	0	0.00185714285714286	0.00271428571428571	0.000428571428571429	0.00257142857142857	0	0.000428571428571429	0	0.003	0.00157142857142857	0.00414285714285714	0.000142857142857143	0.001	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000714285714285714	0.000571428571428571	0.00371428571428571	0.000857142857142857	0.000714285714285714	0.000142857142857143	0	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0	0	0.00142857142857143	0	0	0.000285714285714286	0.000285714285714286	0	0.00142857142857143	0.000142857142857143	0	0	0	0	0	0.000857142857142857	0.000142857142857143	0	0	0.00114285714285714	0.001	0	0	0	0.000142857142857143	0	0.00114285714285714	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000285714285714286	0	0	0.000285714285714286	0	0	0	0	0.0231428571428571	0.000571428571428571	0	0	0	0.00142857142857143	0	0.000142857142857143	0.001	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0.00142857142857143	0	0	0.000285714285714286	0.000428571428571429	0	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0	0	0.00328571428571429	0.001	0	0	0	0	0	0	0	0.001	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000142857142857143	0	0	0	0.000142857142857143	0.000142857142857143	0.000714285714285714	0	0	0.000142857142857143	0	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.00657142857142857	0	0.000285714285714286	0	0.000142857142857143	0.00228571428571429	0.00271428571428571	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00528571428571429	0.02	0
