"Taxa"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.576142857142857	0.562285714285714	0.534142857142857	0.819142857142857	0.523428571428571	0.559714285714286	0.468714285714286	0.592142857142857	0.406428571428571	0.655714285714286	0.626857142857143	0.685	0.746714285714286	0.454	0.707142857142857	0.431285714285714	0.649714285714286	0.431714285714286	0.682142857142857	0.366714285714286	0.580571428571429	0.284571428571429	0.622428571428571	0.792428571428571	0.603285714285714	0.59	0.648857142857143	0.565	0.701714285714286	0.574285714285714	0.665714285714286	0.507428571428571	0.515142857142857	0.523857142857143	0.364428571428571	0.626714285714286	0.256571428571429	0.645428571428571	0.460857142857143	0.316142857142857	0.333571428571429	0.626714285714286	0.433857142857143	0.548857142857143	0.540857142857143	0.354571428571429	0.253142857142857	0.495285714285714	0.484571428571429	0.0837142857142857	0.495428571428571	0.415571428571429	0.534	0.36	0.676714285714286	0.570857142857143	0.657142857142857	0.550857142857143	0.523428571428571	0.0957142857142857	0.0374285714285714	0.566285714285714	0.547	0.765285714285714	0.702857142857143	0.500285714285714	0.576857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.186142857142857	0.256	0.276714285714286	0.0854285714285714	0.175	0.194142857142857	0.226	0.181142857142857	0.320714285714286	0.141	0.196428571428571	0.136714285714286	0.126285714285714	0.264285714285714	0.122285714285714	0.220142857142857	0.184571428571429	0.311714285714286	0.148142857142857	0.424	0.291571428571429	0.334428571428571	0.246285714285714	0.138571428571429	0.262142857142857	0.265	0.224428571428571	0.276142857142857	0.101714285714286	0.178428571428571	0.219285714285714	0.266571428571429	0.273857142857143	0.263571428571429	0.335	0.226285714285714	0.271714285714286	0.189571428571429	0.218	0.153571428571429	0.0724285714285714	0.213142857142857	0.318571428571429	0.193857142857143	0.155857142857143	0.168857142857143	0.213428571428571	0.259857142857143	0.310428571428571	0.392714285714286	0.190428571428571	0.216142857142857	0.231714285714286	0.284142857142857	0.153428571428571	0.158571428571429	0.158142857142857	0.284428571428571	0.217571428571429	0.0311428571428571	0.00957142857142857	0.15	0.109714285714286	0.0725714285714286	0.143857142857143	0.280285714285714	0.233
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.133	0.0952857142857143	0.105	0.0458571428571429	0.239	0.183285714285714	0.210285714285714	0.1	0.112714285714286	0.103857142857143	0.0821428571428571	0.103285714285714	0.052	0.128857142857143	0.0738571428571429	0.153714285714286	0.0637142857142857	0.127428571428571	0.0764285714285714	0.126	0.0585714285714286	0.182142857142857	0.0525714285714286	0.0374285714285714	0.0717142857142857	0.055	0.0617142857142857	0.0668571428571429	0.119	0.0737142857142857	0.0488571428571429	0.125571428571429	0.0847142857142857	0.09	0.142571428571429	0.0405714285714286	0.195714285714286	0.0908571428571429	0.109714285714286	0.158428571428571	0.0588571428571429	0.109142857142857	0.163714285714286	0.192714285714286	0.184714285714286	0.362428571428571	0.473142857142857	0.088	0.0818571428571429	0.442	0.232142857142857	0.245428571428571	0.195142857142857	0.0947142857142857	0.115285714285714	0.161571428571429	0.115857142857143	0.0977142857142857	0.166428571428571	0.0165714285714286	0.025	0.193714285714286	0.158	0.0904285714285714	0.0964285714285714	0.149	0.0641428571428571
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.0791428571428571	0.0415714285714286	0.0665714285714286	0.0385714285714286	0.0417142857142857	0.0494285714285714	0.066	0.0961428571428571	0.129571428571429	0.0715714285714286	0.0822857142857143	0.0625714285714286	0.0554285714285714	0.119142857142857	0.0744285714285714	0.184857142857143	0.0718571428571429	0.109428571428571	0.0857142857142857	0.0457142857142857	0.0372857142857143	0.0477142857142857	0.0395714285714286	0.0201428571428571	0.0425714285714286	0.047	0.0412857142857143	0.067	0.0661428571428571	0.161714285714286	0.0525714285714286	0.0888571428571429	0.0938571428571429	0.108714285714286	0.140714285714286	0.0948571428571429	0.089	0.0591428571428571	0.195714285714286	0.073	0.0715714285714286	0.0321428571428571	0.039	0.0467142857142857	0.0837142857142857	0.0925714285714286	0.0322857142857143	0.0722857142857143	0.0755714285714286	0.048	0.0524285714285714	0.0647142857142857	0.0201428571428571	0.0408571428571429	0.0272857142857143	0.067	0.0522857142857143	0.0354285714285714	0.0567142857142857	0.0104285714285714	0.0105714285714286	0.0677142857142857	0.028	0.0525714285714286	0.0348571428571429	0.0327142857142857	0.0395714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0158571428571429	0.0311428571428571	0.00371428571428571	0.00414285714285714	0.00185714285714286	0.00371428571428571	0.00457142857142857	0.00271428571428571	0.0121428571428571	0.0185714285714286	0.00628571428571429	0.00528571428571429	0.00757142857142857	0.0251428571428571	0.00514285714285714	0.00371428571428571	0.002	0.00857142857142857	0.00314285714285714	0.0287142857142857	0.0168571428571429	0.0955714285714286	0.0237142857142857	0.00157142857142857	0.00457142857142857	0.0302857142857143	0.00928571428571429	0.008	0.004	0.00142857142857143	0.00128571428571429	0.00128571428571429	0.0198571428571429	0.00642857142857143	0.00742857142857143	0.00585714285714286	0.172	0.001	0.00957142857142857	0.209714285714286	0.389714285714286	0.0127142857142857	0.0241428571428571	0.00485714285714286	0.00928571428571429	0.00628571428571429	0.00442857142857143	0.0691428571428571	0.0342857142857143	0.0161428571428571	0.00614285714285714	0.00414285714285714	0.007	0.193285714285714	0.00757142857142857	0.0278571428571429	0.00485714285714286	0.0172857142857143	0.0228571428571429	0.762857142857143	0.895857142857143	0.0125714285714286	0.105285714285714	0.00414285714285714	0.0141428571428571	0.0211428571428571	0.0371428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00271428571428571	0.00957142857142857	0.000428571428571429	0.00185714285714286	0.00228571428571429	0.00314285714285714	0.00357142857142857	0.00842857142857143	0.00128571428571429	0.00214285714285714	0.000857142857142857	0.00314285714285714	0.00314285714285714	0.00128571428571429	0.004	0.000285714285714286	0.000428571428571429	0.00157142857142857	0.000142857142857143	0.00171428571428571	0.00771428571428571	0.011	0.00514285714285714	0.00142857142857143	0.00257142857142857	0.00257142857142857	0.00285714285714286	0.00457142857142857	0.00214285714285714	0.00185714285714286	0.000428571428571429	0.000857142857142857	0.00314285714285714	0.002	0.00157142857142857	0.000428571428571429	0.00185714285714286	0.001	0.000142857142857143	0.033	0.0415714285714286	0.000571428571428571	0.00271428571428571	0.00471428571428571	0.00442857142857143	0.00671428571428571	0.00285714285714286	0.00585714285714286	0.00157142857142857	0.00385714285714286	0.002	0.00128571428571429	0.00171428571428571	0.0195714285714286	0.00714285714285714	0.00857142857142857	0.00271428571428571	0.00514285714285714	0.00842857142857143	0.039	0.0104285714285714	0.00214285714285714	0.0421428571428571	0.00985714285714286	0.002	0.00557142857142857	0.0224285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00228571428571429	0.00228571428571429	0.0102857142857143	0.00157142857142857	0.003	0.00242857142857143	0.00685714285714286	0.0151428571428571	0.00442857142857143	0.001	0.00157142857142857	0.00185714285714286	0.00142857142857143	0.00257142857142857	0.00128571428571429	0.005	0.0162857142857143	0.00342857142857143	0.00157142857142857	0.00257142857142857	0.00214285714285714	0.00685714285714286	0.00342857142857143	0.00171428571428571	0.00614285714285714	0.00371428571428571	0.00385714285714286	0.00171428571428571	0.00285714285714286	0.005	0.00671428571428571	0.00471428571428571	0.00428571428571429	0.00214285714285714	0.00485714285714286	0.00157142857142857	0.00542857142857143	0.00314285714285714	0.00271428571428571	0.0438571428571429	0.0255714285714286	0.00171428571428571	0.00542857142857143	0.00285714285714286	0.002	0.00285714285714286	0.00657142857142857	0.00271428571428571	0.00714285714285714	0.001	0.00357142857142857	0.0111428571428571	0.00242857142857143	0.00214285714285714	0.00642857142857143	0.00228571428571429	0.00242857142857143	0.00614285714285714	0.00128571428571429	0.0378571428571429	0.00514285714285714	0.00171428571428571	0.002	0.00185714285714286	0.002	0.003	0.00314285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.003	0.000857142857142857	0.00285714285714286	0.00214285714285714	0.00685714285714286	0.00285714285714286	0.00814285714285714	0.00214285714285714	0.0114285714285714	0.00457142857142857	0.00171428571428571	0.00171428571428571	0.00485714285714286	0.00242857142857143	0.00642857142857143	0.000714285714285714	0.00385714285714286	0.00471428571428571	0.00214285714285714	0.00342857142857143	0.002	0.01	0.00171428571428571	0.00357142857142857	0.00371428571428571	0.00228571428571429	0.00485714285714286	0.00442857142857143	0.00157142857142857	0.00171428571428571	0.00485714285714286	0.00185714285714286	0.00314285714285714	0.000571428571428571	0.002	0.00271428571428571	0.00671428571428571	0.00785714285714286	0.00128571428571429	0.00442857142857143	0.003	0.00342857142857143	0.00571428571428571	0.00357142857142857	0.0178571428571429	0.00385714285714286	0.00642857142857143	0.00442857142857143	0.00357142857142857	0.00414285714285714	0.0124285714285714	0.0354285714285714	0.00185714285714286	0.00157142857142857	0.00371428571428571	0.00142857142857143	0.00242857142857143	0.00114285714285714	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.00128571428571429	0.00471428571428571	0.00157142857142857	0.00228571428571429	0.00128571428571429	0.00314285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00114285714285714	0.000142857142857143	0	0.000857142857142857	0.00385714285714286	0.000285714285714286	0.00428571428571429	0.00171428571428571	0.000714285714285714	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.00228571428571429	0.00114285714285714	0.00471428571428571	0.000142857142857143	0.00657142857142857	0.000428571428571429	0.000571428571428571	0.000857142857142857	0.00214285714285714	0.00128571428571429	0.00357142857142857	0.002	0.00214285714285714	0.00228571428571429	0.00114285714285714	0.00414285714285714	0.000142857142857143	0.00142857142857143	0.000142857142857143	0.000285714285714286	0.00185714285714286	0.00214285714285714	0.00114285714285714	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.00142857142857143	0	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000714285714285714	0	0.00185714285714286	0.000428571428571429	0	0.000142857142857143	0.001	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.00371428571428571	0.000857142857142857	0.000714285714285714	0.000142857142857143	0	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0.000142857142857143	0.000285714285714286	0	0.00142857142857143	0.000285714285714286	0.000285714285714286	0	0	0.000857142857142857	0.001	0	0.000142857142857143	0.00114285714285714	0	0	0	0.000142857142857143	0	0	0	0.0231428571428571	0.000571428571428571	0	0	0.00142857142857143	0.000142857142857143	0.001	0.000285714285714286	0.000142857142857143	0	0.00142857142857143	0	0.000285714285714286	0	0	0	0	0.000142857142857143	0.00328571428571429	0.001	0	0	0.000285714285714286	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000714285714285714	0	0.00114285714285714	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0	0.000142857142857143	0.00228571428571429	0.00271428571428571	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00528571428571429	0.02
"k__Bacteria|p__Spirochaetes|c__Spirochaetia"	0	0	0	0	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0.002	0.000285714285714286	0.000428571428571429	0.000428571428571429	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000428571428571429	0	0	0	0	0	0.000142857142857143	0	0.000285714285714286	0	0	0.00542857142857143	0.001	0.000857142857142857	0.000285714285714286	0.00414285714285714	0	0	0.00642857142857143	0.00342857142857143	0.00185714285714286	0.00214285714285714	0.00285714285714286	0.00128571428571429	0.000428571428571429	0	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia"	0.000428571428571429	0.000285714285714286	0	0.000428571428571429	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000285714285714286	0.000714285714285714	0	0.000142857142857143	0	0.000142857142857143	0	0.000142857142857143	0.000714285714285714	0	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000714285714285714	0.000285714285714286	0	0.000714285714285714	0.000285714285714286	0	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000285714285714286	0	0.000428571428571429	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.002	0.000285714285714286	0	0.000714285714285714	0.00114285714285714	0.00142857142857143	0.00214285714285714	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.00128571428571429	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.000857142857142857	0	0.000428571428571429	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria"	0	0.000285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0.00257142857142857	0.000142857142857143	0	0	0	0.000285714285714286	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0.000142857142857143	0	0.00528571428571429	0.00242857142857143	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000142857142857143	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.000142857142857143	0	0	0	0.000571428571428571	0	0.000714285714285714	0	0.000285714285714286	0	0	0	0	0	0.000285714285714286	0	0.000714285714285714	0	0	0.000142857142857143	0.000714285714285714	0.000857142857142857	0.000428571428571429	0	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.000714285714285714	0.000285714285714286	0.000142857142857143	0	0	0	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0	0.00185714285714286	0	0	0	0	0.000428571428571429	0	0	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0.000285714285714286	0	0.000285714285714286	0.000285714285714286	0.000142857142857143	0	0.000857142857142857	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria"	0	0.000142857142857143	0	0	0.000285714285714286	0	0	0	0	0.000285714285714286	0	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0	0.000428571428571429	0	0	0	0	0.000142857142857143	0.00157142857142857	0	0.001	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0	0	0	0.000428571428571429	0.000428571428571429	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0	0	0	0	0	0.000142857142857143	0	0.000857142857142857	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Synergistetes|c__Synergistia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0.000714285714285714	0.000142857142857143	0	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0.000571428571428571	0	0	0	0	0	0	0.000285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Sphingobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Bacteroidota|c__Chitinophagia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Cyanobacteria|c__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Deferribacteres|c__Deferribacteres"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
