"Taxa"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.301	0.326857142857143	0.221	0.319142857142857	0.294571428571429	0.299428571428571	0.242714285714286	0.218	0.190428571428571	0.376714285714286	0.309428571428571	0.350857142857143	0.417428571428571	0.296285714285714	0.448857142857143	0.216714285714286	0.341	0.176	0.349428571428571	0.108285714285714	0.285428571428571	0.0972857142857143	0.204	0.230142857142857	0.307142857142857	0.296285714285714	0.323857142857143	0.244428571428571	0.294428571428571	0.208428571428571	0.330285714285714	0.186571428571429	0.292857142857143	0.231	0.118714285714286	0.256285714285714	0.0741428571428571	0.255428571428571	0.187714285714286	0.0908571428571429	0.135571428571429	0.229428571428571	0.185428571428571	0.299	0.284428571428571	0.172714285714286	0.0525714285714286	0.235714285714286	0.155285714285714	0.0161428571428571	0.173571428571429	0.166285714285714	0.178	0.0608571428571429	0.242285714285714	0.289571428571429	0.354285714285714	0.253571428571429	0.261571428571429	0.0534285714285714	0.011	0.279428571428571	0.352285714285714	0.412142857142857	0.395285714285714	0.199857142857143	0.267142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.122714285714286	0.1	0.174285714285714	0.314714285714286	0.11	0.113714285714286	0.0631428571428571	0.245714285714286	0.113	0.124	0.173428571428571	0.191714285714286	0.169142857142857	0.0675714285714286	0.133285714285714	0.0898571428571429	0.162285714285714	0.151571428571429	0.203	0.137571428571429	0.163857142857143	0.0577142857142857	0.272571428571429	0.389142857142857	0.159142857142857	0.163714285714286	0.156571428571429	0.195285714285714	0.214571428571429	0.233	0.214285714285714	0.200428571428571	0.120428571428571	0.153285714285714	0.138857142857143	0.243714285714286	0.0787142857142857	0.206285714285714	0.155	0.108142857142857	0.120428571428571	0.232142857142857	0.102714285714286	0.0538571428571429	0.114714285714286	0.0421428571428571	0.0267142857142857	0.124571428571429	0.214571428571429	0.00257142857142857	0.133571428571429	0.0381428571428571	0.134	0.135	0.250857142857143	0.107285714285714	0.127857142857143	0.149571428571429	0.0971428571428571	0.0244285714285714	0.009	0.0785714285714286	0.0421428571428571	0.0192857142857143	0.131142857142857	0.097	0.17
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0.0794285714285714	0.117571428571429	0.123	0.0618571428571429	0.0798571428571429	0.105285714285714	0.0591428571428571	0.0887142857142857	0.155	0.0841428571428571	0.127142857142857	0.0894285714285714	0.0821428571428571	0.110857142857143	0.0702857142857143	0.079	0.108571428571429	0.177142857142857	0.108	0.282142857142857	0.189	0.103571428571429	0.145571428571429	0.095	0.146857142857143	0.141285714285714	0.125714285714286	0.164571428571429	0.0405714285714286	0.092	0.115571428571429	0.152	0.196285714285714	0.18	0.194857142857143	0.160428571428571	0.0887142857142857	0.116428571428571	0.121	0.0782857142857143	0.0335714285714286	0.134714285714286	0.159	0.101	0.0695714285714286	0.0488571428571429	0.0408571428571429	0.149714285714286	0.0854285714285714	0.002	0.0408571428571429	0.0407142857142857	0.0787142857142857	0.129714285714286	0.0825714285714286	0.0754285714285714	0.0707142857142857	0.122857142857143	0.0975714285714286	0.017	0.00442857142857143	0.0507142857142857	0.0541428571428571	0.0447142857142857	0.0847142857142857	0.162142857142857	0.122714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister propionicifaciens"	0.0855714285714286	0.0831428571428571	0.0808571428571429	0.101285714285714	0.0644285714285714	0.0957142857142857	0.123285714285714	0.0314285714285714	0.00414285714285714	0.0594285714285714	0.034	0.0511428571428571	0.0405714285714286	0.0461428571428571	0.0547142857142857	0.0625714285714286	0.0425714285714286	0.00971428571428571	0.0477142857142857	0.00671428571428571	0.0512857142857143	0.107428571428571	0.068	0.0421428571428571	0.077	0.069	0.0637142857142857	0.0605714285714286	0.0741428571428571	0.0564285714285714	0.0414285714285714	0.058	0.0275714285714286	0.0761428571428571	0.00528571428571429	0.0414285714285714	0.002	0.0981428571428571	0.0655714285714286	0.0825714285714286	0.0371428571428571	0.0408571428571429	0.0867142857142857	0.15	0.0851428571428571	0.11	0.146857142857143	0.0611428571428571	0.0332857142857143	0.0262857142857143	0.133428571428571	0.18	0.102285714285714	0.088	0.068	0.0974285714285714	0.111857142857143	0.095	0.112857142857143	0.00828571428571429	0.0138571428571429	0.163	0.0971428571428571	0.287	0.107571428571429	0.156428571428571	0.0802857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0405714285714286	0.0457142857142857	0.0434285714285714	0.0178571428571429	0.140714285714286	0.0421428571428571	0.0627142857142857	0.032	0.0252857142857143	0.0357142857142857	0.0338571428571429	0.0402857142857143	0.0244285714285714	0.0365714285714286	0.026	0.0452857142857143	0.0252857142857143	0.029	0.0228571428571429	0.038	0.0215714285714286	0.0491428571428571	0.0214285714285714	0.0154285714285714	0.0312857142857143	0.0258571428571429	0.0208571428571429	0.0267142857142857	0.0348571428571429	0.0284285714285714	0.0245714285714286	0.0504285714285714	0.0244285714285714	0.0347142857142857	0.0411428571428571	0.0171428571428571	0.0445714285714286	0.0267142857142857	0.0345714285714286	0.0625714285714286	0.0217142857142857	0.0418571428571429	0.0387142857142857	0.0777142857142857	0.0505714285714286	0.0444285714285714	0.133	0.0182857142857143	0.0231428571428571	0.0527142857142857	0.0591428571428571	0.0824285714285714	0.0564285714285714	0.0164285714285714	0.033	0.038	0.0618571428571429	0.0342857142857143	0.0577142857142857	0.007	0.00785714285714286	0.0657142857142857	0.0392857142857143	0.0387142857142857	0.0311428571428571	0.0422857142857143	0.0207142857142857
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter didelphidarum"	0.0314285714285714	0.0212857142857143	0.0332857142857143	0.0245714285714286	0.0198571428571429	0.0172857142857143	0.0297142857142857	0.0467142857142857	0.0495714285714286	0.0312857142857143	0.0321428571428571	0.0282857142857143	0.0244285714285714	0.0517142857142857	0.0285714285714286	0.0592857142857143	0.0374285714285714	0.0544285714285714	0.0357142857142857	0.0212857142857143	0.0167142857142857	0.0271428571428571	0.0158571428571429	0.00742857142857143	0.0208571428571429	0.026	0.0144285714285714	0.0327142857142857	0.0237142857142857	0.0761428571428571	0.028	0.0374285714285714	0.0428571428571429	0.0495714285714286	0.0585714285714286	0.0425714285714286	0.0467142857142857	0.0282857142857143	0.081	0.0334285714285714	0.0285714285714286	0.018	0.012	0.0214285714285714	0.043	0.039	0.0127142857142857	0.0295714285714286	0.0394285714285714	0.0231428571428571	0.0158571428571429	0.032	0.00885714285714286	0.0151428571428571	0.0104285714285714	0.0261428571428571	0.0331428571428571	0.018	0.0247142857142857	0.00571428571428571	0.00671428571428571	0.0361428571428571	0.0144285714285714	0.0391428571428571	0.0198571428571429	0.0197142857142857	0.0255714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.044	0.0558571428571429	0.0592857142857143	0.00357142857142857	0.0255714285714286	0.0318571428571429	0.0384285714285714	0.0154285714285714	0.0145714285714286	0.0191428571428571	0.0204285714285714	0.00885714285714286	0.0111428571428571	0.0632857142857143	0.0152857142857143	0.0645714285714286	0.0205714285714286	0.016	0.0124285714285714	0.0167142857142857	0.024	0.0601428571428571	0.0237142857142857	0.011	0.0338571428571429	0.0384285714285714	0.0271428571428571	0.0312857142857143	0.0208571428571429	0.0298571428571429	0.0454285714285714	0.0298571428571429	0.00457142857142857	0.0162857142857143	0.013	0.0187142857142857	0.0194285714285714	0.0147142857142857	0.0344285714285714	0.0135714285714286	0.0125714285714286	0.005	0.037	0.0211428571428571	0.0187142857142857	0.0227142857142857	0.014	0.00428571428571429	0.0238571428571429	0.0175714285714286	0.0324285714285714	0.0407142857142857	0.0272857142857143	0.0141428571428571	0.0195714285714286	0.0157142857142857	0.0281428571428571	0.0484285714285714	0.0287142857142857	0.00414285714285714	0.000857142857142857	0.0348571428571429	0.0152857142857143	0.014	0.0181428571428571	0.018	0.0321428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.0277142857142857	0.0198571428571429	0.0332857142857143	0.0238571428571429	0.0234285714285714	0.0201428571428571	0.0101428571428571	0.0285714285714286	0.015	0.0348571428571429	0.0515714285714286	0.0304285714285714	0.0468571428571429	0.0142857142857143	0.02	0.0248571428571429	0.0454285714285714	0.00314285714285714	0.0387142857142857	0.00171428571428571	0.0364285714285714	0.0105714285714286	0.0492857142857143	0.0782857142857143	0.0265714285714286	0.0308571428571429	0.0465714285714286	0.035	0.0605714285714286	0.0442857142857143	0.0394285714285714	0.0364285714285714	0.00371428571428571	0.0357142857142857	0.00257142857142857	0.0465714285714286	0.000571428571428571	0.0427142857142857	0.0322857142857143	0.0162857142857143	0.0217142857142857	0.00471428571428571	0.0145714285714286	0.00671428571428571	0.0135714285714286	0.00628571428571429	0.00528571428571429	0.00457142857142857	0.00357142857142857	0.000142857142857143	0.00557142857142857	0.004	0.0177142857142857	0.0221428571428571	0.0282857142857143	0.0141428571428571	0.0202857142857143	0.0222857142857143	0.0165714285714286	0.00357142857142857	0.00157142857142857	0.0102857142857143	0.00814285714285714	0.00328571428571429	0.017	0.0145714285714286	0.0291428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.02	0.0187142857142857	0.0215714285714286	0.00942857142857143	0.0305714285714286	0.0255714285714286	0.0285714285714286	0.0172857142857143	0.0134285714285714	0.0214285714285714	0.0231428571428571	0.0195714285714286	0.0134285714285714	0.015	0.0134285714285714	0.0287142857142857	0.0137142857142857	0.0142857142857143	0.00928571428571429	0.0207142857142857	0.015	0.0201428571428571	0.00885714285714286	0.00771428571428571	0.0157142857142857	0.0102857142857143	0.0174285714285714	0.0142857142857143	0.0192857142857143	0.0127142857142857	0.00928571428571429	0.0258571428571429	0.0137142857142857	0.0152857142857143	0.0211428571428571	0.00842857142857143	0.0207142857142857	0.014	0.0182857142857143	0.0265714285714286	0.009	0.0192857142857143	0.016	0.0392857142857143	0.033	0.0294285714285714	0.0721428571428571	0.00928571428571429	0.014	0.0238571428571429	0.0292857142857143	0.0404285714285714	0.019	0.0141428571428571	0.0162857142857143	0.0212857142857143	0.0312857142857143	0.0222857142857143	0.0338571428571429	0.00342857142857143	0.00185714285714286	0.0378571428571429	0.0254285714285714	0.0195714285714286	0.017	0.027	0.0152857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0.0164285714285714	0.0247142857142857	0.0271428571428571	0.00457142857142857	0.0184285714285714	0.0124285714285714	0.0145714285714286	0.028	0.0301428571428571	0.0145714285714286	0.0135714285714286	0.00885714285714286	0.0158571428571429	0.0304285714285714	0.0125714285714286	0.0192857142857143	0.0172857142857143	0.0348571428571429	0.00785714285714286	0.0462857142857143	0.0231428571428571	0.0461428571428571	0.0195714285714286	0.00942857142857143	0.0321428571428571	0.0345714285714286	0.0182857142857143	0.0308571428571429	0.012	0.0231428571428571	0.0177142857142857	0.0291428571428571	0.0175714285714286	0.0157142857142857	0.0324285714285714	0.013	0.0308571428571429	0.0185714285714286	0.0194285714285714	0.0208571428571429	0.00485714285714286	0.0242857142857143	0.0248571428571429	0.0148571428571429	0.00942857142857143	0.00971428571428571	0.0127142857142857	0.0155714285714286	0.0304285714285714	0.00928571428571429	0.00571428571428571	0.0154285714285714	0.0107142857142857	0.0155714285714286	0.0115714285714286	0.0108571428571429	0.0142857142857143	0.0334285714285714	0.0202857142857143	0.00271428571428571	0.000857142857142857	0.0151428571428571	0.00914285714285714	0.00271428571428571	0.00871428571428571	0.0207142857142857	0.0228571428571429
