"Taxa"	"warble.1"	"warble.2"	"warble.3"	"warble.4"	"warble.6"	"warble.7"	"warble.9"	"warble.10"	"warble.12"	"warble.14"	"warble.15"	"warble.20"	"warble.33"	"warble.42"	"warble.43"	"warble.45"	"warble.49"	"warble.50"	"warble.52"	"warble.53"	"warble.54"	"warble.57"	"warble.58"	"warble.60"	"warble.63"	"warble.68"	"warble.69"	"warble.73"	"warble.80"	"warble.83"	"warble.84"	"warble.85"	"warble.87"	"warble.88"	"warble.89"	"warble.90"	"warble.93"	"warble.94"	"warble.95"	"warble.96"	"warble.97"	"warble.100"	"warble.101"	"warble.103"	"warble.104"	"warble.106"	"warble.107"	"warble.108"	"warble.109"	"warble.110"	"warble.111"	"warble.112"	"warble.114"	"warble.117"	"warble.118"	"warble.119"	"warble.120"	"warble.121"	"warble.122"	"warble.123"	"warble.125"	"warble.126"	"warble.127"	"warble.135"	"warble.136"	"warble.137"	"warble.139"	"warble.140"	"warble.141"	"warble.144"	"warble.145"	"warble.147"	"warble.148"	"warble.149"	"warble.150"	"warble.151"	"warble.152"	"warble.153"	"warble.154"	"warble.157"	"warble.158"	"warble.159"	"warble.161"	"warble.162"	"warble.164"	"warble.170"	"warble.173"	"warble.178"	"warble.180"	"warble.181"	"warble.185"	"warble.187"	"warble.188"	"warble.189"	"warble.191"	"warble.192"	"warble.197"	"warble.200"	"warble.202"	"warble.221"	"warble.222"	"warble.224"	"warble.225"	"warble.227"	"warble.228"	"warble.229"	"warble.230"	"warble.232"	"warble.234"	"warble.236"	"warble.240"	"warble.243"	"warble.245"	"warble.247"	"warble.250"	"warble.251"	"warble.257"	"warble.262"	"warble.263"	"warble.265"	"warble.269"	"warble.272"	"warble.280"	"warble.282"	"warble.283"	"warble.286"	"warble.292"	"warble.293"	"warble.296"	"warble.307"	"warble.308"	"warble.310"	"warble.315"	"warble.318"	"warble.319"	"warble.324"	"warble.325"	"warble.326"
"Metabolism|Global and overview maps|Metabolic pathways"	0.147465867112984	0.146872260590403	0.146782954466396	0.149734808441036	0.152525768193333	0.148701084241423	0.147399354429364	0.144568093066369	0.146274988379794	0.152345943147405	0.15202187291173	0.151308969685261	0.150217483010904	0.150841953511341	0.1500781664865	0.145868197389802	0.151246071867392	0.148527296181349	0.152649642778802	0.149672522254604	0.150211508964524	0.152633501672893	0.149437826478567	0.148319428087392	0.150059515385933	0.150826909397599	0.150654555275025	0.151610723782377	0.149207275283235	0.149652708394576	0.150564780248466	0.147327798488893	0.149718125796359	0.150873575580114	0.148871797221365	0.148790992196392	0.142109917276025	0.148159987110605	0.153706215243334	0.149523976097653	0.147210051007525	0.151035431827364	0.150258789123647	0.146997988203376	0.148095311249833	0.149672069727493	0.15204789440605	0.152267979066526	0.150061471979019	0.148972644241609	0.149639394032021	0.150352201820183	0.149282736753288	0.15227772978293	0.151239299694371	0.151676027477119	0.152637016907663	0.143039166185837	0.149727929093656	0.150757458975604	0.150303703067623	0.144261431326921	0.141383437036334	0.144155759699241	0.14098656729693	0.142173633714102	0.146685327473404	0.144288415107499	0.142365302018378	0.145597504840374	0.144292869490318	0.146352150844283	0.152062290140521	0.14336403910167	0.147325586715972	0.148598055716188	0.142807761012838	0.142251506862835	0.149583435785927	0.143998498875174	0.146757796702135	0.145568546015723	0.15035708187718	0.139054967114812	0.148398082409081	0.146201824801094	0.147425119739349	0.138472796809745	0.144846467646766	0.146171910903963	0.145736530711362	0.142478141983537	0.145159016720128	0.146213246306513	0.143648336486661	0.140654386549895	0.146090895925842	0.143160842336513	0.145838331745876	0.151551146845743	0.143683157081863	0.14952659934677	0.140775822045379	0.146727726689733	0.145045520988439	0.148031574506126	0.14334512212013	0.147149066418273	0.144243720038577	0.148398649259982	0.141736583964554	0.141601210555626	0.140416951855312	0.138909637727849	0.147066594262791	0.137374610844389	0.140879375875583	0.145541934785644	0.145975169989138	0.141695516332095	0.148679883372631	0.148124538148621	0.146224505159977	0.142423096246688	0.142957360611594	0.142644229197453	0.145440941036152	0.147738316319526	0.149903547998383	0.141316073157321	0.146407424689333	0.14453175041113	0.147014172727948	0.14477270294251	0.15038270231927	0.150313472794856	0.143157660256236	0.148285693768199
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0645717630884858	0.0622384916143951	0.0646931157942486	0.0660998630730579	0.0685925417297971	0.0645602612541183	0.0639314661264458	0.0616577790319671	0.0632950834037256	0.0677226785105738	0.0683232836763036	0.0675345707746577	0.0673908298510404	0.0674010734494727	0.0655206518574649	0.0627428099505607	0.0668845322841243	0.0642805927716142	0.0677259114005045	0.0652993502342951	0.0661063290168599	0.0669250832585552	0.0647041143829361	0.064942957197655	0.0659459527776505	0.0675306959455327	0.0671009206207369	0.0672612113551143	0.0658281302797753	0.0667837437733009	0.0673266579620044	0.0642151421265301	0.0649330322624936	0.0665791291152336	0.0657362401631938	0.0660688684059872	0.0585752864283607	0.0632953200944508	0.067984358204519	0.0652518719117944	0.06387169259314	0.0652023731270035	0.0663243823024168	0.0646021085049357	0.0648002474318203	0.0662394888963669	0.0688822384502768	0.0679540465273066	0.0670797157178359	0.0648495076406907	0.06601109267785	0.0673390673248272	0.0665085063402166	0.0681477404263583	0.0680629136718186	0.0687454675377639	0.0687701803526948	0.0603782046374151	0.0664996250814153	0.0677408262243713	0.0667816544999307	0.063267130018087	0.0586053671638729	0.0616095183126092	0.0575259880177831	0.0616336739274075	0.0645838662762617	0.061127484407709	0.0594303121950675	0.0626892911472966	0.0613215963841297	0.0597835480496796	0.0682826639376647	0.0597139267923697	0.0643869288550847	0.065187442581404	0.0610012229936777	0.0579425640865142	0.0656676150649562	0.0602892870831626	0.0628277853840447	0.0620410946372527	0.0668052692688083	0.0577885854727467	0.0657983957345722	0.0573337200313015	0.0632545194058991	0.0584202959130651	0.0615250908473798	0.0613700994378308	0.0625224523024345	0.0589700259610342	0.0622485445197406	0.0626952679543644	0.0620945687956455	0.0569067112321162	0.06329627126792	0.0612505322470625	0.061762972810921	0.0675774044686709	0.0596038565546892	0.0647049149481119	0.0611358434618834	0.0634847485301159	0.0624324234881548	0.0635462564362171	0.0607534244837925	0.061783606252013	0.0619898504433544	0.0649381359115163	0.0606374146678178	0.0578404723475346	0.0593678691449439	0.0556294272629796	0.0644777858652302	0.0557830573529817	0.0578886787155083	0.0633957840411258	0.0624147025132616	0.0585992885912136	0.0652741940174981	0.0659716947319607	0.0632525835136422	0.0605592277540265	0.0610892055601139	0.0605653163062933	0.0623131367068673	0.062722612275152	0.0663524237092307	0.0572726296308615	0.0629278801669616	0.0620973207431622	0.0634688276056413	0.0607852189387429	0.066739447820864	0.0670777411326597	0.0601234752726292	0.0647466607462183
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0519070688885379	0.0502991477301019	0.052257691352283	0.0529827356885414	0.0542441579047069	0.0521358761315068	0.051410823910519	0.0500295078775379	0.0516483274781969	0.054089367561159	0.0546092114795474	0.0537005099880437	0.0536858612809728	0.053568150227013	0.0528133402408356	0.0510539831081049	0.0534887317701187	0.0518517382917546	0.0541447004745271	0.0527700035846986	0.0531091115017573	0.0540251792783299	0.0523247870376037	0.0520117194909546	0.0531989633548017	0.053656980182432	0.0536896260916932	0.0543132290966482	0.0522981849253933	0.053282170547734	0.0537510212534281	0.0507316801191973	0.052035168163754	0.053405934563251	0.0529996631921362	0.0522531674251455	0.0470162064150676	0.0505823231875212	0.053212591190835	0.0526520281072255	0.0520544827059314	0.0524689821159368	0.0532742715165142	0.0517796611610066	0.052048157592195	0.0527371182827445	0.0548648004872337	0.054661641853034	0.0535407887921233	0.0523692979793567	0.0527601318476905	0.0538194161551447	0.0529974380291222	0.0543459097462777	0.0541191289556224	0.0547921563946186	0.0547091593667224	0.0479521464557669	0.053299561068176	0.0540121182673972	0.0534544423589535	0.0514177065731416	0.0465497629095863	0.0498709996237534	0.047066625101201	0.0500712674741325	0.0514820456664985	0.049388402292975	0.0483591394161766	0.0511266415698139	0.0500005024103105	0.04854060205968	0.0546404431266272	0.0482707953347623	0.0520623812919677	0.0523374410592059	0.0491214734378107	0.0474160398769267	0.0522614399181171	0.0493448294634508	0.0510722546130242	0.0501640498713974	0.0532568041995753	0.0453193675348123	0.0525127715461045	0.0468689978847784	0.0510197680676594	0.0475693286693238	0.0498349923398149	0.0497051207989543	0.0507028145762563	0.0480563700374613	0.0498221764244244	0.0504686687592093	0.0505402113674967	0.0443331430552826	0.0509983491685402	0.0492316117169845	0.0496763588151831	0.0546103900321341	0.0489117637231877	0.0523881171661901	0.0489002310623905	0.0510582597547379	0.0504722680933718	0.0510537171470939	0.0493560847774335	0.0498180895994955	0.0500879609028327	0.0517043908072997	0.0478353161414428	0.0465374648655715	0.048155863008151	0.0443127787660179	0.0518475467998427	0.043681346054147	0.045628355933163	0.051430434905238	0.0507352041361772	0.0472518612753398	0.0536134009813614	0.053363732270634	0.0516030879688233	0.0491840203878647	0.0496756243112327	0.0495535017913534	0.0506122915743637	0.050868124880894	0.0530105111882432	0.0459682610481465	0.051137527046025	0.050248300639259	0.0514183698827831	0.0494159944139232	0.0542950424313558	0.05384099303875	0.0476500533957522	0.0521937758252462
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0497125853064387	0.0498509668623849	0.0509421925092537	0.0428707961664974	0.0438202826664313	0.0479584331631532	0.050452649328879	0.05538638703011	0.0538043801651488	0.0432170569689667	0.0428593711872148	0.0449729390800699	0.0448361376708903	0.044215233306893	0.0446752914893067	0.0537152943068893	0.042048393195057	0.047611347467807	0.0418695226521595	0.048081548778587	0.0462072438738843	0.0421762605174539	0.0476002559506276	0.0465604302183954	0.0449537136548791	0.0434476556634072	0.0436053347385672	0.0428247903690393	0.047905705870499	0.0479151937564065	0.0453024296523379	0.0527505136127758	0.0469154993777481	0.047175348623859	0.0483749976769162	0.0519506563463504	0.0537420986848508	0.0499124467445587	0.0431992583724819	0.0462960032313987	0.0462500649636021	0.0447056890005044	0.0450364782401835	0.0381276311122458	0.0498338269352795	0.0489124252602799	0.0419240775387629	0.0421158267534849	0.045389785518051	0.0479578317391614	0.045916061429941	0.044199848481033	0.0486618710067121	0.0423465710362089	0.0440652057147108	0.0421799844652041	0.0410830368587751	0.0537380576845597	0.0471986762891229	0.0443129590322403	0.0463310327459487	0.0371475946087061	0.0507064416867877	0.0504826557249817	0.056816184785378	0.0571949181461034	0.054316473766085	0.055253460169472	0.0570840079612294	0.0543570237158028	0.0564108597894398	0.0418143843761797	0.0418762139256902	0.0547123842202192	0.0518407961653216	0.0486544971960215	0.0597666503005605	0.0546735852518428	0.0443714471496374	0.0537210657200527	0.0504246417608244	0.0525898807681814	0.0468014056826171	0.0574279591407381	0.0469584582343222	0.0369088532320975	0.0447913943642731	0.067507610629383	0.0577674437558644	0.0497307774757357	0.0513141866259614	0.0576104060312137	0.0421862915236473	0.0536305370046423	0.057952059531506	0.0545745730341591	0.0519174213855138	0.0581535819864859	0.0495512423900336	0.0434937112998613	0.0566332747368308	0.0483471994213362	0.0417767229233697	0.0516966320483605	0.0546384640577935	0.0467079065034133	0.0517263263912283	0.0470792755015156	0.0537015625597221	0.0468741865540333	0.0388020151346996	0.0586162369926937	0.0595974257447684	0.052274378831738	0.0516540959705771	0.0577302564838803	0.0562391137696812	0.054331688174233	0.0522387829566395	0.0585960781514659	0.0483740971871048	0.0490457508553921	0.0540984908358567	0.0602250266212947	0.0578760316484534	0.056752170625023	0.0529559552981451	0.048192633406444	0.0486669913810199	0.05866871612484	0.0514873649047863	0.0526297442313931	0.0496413165588065	0.0522294029584795	0.0444875151830158	0.046243783466259	0.0531920003528494	0.0476558731741164
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.04821737679323	0.050038106941012	0.0473003944068842	0.0466463152596165	0.0482054483443077	0.0482166947850849	0.0479041475737111	0.0476898200196444	0.0483981633100976	0.0481951201329916	0.046496623218796	0.0475238439523613	0.0464503246103931	0.0462255147257702	0.0499561609547073	0.0496584311186684	0.0457797496312731	0.0493031575816392	0.0479150154318498	0.0495774494614644	0.0485542963598421	0.0505693160832885	0.0486792166561494	0.0475628339564755	0.0486546563447698	0.045659578547296	0.0465514069610996	0.0484010693054094	0.0468217024431517	0.0464629215912727	0.0470891188818058	0.0490813523146068	0.0497562751175972	0.0494634978950784	0.0476392683893816	0.0478066416814146	0.0504820599550303	0.049917358620157	0.0496370117563864	0.0491878749027759	0.04888875481761	0.0503921634967397	0.0476933024830878	0.053568601918565	0.0489981872456307	0.0476684652092858	0.0450967592165275	0.0480436636522308	0.0463231764739309	0.0498813772297028	0.0478403266969061	0.0461967221047324	0.0458217130091952	0.0466254836091178	0.046029759729854	0.0449766787631117	0.0464350348694866	0.0519464005595686	0.0474928880551381	0.0451907397820476	0.0480023423199416	0.0551687267086959	0.0552094613451807	0.0457029428664773	0.0454801320701416	0.0474951296262431	0.0486525899374053	0.0495817425614583	0.0491171528717622	0.0487837837711364	0.0484087201982948	0.0450982441398523	0.0466520775185869	0.0467311084102956	0.0477058874561791	0.0457275231136814	0.0449658821961704	0.0453205217545743	0.0492945509560044	0.0486228743404278	0.049483655094333	0.0510938882488596	0.0471596168449848	0.0525346694966749	0.0474468080881722	0.0414426537155688	0.0456378115128457	0.0476503822363132	0.0502577328418563	0.0468812013683259	0.0471534857239828	0.0486425736790244	0.0484996518958729	0.0502875267088342	0.0483389730831233	0.0563839853089431	0.0487082636035631	0.0481881190777485	0.0493787528281686	0.0481804823747463	0.0516724159350796	0.049842416485974	0.0559880931335553	0.0494361528545594	0.0494229712447392	0.0474381196052332	0.04913301687512	0.0465115482846159	0.0484432757747003	0.0469492617163517	0.0579750757910246	0.0519543031482568	0.0489938953580726	0.0564912649331043	0.0471117950576147	0.0565625267519128	0.0545207521346975	0.0480015929625298	0.049656635309126	0.0539668883431914	0.0488815977989902	0.0465492470558515	0.0491107380553231	0.0492442470257734	0.0481190885065144	0.0481373019529779	0.0480637233067438	0.0506067664169436	0.0496011684291677	0.0554604167511018	0.0487521887997269	0.0500233223015797	0.048013734542127	0.0504057249577891	0.0483503108643877	0.0474043358978023	0.053678487297978	0.0488867149077096
"Environmental Information Processing|Signal transduction|Two-component system"	0.0386813389312926	0.0366340815775955	0.0401562316857479	0.0370365698117972	0.0281497179854187	0.0365829900299527	0.0388009483316062	0.0443536455786462	0.0392124357487621	0.0290999847550696	0.0292063275066021	0.0327667607397207	0.032237557645755	0.0331862711589988	0.0330781401058761	0.0414501175084584	0.0332002574223067	0.0375169045134782	0.0293554360936017	0.0342110378843087	0.0326133688587621	0.0277458393951382	0.0362627012137039	0.0377571920174876	0.033116298958201	0.0342616297797965	0.0321372253213592	0.0304639350668403	0.0367849231374624	0.0334298658499764	0.0323254090775182	0.0354453250058006	0.0305356441767186	0.031125475986378	0.0344078761000587	0.0350625450111162	0.0497317402727108	0.0337243095745364	0.028169043962443	0.034338073006193	0.0371526071071628	0.0316596901050497	0.0319538210382384	0.0311128813407464	0.0376837301629738	0.0327657081701221	0.0290114127445819	0.0290360471456732	0.0341582925340643	0.0347496345271591	0.0323316934117685	0.0330235232052179	0.0343812120404699	0.0291863171976788	0.0308032912484971	0.030424615238442	0.0285995724894625	0.0420358629785992	0.0337228494354816	0.0320496306569906	0.032965481423332	0.0321264400213533	0.0388435572202245	0.054994392275846	0.0641653617560336	0.0511663941384	0.0385490088497577	0.0452376827411098	0.050259967819236	0.0407364976197393	0.0419889896613435	0.0605186268741246	0.0293511296834315	0.0536459104533955	0.0363342895484716	0.0367834253883684	0.0473048899793757	0.0618388326962931	0.0319142639533055	0.0468980530846433	0.0415381154576634	0.0406174585268279	0.0334734260607942	0.0402488213510851	0.0363180546020449	0.0750225381448539	0.0478134579262276	0.0554267754367149	0.0430720448001654	0.0505545226055559	0.0457251090442899	0.0550556026520749	0.0450078112088921	0.0393754630635349	0.0421975149239845	0.0414052664868722	0.0394154601546105	0.0450746033584706	0.04502903343646	0.0303561834165224	0.0391869924983235	0.0331975729545663	0.0371808203767521	0.0369963803116059	0.0413773055084029	0.0426427493003331	0.051913240431243	0.0477808275297686	0.0412684103689928	0.0409558931544356	0.0352577871480949	0.0425212864205946	0.0517531088374991	0.0438120824788086	0.0391134933610959	0.0431722512920944	0.0430493308988819	0.041752072421765	0.042747389628647	0.0415142182175523	0.0314186362748888	0.0353768293046715	0.0378385235462429	0.0454938595098073	0.0423342983202836	0.0483973858126304	0.0462140291644991	0.0382498248739376	0.031443105573061	0.0402598874055113	0.0394162661000803	0.0408213529410146	0.0385325097762786	0.0386496752174655	0.0308388010009946	0.0301770349135723	0.0385852332757738	0.0365376333218731
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0312253644482972	0.0293343036363132	0.031789287139997	0.0319089346351615	0.0333434196501356	0.0315269013591455	0.0312301762027195	0.030134591496721	0.0313112487647369	0.0330657822947778	0.0333189547195294	0.0326263327868124	0.0328129412649879	0.0322940654293758	0.0308805242813739	0.0307318574187884	0.032026174534396	0.0311792782408213	0.0326337624274518	0.0319303947278074	0.0320415471099546	0.0319942463506377	0.0314801863461335	0.0308146805340206	0.0320575925448702	0.0321333029426976	0.032150649079295	0.032421479962227	0.032123417859473	0.0325305532523828	0.0328448091127814	0.0311217270286952	0.0315321529955635	0.032975525485677	0.0322076460202802	0.0323813227590275	0.0270675558769743	0.0300067883670428	0.0327849073714096	0.0314890407272652	0.0298619129462597	0.0311387680417876	0.0323255089661976	0.0290652839596041	0.0310804282651792	0.0328352683644798	0.0337142869752243	0.0332158023174764	0.0324066880001077	0.0313794484714165	0.0314494901647258	0.0326079626700984	0.0325820871168935	0.0331294763782834	0.0333416035812302	0.0333304456351708	0.0332846145328408	0.0271410717661475	0.0326712718100072	0.032719587094758	0.0324317844987244	0.0274362536609915	0.0250861623238837	0.0293615885530035	0.0275280522719407	0.0297002867256387	0.0315603677456023	0.0293611457534592	0.0286576171040407	0.0307977128399651	0.0300040911896963	0.028680745721318	0.0330019814537856	0.0289638699159344	0.0318264149230061	0.0321078191390909	0.0303779590565368	0.027740194088888	0.0315345591215411	0.0298020419742924	0.0304837142078851	0.0295129513362419	0.032324394610055	0.0251956589644125	0.0313373813336959	0.0262480883281361	0.0296913501458594	0.0289655900755413	0.0299467907945249	0.0294219531493188	0.0304225433189774	0.0283443739506503	0.0286559649066119	0.0303432011245478	0.031376000613056	0.0231040544369154	0.0304254388219645	0.0296432066818125	0.029801572235376	0.0331344380569686	0.0288349905113625	0.031516287800987	0.0247487797594252	0.0301907373850403	0.0299868672193805	0.0306613885598594	0.0283040164626912	0.0294737727800326	0.0289453488731123	0.0307941331312283	0.024685763523041	0.0266824571215661	0.0284231515301432	0.0222286759150028	0.0313473616489478	0.0240734390210913	0.0244045262064824	0.030845351206729	0.0302901344992017	0.0268151241882914	0.032664372656783	0.03242793626504	0.0309573827264421	0.0293499172402068	0.0300054248262967	0.0291925869439483	0.0305226232992578	0.0299934877565529	0.0327925113538713	0.0251255053520971	0.0308649048868134	0.0293405581311225	0.030310509562837	0.02887401548589	0.0327648022519947	0.0331856132296347	0.0275386355511536	0.0313715824703217
"Metabolism|Global and overview maps|Carbon metabolism"	0.0264189765504541	0.0257555150994494	0.0264608054910472	0.0263245760963199	0.0263874418554329	0.0264227520839817	0.0260976779622548	0.0257249405006331	0.0263824904211368	0.0266508562274606	0.0264821662834616	0.0268039024735779	0.0263389375033627	0.0263910183397048	0.0269529943757373	0.0269011932221412	0.0262339229519635	0.0267548860999013	0.0268429134671666	0.0270167507325456	0.0266308243360352	0.0272025919469538	0.0266608795894705	0.0262277378468302	0.0267604238831393	0.0262230137611146	0.0261755324058996	0.0269940773799064	0.0258497288650889	0.0261697711971551	0.0264300317475215	0.0254570660582161	0.0259390360749978	0.0267752668102934	0.026323434362492	0.0260457355936466	0.0252340465452956	0.0254739967958449	0.0264316615723356	0.0267690136519455	0.0258162921209491	0.0268706777870937	0.0263743774912576	0.0264934569317862	0.0266722328897235	0.02591680263415	0.0261434093017943	0.0268761885869601	0.0263369851092253	0.0266844096810727	0.0261769416944205	0.026250064754945	0.026057019974379	0.0263449814532533	0.0261369720395744	0.0262216395337707	0.0264388245075711	0.0254784286719477	0.0263642264867294	0.0260827595416247	0.0266622226262391	0.0260240869245417	0.0247918192954153	0.0259937189656366	0.0248143016989272	0.0265402826542283	0.0258263202149389	0.0261698632185306	0.0258428026927622	0.0264912855195586	0.0258025453652218	0.0255042925108231	0.0264152326282645	0.0251686174558919	0.025914899273734	0.0256931514574912	0.0241772681498112	0.0246488217807089	0.0261315881255672	0.0248894395575802	0.0263233919928853	0.0258902505438433	0.0263211380556046	0.0224816276550672	0.025614337942176	0.0238039605649737	0.0258374713137369	0.0255265063381492	0.0262597152844847	0.0258240414032962	0.0258624391834865	0.0258469540943694	0.0249917015195233	0.0262269301284523	0.0254112662344677	0.0246233217156543	0.0262553956249865	0.0257058970481203	0.0256554403696394	0.0269807290625414	0.0259363476328968	0.0266794954126505	0.0263903220716104	0.0261532092909624	0.0266708674396946	0.0261664806626798	0.0265781349806228	0.0258137827125442	0.0250153535983385	0.0262450985683273	0.0260855322099828	0.0251010200904435	0.0258533357233529	0.0242847055823711	0.0262938659668215	0.0248087126216575	0.0248300200377	0.0265062201714592	0.0267626107628994	0.0255967850561054	0.0268241303534476	0.0263698765029141	0.0261995150282342	0.025749498591281	0.0254520458465445	0.0253659382907287	0.0262556698635125	0.0262469945750017	0.0265266081215355	0.0245193066959424	0.0262258897047905	0.0258720883364318	0.025760559612353	0.0255555883817296	0.0269709663082777	0.0263263676922019	0.0249823376865249	0.0264880665958072
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0243211006363487	0.0228411897985639	0.0248362988535002	0.021269662287053	0.0215770573460286	0.0227244502824074	0.0240098058847214	0.0258990030008659	0.0251043011982123	0.0209347917500449	0.0212228850954457	0.0225609757404452	0.0222542178136499	0.0221060181355244	0.0217359550203801	0.0261874013177013	0.0209091404109644	0.0232897384440841	0.0206994432166811	0.0229036587972202	0.022392792416998	0.0203926853246613	0.0226694313138046	0.0229253245832337	0.0221801387708077	0.022286229401448	0.0213945566120913	0.0212438621843428	0.023588432472718	0.0233005211931145	0.0224552085399474	0.0248393402472139	0.0220973046145934	0.0226164375533227	0.023349770228992	0.0251920874144559	0.0253721043438222	0.0230537445484441	0.0214356116390325	0.0225881428253298	0.0223178873245058	0.021587422596471	0.0217576252380145	0.01900022515531	0.0247752671671074	0.0230828647614649	0.020861907304406	0.020669728106687	0.0227450606463152	0.0232933078346546	0.0220671350842626	0.0221533924538344	0.023656900846221	0.0209019230138944	0.021725134313081	0.0212029785146105	0.0204664035985218	0.0243815606300859	0.0230353897824717	0.0220528474859229	0.0229909409145856	0.0188961730372265	0.0226285279476659	0.0271642968461774	0.0283290862907998	0.0290246635108438	0.0265041254007725	0.026929146064722	0.0278754891890644	0.0259946558070703	0.0257914346633311	0.0221842974679108	0.0210053093935405	0.0259448394309167	0.024144096455045	0.0232000337411872	0.0266096309073928	0.026889337577006	0.0219166863839508	0.024636641838481	0.024068437011119	0.0246453377061302	0.0228658918938149	0.02594303798748	0.0234858613532604	0.0231826033506619	0.0232195059648785	0.0307693107601436	0.0271332019338947	0.0245683256353503	0.0246647727597257	0.0285039965467918	0.0209505753194647	0.0258732613007994	0.0268029784532219	0.0219360121377165	0.024199318953924	0.0272468421840958	0.0236923291683715	0.0210691923962787	0.0254601317845625	0.0222535298843857	0.0201307310682388	0.0235510443957906	0.0257321134441855	0.0228888636279193	0.026329087954289	0.0228574917222679	0.0256007232789622	0.0238279582791733	0.0178723544415336	0.0263117958913271	0.0290949204266865	0.0230980620050275	0.0248202776118625	0.024448508467382	0.0237342306927511	0.0261812284516221	0.0246485739862345	0.0259048248549374	0.0223929989028299	0.0238593433797169	0.0256434770670386	0.0283800331414389	0.0270666249591633	0.0276483961775785	0.0263959816348449	0.023091253833556	0.0239262005822618	0.0250937603526191	0.0247555046354729	0.0251892572805218	0.023839381928049	0.0241638636801146	0.0215617631418764	0.0219640641869056	0.0240324438037414	0.023205918637492
"Metabolism|Nucleotide metabolism|Purine metabolism"	0.0166509703589678	0.0158198839224485	0.0166878252884907	0.0168828768512448	0.0169998303355187	0.0164905995342606	0.0165896867612117	0.0159056783100253	0.0163547133762166	0.0170641236212682	0.0180174678967005	0.0170305418590042	0.0175686284026757	0.0177302995738821	0.0163273304534222	0.0158240615766326	0.0178675755239787	0.0160447470423278	0.0175044090258417	0.0163213491124458	0.016947350627896	0.016451698986258	0.0163543511656606	0.016799338162788	0.0169440394102528	0.0177148740905388	0.0174850696229162	0.016917247460663	0.0166870945119027	0.0175085043829645	0.0174843230079523	0.0163811061764915	0.0161223935389059	0.0165242132652712	0.0169261942233662	0.0167722073758279	0.0141258445047821	0.0160728377832639	0.0166802657585197	0.0164346520777913	0.0157890700480759	0.0161942896103769	0.0171154112587812	0.0155013122517056	0.0162195514636296	0.0170088330480659	0.0184687426536122	0.0172567615488093	0.0175318468601763	0.0161308869308551	0.0173944587751985	0.0175356014869867	0.0179922054219936	0.0177807733988103	0.0177762219752178	0.0183772706637724	0.0180294173253509	0.0155466554145784	0.017047529221668	0.0182748346117362	0.017056991295198	0.0148991933127026	0.0144250266958453	0.0153734233522415	0.0139564084710514	0.0152902882775946	0.0158876909671299	0.0158207534006981	0.0149316737337391	0.0161051250885646	0.0159101595698664	0.0141963742031028	0.0178241663651236	0.0142879999475497	0.0168432346741704	0.0176089100046598	0.0156552793971395	0.0141387628579777	0.017162288848302	0.0148468289895542	0.0153665060633972	0.0149318095663286	0.0171359091656085	0.0141083451892935	0.0164386738722324	0.0134810506689071	0.0161309423621673	0.01430048405733	0.0156401891109558	0.0156260274884406	0.0159067856648827	0.014550134316665	0.0158053170292481	0.0154255639341225	0.0160192354041871	0.014743830111015	0.0163224723594523	0.0160335266633119	0.0152603219855409	0.0170444770126827	0.0149722537057458	0.0164181111699437	0.0134050543599665	0.0158283742828339	0.0160862025778426	0.0161375204406028	0.0146691635084704	0.0152410889241735	0.0157106570749939	0.0167282748010728	0.0138578746874052	0.0145751825839428	0.0144559555341631	0.0129869427226598	0.016872252747588	0.0137727877249222	0.0148516427897331	0.0161960080574204	0.0153200584514446	0.0144999845762382	0.0165846861041311	0.0170040525180285	0.0158437981347081	0.0150023471034215	0.0154906722819839	0.0148889377763106	0.0150660267026331	0.0153385105239072	0.0162388258943977	0.0135057422720718	0.0156513312785156	0.0153685827481751	0.0158968206439705	0.0151091280822436	0.0171337610844255	0.0172128561085554	0.0150575287998507	0.0164321643255051
