"Taxa"	"warble_1"	"warble_2"	"warble_3"	"warble_4"	"warble_6"	"warble_7"	"warble_9"	"warble_10"	"warble_12"	"warble_14"	"warble_15"	"warble_20"	"warble_33"	"warble_42"	"warble_43"	"warble_45"	"warble_49"	"warble_50"	"warble_52"	"warble_53"	"warble_54"	"warble_57"	"warble_58"	"warble_60"	"warble_63"	"warble_68"	"warble_69"	"warble_73"	"warble_80"	"warble_83"	"warble_84"	"warble_85"	"warble_87"	"warble_88"	"warble_89"	"warble_90"	"warble_93"	"warble_94"	"warble_95"	"warble_96"	"warble_97"	"warble_100"	"warble_101"	"warble_103"	"warble_104"	"warble_106"	"warble_107"	"warble_108"	"warble_109"	"warble_110"	"warble_111"	"warble_112"	"warble_114"	"warble_117"	"warble_118"	"warble_119"	"warble_120"	"warble_121"	"warble_122"	"warble_123"	"warble_125"	"warble_126"	"warble_127"	"warble_135"	"warble_136"	"warble_137"	"warble_139"	"warble_140"	"warble_141"	"warble_144"	"warble_145"	"warble_147"	"warble_148"	"warble_149"	"warble_150"	"warble_151"	"warble_152"	"warble_153"	"warble_154"	"warble_157"	"warble_158"	"warble_159"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"warble_173"	"warble_178"	"warble_180"	"warble_181"	"warble_185"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"warble_192"	"warble_197"	"warble_200"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"
"animal_parasites_or_symbionts"	0.237428603427035	0.215573122529644	0.221491725232374	0.252056629041515	0.306040268456376	0.155514128728414	0.219612879552335	0.173384706579727	0.152454517735542	0.375626342161775	0.515285522014997	0.40539914262542	0.278869778869779	0.352922981750696	0.248124479021951	0.198014152020087	0.273278949462794	0.242030296179064	0.347163287757347	0.256423566052427	0.266222378112943	0.325806451612903	0.263976608187134	0.257427358798563	0.289195315451454	0.260343901128426	0.3751345532831	0.320412999322952	0.347207524985303	0.320700896495517	0.411936936936937	0.324555270721665	0.377416756176155	0.312280015643332	0.3551550490326	0.368246153846154	0.172932330827068	0.33411993337035	0.406635349383441	0.339839572192513	0.32060781112646	0.318356488323973	0.377661711530735	0.251380163715972	0.220307167235495	0.370864461045891	0.362774529941539	0.308290155440414	0.333333333333333	0.388757196071791	0.387984981226533	0.414472716575967	0.341100882240123	0.360970677451972	0.354183590576767	0.385840953172624	0.473555430077169	0.158424174414877	0.343678765561985	0.357027664061531	0.298962629671291	0.116845967290591	0.109719643812341	0.106607544341744	0.0620998278829604	0.103832991101985	0.257068773922706	0.285079490471018	0.249617412004761	0.208829544087574	0.165501165501166	0.131487110210514	0.498966704936854	0.182159456560601	0.193809974320854	0.206616435130681	0.166279277668514	0.0854274788309205	0.379184577308844	0.169370049038099	0.229189385677935	0.246022727272727	0.364990689013035	0.159489486732164	0.312783906554186	0.0572227648051141	0.156142268561339	0.0647402056126702	0.12085096903542	0.141093828399398	0.128455284552846	0.151373407643312	0.180220514533913	0.2083940542116	0.0962459298984869	0.121543688474606	0.189473684210526	0.178617732123267	0.191819371727749	0.19977378764315	0.159025018790937	0.258115597783056	0.103038348972634	0.273066268911144	0.218717359515354	0.183776776344219	0.188029752637952	0.203927068723703	0.215450387751044	0.262797588637989	0.0792939435577634	0.149705791266646	0.10718492343934	0.125360967942391	0.24735344336938	0.0621631747312603	0.146974917565114	0.164800923254472	0.169023136246787	0.122936320754717	0.160823838737949	0.290259830484924	0.237545250818824	0.267855201652353	0.238104319633832	0.23299842232002	0.254252303330971	0.377563759586231	0.23605884365378	0.117659665666524	0.251449532599692	0.153612565445026	0.232588049070044	0.246390864037923	0.304493307839388	0.371493555724033	0.170722345896983	0.20154711673699
"chemoheterotrophy"	0.175383581588084	0.154940711462451	0.195533892541374	0.165008609144825	0.197651006711409	0.237833594976452	0.164938996422347	0.203714680893104	0.212521597723346	0.171438797423049	0.148432993655066	0.182018306105897	0.213622713622714	0.179915455201567	0.174492914698527	0.211253138552842	0.171508157580581	0.183359710603663	0.176331918906176	0.194913054762523	0.205015783935461	0.187557603686636	0.199181286549708	0.155076722167809	0.183792973177182	0.172308794554899	0.142626480086114	0.18127962085308	0.17119341563786	0.191320293398533	0.15518018018018	0.180610580284316	0.151852846401719	0.197105983574501	0.171349059104161	0.192984615384615	0.16994292961319	0.152415324819545	0.157369348209043	0.157754010695187	0.166394574908954	0.163464380727165	0.143832864604259	0.148581762802208	0.196075085324232	0.179028815368196	0.156580818454732	0.159614277489925	0.169450496247882	0.152387402641382	0.163579474342929	0.14811001617885	0.196969696969697	0.153112812364582	0.14914703493095	0.150041562759767	0.128740824392998	0.170407181789035	0.167631071365948	0.14812058057313	0.214723159605049	0.22591878614514	0.14678581542431	0.230077441918561	0.268571428571429	0.212525667351129	0.227435485862452	0.173792831045719	0.188318313212039	0.227475039095393	0.226495726495727	0.200945626477541	0.160734787600459	0.20146585627458	0.225435869712123	0.209677419354839	0.187913463257643	0.257716470909587	0.153315097043116	0.215993964541682	0.185296255906943	0.176022727272727	0.172408441961515	0.166192268845836	0.201168072680078	0.229601349551629	0.195997645673926	0.252014448457905	0.240699487636445	0.225689914701455	0.230325203252033	0.236763535031847	0.230203808887404	0.230399300495482	0.264508714805593	0.12598658419723	0.200438596491228	0.20743991223696	0.192539267015707	0.220839813374806	0.221196177386449	0.187648456057007	0.132184775065625	0.168122735989772	0.189158136620012	0.197110932773628	0.191489361702128	0.195301542776998	0.218830781467489	0.195054664350669	0.0896522566324913	0.201920099101889	0.186920673938649	0.143893701794787	0.194194649971542	0.133390011239517	0.142269645437368	0.221465666474322	0.219280205655527	0.173791273584906	0.238825591586328	0.186744476865361	0.207205654197552	0.192520926187629	0.182225612663297	0.198206426970024	0.209780297661233	0.164794007490637	0.23605884365378	0.184383483354765	0.180097029937286	0.218429319371728	0.19192718638702	0.193708252531782	0.201242829827916	0.147081122062168	0.166730636370615	0.19774964838256
"fermentation"	0.170343823496472	0.153201581027668	0.193720244842439	0.161373636885403	0.19496644295302	0.234791993720565	0.162095220621961	0.196700256866232	0.209777416404106	0.165891195418754	0.140742164968275	0.180512107519407	0.198471198471198	0.175275801629034	0.172686857460406	0.209883588221867	0.17041384799045	0.180985756274022	0.173188747446173	0.19192836750584	0.202735882146615	0.183870967741935	0.196842105263158	0.153689193601045	0.181337363052512	0.167562242521942	0.135495156081808	0.153520649966148	0.164726631393298	0.187652811735941	0.151576576576577	0.178668531033947	0.149436090225564	0.190457567461869	0.167903525046382	0.186215384615385	0.166002355285805	0.147695724597446	0.152671755725191	0.149197860962567	0.137134245887228	0.15755246822347	0.141422257934914	0.103464686845612	0.190443686006826	0.171691568836713	0.148838679096224	0.149683362118595	0.163519728879206	0.14595326786319	0.157947434292866	0.145168407118694	0.192079018028385	0.149357215080168	0.146222583265638	0.145746744250485	0.122906079427819	0.166399487015069	0.162195335788182	0.145019228383575	0.209473815773028	0.0988744481064611	0.124539819388943	0.228391206595054	0.264234079173838	0.208692676249144	0.221138412149648	0.166090648760739	0.180581533752763	0.223024178996752	0.214160839160839	0.19768096363841	0.141905855338691	0.198248122988917	0.221246114339776	0.207322816105486	0.184963347040944	0.253004643540016	0.151361208805523	0.197585816672954	0.179843693202472	0.167613636363636	0.168373680943513	0.160132219263612	0.173588578844906	0.225339607564592	0.180274110821492	0.247985551542095	0.234796168411673	0.220471650777722	0.221056910569106	0.233578821656051	0.129769462078183	0.215243369280093	0.253208197663283	0.124157156546738	0.193092105263158	0.198065223895482	0.182198952879581	0.215184504453556	0.219585525609363	0.185273159144893	0.0682497058202335	0.155124653739612	0.186651347399206	0.193530464843509	0.182407887908666	0.188008415147265	0.190395704911513	0.192602431797282	0.0713878025578692	0.19746051409105	0.185537973062939	0.118013671089666	0.191576550939101	0.127049770886769	0.139602089585417	0.21731102135026	0.214910025706941	0.170474646226415	0.232909728308501	0.177712935945533	0.193759696604034	0.184802695945211	0.174597120244112	0.180104625093415	0.19826364280652	0.144997324772606	0.21861101607937	0.171810258608373	0.176073837415691	0.177486910994764	0.176394934705184	0.180025856496445	0.179015296367113	0.136087945413192	0.160282490212635	0.191842475386779
"anaerobic_chemoheterotrophy"	0.167095979392989	0.141581027667984	0.193720244842439	0.16118232255596	0.19496644295302	0.234791993720565	0.162095220621961	0.195415925706382	0.209370871023478	0.165533285612026	0.139780811382426	0.180512107519407	0.198061698061698	0.17372925043819	0.157821617115866	0.209427071444876	0.167827298050139	0.17951616549853	0.172560113154173	0.189722294316117	0.201508242721852	0.181797235023041	0.196842105263158	0.146914789422135	0.181337363052512	0.167562242521942	0.134015069967707	0.153520649966148	0.163903586125808	0.18561532192339	0.151576576576577	0.170900334032471	0.144334049409237	0.190457567461869	0.164590511529287	0.186215384615385	0.138463628951898	0.142143253747918	0.152084556664709	0.1475935828877	0.133492402360919	0.154005320721253	0.139681264229275	0.10022844089092	0.188566552901024	0.171424759871932	0.148206667720019	0.149395509499136	0.163519728879206	0.144937351845581	0.157196495619524	0.141197234887483	0.191215957038742	0.148346092734364	0.141510966693745	0.142006095871433	0.117447769621683	0.161029176017954	0.161669296861301	0.143902741595336	0.207849018872641	0.0945214849822772	0.0676504829929832	0.228141393954534	0.263476764199656	0.208692676249144	0.217804667242869	0.165596919127086	0.180156435980276	0.222422711415855	0.212509712509713	0.197568389057751	0.14052812858783	0.194315337861995	0.218543046357616	0.207322816105486	0.182996602896478	0.252390057361377	0.150449394294646	0.197284043757073	0.17920756088695	0.161590909090909	0.167908131595282	0.1467725645028	0.173155959333766	0.224629317233419	0.180274110821492	0.247985551542095	0.227779015370907	0.220070245860512	0.220569105691057	0.231190286624204	0.128032074841296	0.215243369280093	0.252154759624593	0.11548044254726	0.186732456140351	0.197167647352149	0.181871727748691	0.214901739007493	0.216149468484914	0.180047505938242	0.0495127176175965	0.153206903899425	0.18550240233967	0.192604481758133	0.178948278844491	0.18765778401122	0.189202624776298	0.191682844589762	0.0234224711975478	0.176401362650976	0.179751113842372	0.00652483824980809	0.191121229368241	0.0629412951381884	0.135230261939165	0.216618580496249	0.212082262210797	0.134139150943396	0.230937773882559	0.176740308461859	0.188071022237545	0.174584193934123	0.171831791742157	0.179689446151291	0.197909284195606	0.14446227929374	0.21861101607937	0.110801543077583	0.176073837415691	0.160628272251309	0.174614166996438	0.167313079077785	0.178537284894837	0.130212282031842	0.143701542949259	0.191842475386779
"human_associated"	0.0726845111434651	0.0755731225296443	0.0541827250056677	0.0731777310120528	0.0261744966442953	0.0366954474097331	0.0776075589395468	0.0651057103339261	0.0602703526781177	0.0366857551896922	0.011920784464526	0.016220600162206	0.0278460278460278	0.0302092999278276	0.0602945262572937	0.0485049075553527	0.0632709908475926	0.0628532670133394	0.0394468018230394	0.0502206073189723	0.0303402314977201	0.0338709677419355	0.0444444444444444	0.0856186745021221	0.0466565923687193	0.0737954504746552	0.0613562970936491	0.0492552471225457	0.042445620223398	0.0296454767726161	0.040990990990991	0.0238483647945312	0.0445757250268529	0.0322643723113023	0.0406838059899284	0.0172307692307692	0.091131443065495	0.058023320377568	0.0364063417498532	0.0609625668449197	0.0609066934572397	0.0545373928465858	0.0598633989554038	0.0470207500475919	0.0598976109215017	0.0278815368196371	0.0557750039500711	0.0703799654576856	0.0505930767368676	0.0458855401286827	0.0300375469336671	0.0425062509192528	0.0202339854238588	0.0580673118590207	0.0620633631194151	0.0530617899695206	0.0451722190852625	0.0761462007053543	0.040154304751885	0.0626473142290038	0.0144981877265342	0.0284808158696599	0.0854598659576477	0.0454659005745691	0.0289156626506024	0.0626283367556468	0.017286084701815	0.0591488101115829	0.058068355721816	0.0353662937567665	0.0502136752136752	0.0790273556231003	0.00757749712973594	0.0584554880228816	0.0370320313555886	0.0482693666117259	0.0722331485785804	0.0320950559956296	0.0278754721896574	0.0605809128630705	0.0683387858960378	0.0718181818181818	0.0392613283674736	0.0574327426315306	0.0333117023577763	0.0408416940424398	0.071891028335996	0.0459849958321756	0.0399866339942081	0.0507777220270948	0.0552032520325203	0.0410031847133758	0.0535917139993318	0.0351209559895074	0.033710017238077	0.113633591776287	0.0461622807017544	0.043283135534058	0.0700261780104712	0.0462321504312173	0.0521851175775797	0.0543151227236738	0.0854479075521226	0.0670147027487747	0.0483601420513892	0.0662386567072041	0.0710084760422073	0.0659887798036465	0.0446410817259893	0.0447532440993154	0.078575203466864	0.0537008361721895	0.0875710554616685	0.120554154329788	0.0536141149686966	0.0596558978644918	0.107998962617169	0.0543566070398154	0.0519280205655527	0.0644899764150943	0.0374671340929009	0.0462692788661943	0.043440786071367	0.0445700619632569	0.0638886240106799	0.0595366603005896	0.0354358610914245	0.0376315320135545	0.0212110845022237	0.0750821545935134	0.0657910306472607	0.0596858638743456	0.0631183221210922	0.0563456151691446	0.0313097514340344	0.0547763457164519	0.0951101558301989	0.0610407876230661
"human_gut"	0.0704446186583044	0.0746245059288538	0.053729313080934	0.0726994451884447	0.0194630872483222	0.03600863422292	0.0776075589395468	0.0649081209247185	0.0602703526781177	0.0361488904795991	0.0111517015958469	0.016220600162206	0.027027027027027	0.0258789565934632	0.0577938316198944	0.0391463136270258	0.0623756466374851	0.0598010400180873	0.0366179475090366	0.0493122242408513	0.0277095755875131	0.0313364055299539	0.0444444444444444	0.0787626509957558	0.0398564412542501	0.0722729715206878	0.0565123789020452	0.0390995260663507	0.0390358612580835	0.0274042379788101	0.0364864864864865	0.0187990367435718	0.038265306122449	0.0322643723113023	0.0392260800424066	0.0161230769230769	0.0848808768910227	0.0502498611882287	0.0352319436288902	0.0561497326203208	0.0575160115534346	0.0496600650310375	0.0530333467255926	0.033028745478774	0.057679180887372	0.0278815368196371	0.0548269868857639	0.0700921128382268	0.0481723553618979	0.0436843887571961	0.0202753441802253	0.0425062509192528	0.0185078634445723	0.0574895276614185	0.0614134849715678	0.0511221945137157	0.0447957839262187	0.0442048733568451	0.0389268805891636	0.0534673117479221	0.0133733283339583	0.0190908525589205	0.0619552562852019	0.0451536347739195	0.0289156626506024	0.0623545516769336	0.0167921965674775	0.0457193640762318	0.0505016153715355	0.0342836521111512	0.0458430458430458	0.0785207700101317	0.00665901262916188	0.0584554880228816	0.0363562643600487	0.0476807157993878	0.0715179688896835	0.0307293089319858	0.00898788589292692	0.0604300264051301	0.0677026535805162	0.0713636363636363	0.0392613283674736	0.0546781746396107	0.0329872377244214	0.0408416940424398	0.0717228621878416	0.0457071408724646	0.0392069503230118	0.050275965880582	0.0546341463414634	0.0406050955414013	0.0281991313063816	0.034392305450306	0.0326565791993871	0.0502657025873334	0.0407894736842105	0.037000099730727	0.0615837696335078	0.0462321504312173	0.0477826693868786	0.052098178939034	0.0324653773044082	0.0620072448327296	0.045644453728849	0.0655596024445953	0.0646081992734821	0.0654978962131837	0.0408629946311394	0.0393378972105855	0.0561885635767889	0.0437287085785073	0.0848568648537922	0.110081514785978	0.0529311326124075	0.0527536816622957	0.060501648697714	0.0541257934218119	0.0478149100257069	0.0464327830188679	0.0365907099035933	0.0450187578157566	0.0413721772108257	0.0435916947494293	0.0616000762849242	0.0587893382047663	0.0343727852586818	0.0304975922953451	0.0106055422511119	0.0691527361051579	0.0644894095373329	0.0551832460732984	0.0627225959635932	0.054945054945055	0.0303537284894837	0.0517437452615618	0.0479005143164198	0.0566807313642757
"mammal_gut"	0.0704446186583044	0.0746245059288538	0.053729313080934	0.0726994451884447	0.0194630872483222	0.03600863422292	0.0776075589395468	0.0649081209247185	0.0602703526781177	0.0361488904795991	0.0111517015958469	0.016220600162206	0.027027027027027	0.0258789565934632	0.0577938316198944	0.0391463136270258	0.0623756466374851	0.0598010400180873	0.0366179475090366	0.0493122242408513	0.0277095755875131	0.0313364055299539	0.0444444444444444	0.0787626509957558	0.0398564412542501	0.0722729715206878	0.0565123789020452	0.0390995260663507	0.0390358612580835	0.0274042379788101	0.0364864864864865	0.0187990367435718	0.038265306122449	0.0322643723113023	0.0392260800424066	0.0161230769230769	0.0848808768910227	0.0502498611882287	0.0352319436288902	0.0561497326203208	0.0575160115534346	0.0496600650310375	0.0530333467255926	0.033028745478774	0.057679180887372	0.0278815368196371	0.0548269868857639	0.0700921128382268	0.0481723553618979	0.0436843887571961	0.0202753441802253	0.0425062509192528	0.0185078634445723	0.0574895276614185	0.0614134849715678	0.0511221945137157	0.0447957839262187	0.0442048733568451	0.0389268805891636	0.0534673117479221	0.0133733283339583	0.0190908525589205	0.0619552562852019	0.0451536347739195	0.0289156626506024	0.0623545516769336	0.0167921965674775	0.0457193640762318	0.0505016153715355	0.0342836521111512	0.0458430458430458	0.0785207700101317	0.00665901262916188	0.0584554880228816	0.0363562643600487	0.0476807157993878	0.0715179688896835	0.0307293089319858	0.00898788589292692	0.0604300264051301	0.0677026535805162	0.0713636363636363	0.0392613283674736	0.0546781746396107	0.0329872377244214	0.0408416940424398	0.0717228621878416	0.0457071408724646	0.0392069503230118	0.050275965880582	0.0546341463414634	0.0406050955414013	0.0281991313063816	0.034392305450306	0.0326565791993871	0.0502657025873334	0.0407894736842105	0.037000099730727	0.0615837696335078	0.0462321504312173	0.0477826693868786	0.052098178939034	0.0324653773044082	0.0620072448327296	0.045644453728849	0.0655596024445953	0.0646081992734821	0.0654978962131837	0.0408629946311394	0.0393378972105855	0.0561885635767889	0.0437287085785073	0.0848568648537922	0.110081514785978	0.0529311326124075	0.0527536816622957	0.060501648697714	0.0541257934218119	0.0478149100257069	0.0464327830188679	0.0365907099035933	0.0450187578157566	0.0413721772108257	0.0435916947494293	0.0616000762849242	0.0587893382047663	0.0343727852586818	0.0304975922953451	0.0106055422511119	0.0691527361051579	0.0644894095373329	0.0551832460732984	0.0627225959635932	0.054945054945055	0.0303537284894837	0.0517437452615618	0.0479005143164198	0.0566807313642757
"aerobic_chemoheterotrophy"	0.0081756075708366	0.0133596837944664	0.00181364769893448	0.00382628658886551	0.00302013422818792	0.00304160125588697	0.00284377580038528	0.00839754989132583	0.00315072669986787	0.00590551181102362	0.0084599115554701	0.00150619858649056	0.0154245154245154	0.00618620476337767	0.0166712975826619	0.00182606710796622	0.00378034222045364	0.00384354510513226	0.00377180575200377	0.0051907604464054	0.00350754121360926	0.00552995391705069	0.00233918128654971	0.00816193274567417	0.00245561012466944	0.00474655203295719	0.00861141011840689	0.027758970886933	0.00728982951205174	0.00570497147514262	0.0036036036036036	0.00971024625184494	0.00751879699248121	0.00645287446226046	0.00675854757487411	0.00689230769230769	0.0314340067035057	0.0101332593003887	0.00528479154433353	0.0101604278074866	0.0329021725480347	0.00960685781850428	0.00415160037498326	0.0483533219112888	0.00750853242320819	0.00773745997865528	0.00837415073471322	0.0102187679907887	0.00593076736867587	0.00745005079580088	0.00638297872340425	0.00691278129136638	0.00575373993095512	0.00476671963021812	0.00763606823720552	0.00803546688833472	0.0112930547713156	0.00937800577108047	0.00578642819568648	0.00409378489021213	0.00699912510936133	0.131397301162863	0.0791353324313269	0.00193604796402698	0.00509466437177281	0.00383299110198494	0.00963081861958266	0.00809716599190283	0.00816187723176331	0.00505232767953808	0.0140831390831391	0.00337723741979061	0.0204362801377727	0.00715051841258491	0.00689282335450737	0.00235460324935248	0.00500625782227785	0.00532641354821087	0.00286570274846945	0.0187099207846096	0.00608869501999273	0.0144318181818182	0.00450031036623215	0.0194197043430355	0.0280121133463119	0.00497203231821007	0.0157235348524342	0.00402889691580994	0.012920472265538	0.0056196688409433	0.00975609756097561	0.00557324840764331	0.102171734046108	0.0153016613232294	0.0123539551809998	0.0105235647704504	0.0137061403508772	0.010272264884811	0.0106020942408377	0.00593807436731231	0.00504670890153549	0.00775930324623911	0.0826720574480282	0.0149158320903473	0.00376018383120952	0.00450645101549478	0.0125410828576371	0.0076437587657784	0.0295287333465898	0.00337181976090733	0.0662297854349434	0.0254567977702075	0.00716956009627695	0.137368863544979	0.00307342060330108	0.0704487161013286	0.00700233411137046	0.00484708597807271	0.00719794344473008	0.0396521226415094	0.00788781770376862	0.0100041684035015	0.0191346319600069	0.0179367322535058	0.0103938209211405	0.0185169808187329	0.0118710134656272	0.0203317281968967	0.0174478275744099	0.0736533790541506	0.00390486332978346	0.0578010471204189	0.0174119509299565	0.026395173453997	0.022944550669216	0.016868840030326	0.0231058570660935	0.00590717299578059
"nitrate_reduction"	0.00246388173367678	0.0166798418972332	0.000793470868283836	0.00698297302467955	0.00805369127516779	0.000686813186813187	0.0036693881295294	0.000395178818415333	0.00223599959345462	0.000715819613457408	0.00173043645452797	0.000231722859460086	0.00122850122850123	0.0031962057944118	0.0129202556265629	0.00330974663318877	0.00218861918026264	0.00124349988695456	0.00141442715700141	0.00168699714508176	0.00631357418449667	0.00921658986175115	0.000467836257309941	0.00620306888671237	0.00207782395164337	0.000626903098692459	0.00511302475780409	0.0003385240352065	0.00211640211640212	0.00539934800325998	0.00045045045045045	0.0117299774722287	0.00805585392051558	0	0.00119268486615425	0.00110769230769231	0.0082435003170577	0.0204053303720155	0.00205519671168526	0.00147058823529412	0.00502323245008163	0.00857227313035767	0.00174099370563814	0.0394060536836094	0.00409556313993174	0.00240128068303095	0.000632011376204771	0.00100748416810593	0.00193657709997579	0.00711141212326447	0.011639549436796	0.00264744815414031	0.00172612197928654	0.000577784197602196	0.00211210398050365	0.00180105292324744	0.00169395821569735	0.0321016351394678	0.00578642819568648	0.00136459496340404	0.00387451568553931	0.026490889870033	0.0403700324093012	0.000562078441169123	0.000757314974182444	0.00136892539356605	0.0054327694777133	0.00157993482768836	0.00110525420846795	0.000240587032358956	0.00194250194250194	0	0.00367393800229621	0.00598855917053986	0.00513582916610353	0.00105957146220862	0.00438047559449312	0.00122917235727943	0.0106812556988407	0.0003017729158808	0.00381679389312977	0.00681818181818181	0	0.0892020934716739	0.00432619511139952	0.000887862913966084	0.000588581518540318	0.000486246179494304	0.00946758743595456	0.00130456598093327	0.00105691056910569	0.000895700636942675	0.0261276311393251	0.000582920431361119	0.000670369660984486	0.0735778377907483	0.0119517543859649	0.01296499451481	0.00261780104712042	0.000989679061218719	0.00504670890153549	0.00348376880443389	0.0497239236037776	0.0044747496271042	0.012116147900564	0.00382739675288598	0.00657325722193392	0.000490883590462833	0.0055677072976735	0.00183917441504036	0.124257478067858	0.0175905853205327	0.00271419060787627	0.0140914573966444	0.00102447353443369	0.069353583676763	0.0496832277425809	0.000807847663012118	0.0051413881748072	0.0347140330188679	0.00284837861524978	0.00305682923440322	0.00568867436648854	0.00673986302859006	0.0082959855058644	0.000166071576849622	0.00124025513819986	0.00677724273229891	0	0.0397199599942849	0.00260324221985564	0.00774869109947644	0.00267115156311832	0.00430941607412196	0.000956022944550668	0.00928733889310084	0.0174253473554924	0.00689170182841069
"human_pathogens_all"	0.00369582260051517	0.0196837944664032	0.00702788483337112	0.00277405777692749	0.0134228187919463	0.00608320251177394	0.00119255114209706	0.0050385299347955	0.000406545380628112	0.00125268432355047	0.0030763314747164	0.000231722859460086	0.00218400218400218	0.00484586039797917	0.00652959155320923	0.00935859392832687	0.0028849980103462	0.00361745421659507	0.00377180575200377	0.00116792110044122	0.00701508242721852	0.00299539170506912	0.000233918128654971	0.012324518445968	0.00717793728749528	0.00197026688160487	0.0104951560818084	0.010155721056195	0.00388007054673721	0.00387123064384678	0.0045045045045045	0.00675833139128408	0.00684747583243824	0.000391083300743058	0.00238536973230851	0.00135384615384615	0.00806232448591358	0.0111049416990561	0.00117439812096301	0.0053475935828877	0.00414416677131734	0.0072420928170263	0.00776751037900094	0.0148486579097659	0.0030716723549488	0	0.00110601990835835	0.000575705238917674	0.00242072137496974	0.00338638672536403	0.0220275344180225	0.00029416090601559	0.00210970464135021	0.00101112234580384	0.00113728675873274	0.00221668052091992	0.000752870318087709	0.053422571336967	0.00157811678064177	0.00967621883141049	0.00387451568553931	0.00994962999813445	0.034454548315031	0.00293529852610542	0.000481927710843374	0.0193702943189596	0.00271638473885665	0.0138244297422731	0.00773677945927564	0.00156381571033321	0.00825563325563326	0.000900596645277496	0.00252583237657865	0.00196639256346085	0.00175699418840384	0.00211914292441724	0.00241373145002682	0.00184375853591915	0.0191481047284095	0.0013579781214636	0.00181752090149037	0.00204545454545454	0	0.0147828482233036	0.000216309755569976	0.00812394566278967	0.010258135037417	0.0105584884690192	0.000779683671196258	0.00200702458605118	0.00178861788617886	0.000696656050955414	0.0307383895756766	0.00102011075488196	0.0027772457383643	0.108511194354909	0.00734649122807018	0.00917522688740401	0.00857329842931937	0.000282765446062491	0.0134220981423816	0.00285035629453682	0.0580514739160607	0.00543362454719795	0.00678922080635053	0.00135810852521761	0.00977339560629649	0.000631136044880785	0.00507059057466693	0.0059262286706856	0.0306310115209809	0.0156704862186435	0.0033287243304143	0.0112950981467266	0.00603301081388731	0.00962563762644457	0.0951428253862399	0.000461627236006925	0.00629820051413882	0.0297759433962264	0.0035056967572305	0.00250104210087536	0.00224099293225306	0.00510925100554408	0.00533994469342996	0.0007473220958233	0.00124025513819986	0.0115926520420902	0.0123161135819364	0.0110015716530933	0.00260324221985564	0.00513089005235602	0.000989315393747527	0.00430941607412196	0.002151051625239	0.00758150113722517	0.0590312428034083	0.0106891701828411
