"Taxa"	"warble_1"	"warble_2"	"warble_3"	"warble_4"	"warble_6"	"warble_7"	"warble_9"	"warble_10"	"warble_12"	"warble_14"	"warble_15"	"warble_20"	"warble_33"	"warble_42"	"warble_43"	"warble_45"	"warble_49"	"warble_50"	"warble_52"	"warble_53"	"warble_54"	"warble_57"	"warble_58"	"warble_60"	"warble_63"	"warble_68"	"warble_69"	"warble_73"	"warble_80"	"warble_83"	"warble_84"	"warble_85"	"warble_87"	"warble_88"	"warble_89"	"warble_90"	"warble_93"	"warble_94"	"warble_95"	"warble_96"	"warble_97"	"warble_100"	"warble_101"	"warble_103"	"warble_104"	"warble_106"	"warble_107"	"warble_108"	"warble_109"	"warble_110"	"warble_111"	"warble_112"	"warble_114"	"warble_117"	"warble_118"	"warble_119"	"warble_120"	"warble_121"	"warble_122"	"warble_123"	"warble_125"	"warble_126"	"warble_127"	"warble_135"	"warble_136"	"warble_137"	"warble_139"	"warble_140"	"warble_141"	"warble_144"	"warble_145"	"warble_147"	"warble_148"	"warble_149"	"warble_150"	"warble_151"	"warble_152"	"warble_153"	"warble_154"	"warble_157"	"warble_158"	"warble_159"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"warble_173"	"warble_178"	"warble_180"	"warble_181"	"warble_185"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"warble_192"	"warble_197"	"warble_200"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"
"Metabolism|Global and overview maps"	0.385285216395694	0.379861017436739	0.384571048527094	0.389561419312808	0.399352499240371	0.387368091586443	0.383317849654239	0.37514825932774	0.383197211867566	0.397310900213132	0.3967428837796	0.395193852157229	0.39235656088126	0.391950543669882	0.392574998977718	0.383026221720325	0.390372711193028	0.387677703909382	0.397688913341812	0.392699023023075	0.392401132032915	0.400187847651609	0.389129131419754	0.385341206059279	0.392704405282018	0.391274775830401	0.392066524030289	0.397590335864678	0.386363529732706	0.389875639002363	0.39354330504198	0.383356541252511	0.388049720495677	0.395837878599314	0.389319114667139	0.388250172505941	0.366347839479779	0.383394833738959	0.399488071650679	0.39128443348295	0.384949282292907	0.393213412098138	0.391751178808894	0.391474579532831	0.387909137951364	0.390060739503452	0.396001226090075	0.399412912760508	0.391210965547269	0.390584261435952	0.389125854269629	0.392078425078835	0.388092909004147	0.396303717030506	0.394052109809238	0.394894330427961	0.397243040042497	0.371589333128635	0.391425613838051	0.391635959342382	0.393481703008479	0.389993098195558	0.370580434374409	0.372126234233246	0.359013061514648	0.373730792629289	0.383701004614495	0.375497168311656	0.369437083329752	0.380964000922713	0.375023105905128	0.369002129538525	0.396523709989512	0.36768013766923	0.383796655410206	0.384680244665564	0.367681621817554	0.360717733638264	0.390532035584115	0.37188553779486	0.382581743734419	0.380494833851513	0.391461117163293	0.357564687411387	0.384604982440047	0.356887405370986	0.378138200732208	0.36216754627407	0.378220811700936	0.374599721533969	0.377821858801143	0.367905484457708	0.376980679293684	0.382013099914991	0.37652230394101	0.361407910596788	0.381110334831689	0.372598802244505	0.376997026686931	0.398378795574285	0.37348599355949	0.390633193547767	0.381355721878736	0.383549209332229	0.379949936829128	0.381414855699116	0.373565656359375	0.37429472742269	0.371762776608704	0.384478885942558	0.382698957783146	0.364984451772042	0.366586060151866	0.361177480898874	0.382574093136886	0.359576592771989	0.363149482169602	0.381049640097804	0.381529766835557	0.370878941085086	0.392307061864873	0.387839901373887	0.38320786450233	0.372513447119891	0.372769579116767	0.369292336249749	0.3790525438936	0.38461543184712	0.39440345193297	0.368465315970847	0.38169588261016	0.378047805867776	0.38192300094973	0.37478287345029	0.392588765280178	0.394059280245985	0.373713148938715	0.387901504682395
"Metabolism|Carbohydrate metabolism"	0.0964186379222022	0.106414898184405	0.0950776799496981	0.094820992648136	0.100243023221937	0.0999612182455098	0.100118501393884	0.104085580859091	0.100250265484076	0.0997938865071091	0.0890152663616896	0.0970188292909014	0.0919848925887657	0.0903754978616875	0.100034065826407	0.101286632346644	0.0910344364909237	0.103134018103379	0.0941595938719737	0.101081143359101	0.0978919016600157	0.101084512026745	0.101224710835519	0.0954998726751186	0.0961030114683305	0.0886921238633714	0.0915929139230045	0.0957843181162087	0.0986341599839442	0.0930490155016633	0.0921476765571823	0.100755676621354	0.106601854889293	0.103755511299375	0.0963062026534371	0.100786695061243	0.111050903240715	0.104477428518874	0.106670840516577	0.0997419859523539	0.0946385503900342	0.103825794271631	0.0964495065204461	0.0931957811253345	0.0997603754463579	0.0988194142660687	0.0862148578903048	0.0946542878433128	0.0910593716589729	0.101922982386352	0.0952083568572488	0.0908813100456276	0.0898981087952029	0.0920354251011471	0.0914868980105201	0.0846921360893422	0.0892935721916914	0.106143731400662	0.0961989111147516	0.0861865384990003	0.0956942990890433	0.088422266224751	0.107643066800939	0.0991797173541783	0.110846890255731	0.0997493036189202	0.103718112603266	0.102037630840888	0.107905034195229	0.101948991372824	0.10477150222819	0.110454368615493	0.0891169328097499	0.108466872551094	0.0990087588996321	0.0934192183828069	0.103204786930144	0.111654186606458	0.0944391024746015	0.107132575734783	0.105463848407752	0.106755453145292	0.0968292249854554	0.110434646716281	0.094009968797205	0.112176974376542	0.0963796811048437	0.10926183253928	0.105452534600475	0.104215121938042	0.101469076544075	0.109865595729681	0.0950945752580884	0.108629180120001	0.103204200177882	0.11943637906828	0.0997869552925376	0.102880944021196	0.106810229116867	0.094048659602739	0.118856742920092	0.102002829040784	0.0965522191713612	0.101232273318457	0.10136760794828	0.102140158034347	0.103189100239817	0.105110247075106	0.0982275376442848	0.0956206312241494	0.101477787315532	0.117788138686907	0.109359194315835	0.116097073704112	0.0969559008890631	0.113399507296281	0.115507926721498	0.0979791987426113	0.105189468834773	0.1121832180201	0.0998233281148305	0.0933620899532733	0.102106132550556	0.10636066487114	0.108881325940815	0.101111996099199	0.106093145908475	0.107590876386322	0.104298679025147	0.114012288701227	0.106399523586489	0.0992199449596816	0.0985384328473022	0.110757577872005	0.0932405548032458	0.096381523702436	0.108857740338031	0.0994269447962164
"Environmental Information Processing|Membrane transport"	0.0648177982429436	0.0709414291450829	0.0651818879336507	0.0563629286046122	0.0624826917140526	0.0635692582308197	0.066747274818199	0.0720322782104978	0.0692922007211117	0.0615764624425872	0.0577972896847497	0.0608291962724205	0.0606288952743652	0.0586946190532405	0.0621945447454864	0.0692143007430047	0.0573051366984943	0.0648424173804122	0.0580128219346099	0.0640338035382206	0.0632223528809558	0.0608187592330573	0.0633550989858921	0.0615439637701513	0.0610984494342069	0.0568488831133566	0.0586434006915491	0.0581908939898244	0.0646612269122003	0.0634482140961556	0.0605525453980664	0.0718430753791853	0.0701754265889384	0.0663041608595928	0.064379340622043	0.0703331847672161	0.0728027109956503	0.0707160082203192	0.0644608910695587	0.0628553886775363	0.0621841116251962	0.0636596815614375	0.06272500070813	0.0548477190436365	0.0659627072817433	0.0666102808036367	0.0563930666812691	0.0577546460825131	0.0597107604229965	0.0658242981422051	0.0631989434313631	0.0586923698241803	0.0629708757477766	0.0583334296774849	0.0598320073354414	0.0554946296286693	0.0562151488374356	0.0747721532270526	0.0634229379565927	0.0579446046938743	0.0616850962372711	0.0511579260611699	0.0746240187748055	0.0608855807528995	0.0691261701396673	0.0687409684694973	0.0718740335897818	0.0712154026194989	0.0740764517179942	0.0705513418563899	0.0747747607343876	0.0523684382481607	0.0569174069145785	0.0696662107371108	0.0695463555636695	0.0631968949719756	0.0772127451265311	0.067831554438238	0.0616822708735756	0.0705685280821606	0.0675517746968244	0.0712851934747343	0.063325350390104	0.087552533987222	0.0634786076485602	0.0451282716951152	0.0568089949253679	0.0824549845665539	0.0751545432440907	0.0631180741286419	0.066060780490527	0.0731931482726116	0.0584596206679502	0.0737872507060831	0.075993710785289	0.0848313660882508	0.068589526997977	0.0754126305788041	0.0685760603149466	0.0583981223170103	0.0837441014900581	0.066529406076393	0.0577699691595784	0.0694919885282857	0.0714727829421402	0.06131850902192	0.0648490708521533	0.0610517538528613	0.0744552958609757	0.0603960958574606	0.0590480223621269	0.0857104636040651	0.0762302941346164	0.0795283113371079	0.0679221749976265	0.0853486550646214	0.083267058949227	0.0687783402109135	0.0688166437438434	0.0816167090108379	0.0662819758010559	0.0637888759011644	0.0701671004942151	0.0767910047959863	0.0783482746229436	0.0714989174396517	0.0672511476712669	0.0671231806376779	0.0677397411453908	0.0833118310146765	0.0695714202413869	0.067851936405753	0.0650862058659927	0.0759375028009029	0.0615844301865884	0.0636894178856445	0.0769242929284937	0.0643559668755771
"Metabolism|Amino acid metabolism"	0.0607754323208977	0.0612552303774488	0.0596619304076467	0.0610162747606904	0.0638922296096075	0.0616466898534546	0.0605004454602798	0.059427229691874	0.0615171324916751	0.0635075068727374	0.0605483841009325	0.0619395699561246	0.0600198546777421	0.0589079335388775	0.0624041402015208	0.062637507942968	0.0576383512511598	0.0631035156057473	0.062269194280652	0.064550598555521	0.0625500334945492	0.0654251796992749	0.0627096058861995	0.0592526164955713	0.0624339481132935	0.0584401493114308	0.0593552097132034	0.0632518809936823	0.0608301822911976	0.0592042764322748	0.0614887568031405	0.060657578651236	0.0635228253220454	0.0653898074221968	0.0615430018069439	0.0610249302773143	0.0604222603218997	0.0631690437590251	0.0659247460397596	0.0630364353609295	0.065548876987661	0.0648694679692682	0.0614234603801656	0.0725816229653811	0.0624261548360542	0.0624532880218125	0.0593201342417535	0.063473104650596	0.0598611858820241	0.0639945334561213	0.0594916254249462	0.059771976328009	0.0583731132303592	0.0608022762222309	0.0602984922711427	0.058434825435482	0.0610533178166254	0.0591428554555651	0.062010753340166	0.0581166131993495	0.0621922013752211	0.0764642130020262	0.0639698402263493	0.0576777851954552	0.0564323176741318	0.0595291580298672	0.0631407144510058	0.062435340102012	0.0610990942731885	0.0620933502374599	0.0602434727283303	0.058100174655277	0.0613084908144853	0.0612468052163269	0.0609926923714534	0.0595649466573941	0.059148415415943	0.0563241476857889	0.0640994413993483	0.0637378140871905	0.063844470365402	0.0647596597213326	0.0609840079377155	0.061984224307344	0.0637784748002102	0.0532561310978719	0.0594724653981118	0.0586477646262788	0.0616112759329595	0.0592598314908173	0.0594869253324124	0.0595876330696644	0.0688292511288858	0.0638248568196996	0.060505479613581	0.0560565498760368	0.0614565681157117	0.0597994803654147	0.0626235908203758	0.0639887682784324	0.0612532469772018	0.0634017525870048	0.0755658369039215	0.0639286804543008	0.061399040245553	0.0606759859215423	0.0617245145266509	0.061759905584478	0.063515529215915	0.0599107953565004	0.0730816912351929	0.0598460916025572	0.0596700607865001	0.0604264171505677	0.0590538340756768	0.0603640310887205	0.0569496337711403	0.0610269271565471	0.0625371086452769	0.0614216263737435	0.0633351665056039	0.0607005013689786	0.063958344098229	0.0617792693586371	0.0595737008288902	0.0635702317888607	0.062439371820056	0.0648086939179022	0.0662209137501436	0.0641182533562095	0.0627004347897899	0.0650268119343566	0.0634303014159478	0.0630897612132085	0.0653491581291247	0.0623348003323644	0.0649321001642513	0.0623863510184535
"Environmental Information Processing|Signal transduction"	0.0430902932981196	0.0408794700561456	0.0445227908386061	0.0416990308085153	0.0324540553420426	0.040729846487206	0.0428394204979935	0.0484450153144732	0.0431194913405035	0.0336703556172221	0.0340258238859563	0.0373383698871082	0.0369911032866274	0.0380301579235166	0.0373516515970237	0.0451180941955656	0.0381768827579594	0.0414546411952192	0.0338552382229291	0.0380476713496548	0.0368025234209344	0.0317841695092067	0.0402189758743942	0.0422902047642957	0.0374246652936091	0.0390714190983954	0.0369661691355431	0.0348905633962794	0.0413691482086706	0.0382282676855312	0.0367625653343193	0.0397823013443141	0.0353126080901295	0.0348856108546137	0.0387221400804224	0.0392590836441881	0.0532611692747888	0.0379308934875509	0.0320415089054837	0.0386028966700459	0.0416769520890993	0.0357489309888238	0.0364674832744954	0.0366982634340945	0.0415778891402456	0.0371126128356613	0.034166390586341	0.0334687863075392	0.0388942789768032	0.0387574770865425	0.0369500000203319	0.03789557150664	0.0391660139278386	0.0338222550248452	0.0355520014904609	0.0356974236850282	0.0338726670916106	0.0459676181213893	0.0381358183017665	0.0371998792567238	0.0373800048224459	0.0374630523606145	0.0422377670556315	0.0593341970587669	0.0676463715933394	0.0550285249675513	0.0426649616675568	0.0492496497287214	0.0536234573231876	0.0447474009887638	0.0462067557603237	0.0639787451008	0.0342062885143351	0.0571003007684014	0.0409563556751468	0.0416135304921245	0.0513535876966901	0.0653327099252947	0.0362624349114555	0.0504525902273644	0.045411395250165	0.0444100462779421	0.0379324089735366	0.0440020257029231	0.0421384115549768	0.0784887868266245	0.0528613748450631	0.0590425246446504	0.0470304932588983	0.0547839759852944	0.0497058367155417	0.0580623378661366	0.0483527600339073	0.0432114971826975	0.0462013808562296	0.0446166676484959	0.0440166646938759	0.0489044935776804	0.0481381545897862	0.0347911066829328	0.0428187861643565	0.0372041097682302	0.041625571290289	0.0411040084331257	0.0455083702700772	0.0468364008124144	0.055744924780799	0.0518148574408379	0.0457123762739407	0.0456949179119928	0.0393722848690244	0.0455422905823271	0.0551289454633473	0.047817136027123	0.0436897824239881	0.0465794142518711	0.0465672336575094	0.0461510029823393	0.0465436979605989	0.0448357496611197	0.0357986265391679	0.0402926526051305	0.041484582876962	0.0488919879676842	0.0461007443874005	0.0518558131456655	0.0498578719318879	0.0418935043151544	0.0349947946712756	0.0436280777218734	0.0431353545534993	0.0454571186818201	0.0427124665873819	0.0425342104893201	0.0360179316125923	0.0348466883473392	0.0420776178941177	0.040583919069607
"Metabolism|Energy metabolism"	0.0426617942221516	0.0401983568796022	0.0432833758122373	0.0431387686301349	0.0418703562687917	0.0417160334552923	0.0416603550060356	0.0400736074553211	0.0414611576037322	0.0422086402716146	0.0457652989782174	0.0430164196279965	0.0446201003459996	0.0453576072463294	0.0426651776128851	0.0407867439806776	0.0458256564964598	0.0409056061558373	0.0442345032869323	0.041194806226149	0.0426988591741931	0.0422043547130393	0.041214870682265	0.0435699351393274	0.043270166140077	0.0455012612499747	0.04506862507322	0.043360653827939	0.0419409970233448	0.0445266930362554	0.0441410339487662	0.0417080997868031	0.0402536416823081	0.0405174443050517	0.0430218071795953	0.0415313711769991	0.0388293119160655	0.0406239705446574	0.0396080307191667	0.0419942602996045	0.041219517244288	0.04075205948792	0.0437283642840627	0.0404946959890881	0.0414713753702478	0.0419608032790833	0.0467721404570887	0.0437674217459742	0.0447425416441049	0.0411777374608798	0.0442491187521856	0.0450445626751862	0.0453435350885186	0.0448957036741134	0.0450159513907989	0.0472875801609716	0.0456459121830469	0.0409183377760341	0.0427789368540693	0.0467622187100685	0.0430781214234906	0.0396987601471993	0.0394324314877349	0.0404940786005443	0.0362522442914424	0.0404832067601382	0.0391625524409377	0.0396834999555523	0.0380846447366968	0.0405707747574888	0.0402681555524622	0.0368371144461622	0.0452481125198559	0.0371880604678264	0.0420256075066139	0.043525368936969	0.0395216423109102	0.036399671378413	0.0433700726422639	0.0367831908302936	0.0389402040468524	0.0381799962434813	0.0429873822727541	0.0368393306055195	0.0412418375406837	0.0348777790154274	0.0411794465815756	0.0372777284162605	0.0394622464849638	0.039125375923524	0.0406910676108255	0.0372908689916899	0.0377911957576634	0.0383736993505725	0.0400148306662216	0.0394316830190192	0.0413828052914163	0.0402807775939527	0.0384017406145749	0.0435689160382584	0.0376329713542592	0.0414692664631411	0.0372557445133827	0.0404697119835463	0.0413239941741358	0.0406053951993215	0.0394464936189859	0.0384637793145026	0.0391076909090709	0.0426807527215357	0.0389997328337647	0.0383147482876171	0.0388440405574825	0.0379793754624873	0.0429821823762441	0.0400990638848573	0.0391022513353337	0.0418260768874683	0.0399712038020859	0.0386075847625481	0.0425882448632015	0.0437320966573152	0.0397380259288795	0.0387384901101222	0.0393031589754423	0.0375073939811525	0.0381978544259303	0.0384563826997514	0.039433114917333	0.037266447566962	0.0394761183192505	0.0398534079055991	0.0406854961665248	0.0393031904373064	0.0427727693209721	0.0434389652900239	0.0383346277051648	0.0418722418587981
"Cellular Processes|Cellular community - prokaryotes"	0.0379459237306648	0.0384440885013752	0.0383081084675773	0.0357073681074758	0.033659549999586	0.0365385245586652	0.0378816732936511	0.040557177245396	0.0386859504499156	0.0330046163059795	0.0328130953473781	0.0345319759848817	0.034735875206164	0.0345768387946624	0.0341554499284025	0.0401793304165274	0.033597710659713	0.0368668240747082	0.0324108753508564	0.0359131226724855	0.0347469677670527	0.0316910950373641	0.0363700955105246	0.0367588838782502	0.0341863353703365	0.0346017040336293	0.0338998783647701	0.0329648964132818	0.0385694477471943	0.0360693531356521	0.0343021430058236	0.0390928887110953	0.0357093806589677	0.0348063598133223	0.0364213527293086	0.0388723985690673	0.0433953400999849	0.0370006342429814	0.0336195930266253	0.0346737210185744	0.0379900764392907	0.0341777514501867	0.0338506936040156	0.0360207279018348	0.0375016482213618	0.0363126000465842	0.0320789820086657	0.0323565093613652	0.0349647991378665	0.0358667395098101	0.0354083723825455	0.0344373583300486	0.0362313477178385	0.0326615307492042	0.0339232634932972	0.0328261029061798	0.03231139842681	0.0415265358562202	0.0357638030334961	0.033817826909689	0.0357030108943127	0.0353465172219091	0.0395457131118378	0.0448372463006459	0.0491228421880595	0.0439304636841535	0.0414075957790101	0.0418442563726663	0.0443568520910636	0.0396706465038497	0.0405781449058933	0.0449722390015944	0.0330986703316542	0.0438935875438341	0.0371839164335944	0.0360803172292914	0.0406364642702332	0.0479799350342581	0.0346228318242584	0.0434835824954976	0.0396959816232828	0.0402911777307288	0.035521911526421	0.0490714550507866	0.039946268453683	0.0512894239213562	0.040254470066362	0.0483973331450221	0.041659787228326	0.0422274335696582	0.0401378515954839	0.0466114247743027	0.0407553213897258	0.0401164999052594	0.0409086296165875	0.0425442641710612	0.0385236098702552	0.0418752652965129	0.0409163161256899	0.0330754359443922	0.0384227225325524	0.034802985989722	0.03879853960094	0.036873275769915	0.0384744397824218	0.0389475601085345	0.0429104821914166	0.0417818243110166	0.0435812893132074	0.0378581412206043	0.037132041632412	0.0422609044079212	0.0453131376425853	0.0420209377130413	0.0378435876210633	0.0433518086023955	0.0433321642703205	0.0398708618876397	0.0393837520312801	0.0425224523989542	0.0344181790064513	0.03673219382838	0.0403108589367287	0.0441254837206458	0.0413374295234059	0.0468178440914571	0.0431421983032155	0.038483562935744	0.0369972924528513	0.0423225896823558	0.0393067314306001	0.0411440078347304	0.0395270671401231	0.0399487557337762	0.0349852828450592	0.0340747652755834	0.0403343031629104	0.0365780164429164
"Metabolism|Metabolism of cofactors and vitamins"	0.0355263556833244	0.0353036239577266	0.0347612598024913	0.0367359372629434	0.0383502766732263	0.035573009399469	0.0349692114597988	0.0329644727566913	0.0342056360226934	0.0376929415564364	0.038488842342564	0.0377315788900107	0.0375890902452166	0.038289312735292	0.0369360486062221	0.0340880234478922	0.0377738686883897	0.0351949075479201	0.0385131601272123	0.0359836748198362	0.0366956240822134	0.0374469908592155	0.0354776039034324	0.0362569666593235	0.0362785526652048	0.0377581407553492	0.0376066440653703	0.0374322043330191	0.0366593660069561	0.0373785183796073	0.0373769225509555	0.0361167122211848	0.035687816620363	0.0363778176707602	0.0361474733255503	0.0364289112461492	0.032765643688637	0.0360123386698035	0.0387493824810925	0.0360172595581753	0.0363710091511098	0.036341362706873	0.03678786396317	0.0368312397469451	0.0353766025045706	0.0365626959267548	0.0388718029229214	0.0379174300410699	0.0373009050014846	0.0357769718610284	0.0372874400826178	0.0374097600489876	0.0373345760595329	0.0382991371783699	0.0379893419562168	0.0388653643562111	0.0391021605297771	0.0348350416474225	0.036322803682671	0.0383486517557901	0.0371208013526487	0.0359003629856523	0.0360593156250831	0.0330191971190892	0.0302329248397955	0.0321670461625666	0.0347883255199378	0.0336903291509157	0.0316319317119713	0.0334436190534739	0.032962254513524	0.0319500607082377	0.0384367038074689	0.0315704681753656	0.0346876843843768	0.0360740230285226	0.0321465773650634	0.03069055039983	0.0381005307982384	0.0317744449078009	0.0338246715639487	0.034270412799068	0.0373022354143384	0.0358435134148062	0.0368384636457287	0.0323416311367886	0.0357172925542822	0.0295607474510583	0.0336748307053334	0.0339010030351256	0.0336886046148248	0.031785245634285	0.0352251086759915	0.0338021567654192	0.0318818360553535	0.0349578665949759	0.0349646973879341	0.0332045686043858	0.0338076316837647	0.0375880533253897	0.0308176361919843	0.0358537148000801	0.0355210267470533	0.0351310205778467	0.0340757525600546	0.0345516663186653	0.0328567070779612	0.0338566938284544	0.0349235193518862	0.0364645657449645	0.0369023579731294	0.0326508687824949	0.030819603553392	0.0360775905518003	0.0350600017429784	0.0352064266703785	0.0340549679968011	0.0341389110078414	0.0338829691690187	0.0335692957311348	0.0350770701316524	0.0357280909891035	0.0338164613325169	0.0319416658651176	0.0312509393400619	0.0322178886912262	0.0325365108161543	0.0344717625526166	0.0358978514998026	0.0344856071861855	0.0327915362669959	0.0346475036138075	0.0353024504918927	0.0335474137166896	0.0368206075034605	0.0373357069728375	0.034221472076637	0.0353167127083851
"Metabolism|Nucleotide metabolism"	0.0282061362483511	0.0268428121328471	0.0282477536352237	0.0285651916253779	0.0289786888614029	0.0280374961715029	0.0282897699188518	0.0271158595128451	0.0277135582805647	0.0289741641853928	0.0301908586108321	0.0289362951307196	0.0295717643954812	0.0299759138919745	0.0279057272476558	0.0269866779426902	0.0300359658399227	0.0274499375328492	0.0296312226108971	0.0277971628504852	0.0287956265580218	0.0281294324566183	0.0278987559477996	0.0285124276252388	0.0287756578100095	0.0300917740592621	0.0295079833409167	0.0287115531999052	0.0281325788105125	0.0293775281488	0.0296681486083542	0.0278442796861889	0.0274856356671629	0.0282172732798992	0.0285782405272127	0.028395861481551	0.0246732154963104	0.0274215032117915	0.0288051087871528	0.0280572183231444	0.0264855871258332	0.0277499105867018	0.0289188181578689	0.0258460139788245	0.0278735938091434	0.0287278175810278	0.0308733925639732	0.0291884393930394	0.0296529032321173	0.0275675857063432	0.0292282842591594	0.0295875056798852	0.0300769715902092	0.0300269608365847	0.0298878887116105	0.0306944166526621	0.0301425040289926	0.0264168289763489	0.0289353370678773	0.0306019129780306	0.0289404887218744	0.0249457875631632	0.0246484864169382	0.0265137617790914	0.0243555981461707	0.0264352870117378	0.0270921752582551	0.0268653627956956	0.0256605042691704	0.0273770329772963	0.0268543725400886	0.0248271898158739	0.0299362626927764	0.0247898334841202	0.028414040563323	0.0296602563921547	0.0268977263702926	0.0246186667419436	0.0288511388968034	0.0253038433325596	0.0264323184683111	0.0256791188844282	0.0290254686882862	0.024095347891503	0.0271266205690277	0.023634909991674	0.0273625758912788	0.024704056883413	0.0266740576768305	0.0267453354943204	0.027178650161412	0.0250913862333292	0.0268958686392982	0.0264355664170488	0.0271418341616411	0.0254750768588877	0.0276803620406833	0.0272397634332056	0.0262396224021627	0.0287055435427114	0.0258709367608936	0.0278673489740541	0.0231104024556364	0.0269230202915488	0.0274596054734806	0.0276040038216681	0.0253359097557334	0.0258789100583214	0.0258452414887862	0.028491502172538	0.0235055198039386	0.0256749766453442	0.0252792290157464	0.0219448203185588	0.0284461115066904	0.0233431135801442	0.0255670812657208	0.0274231438971395	0.0262037636847651	0.0250027186702439	0.0278289326914608	0.0284191994949084	0.0269594947603702	0.02582766435469	0.0266619864543631	0.0250946233581568	0.0259938134758001	0.0262824595680079	0.0277760816088397	0.0233627846278881	0.0269672726470101	0.0254857543827498	0.0269885612843405	0.0257385392556664	0.028131885093515	0.0289043553614486	0.0258023367909545	0.0279541083360025
"Genetic Information Processing|Translation"	0.0236066170591275	0.0208398079703607	0.0241087538443661	0.0245305919625349	0.0248512603130972	0.0233925047544596	0.0233410547445708	0.0215336879083552	0.0226211145205035	0.02499080607372	0.0273585694248993	0.0250915007172851	0.0263222486279023	0.0267950255284845	0.0237397772743047	0.0214189518138158	0.0272259429223024	0.0224686834896991	0.0262393006809962	0.0228335900630207	0.0245495857190729	0.0244709289049875	0.0231380723100169	0.0240511778268941	0.0249877434124627	0.0273821362945527	0.026383454050355	0.0254339358659616	0.0233745420191772	0.0257075139203311	0.0261386921819894	0.022055972046707	0.0222631390327722	0.023303130723172	0.0243960982769023	0.023599783640767	0.0176831052117987	0.021662332105897	0.0236060859315669	0.0237913675094131	0.0220221991079447	0.0229285236346115	0.0252333645631468	0.0199575212744246	0.0232606857974765	0.0240067704444666	0.0284503460075038	0.0259101831824627	0.0264019055138839	0.0228875766722004	0.0249389194456318	0.026532414943871	0.0263413126879804	0.0270722726089074	0.0267299979421431	0.0285030817137777	0.0272702630776378	0.0180579769980328	0.0248643181251007	0.0279023557320388	0.0248341903267805	0.0191716379957238	0.015482187149834	0.0213412007158804	0.017446506473389	0.0211081569073897	0.0214204820909309	0.0201703871545002	0.0187990429850881	0.0219985594550502	0.0213023295931773	0.0184314538834822	0.027198705931583	0.0181803421151253	0.0236884007349898	0.0253279569184586	0.021335683195064	0.0178721972741538	0.023410057442396	0.0186499134383089	0.0207091369979349	0.0194767655588952	0.0250870234922637	0.0150718017775253	0.0226371627837403	0.016934473583427	0.0225277857544202	0.0177866848054597	0.0202257919073643	0.0207143484814535	0.0221271123205467	0.0181108606997655	0.0191587836629859	0.0205450304332061	0.0218995896921947	0.0135004061322686	0.0221148140857575	0.0207450400751768	0.0197035274714517	0.0252574077558587	0.0196516810831177	0.0230705994247997	0.0155727140562365	0.0215793925201726	0.0217352070277083	0.0221682578994192	0.0192781630586246	0.0195120582638628	0.0196907179508767	0.0238357114257975	0.0148722583276656	0.0181438399274198	0.0189494844422197	0.0121025286979585	0.0240361598450205	0.0124648519802573	0.0150738276406131	0.0225343899893133	0.0204407144062775	0.0161679877426172	0.0239470762203194	0.0247101689470424	0.0214259843674981	0.0193958253687517	0.021197908951043	0.0185444819061272	0.0201113871586604	0.0203749907436967	0.0225457341175217	0.0144964020173135	0.0215632096967217	0.0196338538651663	0.0218618950410249	0.0196932381660883	0.0238389671055173	0.0249914562176481	0.016975705100273	0.0231997339772531
