Run ID,Seq ID,Run Date,Sequencer,F Primer,R Primer,Kit,Flow Cell Type,Tube,Template ID,Sequence ID,Barcode,Final Library Concentration (ng/uL),Volume Added to Pool (uL),Sample ID,Subject,Stabilizer,Collection Date
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,1,S1,HDZ-063-S1,16S1,4.08,1,HDZ-063,Culi,D_R-Shield,11/24/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,2,S2,HDZ-064-S2,16S2,2.91,1.4,HDZ-064,Culi,D_R-Shield,11/23/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,3,S3,HDZ-004-S3,16S3,8.5,0.5,HDZ-004,Warble,D_R-Shield,10/28/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,4,S4,HDZ-065-S4,16S4,3.39,1.2,HDZ-065,Culi,D_R-Shield,12/3/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,5,S5,HDZ-066-S5,16S5,4.11,1,HDZ-066,Culi,D_R-Shield,11/30/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,6,S6,HDZ-030-S6,16S6,6.6,0.6,HDZ-030,Warble,D_R-Shield,11/6/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,7,S7,HDZ-021-S7,16S7,2.93,1.4,HDZ-021,Culi,D_R-Shield,10/28/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,8,S8,HDZ-013-S8,16S8,2.13,1.9,HDZ-013,Culi,D_R-Shield,10/26/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,9,S9,HDZ-067-S9,16S9,2.97,1.4,HDZ-067,Warble?,D_R-Shield,11/27/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,10,S10,HDZ-011-S10,16S10,6.3,0.6,HDZ-011,Culi,D_R-Shield,10/29/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,11,S11,HDZ-005-S11,16S11,1.78,2.3,HDZ-005,Warble,D_R-Shield,10/27/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,12,S12,HDZ-020-S12,16S12,2.27,1.8,HDZ-020,Culi,D_R-Shield,11/4/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,13,S13,HDZ-019-S13,16S13,2.67,1.5,HDZ-019,Warble,D_R-Shield,10/29/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,14,S14,HDZ-029-S14,16S14,3.69,1.1,HDZ-029,Unknown,D_R-Shield,11/2/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,15,S15,HDZ-026-S15,16S15,3.05,1.3,HDZ-026,Culi,D_R-Shield,11/2/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,16,S16,HDZ-028-S16,16S16,7,0.6,HDZ-028,Culi,D_R-Shield,11/5/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,17,S17,HDZ-025-S17,16S17,2.39,1.7,HDZ-025,Warble,D_R-Shield,10/31/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,18,S18,HDZ-014-S18,16S18,1.89,2.1,HDZ-014,Culi,D_R-Shield,10/27/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,19,S19,HDZ-024-S19,16S19,8.7,0.5,HDZ-024,Culi,D_R-Shield,11/2/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,20,S20,HDZ-023-S20,16S20,5.6,0.7,HDZ-023,Warble,D_R-Shield,11/3/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,21,S21,HDZ-016-S21,16S21,2.83,1.4,HDZ-016,Culi,D_R-Shield,11/1/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,22,S22,HDZ-055-S22,16S22,2.77,1.5,HDZ-055,Unknown,D_R-Shield,Unknown
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,23,S23,HDZ-010-S23,16S23,3.91,1,HDZ-010,Culi,D_R-Shield,10/31/2023
MIN_16_2024-5-16,PL001,5/16/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-MIN114,24,CTRL,PL-NTC-001-CTRL,16S24,2.3,1.7,PL-NTC-001,,D_R-Shield,
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,1,S24,HDZ-076-S24,16S1,5.4,0.7,HDZ-076,Culi,D_R-Shield,12/1/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,2,S25,HDZ-079-S25,16S2,4.18,1,HDZ-079,Warble,D_R-Shield,11/22/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,3,S26,HDZ-068-S26,16S3,4.73,0.8,HDZ-068,Warble,D_R-Shield,11/24/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,4,S27,HDZ-078-S27,16S4,5.8,0.7,HDZ-078,Culi,D_R-Shield,11/23/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,5,S28,HDZ-015-S28,16S5,1.73,2.3,HDZ-015,Warble,D_R-Shield,10/30/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,6,S29,HDZ-070-S29,16S6,4.55,0.9,HDZ-070,Warble,D_R-Shield,12/2/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,7,S30,HDZ-018-S30,16S7,6,0.7,HDZ-018,Culi,D_R-Shield,10/30/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,8,S31,HDZ-022-S31,16S8,5.7,0.7,HDZ-022,Culi,D_R-Shield,11/3/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,9,S32,HDZ-027-S32,16S9,3.99,1,HDZ-027,Warble,D_R-Shield,11/5/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,10,S33,HDZ-039-S33,16S10,7,0.6,HDZ-039,Culi,D_R-Shield,11/14/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,11,S34,HDZ-072-S34,16S11,5.3,0.8,HDZ-072,Warble,D_R-Shield,11/29/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,12,S35,HDZ-084-S35,16S12,4.81,0.8,HDZ-084,Culi,D_R-Shield,12/21/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,13,S36,HDZ-028-S36,16S13,5.3,0.8,HDZ-028,Culi,D_R-Shield,11/5/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,14,S37,HDZ-030-S37,16S14,3.83,1,HDZ-030,Warble,D_R-Shield,11/6/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,15,CTRL,PL-NTC-002-CTRL,16S15,2.72,1.4,PL-NTC-002,,D_R-Shield,
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,16,S38,HDZ-077-S38,16S16,0.854,4.7,HDZ-077,Culi?,D_R-Shield,11/27/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,17,S39,HDZ-083-S39,16S17,0.597,6.7,HDZ-083,Warble,D_R-Shield,12/26/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,18,S40,HDZ-081-S40,16S18,0.52,2.5,HDZ-081,Culi,D_R-Shield,12/31/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,19,S41,HDZ-082-S41,16S19,0.912,2.5,HDZ-082,Warble,D_R-Shield,12/29/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,20,S42,HDZ-086-S42,16S20,1.56,2.5,HDZ-086,Culi,D_R-Shield,12/30/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,21,S43,HDZ-033-S43,16S21,1.48,2.5,HDZ-033,Warble,D_R-Shield,11/11/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,22,S44,HDZ-034-S44,16S22,0.776,2.5,HDZ-034,Warble,D_R-Shield,11/12/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,23,S45,HDZ-038-S45,16S23,0.672,2.5,HDZ-038,Culi,D_R-Shield,11/12/2023
MIN_16_2024-6-10,PL002,6/10/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,24,S46,HDZ-032-S46,16S24,2.89,1.4,HDZ-032,Culi,D_R-Shield,11/11/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,1,S47,HDZ-177-S47,16S1,2.68,1.5,HDZ-177,Warble,D_R-Shield,12/13/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,2,S48,HDZ-046-S48,16S2,0.701,5.7,HDZ-046,Culi,D_R-Shield,11/14/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,3,S49,HDZ-045-S49,16S3,1.47,2.7,HDZ-045,Warble,D_R-Shield,11/7/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,4,S50,HDZ-052-S50,16S4,2.19,1.8,HDZ-052,Warble,D_R-Shield,11/13/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,5,S51,HDZ-176-S51,16S5,1.13,3.6,HDZ-176,Culi,D_R-Shield,12/9/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,6,S52,HDZ-182-S52,16S6,1.07,3.8,HDZ-182,Culi,D_R-Shield,12/8/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,7,S53,HDZ-041-S53,16S7,1.43,2.8,HDZ-041,Warble,D_R-Shield,11/13/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,8,S54,HDZ-051-S54,16S8,5.4,0.7,HDZ-051,Warble,D_R-Shield,11/14/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,9,S55,HDZ-107-S55,16S9,5.2,0.8,HDZ-107,Warble,D_R-Shield,1/2/2024
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,10,S56,HDZ-191-S56,16S10,1.57,2.6,HDZ-191,Warble,D_R-Shield,1/7/2024
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,11,S57,HDZ-101-S57,16S11,0.878,4.6,HDZ-101,Warble,D_R-Shield,12/24/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,12,S58,HDZ-168-S58,16S12,1.62,2.5,HDZ-168,Culi,D_R-Shield,12/17/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,13,S59,HDZ-190-S59,16S13,3.55,1.1,HDZ-190,Culi,D_R-Shield,1/6/2024
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,14,S60,HDZ-108-S60,16S14,3.88,1,HDZ-108,Culi,D_R-Shield,12/27/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,15,S61,HDZ-175-S61,16S15,1.89,2.1,HDZ-175,Culi,D_R-Shield,12/13/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,16,S62,HDZ-188-S62,16S16,1.77,2.3,HDZ-188,Warble,D_R-Shield,12/5/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,17,S63,HDZ-058-S63,16S17,3.9,1,HDZ-058,Culi,D_R-Shield,11/21/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,18,S64,HDZ-089-S64,16S18,6.9,0.6,HDZ-089,Culi,D_R-Shield,12/24/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,19,S65,HDZ-093-S65,16S19,1.69,2.4,HDZ-093,Warble,D_R-Shield,12/23/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,20,S66,HDZ-094-S66,16S20,1.46,2.8,HDZ-094,Culi,D_R-Shield,11/20/2023
MIN_16_2024-6-12,PL003,6/12/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,21,S67,HDZ-155-S67,16S21,1.71,2.3,HDZ-155,Warble,D_R-Shield,12/15/2023
