tax	hdz-001-s231	hdz-050-s232	hdz-057-s233	hdz-088-s234	hdz-090-s235	hdz-091-s236	hdz-092-s237	hdz-098-s238	hdz-103-s239	hdz-109-s240	hdz-157-s241	hdz-160-s242	hdz-162-s243	hdz-169-s244	hdz-170-s245	hdz-173-s246	hdz-174-s247	hdz-184-s248	hdz-204-s249	hdz-212-s250	hdz-214-s251	hdz-339-s252	hdz-437-s253	pl-ntc-011-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1719	1759	1694	1128	691	1007	1783	1214	2034	1329	1909	1129	2164	1764	2464	1453	2019	1274	1727	162	2635	3186	980	17	37241
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	448	1653	1797	924	210	1155	304	1077	465	897	1113	459	926	1051	1351	346	1568	989	1011	4	953	1929	220	8	20858
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	415	964	439	945	458	1141	439	1599	719	648	527	615	632	830	628	603	1496	1904	215	8	526	564	132	9	16456
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	871	369	32	15	248	1	304	18	482	24	167	361	365	17	359	664	50	44	42	487	832	202	556	2	6512
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	444	216	200	186	139	184	208	143	402	71	112	358	262	198	283	386	418	343	219	139	460	126	767	2	6266
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	0	0	394	296	35	507	11	303	7	97	13	164	94	259	72	7	764	815	316	38	6	158	441	3	4800
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	210	138	261	180	147	175	85	292	95	166	99	118	114	167	199	94	342	578	70	57	247	187	43	1	4065
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	203	103	116	84	62	95	104	72	132	18	49	239	130	100	138	202	204	159	110	60	233	77	208	0	2898
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	103	98	116	175	42	132	73	210	188	63	158	233	116	140	62	69	246	339	54	2	106	81	58	0	2864
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	271	121	86	75	71	58	102	72	164	24	274	417	198	80	63	100	79	105	30	9	210	20	94	1	2724
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	205	86	152	104	40	61	51	79	60	66	66	70	58	91	54	53	161	122	127	24	106	129	129	1	2095
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	71	273	140	56	32	55	27	98	61	56	184	65	149	46	214	52	102	65	9	0	151	28	19	1	1954
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	88	82	89	47	38	51	88	76	88	58	93	49	118	66	108	74	95	65	79	8	114	192	45	0	1811
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	28	102	145	86	15	107	21	84	31	101	66	35	65	88	88	31	145	91	109	0	60	194	19	1	1712
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	75	42	87	42	85	44	64	94	50	37	59	45	47	36	117	41	49	119	11	0	63	71	23	1	1302
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	67	40	53	49	45	52	28	70	37	44	27	37	26	41	56	30	92	185	28	13	63	55	9	0	1147
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	20	2	50	61	0	34	5	45	10	61	8	39	12	68	12	9	253	138	61	22	5	13	115	0	1043
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	35	7	92	111	14	75	12	86	19	20	8	25	23	36	10	52	45	84	99	13	23	54	35	0	978
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	109	39	50	42	29	55	23	69	24	34	20	57	25	19	57	30	54	119	28	2	8	28	13	0	934
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	346	55	9	0	40	3	5	3	7	0	2	72	10	9	7	18	25	42	15	10	76	13	81	0	848
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	26	43	30	41	23	34	26	84	37	27	40	43	35	36	30	26	54	83	6	0	48	36	15	0	823
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	34	48	47	26	16	20	50	24	49	31	33	26	42	29	58	29	49	31	32	4	47	56	22	0	803
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	82	19	36	28	40	34	24	11	27	7	18	28	22	26	26	11	79	50	66	16	5	41	100	1	797
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	0	82	30	0	11	0	8	7	2	0	2	39	41	10	3	134	372	26	1	1	12	0	0	781
