tax	hdz-095-s300	hdz-158-s301	hdz-159-s302	hdz-171-s303	hdz-172-s304	hdz-237-s305	hdz-238-s306	hdz-239-s307	hdz-268-s308	hdz-269-s309	hdz-270-s310	hdz-271-s311	hdz-272-s312	hdz-273-s313	hdz-274-s314	hdz-329-s315	hdz-344-s316	hdz-346-s317	hdz-347-s318	hdz-412-s319	hdz-413-s320	hdz-414-s321	hdz-450-s322	pl-ntc-014-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	3014	2646	102	490	1202	1022	599	1665	810	1151	1258	1151	492	918	2248	303	304	1295	1285	1123	4	610	208	14	23914
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1235	317	84	223	409	1340	492	1136	266	825	1718	1481	1996	1876	1733	64	138	724	1241	518	1	104	169	10	18100
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	804	407	42	156	539	1077	360	1049	518	810	950	1543	1515	1180	1351	97	170	1116	674	526	1	86	289	4	15264
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	865	736	126	76	235	219	125	436	327	33	25	22	38	21	34	110	1482	610	415	791	0	1412	848	3	8989
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	412	298	73	65	67	174	100	200	286	233	192	213	148	197	338	75	1372	275	151	297	0	372	14	0	5552
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter farmeri	2	15	288	4297	0	0	0	0	5	2	1	0	1	1	0	1	0	0	0	0	0	3	10	2	4628
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	0	2	0	0	1	175	130	0	66	396	379	491	534	560	556	2	32	98	210	45	0	1	0	0	3678
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	316	109	61	51	77	132	201	97	101	277	154	245	221	156	401	56	122	82	253	286	1	110	0	2	3511
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	225	191	259	261	92	121	50	148	146	143	159	202	174	128	171	52	231	190	117	128	1	80	93	1	3363
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	165	69	8	24	14	169	58	185	96	109	304	520	388	269	176	10	108	173	122	115	0	24	9	2	3117
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	2	52	2792	1	0	0	0	1	1	102	0	3	8	2	5	0	0	0	0	1	1	1	39	1	3012
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	195	187	17	32	33	106	70	96	146	114	103	93	116	111	213	37	653	111	75	179	1	127	2	0	2817
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	443	116	8	38	10	102	9	178	145	83	166	258	226	110	129	24	81	256	11	176	0	117	3	1	2690
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter telavivensis	2	75	1500	185	0	1	0	0	0	6	2	2	13	4	1	0	0	1	0	1	1	21	30	2	1847
