task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	3a/7f4f9d	4046072	fastcat (24)	COMPLETED	0	2024-10-12 16:33:40.438	952ms	278ms	132.8%	24.4 MB	189.1 MB	18.8 MB	12.9 MB
6	86/16148c	4046125	fastcat (2)	COMPLETED	0	2024-10-12 16:33:40.487	911ms	300ms	87.2%	44.3 MB	189.1 MB	11 MB	7.6 MB
7	22/5f40ae	4046194	fastcat (3)	COMPLETED	0	2024-10-12 16:33:40.536	891ms	322ms	198.5%	34.7 MB	510 MB	33.2 MB	23 MB
17	e5/ef3016	4046081	fastcat (13)	COMPLETED	0	2024-10-12 16:33:40.455	1s	359ms	197.5%	28.3 MB	189.1 MB	35.1 MB	24.5 MB
25	d5/d6b974	4046175	fastcat (21)	COMPLETED	0	2024-10-12 16:33:40.526	974ms	379ms	250.0%	31.9 MB	382 MB	48.1 MB	33.5 MB
12	f3/63ff30	4046139	fastcat (8)	COMPLETED	0	2024-10-12 16:33:40.501	1s	387ms	195.7%	38.8 MB	189.1 MB	40.5 MB	28.1 MB
10	98/caf195	4046101	fastcat (6)	COMPLETED	0	2024-10-12 16:33:40.471	1.1s	446ms	226.7%	76.6 MB	382 MB	51.5 MB	35.9 MB
19	f2/16abcf	4046156	fastcat (15)	COMPLETED	0	2024-10-12 16:33:40.513	1.1s	476ms	246.3%	33.4 MB	382 MB	60.2 MB	41.8 MB
27	4c/4813bd	4047906	fastcat (23)	COMPLETED	0	2024-10-12 16:33:41.402	405ms	110ms	63.7%	84.7 MB	382 MB	493.9 KB	251.5 KB
9	01/6f08ed	4048385	fastcat (5)	COMPLETED	0	2024-10-12 16:33:41.576	449ms	155ms	41.5%	52.4 MB	189.1 MB	211.3 KB	55.9 KB
16	5d/ccc47e	4047935	fastcat (12)	COMPLETED	0	2024-10-12 16:33:41.412	636ms	345ms	257.7%	84.7 MB	382.4 MB	45.3 MB	31.4 MB
3	5d/744aeb	4048204	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-10-12 16:33:41.510	550ms	8ms	36.7%	0	0	74.4 KB	3.4 KB
15	bf/b27794	4047995	fastcat (11)	COMPLETED	0	2024-10-12 16:33:41.436	671ms	370ms	298.3%	74.2 MB	189.1 MB	56.7 MB	39.4 MB
20	db/242278	4048360	fastcat (16)	COMPLETED	0	2024-10-12 16:33:41.568	581ms	286ms	294.7%	89.3 MB	511.7 MB	42.2 MB	29.5 MB
14	60/2a5b77	4048124	fastcat (10)	COMPLETED	0	2024-10-12 16:33:41.484	691ms	368ms	263.0%	73.7 MB	189.1 MB	54.5 MB	37 MB
26	d7/9c5a27	4048344	fastcat (22)	COMPLETED	0	2024-10-12 16:33:41.558	641ms	304ms	274.0%	88.6 MB	511.2 MB	43.1 MB	30 MB
