"Organism"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid1960156"	"Bacteria"	"Abditibacteriota"	"Abditibacteria"	"Abditibacteriales"	"Abitibacteriaceae"	"Abditibacterium"	"Abditibacterium utsteinense"
"txid1615681"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidicapsa"	"Acidicapsa acidisoli"
"txid2218256"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidicapsa"	"Acidicapsa dinghuensis"
"txid542300"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidicapsa"	"Acidicapsa ligni"
"txid2211140"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidisarcina"	"Acidisarcina polymorpha"
"txid2763107"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Alloacidobacterium"	"Alloacidobacterium dinghuense"
"txid2040573"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	"Edaphobacter acidisoli"
"txid570835"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	"Edaphobacter aggregans"
"txid1002689"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Occallatibacter"	"Occallatibacter riparius"
"txid1002691"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Occallatibacter"	"Occallatibacter savannae"
"txid2303751"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Paracidobacterium"	"Paracidobacterium acidisoli"
"txid1382359"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Pseudacidobacterium"	"Pseudacidobacterium ailaaui"
"txid940139"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Terriglobus"	"Terriglobus aquaticus"
"txid1111115"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Terriglobus"	"Terriglobus tenax"
"txid360054"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Bryobacterales"	"Bryobacteraceae"	"Bryobacter"	"Bryobacter aggregatus"
"txid1473598"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Bryobacterales"	"Bryobacteraceae"	"Paludibaculum"	"Paludibaculum fermentans"
"txid1384638"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Aridibacter"	"Aridibacter famidurans"
