tax	hdz-230-s277	hdz-231-s278	hdz-232-s279	hdz-233-s280	hdz-234-s281	hdz-235-s282	hdz-236-s283	hdz-374-s284	hdz-375-s285	hdz-376-s286	hdz-377-s287	hdz-378-s288	hdz-379-s289	hdz-380-s290	hdz-422-s291	hdz-430-s292	hdz-440-s293	hdz-442-s294	hdz-443-s295	hdz-444-s296	hdz-445-s297	hdz-448-s298	hdz-449-s299	pl-ntc-013-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	2732	792	789	2057	614	1942	1938	238	365	1001	908	1145	126	1241	223	893	2172	1927	957	624	1095	2199	689	9	26676
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1051	989	676	957	845	1408	1882	66	474	797	797	626	16	292	21	623	565	1421	508	266	2989	751	1454	5	19479
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	998	467	938	468	883	812	463	178	453	1228	800	1587	20	956	87	150	806	949	824	269	709	2281	1519	7	17852
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	50	25	713	94	104	199	56	213	193	338	129	245	206	954	100	502	728	818	952	780	814	617	991	4	9825
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	309	318	288	313	93	466	540	21	283	151	34	290	179	114	59	213	197	260	138	154	279	95	171	3	4968
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	187	116	545	147	116	230	109	44	85	196	196	171	412	423	35	0	286	0	444	0	0	300	186	1	4229
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	493	202	0	143	93	264	304	36	175	3	407	275	277	115	5	0	167	1	65	1	0	349	386	0	3761
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	95	153	51	77	15	119	159	16	36	45	14	44	79	187	10	402	132	472	194	229	308	85	125	1	3048
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	99	59	231	87	60	140	55	39	28	104	86	104	185	209	25	0	158	2	220	0	11	148	160	1	2211
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	170	125	178	109	82	147	149	35	52	53	218	221	72	40	6	10	81	32	83	3	62	105	175	1	2209
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	0	0	2	0	0	0	2	23	2	0	0	0	1761	113	0	0	4	1	11	0	0	4	247	0	2170
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	80	410	200	159	47	218	70	6	90	67	74	134	43	26	16	7	116	1	68	2	1	34	96	0	1965
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	71	58	149	79	55	86	91	21	40	82	94	115	100	83	7	53	89	94	121	42	93	167	150	0	1940
