tax	hdz-015-s28	hdz-018-s30	hdz-022-s31	hdz-027-s32	hdz-028-s36	hdz-030-s37	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-068-s26	hdz-070-s29	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	57	0	222	124	389	572	27	3	1591	427	310	303	340	464	298	25	298	333	41	1	438	6263
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	39	13	121	59	315	80	10	2	327	277	500	92	153	105	166	22	55	188	74	0	272	2870
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	54	7	188	42	125	64	19	0	293	281	387	42	241	109	304	33	253	121	74	0	132	2769
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	47	2	62	33	165	254	6	1	486	155	52	104	79	107	23	1	12	81	1	0	6	1677
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1	11	27	0	73	0	6	0	1	99	128	18	4	0	97	25	37	0	27	0	407	961
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	9	9	27	16	105	109	1	0	250	78	90	30	38	46	28	6	25	30	6	0	44	947
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	46	13	68	13	54	21	7	0	94	93	186	21	47	12	63	6	42	62	6	0	60	914
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	12	4	12	12	55	80	0	0	163	42	48	18	43	35	19	6	15	19	2	0	40	625
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	8	8	10	6	27	20	2	0	69	23	66	30	15	26	60	2	43	26	3	0	174	618
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	9	4	15	6	61	31	2	0	42	45	46	11	30	46	38	5	17	51	12	0	131	602
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	8	0	26	21	54	86	0	0	105	17	24	13	32	67	18	2	15	27	3	0	56	574
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	5	1	17	11	18	21	3	0	84	31	40	7	58	29	42	8	37	30	4	0	6	452
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	5	0	14	8	30	37	3	0	111	33	25	28	23	46	19	2	20	17	1	0	26	448
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	11	3	29	4	28	10	1	0	35	20	76	16	73	6	44	1	18	29	1	0	30	435
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	15	3	23	6	14	8	0	0	32	26	80	10	37	6	19	0	11	22	1	0	16	329
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	2	1	27	5	70	8	1	0	12	24	21	2	5	12	14	1	9	4	4	0	39	261
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	3	1	10	4	8	8	2	0	30	26	51	5	15	6	24	3	32	9	7	0	11	255
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	3	1	14	1	15	6	0	0	29	23	82	5	16	3	16	1	9	9	1	0	7	241
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	3	0	3	3	32	6	1	0	27	22	17	8	17	9	12	4	7	24	2	0	27	224
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus;Prolinoborus fasciculus	200	2	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	0	0	0	0	0	32	1	0	62	0	0	24	0	43	0	0	0	3	5	0	0	170
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	0	2	6	0	29	6	0	0	5	13	13	2	2	5	17	1	8	0	2	0	59	170
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	1	1	10	0	20	9	1	0	23	13	11	4	5	3	18	7	9	3	3	0	12	153
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	0	3	14	0	7	2	1	0	6	16	46	2	2	0	19	0	16	0	2	0	15	151
