plate,subj,genus,receptor,model,treat_type,treat_subtype,treat,treat_name,treat_desc,log10_dose,dose,replicate,fold_act,perc_e2,perc_e2_Dmax
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-11,1e-11,1,2.0204205114142373,3.613784492034516,2.5717956887551474
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-11,1e-11,2,1.6721041793486338,2.9907754936453936,2.1284234125044517
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-11,1e-11,3,1.892494083580871,3.384971461076919,2.4089579855537444
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-10,1e-10,1,12.464897499832917,22.295088089442068,15.866582956241123
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-10,1e-10,2,16.26912398721079,29.09944124592934,20.708987408192684
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-10,1e-10,3,12.026306705201538,21.510611490123374,15.308300208472378
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-9,1e-9,1,57.364287877721814,102.60347920542986,73.01907074244056
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-9,1e-9,2,58.361682312077136,104.38744869047132,74.28865531247044
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-9,1e-9,3,52.00017805182726,93.0090721040988,66.1910889206819
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-8,1e-8,1,76.88248253509002,137.5143053264417,97.86380409795721
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-8,1e-8,2,74.56112204695356,133.36225060067707,94.90894155240869
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-8,1e-8,3,79.0879900388155,141.45914194287948,100.67119724089655
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-7,1e-7,1,75.07182866116473,134.2757157095439,95.55902061329076
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-7,1e-7,2,80.45869356152863,143.9108232169379,102.41596739659428
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-7,1e-7,3,78.17007932546053,139.81733941600226,99.50278759452246
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-6,1e-6,1,74.86229001549593,133.9009286273885,95.29229862026298
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-6,1e-6,2,85.5769768741593,153.06553767193859,108.93103635520288
1,gorilla,Gorilla,beta,gorilla_beta,standard,estrogen,e2,Estradiol,Endogenous estrogen,-6,1e-6,3,74.90836305720286,133.98333624633753,95.35094505023154
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,9.785700303644129,17.502995936352487,12.456229636446247
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,11.617471594870297,20.77935679677239,14.787893506886457
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,11.158806524740228,19.958974748525538,14.204058189793281
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,23.813263242891,42.59311411942572,30.311931302058614
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,31.468207019234768,56.284975269154245,40.05591840298328
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,25.49549913705755,45.60201150090577,32.453251386489136
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0,1,1,36.790631591926974,65.80482288115222,46.83083901601593
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0,1,2,36.51693404241969,65.31527926667715,46.48244907745162
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0,1,3,37.01662203135174,66.20903613315964,47.11850251701932
