date,receptor,species,dose_type,dose,treatment,assay,value_1,value_2,value_3
8/4/22,esr2,gorilla,control,,Control,luciferase,69,58,54
8/4/22,esr2,gorilla,vehicle,,Veh MeOH,luciferase,67,64,76
8/4/22,esr2,gorilla,molar_M,1.00E-11,E2,luciferase,138,107,122
8/4/22,esr2,gorilla,molar_M,1.00E-10,E2,luciferase,798,1050,784
8/4/22,esr2,gorilla,molar_M,1.00E-09,E2,luciferase,3698,3569,3090
8/4/22,esr2,gorilla,molar_M,1.00E-08,E2,luciferase,4940,4767,4995
8/4/22,esr2,gorilla,molar_M,1.00E-07,E2,luciferase,5020,5343,5033
8/4/22,esr2,gorilla,molar_M,1.00E-06,E2,luciferase,5115,5419,4669
8/4/22,esr2,gorilla,control,,Control,b_gal,1.2321,1.0718,1.0743
8/4/22,esr2,gorilla,vehicle,,Veh MeOH,b_gal,1.2549,1.1384,1.2317
8/4/22,esr2,gorilla,molar_M,1.00E-11,E2,b_gal,1.1961,1.1206,1.1289
8/4/22,esr2,gorilla,molar_M,1.00E-10,E2,b_gal,1.1211,1.1302,1.1416
8/4/22,esr2,gorilla,molar_M,1.00E-09,E2,b_gal,1.1289,1.0709,1.0406
8/4/22,esr2,gorilla,molar_M,1.00E-08,E2,b_gal,1.1252,1.1196,1.106
8/4/22,esr2,gorilla,molar_M,1.00E-07,E2,b_gal,1.171,1.1629,1.1275
8/4/22,esr2,gorilla,molar_M,1.00E-06,E2,b_gal,1.1965,1.1089,1.0915
8/4/22,esr2,gorilla,extract_mg_ml,0.2,LS Cin,luciferase,592,706,665
8/4/22,esr2,gorilla,extract_mg_ml,0.5,LS Cin,luciferase,1385,1841,1537
8/4/22,esr2,gorilla,extract_mg_ml,1,LS Cin,luciferase,2082,2367,2173
8/4/22,esr2,gorilla,extract_mg_ml,2,LS Cin,luciferase,2890,3069,3035
8/4/22,esr2,gorilla,extract_mg_ml,0.2,Browse Biscuit,luciferase,1006,1239,1133
8/4/22,esr2,gorilla,extract_mg_ml,0.5,Browse Biscuit,luciferase,1971,2281,2199
8/4/22,esr2,gorilla,extract_mg_ml,1,Browse Biscuit,luciferase,3086,3262,3546
8/4/22,esr2,gorilla,extract_mg_ml,2,Browse Biscuit,luciferase,4348,3538,3993
8/4/22,esr2,gorilla,extract_mg_ml,0.2,LS Cin,b_gal,1.0594,1.0642,1.0436
8/4/22,esr2,gorilla,extract_mg_ml,0.5,LS Cin,b_gal,1.0185,1.0245,1.0557
8/4/22,esr2,gorilla,extract_mg_ml,1,LS Cin,b_gal,0.991,1.1351,1.028
8/4/22,esr2,gorilla,extract_mg_ml,2,LS Cin,b_gal,1.029,1.1082,1.132
8/4/22,esr2,gorilla,extract_mg_ml,0.2,Browse Biscuit,b_gal,0.9155,1.1014,1.0121
8/4/22,esr2,gorilla,extract_mg_ml,0.5,Browse Biscuit,b_gal,1.0221,1.1087,1.1342
