Date,Species,ER,Dose,Treatment,luciferase_1,luciferase_2,luciferase_3,bgal_1,bgal_2,bgal_3
8/4/22,gorilla,beta,Control,E2,69,58,54,1.2321,1.0718,1.0743
8/4/22,gorilla,beta,Veh MeOH,E2,67,64,76,1.2549,1.1384,1.2317
8/4/22,gorilla,beta,-11,E2,138,107,122,1.1961,1.1206,1.1289
8/4/22,gorilla,beta,-10,E2,798,1050,784,1.1211,1.1302,1.1416
8/4/22,gorilla,beta,-9,E2,3698,3569,3090,1.1289,1.0709,1.0406
8/4/22,gorilla,beta,-8,E2,4940,4767,4995,1.1252,1.1196,1.106
8/4/22,gorilla,beta,-7,E2,5020,5343,5033,1.171,1.1629,1.1275
8/4/22,gorilla,beta,-6,E2,5115,5419,4669,1.1965,1.1089,1.0915
8/4/22,loris,beta,Control,E2,80,95,94,1.2876,1.1487,0.9347
8/4/22,loris,beta,Veh MeOH,E2,99,99,104,1.3355,1.2799,1.143
8/4/22,loris,beta,-10,E2,135,141,102,1.2926,1.215,1.0605
8/4/22,loris,beta,-9,E2,243,197,231,1.2516,1.0643,1.1191
8/4/22,loris,beta,-8,E2,4585,5311,4269,1.1264,1.2308,1.0009
8/4/22,loris,beta,-7,E2,17058,17636,16816,1.1515,1.1157,1.0639
8/4/22,loris,beta,-6,E2,20583,19581,20770,1.2828,1.1932,1.2216
8/4/22,loris,beta,-5,E2,18123,20438,19730,1.4101,1.3124,1.3989
8/4/22,human,alpha,Control,E2,3915,3771,3575,1.1056,1.0084,0.9969
8/4/22,human,alpha,Veh MeOH,E2,4444,4599,4560,1.1959,1.0693,1.0157
8/4/22,human,alpha,-13,E2,4332,4455,3685,1.1692,1.0695,0.9322
8/4/22,human,alpha,-12,E2,5850,6021,5547,1.1817,1.0803,0.9529
8/4/22,human,alpha,-11,E2,19101,18905,18435,1.1267,1.0571,0.9644
8/4/22,human,alpha,-10,E2,29442,30328,31950,0.9348,0.939,0.9432
8/4/22,human,alpha,-9,E2,32309,33644,25689,0.9197,0.8856,0.7087
8/4/22,human,alpha,-8,E2,29959,30735,27649,0.8995,0.8413,0.7892
8/4/22,human,beta,Control,E2,181,141,141,1.1298,1.2058,1.1209
8/4/22,human,beta,Veh MeOH,E2,161,169,144,1.3167,1.2859,1.1886
8/4/22,human,beta,-11,E2,329,322,296,1.2402,1.2736,1.2283
8/4/22,human,beta,-10,E2,3390,3399,2980,1.3081,1.2562,1.2022
8/4/22,human,beta,-9,E2,7566,9120,8126,1.2624,1.2524,1.1122
