seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz1	barcode01	12891	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode02	18102	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode03	6796	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode04	15081	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode05	4860	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode06	9198	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode07	14316	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode08	26750	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode09	18771	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode10	7880	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode11	25576	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode12	23963	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode13	19320	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode14	12471	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode15	15448	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode16	8057	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode17	20610	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode18	26708	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode19	9525	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode20	8841	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode21	16345	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode22	15957	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode23	16068	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz1	barcode24	29	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401
hdz10	barcode01	4843	AXK913	PL10-11	PL010	2024-08-21	2024-08-21 19:58:28.002915
hdz10	barcode02	3609	AXK913	PL10-11	PL010	2024-08-21	2024-08-21 19:58:28.002915
