flow_cell_id,experiment_id,kit,barcode,alias
AVP114,PL12-13,SQK-16S114-24,barcode01,hdz-230-s277
AVP114,PL12-13,SQK-16S114-24,barcode02,hdz-231-s278
AVP114,PL12-13,SQK-16S114-24,barcode03,hdz-232-s279
AVP114,PL12-13,SQK-16S114-24,barcode04,hdz-233-s280
AVP114,PL12-13,SQK-16S114-24,barcode05,hdz-234-s281
AVP114,PL12-13,SQK-16S114-24,barcode06,hdz-235-s282
AVP114,PL12-13,SQK-16S114-24,barcode07,hdz-236-s283
AVP114,PL12-13,SQK-16S114-24,barcode08,hdz-374-s284
AVP114,PL12-13,SQK-16S114-24,barcode09,hdz-375-s285
AVP114,PL12-13,SQK-16S114-24,barcode10,hdz-376-s286
AVP114,PL12-13,SQK-16S114-24,barcode11,hdz-377-s287
AVP114,PL12-13,SQK-16S114-24,barcode12,hdz-378-s288
AVP114,PL12-13,SQK-16S114-24,barcode13,hdz-379-s289
AVP114,PL12-13,SQK-16S114-24,barcode14,hdz-380-s290
AVP114,PL12-13,SQK-16S114-24,barcode15,hdz-422-s291
AVP114,PL12-13,SQK-16S114-24,barcode16,hdz-430-s292
AVP114,PL12-13,SQK-16S114-24,barcode17,hdz-440-s293
AVP114,PL12-13,SQK-16S114-24,barcode18,hdz-442-s294
AVP114,PL12-13,SQK-16S114-24,barcode19,hdz-443-s295
AVP114,PL12-13,SQK-16S114-24,barcode20,hdz-444-s296
AVP114,PL12-13,SQK-16S114-24,barcode21,hdz-445-s297
AVP114,PL12-13,SQK-16S114-24,barcode22,hdz-448-s298
AVP114,PL12-13,SQK-16S114-24,barcode23,hdz-449-s299
AVP114,PL12-13,SQK-16S114-24,barcode24,pl-ntc-013-ctrl
