"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-063-S1"	"hdz1"	1	1	"HDZ-063-E1"	1	30	18	4.08	12891	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-063"	"HDZ Loris DNA Extracts Box 1"	""	66	"HDZ Keepers"	""	2023-11-24	"Culi"	"yes"
"HDZ-064-S2"	"hdz1"	2	2	"HDZ-064-E1"	1	30	18	2.91	18102	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-064"	"HDZ Loris DNA Extracts Box 1"	""	90	"HDZ Keepers"	""	2023-11-23	"Culi"	"yes"
"HDZ-004-S3"	"hdz1"	3	3	"HDZ-004-E1"	0	30	18	8.5	6796	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-004"	"HDZ Loris DNA Extracts Box 1"	""	55	"HDZ Keepers"	"Vaginal closure began"	2023-10-28	"Warble"	"yes"
"HDZ-065-S4"	"hdz1"	4	4	"HDZ-065-E1"	1	30	18	3.39	15081	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-065"	"HDZ Loris DNA Extracts Box 1"	""	27	"HDZ Keepers"	""	2023-12-03	"Culi"	"yes"
"HDZ-066-S5"	"hdz1"	5	5	"HDZ-066-E1"	1	30	18	4.11	4860	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-066"	"HDZ Loris DNA Extracts Box 1"	""	63	"HDZ Keepers"	""	2023-11-30	"Culi"	"yes"
"HDZ-030-S6"	"hdz1"	6	6	"HDZ-030-E1"	1	30	18	6.6	9198	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-030"	"HDZ Loris DNA Extracts Box 1"	""	21	"HDZ Keepers"	""	2023-11-06	"Warble"	"yes"
"HDZ-021-S7"	"hdz1"	7	7	"HDZ-021-E1"	1	30	18	2.93	14316	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-021"	"HDZ Loris DNA Extracts Box 1"	""	19	"HDZ Keepers"	""	2023-10-28	"Culi"	"yes"
"HDZ-013-S8"	"hdz1"	8	8	"HDZ-013-E1"	2	30	18	2.13	26750	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-013"	"HDZ Loris DNA Extracts Box 1"	""	42	"HDZ Keepers"	""	2023-10-26	"Culi"	"yes"
"HDZ-067-S9"	"hdz1"	9	9	"HDZ-067-E1"	1	30	18	2.97	18771	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-067"	"HDZ Loris DNA Extracts Box 1"	""	62	"HDZ Keepers"	""	2023-11-27	"Warble"	"no"
"HDZ-011-S10"	"hdz1"	10	10	"HDZ-011-E1"	1	30	18	6.3	7880	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-011"	"HDZ Loris DNA Extracts Box 1"	""	45	"HDZ Keepers"	""	2023-10-29	"Culi"	"yes"
