"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"Bristol"	"SampleTime"	"SampleStabilizer"	"CollectionDate"	"Subject"	"Subj_Certainty"
"PAD-1-MGE-L96"	"cm001"	2	2	"DNA1-PAD-1-MGE"	2	227	136.2	12	23833	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-07-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"PAD-1-MGE"	"DNA Extracts 4"	""	91	"SA"	""	4	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Padme"	"yes"
"GIN-43-DRS-L130"	"cm001"	3	3	"DNA1-GIN-43-DRS"	4	227	136.2	4.83	14601	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-07-28	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GIN-43-DRS"	"DNA Extracts 5"	""	11	"SA/GR"	""	2	730	"DNA/RNA Shield"	2023-04-21	"Ginger"	"yes"
"CHA-57-DRS-L131"	"cm001"	4	4	"DNA1-CHA-57-DRS"	3	227	136.2	7.4	27628	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-07-28	"SA"	"Quick-DNA Fecal/Soil Microbe"	"CHA-57-DRS"	"DNA Extracts 5"	""	47	"SA"	""	3	800	"DNA/RNA Shield"	2023-05-05	"Charles"	"yes"
"HAM-4-DRS-L132"	"cm001"	5	5	"DNA1-HAM-4-DRS"	4	227	136.2	5	30197	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-4-DRS"	"DNA Extracts 5"	""	88	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-13	"Hamlet"	"yes"
"HAM-4-MGE-L133"	"cm001"	6	6	"DNA1-HAM-4-MGE"	2	227	136.2	11	25616	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-4-MGE"	"DNA Extracts 5"	""	13	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-13	"Hamlet"	"yes"
"IRI-36-MGE-L134"	"cm001"	7	7	"DNA1-IRI-36-MGE"	4	227	136.2	5.1	19394	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"IRI-36-MGE"	"DNA Extracts 5"	""	3.8	"SA/GR"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-04-14	"Iris"	"yes"
"HER-44-DRS-L137"	"cm001"	8	8	"DNA1-HER-44-DRS"	2	227	136.2	12	13220	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-44-DRS"	"DNA Extracts 5"	""	52	"SA"	""	2	730	"DNA/RNA Shield"	2023-04-22	"Hera"	"yes"
"HER-44-MGE-L138"	"cm001"	9	9	"DNA1-HER-44-MGE"	3	227	136.2	6.2	22522	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-44-MGE"	"DNA Extracts 5"	""	9.9	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"Hera"	"yes"
"LAM-70-DRS-L143"	"cm001"	10	10	"DNA1-LAM-70-DRS"	2	227	136.2	11	16225	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"LAM-70-DRS"	"DNA Extracts 5"	""	5.7	"SA"	""	3	730	"DNA/RNA Shield"	2023-05-18	"Lambchop"	"yes"
"LAM-70-MGE-L144"	"cm001"	11	11	"DNA1-LAM-70-MGE"	2	227	136.2	9.6	21019	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"LAM-70-MGE"	"DNA Extracts 5"	""	19	"SA"	""	3	730	"Molecular Grade (95%) Ethanol"	2023-05-18	"Lambchop"	"yes"
"HER-2-DRS-L145"	"cm001"	12	12	"DNA1-HER-2-DRS"	2	227	136.2	12	8585	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-2-DRS"	"DNA Extracts 5"	""	28	"SA"	""	2	800	"DNA/RNA Shield"	2023-03-11	"Hera"	"yes"
"HER-2-MGE-L146"	"cm001"	13	13	"DNA1-HER-2-MGE"	5	227	136.2	4.11	21427	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-2-MGE"	"DNA Extracts 5"	""	6	"SA"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"Hera"	"yes"
"IRI-16-DRS-L147"	"cm001"	14	14	"DNA1-IRI-16-DRS"	2	227	136.2	9.8	12892	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"IRI-16-DRS"	"DNA Extracts 5"	""	84	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-25	"Iris"	"yes"
"IRI-16-MGE-L148"	"cm001"	15	15	"DNA1-IRI-16-MGE"	2	227	136.2	8.8	14385	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"IRI-16-MGE"	"DNA Extracts 5"	""	6.4	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-25	"Iris"	"yes"
"GIN-66-DRS-L155"	"cm001"	16	16	"DNA1-GIN-66-DRS"	3	227	136.2	7	23013	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GIN-66-DRS"	"DNA Extracts 5"	""	29	"SA"	""	2	800	"DNA/RNA Shield"	2023-05-14	"Ginger"	"yes"
"WOL-70-DRS-L157"	"cm001"	17	17	"DNA1-WOL-70-DRS"	2	227	136.2	10	15970	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"WOL-70-DRS"	"DNA Extracts 6"	""	22	"SA"	""	2	800	"DNA/RNA Shield"	2023-05-18	"Wolverine"	"yes"
"WOL-70-MGE-L158"	"cm001"	18	18	"DNA1-WOL-70-MGE"	2	227	136.2	11	24068	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"WOL-70-MGE"	"DNA Extracts 6"	""	9	"SA"	""	2	800	"Molecular Grade (95%) Ethanol"	2023-05-18	"Wolverine"	"yes"
"JAR-2-DRS-L159"	"cm001"	19	19	"DNA1-JAR-2-DRS"	3	227	136.2	7.7	26372	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-2-DRS"	"DNA Extracts 6"	""	5.6	"SA"	""	3	800	"DNA/RNA Shield"	2023-03-11	"JarJar BINKS"	"yes"
"JAR-2-MGE-L160"	"cm001"	20	20	"DNA1-JAR-2-MGE"	2	227	136.2	7.9	26958	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-2-MGE"	"DNA Extracts 6"	""	5.2	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"JarJar BINKS"	"yes"
"BUD-16-DRS-L161"	"cm001"	21	21	"DNA1-BUD-16-DRS"	2	227	136.2	8.9	12071	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"BUD-16-DRS"	"DNA Extracts 6"	""	27	"SA"	""	4	800	"DNA/RNA Shield"	2023-03-25	"Buddy"	"yes"
"HAM-17-MGE-L175"	"cm001"	22	22	"DNA1-HAM-17-MGE"	2	227	136.2	8.2	27648	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-17-MGE"	"DNA Extracts 6"	""	9.5	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-03-26	"Hamlet"	"yes"
"CHA-41-DRS-L176"	"cm001"	23	23	"DNA1-CHA-41-DRS"	2	227	136.2	9.4	27088	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"CHA-41-DRS"	"DNA Extracts 6"	""	58	"SA"	""	2	800	"DNA/RNA Shield"	2023-04-19	"Charles"	"yes"
"WOL-44-DRS-L177"	"cm001"	24	24	"DNA1-WOL-44-DRS"	2	227	136.2	11	13720	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"WOL-44-DRS"	"DNA Extracts 6"	""	106	"SA"	""	2	730	"DNA/RNA Shield"	2023-04-22	"Wolverine"	"yes"
"WOL-44-MGE-L178"	"cm001"	25	25	"DNA1-WOL-44-MGE"	2	227	136.2	12	22392	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"WOL-44-MGE"	"DNA Extracts 6"	""	7	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"Wolverine"	"yes"
"HER-58-DRS-L179"	"cm001"	26	26	"DNA1-HER-58-DRS"	1	227	136.2	15	20760	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-58-DRS"	"DNA Extracts 6"	""	58	"SA"	""	2	730	"DNA/RNA Shield"	2023-05-06	"Hera"	"yes"
"HER-58-MGE-L180"	"cm001"	27	27	"DNA1-HER-58-MGE"	3	227	136.2	7.2	16220	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-58-MGE"	"DNA Extracts 6"	""	24	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-05-06	"Hera"	"yes"
"HER-17-MGE-L187"	"cm001"	28	28	"DNA1-HER-17-MGE"	3	227	136.2	6.4	23283	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HER-17-MGE"	"DNA Extracts 6"	""	15	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-26	"Hera"	"yes"
