flow_cell_id,experiment_id,kit,barcode,alias,seqrun
AVN883,PL015,SQK-16S114-24,barcode01,HDZ-330-S323,hdz15
AVN883,PL015,SQK-16S114-24,barcode02,HDZ-331-S324,hdz15
AVN883,PL015,SQK-16S114-24,barcode03,HDZ-334-S325,hdz15
AVN883,PL015,SQK-16S114-24,barcode04,HDZ-340-S326,hdz15
AVN883,PL015,SQK-16S114-24,barcode05,HDZ-381-S327,hdz15
AVN883,PL015,SQK-16S114-24,barcode06,HDZ-382-S328,hdz15
AVN883,PL015,SQK-16S114-24,barcode07,HDZ-398-S329,hdz15
AVN883,PL015,SQK-16S114-24,barcode08,HDZ-399-S330,hdz15
AVN883,PL015,SQK-16S114-24,barcode09,HDZ-400-S331,hdz15
AVN883,PL015,SQK-16S114-24,barcode10,HDZ-401-S332,hdz15
AVN883,PL015,SQK-16S114-24,barcode11,HDZ-402-S333,hdz15
AVN883,PL015,SQK-16S114-24,barcode12,HDZ-403-S334,hdz15
AVN883,PL015,SQK-16S114-24,barcode13,HDZ-405-S335,hdz15
AVN883,PL015,SQK-16S114-24,barcode14,HDZ-406-S336,hdz15
AVN883,PL015,SQK-16S114-24,barcode15,HDZ-407-S337,hdz15
AVN883,PL015,SQK-16S114-24,barcode16,HDZ-408-S338,hdz15
AVN883,PL015,SQK-16S114-24,barcode17,HDZ-409-S339,hdz15
AVN883,PL015,SQK-16S114-24,barcode18,HDZ-441-S340,hdz15
AVN883,PL015,SQK-16S114-24,barcode19,HDZ-446-S341,hdz15
AVN883,PL015,SQK-16S114-24,barcode20,HDZ-447-S342,hdz15
AVN883,PL015,SQK-16S114-24,barcode21,HDZ-451-S343,hdz15
AVN883,PL015,SQK-16S114-24,barcode22,HDZ-452-S344,hdz15
AVN883,PL015,SQK-16S114-24,barcode23,HDZ-453-S345,hdz15
AVN883,PL015,SQK-16S114-24,barcode24,PL-NTC-015-CTRL,hdz15
