flow_cell_id,experiment_id,kit,barcode,alias
AVH171,HDZ-PL-007,SQK-16S114-24,barcode01,HDZ-206-S139
AVH171,HDZ-PL-007,SQK-16S114-24,barcode02,HDZ-240-S140
AVH171,HDZ-PL-007,SQK-16S114-24,barcode03,HDZ-241-S141
AVH171,HDZ-PL-007,SQK-16S114-24,barcode04,HDZ-242-S142
AVH171,HDZ-PL-007,SQK-16S114-24,barcode05,HDZ-243-S143
AVH171,HDZ-PL-007,SQK-16S114-24,barcode06,HDZ-244-S144
AVH171,HDZ-PL-007,SQK-16S114-24,barcode07,HDZ-245-S145
AVH171,HDZ-PL-007,SQK-16S114-24,barcode08,HDZ-246-S146
AVH171,HDZ-PL-007,SQK-16S114-24,barcode09,HDZ-247-S147
AVH171,HDZ-PL-007,SQK-16S114-24,barcode10,HDZ-248-S148
AVH171,HDZ-PL-007,SQK-16S114-24,barcode11,HDZ-249-S149
AVH171,HDZ-PL-007,SQK-16S114-24,barcode12,HDZ-250-S150
AVH171,HDZ-PL-007,SQK-16S114-24,barcode13,HDZ-251-S151
AVH171,HDZ-PL-007,SQK-16S114-24,barcode14,HDZ-252-S152
AVH171,HDZ-PL-007,SQK-16S114-24,barcode15,HDZ-253-S153
AVH171,HDZ-PL-007,SQK-16S114-24,barcode16,HDZ-254-S154
AVH171,HDZ-PL-007,SQK-16S114-24,barcode17,HDZ-317-S155
AVH171,HDZ-PL-007,SQK-16S114-24,barcode18,HDZ-318-S156
AVH171,HDZ-PL-007,SQK-16S114-24,barcode19,HDZ-319-S157
AVH171,HDZ-PL-007,SQK-16S114-24,barcode20,HDZ-328-S158
AVH171,HDZ-PL-007,SQK-16S114-24,barcode21,HDZ-336-S159
AVH171,HDZ-PL-007,SQK-16S114-24,barcode22,HDZ-337-S160
AVH171,HDZ-PL-007,SQK-16S114-24,barcode23,HDZ-338-S161
AVH171,HDZ-PL-007,SQK-16S114-24,barcode24,PL-NTC-007-CTRL
