flow_cell_id,experiment_id,kit,barcode,alias,seqrun
ARM773,PL3,SQK-16S024,barcode01,PAD-6-MGE-S24,cm003
ARM773,PL3,SQK-16S024,barcode02,IRI-11-MGE-S25,cm003
ARM773,PL3,SQK-16S024,barcode03,LAM-18-MGE-S26,cm003
ARM773,PL3,SQK-16S024,barcode04,HER-19-MGE-S27,cm003
ARM773,PL3,SQK-16S024,barcode05,MAR-36-MGE-S28,cm003
ARM773,PL3,SQK-16S024,barcode06,KOR-20-DRS-S29,cm003
ARM773,PL3,SQK-16S024,barcode07,KUB-20-MGE-S30,cm003
ARM773,PL3,SQK-16S024,barcode08,IRI-29-MGE-S31,cm003
ARM773,PL3,SQK-16S024,barcode09,HAM-31-MGE-S32,cm003
ARM773,PL3,SQK-16S024,barcode10,JAR-32-DRS-S33,cm003
ARM773,PL3,SQK-16S024,barcode11,JAR-32-MGE-S34,cm003
ARM773,PL3,SQK-16S024,barcode12,FRA-44-DRS-S35,cm003
ARM773,PL3,SQK-16S024,barcode13,IVY-45-MGE-S36,cm003
ARM773,PL3,SQK-16S024,barcode14,LAM-46-MGE-S37,cm003
ARM773,PL3,SQK-16S024,barcode15,CHA-46-MGE-S38,cm003
ARM773,PL3,SQK-16S024,barcode16,IRI-48-MGE-S39,cm003
ARM773,PL3,SQK-16S024,barcode17,MAR-48-MGE-S40,cm003
ARM773,PL3,SQK-16S024,barcode18,KUB-50-MGE-S41,cm003
ARM773,PL3,SQK-16S024,barcode19,GIN-58-MGE-S42,cm003
ARM773,PL3,SQK-16S024,barcode20,GOO-59-MGE-S43,cm003
ARM773,PL3,SQK-16S024,barcode21,HAM-22-MGE-S44,cm003
ARM773,PL3,SQK-16S024,barcode22,KUB-24-MGE-S45,cm003
ARM773,PL3,SQK-16S024,barcode23,GRO-24-MGE-S46,cm003
ARM773,PL3,SQK-16S024,barcode24,NTC3-CTRL,cm003
