flow_cell_id,experiment_id,kit,barcode,alias,seqrun
AVI598,UNO-CM-009,SQK-16S114-24,barcode14,HER-1-MGE-S175,cm009
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode02,PAD-1-MGE-L96,cm001
AVI598,UNO-CM-009,SQK-16S114-24,barcode02,WOL-1-MGE-S163,cm009
AVI598,UNO-CM-009,SQK-16S114-24,barcode13,GIN-2-MGE-S174,cm009
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode12,HER-2-DRS-L145,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode13,HER-2-MGE-L146,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode19,JAR-2-DRS-L159,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode20,JAR-2-MGE-L160,cm001
FAX08980,PL2,SQK-16S024,barcode03,JAR-2-DRS-S3,cm002
FAX08980,PL2,SQK-16S024,barcode04,JAR-2-MGE-S4,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode45,LAM-2-DRS-L218,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode46,LAM-2-MGE-L219,cm001
FAX08980,PL2,SQK-16S024,barcode16,LAM-2-DRS-S16,cm002
FAX08980,PL2,SQK-16S024,barcode17,LAM-2-MGE-S17,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode47,JAR-3-DRS-L220,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode48,JAR-3-MGE-L221,cm001
FAX08980,PL2,SQK-16S024,barcode18,JAR-3-DRS-S18,cm002
FAX08980,PL2,SQK-16S024,barcode19,JAR-3-MGE-S19,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode52,JOA-3-MGE-L225,cm001
FAX08980,PL2,SQK-16S024,barcode23,JOA-3-MGE-S23,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode49,GOO-4-DRS-L222,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode50,GOO-4-MGE-L223,cm001
FAX08980,PL2,SQK-16S024,barcode20,GOO-4-DRS-S20,cm002
FAX08980,PL2,SQK-16S024,barcode21,GOO-4-MGE-S21,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode05,HAM-4-DRS-L132,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode06,HAM-4-MGE-L133,cm001
ARM042,PL5,SQK-16S024,barcode13,PAD-5-MGE-S82,cm005
ARM042,PL5,SQK-16S024,barcode14,KOR-6-DRS-S83,cm005
ARM042,PL5,SQK-16S024,barcode15,KOR-6-MGE-S84,cm005
ARM773,PL3,SQK-16S024,barcode01,PAD-6-MGE-S24,cm003
ARM042,PL5,SQK-16S024,barcode18,GIN-7-DRS-S87,cm005
ARM042,PL5,SQK-16S024,barcode19,GIN-7-MGE-S88,cm005
ARM042,PL5,SQK-16S024,barcode16,IRI-7-DRS-S85,cm005
ARM042,PL5,SQK-16S024,barcode17,IRI-7-MGE-S86,cm005
AVI583,UNO-CM-010,SQK-16S114-24,barcode20,CHA-9-MGE-S204,cm010
ARM042,PL5,SQK-16S024,barcode02,FRA-9-MGE-S71,cm005
ARM904,16S_UNO-CM-006,SQK-16S024,barcode12,HEN-9-DRS-S104,cm006
ARM904,16S_UNO-CM-006,SQK-16S024,barcode13,HEN-9-MGE-S105,cm006
ARM904,16S_UNO-CM-006,SQK-16S024,barcode11,IVY-9-MGE-S103,cm006
AVI583,UNO-CM-010,SQK-16S114-24,barcode19,OPH-9-MGE-S203,cm010
AVI583,UNO-CM-010,SQK-16S114-24,barcode22,BUD-11-MGE-S206,cm010
AVI583,UNO-CM-010,SQK-16S114-24,barcode21,HAM-11-MGE-S205,cm010
ARM042,PL5,SQK-16S024,barcode03,HER-11-MGE-S72,cm005
ARM773,PL3,SQK-16S024,barcode02,IRI-11-MGE-S25,cm003
ARM042,PL5,SQK-16S024,barcode04,PAD-11-MGE-S73,cm005
ARM042,PL5,SQK-16S024,barcode06,GIN-14-MGE-S75,cm005
ARM904,16S_UNO-CM-006,SQK-16S024,barcode14,HER-14-MGE-S106,cm006
AVI583,UNO-CM-010,SQK-16S114-24,barcode23,JAR-14-MGE-S207,cm010
AVI598,UNO-CM-009,SQK-16S114-24,barcode09,JOA-14-MGE-S170,cm009
ARM042,PL5,SQK-16S024,barcode05,KUB-14-MGE-S74,cm005
ARM904,16S_UNO-CM-006,SQK-16S024,barcode15,WOL-14-MGE-S107,cm006
AVI598,UNO-CM-009,SQK-16S114-24,barcode15,JAR-15-MGE-S176,cm009
AVI598,UNO-CM-009,SQK-16S114-24,barcode19,KUB-15-MGE-S180,cm009
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode21,BUD-16-DRS-L161,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode14,IRI-16-DRS-L147,cm001
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode15,IRI-16-MGE-L148,cm001
FAX08980,PL2,SQK-16S024,barcode01,IRI-16-MGE-S1,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode22,HAM-17-MGE-L175,cm001
FAX08980,PL2,SQK-16S024,barcode05,HAM-17-MGE-S5,cm002
FAW97410,PL1_Run2,SQK-LSK114 EXP-PBC096,barcode28,HER-17-MGE-L187,cm001
