"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"NameLoc"	"Sire"	"Dam"	"DateBirth"	"Status"	"Sex"	"CurrentLoc"	"Disposition"	"DispIcon"	"LocAssignment"	"Breeding"	"BreedIcon"	"MateID"	"Plan"	"Assignment"	"Note"	"colorCurrent"	"NameLocCurrent"	"Country"	"AgeBTP"	"AgeReal"
2504	1	"ABQ"	2007-01-18	"Birth"	2007-01-18	2009-06-25	"Albuquerque Biological Park"	1131	2403	2007-01-18	"A"	"F"	"ELP"	"HOLD"	"'spinner'"	"ELP"	"DO NOT BREED"	"'ban'"	NA	"Exclude"	"Excluded - Age"	"Please reach out to the SSP Coordinator when you are ready to receive new individuals."	"#585860"	"El Paso Zoo"	"United States"	17	18
2504	2	"PRO"	2009-06-25	"Transfer"	2009-06-25	2022-10-26	"Prospect Park Zoo"	1131	2403	2007-01-18	"A"	"F"	"ELP"	"HOLD"	"'spinner'"	"ELP"	"DO NOT BREED"	"'ban'"	NA	"Exclude"	"Excluded - Age"	"Please reach out to the SSP Coordinator when you are ready to receive new individuals."	"#585860"	"El Paso Zoo"	"United States"	17	18
2504	3	"ELP"	2022-10-26	"Transfer"	2022-10-26	2025-03-20	"El Paso Zoo"	1131	2403	2007-01-18	"A"	"F"	"ELP"	"HOLD"	"'spinner'"	"ELP"	"DO NOT BREED"	"'ban'"	NA	"Exclude"	"Excluded - Age"	"Please reach out to the SSP Coordinator when you are ready to receive new individuals."	"#585860"	"El Paso Zoo"	"United States"	17	18
2614	1	"ABQ"	2009-07-18	"Birth"	2009-07-18	2018-12-18	"Albuquerque Biological Park"	1131	2403	2009-07-18	"A"	"F"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2653	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	15	15
2614	2	"SOZ"	2018-12-18	"Transfer"	2018-12-18	2019-11-05	"San Diego Zoo"	1131	2403	2009-07-18	"A"	"F"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2653	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	15	15
2614	3	"PUE"	2019-11-05	"Transfer"	2019-11-05	2025-03-20	"Pueblo Zoo"	1131	2403	2009-07-18	"A"	"F"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2653	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	15	15
2617	1	"PHI"	2010-02-05	"Birth"	2010-02-05	2025-03-20	"Philadelphia Zoo"	1130	2436	2010-02-05	"A"	"F"	"PHI"	"HOLD"	"'spinner'"	"PHI"	"DO NOT BREED"	"'ban'"	NA	"Exclude"	"Excluded - Age/No breeding success"	NA	"#808064"	"Philadelphia Zoo"	"United States"	14	15
2622	1	"DUK"	2010-09-17	"Birth"	2010-09-17	2016-02-08	"Duke Lemur Center"	2498	2502	2010-09-17	"A"	"M"	"CIN"	"RECEIVE FROM"	"'plane-arrival'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2661	"Include"	NA	NA	"#789464"	"Cincinnati Zoo & Botanical Garden"	"United States"	14	14
2622	1	"DUK"	2010-09-17	"Birth"	2010-09-17	2016-02-08	"Duke Lemur Center"	2498	2502	2010-09-17	"A"	"M"	"BLO"	"SEND TO"	"'plane-departure'"	"CIN"	"BREED WITH"	"'heart-circle-check'"	2661	"Include"	NA	"A breeding option for male 2738 will be identified as more space and individuals become available."	"#A88464"	"Miller Park Zoo"	"United States"	14	14
2622	2	"MEM"	2016-02-08	"Transfer"	2016-02-08	2019-05-16	"Memphis Zoological Garden & Aquarium"	2498	2502	2010-09-17	"A"	"M"	"CIN"	"RECEIVE FROM"	"'plane-arrival'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2661	"Include"	NA	NA	"#789464"	"Cincinnati Zoo & Botanical Garden"	"United States"	14	14
