Studbook_ID,Current_Location,Current_Local_ID,Sex,Type,Birth_Date,Current_Status,Sire,Dam,Birth_Type,Event_Type,Event_Date
1065,CLEVEL,AND,M,2,0,71,1,"M a l e
 
2 4 /Ma r/1 99 0
 
1016
 
1019
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 4 /Ma r/1",99,0,SANDIEGOZ
1151,CLEVEL,AND,M,4,0,61,3,"M a l e
 
0 8 /Ma r/2 00 0
 
1125
 
1124
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 8 /Ma r/2 00 0
 
PUEBLO
 
 
Tra n s fe r
 
2 4 /Ju n /20 0 4
 
CLEVEL AND
 
 
Dea th
 
2 1 /F e b/2 01 0
 
CLEVEL AND
 
2006
 
WARSAW
 
_ _ _ _ __
 
M a l e
 
Und e te rm i ne d
 
WI L D
 
WI L D
 
Wi l d  Bi rth /Hatc h
 
Bi rth /Ha tc h
 
Und e te rm i ne d
 
As i a
 
 
Wi l d  Cap tu re
 
Und e te rm i ne d
 
As i a
 
 
Tra n s fe r
 
Und e te rm i ne d
 
HERSHEY
 
 
Tra n s fe r
 
2 3 /Oc t/ 19 8 6
 
M OSCOW
 
 
Tra n s fe r
 
2 0 /Ma y /19 9 0
 
WARSAW
 
 
Dea th
 
2 4 /No v/1 9 90
 
WARSAW
 
2097
 
FRA
NKFURT
 
33037
 
Fe m al e
 
Und e te rm i ne d
 
WI L D
 
WI L D
 
Wi l d  Bi rth /Hatc h
 
Bi rth /Ha tc h
 
Und e te rm i ne d
 
Vi e t Nam
 
/", ,~,W
2413,CLEVEL,AND,M,3,1,00,8,"Fe m al e
 
0 3 /Ju n /20 0 2
 
2208
 
1126
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 3 /Ju n /20 0 2
 
M INNESOTA
 
 
Tra n s fe r
 
2 3 /Oc t/ 20 0 3", ,CLEVEL,AND
2490,CLEVEL,AND,M,4,0,80,3,"Und e te rm i ne d
 
2 0 /A
u g /2 0 04
 
1138
 
2413
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 0 /Au g /2 0 04
 
CLEVEL AND
 
 
Dea th
 
2 4 /Au g /2 0 04
 
CLEVEL AND
 
2493
 
BOWM ANVIL
 
L 0 8 0 06
 
M a l e
 
1 5 /F e b/2 00 5
 
2337
 
2341
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 5 /F e b/2 00 5
 
QUEBEC
 
 
Tra n s fe r
 
0 3 /Ju n /20 0 8
 
L ANGL EY
 
 
Tra n s fe r
 
0 2 /No v/2 0 10
 
BOWM ANVIL
 
 
GO L TF
 
2 4 /Ju l /20 1 6
 
BOWM ANVIL
 
2495
 
M OODY
 
_ _ _ _ __
 
Und e te rm i ne d
 
2 4 /Ma r/2 00 6
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 4 /Ma r/2 00 6
 
M OODY
 
 
Dea th
 
2 4 /Ma r/2 00 6
 
M OODY
 
2496
 
DUKE PRIM
 
7245
 
M a l e
 
2 4 /Ma r/2 00 6
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 4 /M
a r/2 00 6
 
M OODY
 
 
Tra n s fe r
 
1 7 /Se p /2 0 08
 
HOUSTON
 
 
Tra n s fe r
 
1 7 /De c/2 0 08
 
CLEVEL AND
 
 
Tra n s fe r
 
1 9 /Ap r/20 1 6
 
DUKE PRIM
 
 
Dea th
 
0 7 /Ju n /20 1 7
 
DUKE PRIM
 
2498
 
DUKE PRIM
 
2928
 
M a l e
 
0 1 /Ju n /20 0 6
 
2406
 
2424
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 1 /Ju n /20 0 6
 
DUKE PRIM
 
 
Dea th
 
1 7 /Ju
n /20 1 5
 
DUKE PRIM
 
2499
 
OM AHA
 
18741
 
Fe m al e
 
0 1 /Ju n /20 0 6
 
2406
 
2424
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 1 /Ju n /20 0 6
 
DUKE PRIM
 
 
Tra n s fe r
 
0 2 /Oc t/ 20 0 8
 
OM AHA
 
 
Dea th
 
0 4 /Ma r/2 01 7
 
OM AHA
 
2500
 
OM AHA
 
18427
 
M a l e
 
1 8 /Ju n /20 0 6
 
2409
 
1135
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 8 /Ju n
/20 0 6
 
SANDIEGOZ
 
 
Tra n s fe r
 
1 7 /Se p /2 0 08
 
OM AHA
 
 
Dea th
 
1 8 /De c/2 0 13
 
OM AHA
 
2501
 
CLEVEL AND
 
M 7 0 10 4
 
Fe m al e
 
0 7 /Ja n /20 0 7
 
1138
 
2413
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 7 /Ja n /20 0 7
 
CLEVEL AND
 
 
Dea th
 
0 6 /No v/2 0 09", ,CLEVEL,AND
2506,CLEVEL,AND,M,8,1,01,0,"Fe m al e
 
0 6 /Ap r/20 0 6
 
1125
 
1124
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 6 /Ap r/20 0 6
 
PUEBLO
 
 
Tra n s fe r
 
2 9 /Oc t/ 20 0 8
 
CLEVEL AND
 
 
Dea th
 
2 8 /Ju l /20 1 2
 
CLEVEL AND
 
2507
 
OM AHA
 
18214
 
M a l e
 
0 6 /Ap r/20 0 6
 
1125
 
1124
 
Cap ti ve  
Bi rth /Ha t
ch
 
Bi rth /Ha tc h
 
0 6 /Ap r/20 0 6
 
PUEBLO
 
 
Tra n s fe r
 
0 9 /Ju l /20 0 8
 
OM AHA
 
 
Dea th
 
0 4 /No v/2 0 15
 
OM AHA
 
2600
 
CINCINNAT
 
1 1 0 0 23
 
M a l e
 
2 0 /No v/2 0 08
 
2408
 
2400
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 0 /No v/2 0 08
 
AKRON
 
 
Tra n s fe r
 
1 3 /Ma r/2 01 0
 
CINCINNAT
 
 
Dea th
 
2 2 /Ju n /20 1 8
 
CINCINNAT
 
260
1
 
M OODY
 
5297
 
Fe m al e
 
1 2 /Ma r/2 00 8
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 2 /Ma r/2 00 8
 
M OODY
 
 
Dea th
 
1 3 /Ma r/2 00 8
 
M OODY
 
2602
 
M OODY
 
5298
 
Fe m al e
 
1 2 /Ma r/2 00 8
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 2 /Ma r/2 00 8
 
M OODY
 
 
Dea th
 
0 5 /Ap r/20 0 8
 
M OODY
 
2603
 
OM AHA
 
1856
2
 
Und e te rm i ne d
 
2 2 /No v/2 0 08
 
2402
 
1143
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 2 /No v/2 0 08
 
OM AHA
 
 
Dea th
 
2 2 /No v/2 0 08
 
OM AHA
 
2604
 
PHIL ADELP
 
1 0 4 5 68
 
M a l e
 
1 6 /Ma r/2 00 8
 
1130
 
2436
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 6 /Ma r/2 00 8
 
PHIL ADELP
 
 
Dea th
 
2 0 /Ma r/2 00 8
 
PHIL ADELP
 
2605
 
AKR
ON
 
1 0 1 4 71
 
Fe m al e
 
1 6 /Ma r/2 00 8
 
1130
 
2436
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 6 /Ma r/2 00 8
 
PHIL ADELP
 
 
Tra n s fe r
 
0 9 /Ju l /20 0 9
 
PROSPECTP
 
 
Tra n s fe r
 
0 8 /Oc t/ 20",1,5,AKRON
2610,CLEVEL,AND,M,9,1,13,5,"Und e te rm i ne d
 
0 6 /No v/2 0 09
 
2496
 
2501
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 6 /No v/2 0 09
 
CLEVEL AND
 
 
Dea th
 
0 6 /No v/2 0 09
 
CLEVEL AND
 
2611
 
M OODY
 
5654
 
M a l e
 
1 3 /Ma y /20 0 9
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 3 /Ma y /20 0 9
 
M OODY
 
 
Dea th
 
2 2 /Ma y /20 0 9
 
M OODY
 
2612
 
PHIL ADELP
 
1 0 4 6 49
 
M a l e
 
2 7 /Ma r/2 00 9
 
1130
 
2436
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 7 /Ma r/2 00 9
 
PHIL ADELP
 
 
Dea th
 
3 0 /Ma r/2 00 9
 
PHIL ADELP
 
2613
 
ABQBIOPK
 
M 0 9 02 2
 
M a l e
 
1 8 /Ju l /20 0 9
 
1131
 
2403
 
Cap ti
ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 8 /Ju l /20 0 9
 
ABQBIOPK
 
 
Dea th
 
2 3 /Ju l /20 0 9
 
ABQBIOPK
 
2614
 
PUEBLO
 
M 3 9 02 1
 
Fe m al e
 
1 8 /Ju l /20 0 9
 
1131
 
2403
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 8 /Ju l /20 0 9
 
ABQBIOPK
 
 
Tra n s fe r
 
1 8 /De c/2 0 18
 
SANDIEGOZ
 
 
Tra n s fe r
 
0 5 /No v/2 0 19
 
PUEBLO
 
2615
 
CHICAGOL
P
 
22297
 
M a l e
 
2 5 /Ap r/20 0 9
 
1142
 
2411
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Ap r/20 0 9
 
CHICAGOL P
 
 
Dea th
 
2 5 /Ap r/20 0 9
 
CHICAGOL P
 
2616
 
CHICAGOL P
 
22298
 
Fe m al e
 
2 5 /Ap r/20 0 9
 
1142
 
2411
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Ap r/20 0 9
 
CHICAGOL P
 
 
Dea th
 
2 5 /Ap r/20 0 9
 
CHICAGOL P
 
2
617
 
PHIL ADELP
 
1 0 4 7 33
 
Fe m al e
 
0 5 /F e b/2 01 0
 
1130
 
2436
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 5 /F e b/2 01 0", ,PHIL,ADELP
2623,NY,BRONX,M,1,4,05,2,"M a l e
 
1 7 /Se p /2 0 10
 
2498
 
2502
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 7 /Se p /2 0 10
 
DUKE PRIM
 
 
T
ra n s fe r
 
0 1 /De c/2 0 11
 
SANDIEGOZ
 
 
Tra n s fe r
 
1 4 /Ma y /20 1 4
 
NY BRONX
 
2624
 
DUKE PRIM
 
7285
 
M a l e
 
1 4 /Ma r/2 01 0
 
2402
 
2451
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 4 /Ma r/2 01 0
 
GARDENCTY
 
 
Tra n s fe r
 
2 5 /Oc t/ 20 1 7
 
DUKE PRIM
 
 
Dea th
 
2 2 /No v/2 0 17
 
DUKE PRIM
 
2625
 
CINCINNAT
 
1 1 1 0 53
 
Fe m al e
 
0 6 /De c/2 0 10
 
2402
 
2451
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 6 /De c/2 0 10
 
GARDENCTY
 
 
Tra n s fe r
 
1 3 /Oc t/ 20 1 1
 
CINCINNAT
 
 
Dea th
 
0 3 /Ma r/2 02 0
 
CINCINNAT
 
2626
 
CHICAGOBR
 
4920
 
Fe m al e
 
0 6 /De c/2 0 10
 
2402
 
2451
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 6 /De c/2 0 10
 
GARDENCTY
 
 
Tra n s fe r
 
2
2 /Ap r/20 1 4
 
CHICAGOBR
 
2627
 
M INNESOTA
 
UNK
 
Und e te rm i ne d
 
2 5 /Se p /2 0 10
 
2208
 
2418
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Se p /2 0 10
 
M INNESOTA
 
 
Dea th
 
2 5 /Se p /2 0 10
 
M INNESOTA
 
2628
 
M INNESOTA
 
UNK
 
Und e te rm i ne d
 
2 5 /Se p /2 0 10
 
2208
 
2418
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Se p /2 0
10
 
M INNESOTA
 
 
Dea th
 
2 5 /Se p /2 0 10
 
M INNESOTA
 
2629
 
M INNESOTA
 
UNK
 
Und e te rm i ne d
 
2 5 /Se p /2 0 10
 
2208
 
2418
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Se p /2 0 10
 
M INNESOTA
 
 
Dea th
 
2 5 /Se p /2 0 10
 
M INNESOTA
 
2630
 
M OODY
 
5889
 
Fe m al e
 
2 2 /Ma r/2 01 0
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha
tc h
 
2 2 /Ma r/2 01 0
 
M OODY
 
2631
 
CHICAGOBR
 
4919
 
M a l e
 
2 2 /Ma r/2 01 0
 
1121
 
1145
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 2 /Ma r/2 01 0
 
M OODY
 
 
Tra n s fe r
 
2 0 /F e b/2 01 4
 
CHICAGOBR
 
2632
 
EL  PASO
 
2 0 1 2 91
 
Fe m al e
 
0 9 /Au g /2 0 10
 
1130
 
2436
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 9 /Au g /2 0 10
 
PHIL ADELP
 
 
Tra n s fe r
 
0 1 /F e b/2 01 2
 
EL  PASO
 
2633
 
PHIL ADELP
 
1 0 4 7 81
 
Und e te rm i ne d
 
0 9 /Au g /2 0 10
 
1130
 
2436
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 9 /Au g /2 0 10
 
PHIL ADELP
 
 
Dea th
 
0 9 /Au g /2 0 10", ,PHIL,ADELP
2640,NY,BRONX,M,1,4,05,3,"Fe m al e
 
0 9 /Ap r/20 1 2
 
2420
 
2608
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 9 /Ap r/20 1 2
 
DUKE PRIM
 
 
Tra n s fe r
 
1 4 /Ma y /20 1 4
 
NY BRONX
 
2641
 
EVANSVL L E
 
1 1 8 0 15
 
M a l e
 
0 9 /Ap r/20 1 2
 
2420
 
2608
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 9 /Ap r/20 1 2
 
DUKE PRIM
 
 
Tra n s fe r
 
1 1 /Ju n /20 1 4
 
SANDIEGOZ
 
 
Tra n s fe r
 
2 3 /Ma y /20 1 8
 
EVANSVL L E
 
2642
 
COL UM BUS
 
2 1 3 1 45
 
Fe m al e
 
2 7 /Oc t/ 20 1 1
 
2402
 
2451
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 7 /Oc t/ 20 1 1
 
GARDENCTY
 
 
Tra n s fe r
 
2 3 /No v/2 0 13
 
COL UM BUS
 
2643
 
NY BRONX
 
M 1 1 17 9
 
Fe m al e
 
0 9 /De c/2 0 11
 
2417
 
2423
 
Cap
ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 9 /De c/2 0 11
 
NY BRONX
 
 
Dea th
 
1 1 /De c/2 0 11
 
NY BRONX
 
2644
 
NY BRONX
 
M 1 1 18 0
 
Und e te rm i ne d
 
0 9 /De c/2 0 11
 
2417
 
2423
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 9 /De c/2 0 11
 
NY BRONX
 
 
Dea th
 
1 2 /De c/2 0 11
 
NY BRONX
 
2645
 
ABQBIOPK
 
M 1 1 02 6
 
M a l e
 
0 7 /De c/2 0 11
 
UND
 
2414
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 7 /De c/2 0 11
 
ABQBIOPK
 
 
Dea th
 
2 0 /Ja n /20 1 5
 
ABQBIOPK
 
2646
 
CHICAGOL P
 
23550
 
M a l e
 
2 6 /Ap r/20 1 3
 
2449
 
2632
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 6 /Ap r/20 1 3
 
EL  PASO
 
 
Tra n s fe r
 
0 7 /Ju l /20 1 5", ,CHICAGOL,P
2663,NY,BRONX,M,1,5,00,8,"M a l e
 
0 1 /Ma r/2 01 5
 
2623
 
2640
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 1 /Ma r/2 01 5
 
NY BRONX
 
 
Dea th
 
0 6 /Ma r/2 01 5
 
NY BRONX
 
2664
 
NY BRONX
 
M 1 5 01 1
 
Fe m al e
 
0 4 /Ma r/2 01 5
 
2623
 
2640
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 4 /Ma r/2 01 5
 
NY BRONX
 
 
Dea th
 
0 4 /Ma r/2 01 5
 
NY BRONX
 
2665
 
NY BRONX
 
M 1 5 03 4
 
Fe m al e
 
1 0 /Ap r/20 1 5
 
2417
 
2423
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 0 /Ap r/20 1 5
 
NY BRONX
 
 
Dea th
 
1 1 /Ap r/20 1 5
 
NY BRONX
 
2666
 
GARDENCTY
 
1 1 7 0 17
 
Fe m al e
 
2 5 /Ma r/2 01 6
 
2639
 
2642
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Ma r/2 01 6
 
COL UM BUS
 
 
Tra n s fe r
 
3 0 /Au g /2 0 17
 
GARDENCTY
 
2667
 
AKRON
 
1 0 1 7 72
 
M a l e
 
25
/Ma r/2 01 6
 
2639
 
2642
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Ma r/2 01 6
 
COL UM BUS
 
 
Tra n s fe r
 
2 8 /Au g /2 0 17
 
AKRON
 
2668
 
CHICAGOL P
 
23674
 
M a l e
 
2 5 /Ap r/20 1 6
 
2646
 
2637
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Ap r/20 1 6
 
CHICAGOL P
 
 
Dea th
 
2 7 /Ap r/20 1 6
 
CHICAGOL P
 
2669
 
CHICAGOL P
 
23675
 
Und e te rm i ne d
 
2 5 /Ap r/20 1 6
 
2646
 
2637
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 5 /Ap r/20 1 6
 
CHICAGOL P
 
 
Dea th
 
2 8 /Ap r/20 1 6
 
CHICAGOL P
 
2670
 
EL  PASO
 
2 0 1 8 12
 
Und e te rm i ne d
 
2 8 /Se p /2 0 16
 
2449
 
2632
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 8 /Se p /2 0 16
 
EL  PASO
 
 
Dea th
 
2 9 /Se p /2 0 16
 
EL  PASO
 
2671
 
GARDENCTY
 
1 1 7 0 22
 
M a l e
 
2 8 /Se p /2 0 16
 
2449
 
2632
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 8 /Se p /2 0 16
 
EL  PASO
 
 
Tra n s fe r
 
2 5 /Oc t/ 20 1 7
 
GARDENCTY
 
2672
 
EL  PASO
 
2 0 1 8 11
 
Fe m al e
 
2 8 /Se p /2 0 16
 
2449
 
2632
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 8 /Se p /2 0 16
 
EL  PASO
 
 
Dea th
 
1 0 /Oc t/ 20 1 6
 
EL  PASO
 
2673
 
M EM PHIS
 
1 9 M 04 2
 
M a l e
 
1 6 /De c/2 0 16
 
2649
 
2638
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 6 /De c/2 0 16", ,M,OODY
2693,NY,BRONX,M,1,0,18,6,"M a l e
 
0 6 /De c/2 0 10
 
2417
 
2423
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
06
/De c/2 0 10
 
NY BRONX
 
 
Dea th
 
0 6 /De c/2 0 10
 
NY BRONX
 
2694
 
M EM PHIS
 
23128
 
Und e te rm i ne d
 
2 7 /Se p /2 0 10
 
2415
 
2416
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 7 /Se p /2 0 10
 
M EM PHIS
 
 
Dea th
 
2 7 /Se p /2 0 10
 
M EM PHIS
 
2695
 
AKRON
 
1 0 0 6 53
 
Und e te rm i ne d
 
2 0 /No v/2 0 08
 
2408
 
2400
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 0 /No v/2 0 08
 
AKRON
 
 
Dea th
 
2 1 /No v/2 0 08
 
AKRON
 
2696
 
AKRON
 
1 0 0 5 07
 
M a l e
 
0 3 /Ap r/20 0 8
 
2408
 
2400
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
0 3 /Ap r/20 0 8
 
AKRON
 
 
Dea th
 
0 3 /Ap r/20 0 8
 
AKRON
 
2697
 
AKRON
 
1 0 0 5 08
 
Fe m al e
 
0 3 /Ap r/20 0 8
 
2408
 
2400
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha t
ch
 
0 3 /Ap r/20 0 8
 
AKRON
 
 
Dea th
 
0 3 /Ap r/20 0 8
 
AKRON
 
2698
 
AKRON
 
1 0 0 4 23
 
Und e te rm i ne d
 
1 5 /Ju n /20 0 7
 
2408
 
2400
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
1 5 /Ju n /20 0 7
 
AKRON
 
 
Dea th
 
1 6 /Ju n /20 0 7
 
AKRON
 
2699
 
AKRON
 
1 0 0 4 24
 
Und e te rm i ne d
 
1 5 /Ju n /20 0 7
 
2408
 
2400
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth
/Ha tc h
 
1 5 /Ju n /20 0 7
 
AKRON
 
 
Dea th
 
1 6 /Ju n /20 0 7
 
AKRON
 
2700
 
PUEBLO
 
M 2 7 02 5
 
Und e te rm i ne d
 
2 1 /Ap r/20 0 7
 
1125
 
1124
 
Cap ti ve  
Bi rth /Ha tc h
 
Bi rth /Ha tc h
 
2 1 /Ap r/20 0 7
 
PUEBLO
 
 
Dea th
 
2 3 /Ap r/20",0,7,PUEBLO
