Studbook ID,Current Location,Current Local ID,Sex Type,Current Status,Sire,Dam,Birth Type,Event Type,Date,Location,
2605,AKRON,101471,Female,Alive,1130,2436,"Captive
Birth/Hatch",Birth/hatch,16/Mar/2008,PHILADELP,
,,,,,,,,Transfer,09/Jul/2009,PROSPECTP,
,,,,,,,,Transfer,08/Oct/2015,AKRON,
2690,AKRON,102386,Male,Alive,2639,2659,"Captive
Birth/Hatch",Birth/hatch,28/May/2019,COLUMBUS,
,,,,,,,,Transfer,25/Jun/2020,CLEVELAND,
,,,,,,,,Transfer,23/Jun/2022,AKRON,
2661,BLOOMINGT,M17002,Female,Alive,2639,2642,"Captive
Birth/Hatch",Birth/hatch,09/Jun/2015,COLUMBUS,
,,,,,,,,Transfer,29/Jun/2016,BUSCH TAM,
,,,,,,,,Transfer,03/Jan/2017,BLOOMINGT,
2682,BLOOMINGT,M19007,Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,08/Aug/2017,LITTLEROC,
,,,,,,,,Transfer,14/Feb/2019,BLOOMINGT,
2637,CHICAGOLP,23548,Female,Alive,2406,2608,Captive Birth/Hatch,Birth/hatch,04/Feb/2011,DUKE PRIM,
,,,,,,,,Transfer,26/Oct/2011,CHICAGOBR,
,,,,,,,,Transfer,08/Jul/2015,CHICAGOLP,
2646,CHICAGOLP,23550,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,26/Apr/2013,EL PASO,
,,,,,,,,Transfer,07/Jul/2015,CHICAGOLP,
2707,CHICAGOLP,24349,Female,Alive,2631,2626,Captive Birth/Hatch,Birth/hatch,26/Aug/2020,CHICAGOBR,
,,,,,,,,Transfer,04/Oct/2022,CHICAGOLP,
2622,CINCINNAT,119021,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,17/Sep/2010,DUKE PRIM,
,,,,,,,,Transfer,08/Feb/2016,MEMPHIS,
,,,,,,,,Transfer,16/May/2019,CINCINNAT,
2630,CINCINNAT,UNDETERMINED,Female,Alive,1121,1145,Captive Birth/Hatch,Birth/hatch,22/Mar/2010,MOODY,
,,,,,,,,Transfer,15/Jun/2021,CINCINNAT,
2667,CLEVELAND,"UNDETE
RMINED",Male,Alive,2639,2642,"Captive
Birth/Hatch",Birth/hatch,25/Mar/2016,COLUMBUS,
,,,,,,,,Transfer,28/Aug/2017,AKRON,
,,,,,,,,Transfer,25/Feb/2022,CLEVELAND,
2711,CLEVELAND,240406,Male,Alive,2639,2642,Captive Birth/Hatch,Birth/hatch,25/Feb/2021,COLUMBUS,
,,,,,,,,Transfer,30/Apr/2024,CLEVELAND,
2714,CLEVELAND,220801,Female,Alive,2634,2654,Captive Birth/Hatch,Birth/hatch,18/Jun/2021,LITTLEROC,
,,,,,,,,Transfer,02/Aug/2022,CLEVELAND,
2727,CLEVELAND,230707,Male,Alive,2667,2714,Captive Birth/Hatch,Birth/hatch,25/Jul/2023,CLEVELAND,
2639,COLUMBUS,213146,Male,Alive,1121,1145,Captive Birth/Hatch,Birth/hatch,14/Jun/2011,MOODY,
,,,,,,,,Transfer,04/Dec/2013,COLUMBUS,
2642,COLUMBUS,213145,Female,Alive,2402,2451,Captive Birth/Hatch,Birth/hatch,27/Oct/2011,GARDENCTY,
,,,,,,,,Transfer,23/Nov/2013,COLUMBUS,
2689,COLUMBUS,UNDETERMINED,Male,Alive,2639,2659,Captive Birth/Hatch,Birth/hatch,28/May/2019,COLUMBUS,
,,,,,,,,Transfer,25/Jun/2020,CLEVELAND,
,,,,,,,,Transfer,23/Jun/2022,AKRON,
,,,,,,,,Transfer,30/Apr/2024,COLUMBUS,
2679,DULUTH,100503,Female,Alive,2639,2642,Captive Birth/Hatch,Birth/hatch,05/Feb/2017,COLUMBUS,
,,,,,,,,Transfer,11/Jul/2019,DULUTH,
2685,DULUTH,100504,Male,Alive,2646,2637,Captive Birth/Hatch,Birth/hatch,28/Nov/2017,CHICAGOLP,
,,,,,,,,Transfer,11/Jul/2019,DULUTH,
2719,DULUTH,100529,Female,Alive,2685,2679,"Captive
Birth/Hatch",Birth/hatch,28/Feb/2022,DULUTH,
2504,EL PASO,202393,Male,Alive,1131,2403,Captive Birth/Hatch,Birth/hatch,18/Jan/2007,ABQBIOPK,
,,,,,,,,Transfer,25/Jun/2009,PROSPECTP,
,,,,,,,,Transfer,26/Oct/2022,EL PASO,
2632,EL PASO,201291,Female,Alive,1130,2436,Captive Birth/Hatch,Birth/hatch,09/Aug/2010,PHILADELP,
,,,,,,,,Transfer,01/Feb/2012,EL PASO,
2502,EVANSVLLE,119021,Female,Alive,1138,2413,Captive Birth/Hatch,Birth/hatch,07/Jan/2007,CLEVELAND,
,,,,,,,,Transfer,05/May/2009,DUKE PRIM,
,,,,,,,,Transfer,10/Sep/2019,EVANSVLLE,
2641,EVANSVLLE,118015,Male,Alive,2420,2608,Captive Birth/Hatch,Birth/hatch,09/Apr/2012,DUKE PRIM,
,,,,,,,,Transfer,11/Jun/2014,SANDIEGOZ,
,,,,,,,,Transfer,23/May/2018,EVANSVLLE,
2666,GARDENCTY,117017,Female,Alive,2639,2642,"Captive
Birth/Hatch",Birth/hatch,25/Mar/2016,COLUMBUS,
,,,,,,,,Transfer,30/Aug/2017,GARDENCTY,
2671,GARDENCTY,117022,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,28/Sep/2016,EL PASO,
,,,,,,,,Transfer,25/Oct/2017,GARDENCTY,
2634,LITTLEROC,7403,Male,Alive,1131,2414,Captive Birth/Hatch,Birth/hatch,12/Aug/2010,ABQBIOPK,
,,,,,,,,Transfer,24/Apr/2014,LITTLEROC,
2654,LITTLEROC,7508,Female,Alive,2449,2632,"Captive
Birth/Hatch",Birth/hatch,22/Aug/2014,EL PASO,
,,,,,,,,Transfer,23/Sep/2015,LITTLEROC,
2729,LITTLEROC,7997,Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,18/Nov/2023,LITTLEROC,
2730,LITTLEROC,7998,Male,Alive,2634,2654,Captive Birth/Hatch,Birth/hatch,18/Nov/2023,LITTLEROC,
2673,MEMPHIS,19M042,Male,Alive,2649,2638,"Captive
Birth/Hatch",Birth/hatch,16/Dec/2016,MOODY,
,,,,,,,,Transfer,30/Jan/2018,PUEBLO,
,,,,,,,,Transfer,04/Nov/2019,MEMPHIS,
2718,MEMPHIS,24M011,Female,Alive,2685,2679,"Captive
Birth/Hatch",Birth/hatch,28/Feb/2022,DULUTH,
,,,,,,,,Transfer,15/Mar/2024,MEMPHIS,
2732,MEMPHIS,23M072,Male,Alive,2673,2683,Captive Birth/Hatch,Birth/hatch,13/Dec/2023,MEMPHIS,
2626,MILWAUKEE,"UNDETE
RMINED",Female,Alive,2402,2451,"Captive
Birth/Hatch",Birth/hatch,06/Dec/2010,GARDENCTY,
,,,,,,,,Transfer,22/Apr/2014,CHICAGOBR,
,,,,,,,,Transfer,02/Nov/2022,MILWAUKEE,
2631,MILWAUKEE,UNDETERMINED,Male,Alive,1121,1145,Captive Birth/Hatch,Birth/hatch,22/Mar/2010,MOODY,
,,,,,,,,Transfer,20/Feb/2014,CHICAGOBR,
,,,,,,,,Transfer,02/Nov/2022,MILWAUKEE,
2649,MOODY,7832,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,20/Jun/2012,DUKE PRIM,
,,,,,,,,Transfer,10/Sep/2015,MOODY,
2659,MOODY,UNDETERMINED,Female,Alive,2450,2414,Captive Birth/Hatch,Birth/hatch,18/May/2015,CLEVELAND,
,,,,,,,,Transfer,03/Jun/2016,COLUMBUS,
,,,,,,,,Transfer,16/Nov/2023,MOODY,
2723,MOODY,9885,Male,Alive,2649,2638,Captive Birth/Hatch,Birth/hatch,"~ from 24/Dec/2022 to
26/Dec/2022",MOODY,
2623,NY BRONX,M14052,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,17/Sep/2010,DUKE PRIM,
,,,,,,,,Transfer,01/Dec/2011,SANDIEGOZ,
,,,,,,,,Transfer,14/May/2014,NY BRONX,
2640,NY BRONX,M14053,Female,Alive,2420,2608,Captive Birth/Hatch,Birth/hatch,09/Apr/2012,DUKE PRIM,
,,,,,,,,Transfer,14/May/2014,NY BRONX,
2708,NZP-WASH,116283,Female,Alive,2631,2626,"Captive
Birth/Hatch",Birth/hatch,26/Aug/2020,CHICAGOBR,
,,,,,,,,Transfer,25/Aug/2022,NZP-WASH,
2715,NZP-WASH,"UNDETE
RMINED",Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,18/Jun/2021,LITTLEROC,
,,,,,,,,Transfer,23/Aug/2022,NZP-WASH,
2735,NZP-WASH,116461,Undeter mined,Alive,2715,2708,Captive Birth/Hatch,Birth/hatch,21/Mar/2024,NZP-WASH,
2736,NZP-WASH,116462,"Undeter
mined",Alive,2715,2708,"Captive
Birth/Hatch",Birth/hatch,21/Mar/2024,NZP-WASH,
2652,OMAHA,24485,Male,Alive,2408,2418,Captive Birth/Hatch,Birth/hatch,21/Aug/2013,AKRON,
,,,,,,,,Transfer,08/Jun/2017,OMAHA,
2677,OMAHA,24709,Female,Alive,2496,2502,Captive Birth/Hatch,Birth/hatch,18/Jan/2017,DUKE PRIM,
,,,,,,,,Transfer,14/Sep/2017,OMAHA,
2617,PHILADELP,104733,Female,Alive,1130,2436,Captive Birth/Hatch,Birth/hatch,05/Feb/2010,PHILADELP,
2676,PHILADELP,105322,Male,Alive,2631,2626,Captive Birth/Hatch,Birth/hatch,03/Nov/2016,CHICAGOBR,
,,,,,,,,Transfer,26/Oct/2017,PHILADELP,
2614,PUEBLO,M39021,Female,Alive,1131,2403,Captive Birth/Hatch,Birth/hatch,18/Jul/2009,ABQBIOPK,
,,,,,,,,Transfer,18/Dec/2018,SANDIEGOZ,
,,,,,,,,Transfer,05/Nov/2019,PUEBLO,
2653,PUEBLO,M39022,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,22/Aug/2014,EL PASO,
,,,,,,,,Transfer,21/Sep/2015,ABQBIOPK,
,,,,,,,,Transfer,18/Dec/2018,SANDIEGOZ,
,,,,,,,,Transfer,05/Nov/2019,PUEBLO,
