"Cohort"	"Sex"	"N0"	"Date"	"Year"	"Age"	"Nx"	"lx"	"Px"	"qx"	"ax"	"Lx_life"	"Risk"	"Tx"	"ex"	"Births"	"mx"	"Fx"	"R0"	"T"	"lambda_life"	"lambda_5"	"mleAll"	"mleAge1"	"FirstRepro"	"LastRepro"
1988	"Female"	3	1988-01-01	1988	0	3	1	0.666666666666667	0.4	0	0.833333333333333	2.5	5.83333333333333	5.83333333333333	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	1989-01-01	1989	1	2	0.666666666666667	1	0	1	0.666666666666667	2	5	7.5	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	1990-01-01	1990	2	2	0.666666666666667	0.5	0.666666666666667	0	0.5	1.5	4.33333333333333	6.5	1	0.333333333333333	0.222222222222222	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	1991-01-01	1991	3	1	0.333333333333333	1	0	1	0.333333333333333	1	3.83333333333333	11.5	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	1992-01-01	1992	4	1	0.333333333333333	1	0	0	0.333333333333333	1	3.5	10.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	1993-01-01	1993	5	1	0.333333333333333	1	0	0	0.333333333333333	1	3.16666666666667	9.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	0.802741561760231	2.5	3	2	12
1988	"Female"	3	1994-01-01	1994	6	1	0.333333333333333	1	0	0	0.333333333333333	1	2.83333333333333	8.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	0.870550563296124	2.5	3	2	12
1988	"Female"	3	1995-01-01	1995	7	1	0.333333333333333	1	0	0	0.333333333333333	1	2.5	7.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	0.870550563296124	2.5	3	2	12
1988	"Female"	3	1996-01-01	1996	8	1	0.333333333333333	1	0	0	0.333333333333333	1	2.16666666666667	6.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	1997-01-01	1997	9	1	0.333333333333333	1	0	0	0.333333333333333	1	1.83333333333333	5.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	1998-01-01	1998	10	1	0.333333333333333	1	0	0	0.333333333333333	1	1.5	4.5	0	0	0	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	1999-01-01	1999	11	1	0.333333333333333	1	0	0	0.333333333333333	1	1.16666666666667	3.5	0	0	0	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	2000-01-01	2000	12	1	0.333333333333333	1	0	0	0.333333333333333	1	0.833333333333333	2.5	1	0.5	0.166666666666667	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	2001-01-01	2001	13	1	0.333333333333333	1	0	0	0.333333333333333	1	0.5	1.5	0	0	0	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	2002-01-01	2002	14	1	0.333333333333333	0	2	0	0.166666666666667	0.5	0.166666666666667	0.5	0	0	0	1.38888888888889	6.44	1.05233336214605	1	2.5	3	2	12
1988	"Female"	3	2003-01-01	2003	15	0	0	0	0	1	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	2004-01-01	2004	16	0	0	0	0	0	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	2005-01-01	2005	17	0	0	0	0	0	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	2006-01-01	2006	18	0	0	0	0	0	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	2007-01-01	2007	19	0	0	0	0	0	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	2008-01-01	2008	20	0	0	0	0	0	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Female"	3	2009-01-01	2009	21	0	0	0	0	0	0	0	0	0	0	0	0	1.38888888888889	6.44	1.05233336214605	0	2.5	3	2	12
1988	"Male"	5	1988-01-01	1988	0	5	1	0.8	0.222222222222222	0	0.9	4.5	7.9	7.9	0	0	0	1.03428571428571	6.91436464088398	1.00488741513105	0	9.5	10	2	12
1988	"Male"	5	1989-01-01	1989	1	4	0.8	1	0	1	0.8	4	7	8.75	0	0	0	1.03428571428571	6.91436464088398	1.00488741513105	0	9.5	10	2	12
1988	"Male"	5	1990-01-01	1990	2	4	0.8	1	0	0	0.8	4	6.2	7.75	1	0.125	0.1	1.03428571428571	6.91436464088398	1.00488741513105	0	9.5	10	2	12
1988	"Male"	5	1991-01-01	1991	3	4	0.8	1	0	0	0.8	4	5.4	6.75	0	0	0	1.03428571428571	6.91436464088398	1.00488741513105	0	9.5	10	2	12
1988	"Male"	5	1992-01-01	1992	4	4	0.8	1	0	0	0.8	4	4.6	5.75	2	0.25	0.2	1.03428571428571	6.91436464088398	1.00488741513105	0	9.5	10	2	12
1988	"Male"	5	1993-01-01	1993	5	4	0.8	0.75	0.285714285714286	0	0.7	3.5	3.8	4.75	1	0.142857142857143	0.114285714285714	1.03428571428571	6.91436464088398	1.00488741513105	0.956352499790037	9.5	10	2	12
1988	"Male"	5	1994-01-01	1994	6	3	0.6	1	0	1	0.6	3	3.1	5.16666666666667	1	0.166666666666667	0.1	1.03428571428571	6.91436464088398	1.00488741513105	0.944087511294902	9.5	10	2	12
1988	"Male"	5	1995-01-01	1995	7	3	0.6	1	0	0	0.6	3	2.5	4.16666666666667	1	0.166666666666667	0.1	1.03428571428571	6.91436464088398	1.00488741513105	0.944087511294902	9.5	10	2	12
1988	"Male"	5	1996-01-01	1996	8	3	0.6	1	0	0	0.6	3	1.9	3.16666666666667	1	0.166666666666667	0.1	1.03428571428571	6.91436464088398	1.00488741513105	0.944087511294902	9.5	10	2	12
1988	"Male"	5	1997-01-01	1997	9	3	0.6	0.666666666666667	0.4	0	0.5	2.5	1.3	2.16666666666667	1	0.2	0.12	1.03428571428571	6.91436464088398	1.00488741513105	0.944087511294902	9.5	10	2	12
1988	"Male"	5	1998-01-01	1998	10	2	0.4	1	0	1	0.4	2	0.8	2	0	0	0	1.03428571428571	6.91436464088398	1.00488741513105	0.870550563296124	9.5	10	2	12
1988	"Male"	5	1999-01-01	1999	11	2	0.4	0.5	0.666666666666667	0	0.3	1.5	0.4	1	0	0	0	1.03428571428571	6.91436464088398	1.00488741513105	0.922107911481728	9.5	10	2	12
1988	"Male"	5	2000-01-01	2000	12	1	0.2	0	2	1	0.1	0.5	0.1	0.5	1	1	0.2	1.03428571428571	6.91436464088398	1.00488741513105	0.802741561760231	9.5	10	2	12
1988	"Male"	5	2001-01-01	2001	13	0	0	0	0	1	0	0	0	0	0	0	0	1.03428571428571	6.91436464088398	1.00488741513105	0	9.5	10	2	12
