"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"Status"	"NameLoc"	"Country"	"Sex"	"Sire"	"Dam"	"DateBirth"
1000	1	"VIE"	1985-01-01	"Birth"	1985-01-01	1986-01-01	"D"	"Wild"	"Vietnam"	"F"	NA	NA	1985-01-01
1000	2	"SKA"	1986-01-01	"Transfer"	1986-01-01	1987-12-01	"D"	"Skansen Akvariet"	"Sweden"	"F"	NA	NA	1985-01-01
1000	2	"SKA"	1986-01-01	"End"	1987-12-01	1987-12-01	"D"	"Skansen Akvariet"	"Sweden"	"F"	NA	NA	1985-01-01
1001	1	"VIE"	1984-01-01	"Birth"	1984-01-01	1985-01-01	"D"	"Wild"	"Vietnam"	"F"	NA	NA	1984-01-01
1001	2	"SKA"	1985-01-01	"Transfer"	1985-01-01	1987-01-01	"D"	"Skansen Akvariet"	"Sweden"	"F"	NA	NA	1984-01-01
1001	2	"SKA"	1985-01-01	"End"	1987-01-01	1987-01-01	"D"	"Skansen Akvariet"	"Sweden"	"F"	NA	NA	1984-01-01
1002	1	"VIE"	1966-06-10	"Birth"	1966-06-10	1967-06-10	"D"	"Wild"	"Vietnam"	"M"	NA	NA	1966-06-10
1002	2	"USD"	1967-06-10	"Transfer"	1967-06-10	1968-06-10	"D"	"US Dept of the Interior (USDI)"	"United States"	"M"	NA	NA	1966-06-10
1002	3	"HON"	1968-06-10	"Transfer"	1968-06-10	1984-04-28	"D"	"Honolulu Zoo"	"United States"	"M"	NA	NA	1966-06-10
1002	3	"HON"	1968-06-10	"End"	1984-04-28	1984-04-28	"D"	"Honolulu Zoo"	"United States"	"M"	NA	NA	1966-06-10
1003	1	"VIE"	1969-01-05	"Birth"	1969-01-05	1970-01-05	"D"	"Wild"	"Vietnam"	"U"	NA	NA	1969-01-05
1003	2	"HON"	1970-01-05	"Transfer"	1970-01-05	1982-01-29	"D"	"Honolulu Zoo"	"United States"	"U"	NA	NA	1969-01-05
1003	2	"HON"	1970-01-05	"End"	1982-01-29	1982-01-29	"D"	"Honolulu Zoo"	"United States"	"U"	NA	NA	1969-01-05
