"identifier"	"nutrient"	"fed"	"fed_unit"	"relative_fed"	"relative_unit"
"HDZ-013-S8"	"Calcium (Ca)"	321.7701592	"mg"	1.1	"%"
"HDZ-013-S8"	"Magnesium (Mg)"	157.3827213	"mg"	0.54	"%"
"HDZ-013-S8"	"Phosphorus (P)"	167.1484216	"mg"	0.57	"%"
"HDZ-013-S8"	"Potassium (K)"	322.688967	"mg"	0.57	"%"
"HDZ-013-S8"	"Copper (Cu)"	0.5	"mg"	16	"mg/kg"
"HDZ-013-S8"	"Iodine (I)"	0	"mg"	0.7	"mg/kg"
"HDZ-013-S8"	"Iron (Fe)"	5.5	"mg"	188	"mg/kg"
"HDZ-013-S8"	"Manganese (Mn)"	1.5	"mg"	50	"mg/kg"
"HDZ-013-S8"	"Zinc (Zn)"	2.5	"mg"	86	"mg/kg"
"HDZ-095-S300"	"Calcium (Ca)"	321.7701592	"mg"	1.1	"%"
"HDZ-095-S300"	"Magnesium (Mg)"	157.3827213	"mg"	0.54	"%"
"HDZ-095-S300"	"Phosphorus (P)"	167.1484216	"mg"	0.57	"%"
"HDZ-095-S300"	"Potassium (K)"	322.688967	"mg"	0.57	"%"
"HDZ-095-S300"	"Copper (Cu)"	0.5	"mg"	16	"mg/kg"
"HDZ-095-S300"	"Iodine (I)"	0	"mg"	0.7	"mg/kg"
"HDZ-095-S300"	"Iron (Fe)"	5.5	"mg"	188	"mg/kg"
"HDZ-095-S300"	"Manganese (Mn)"	1.5	"mg"	50	"mg/kg"
"HDZ-095-S300"	"Zinc (Zn)"	2.5	"mg"	86	"mg/kg"
"HDZ-014-S18"	"Calcium (Ca)"	321.7701592	"mg"	1.1	"%"
"HDZ-014-S18"	"Magnesium (Mg)"	157.3827213	"mg"	0.54	"%"
"HDZ-014-S18"	"Phosphorus (P)"	167.1484216	"mg"	0.57	"%"
"HDZ-014-S18"	"Potassium (K)"	322.688967	"mg"	0.57	"%"
"HDZ-014-S18"	"Copper (Cu)"	0.5	"mg"	16	"mg/kg"
"HDZ-014-S18"	"Iodine (I)"	0	"mg"	0.7	"mg/kg"
"HDZ-014-S18"	"Iron (Fe)"	5.5	"mg"	188	"mg/kg"
"HDZ-014-S18"	"Manganese (Mn)"	1.5	"mg"	50	"mg/kg"
"HDZ-014-S18"	"Zinc (Zn)"	2.5	"mg"	86	"mg/kg"
"HDZ-005-S11"	"Calcium (Ca)"	321.7701592	"mg"	1.1	"%"
"HDZ-005-S11"	"Magnesium (Mg)"	157.3827213	"mg"	0.54	"%"
"HDZ-005-S11"	"Phosphorus (P)"	167.1484216	"mg"	0.57	"%"
"HDZ-005-S11"	"Potassium (K)"	322.688967	"mg"	0.57	"%"
"HDZ-005-S11"	"Copper (Cu)"	0.5	"mg"	16	"mg/kg"
"HDZ-005-S11"	"Iodine (I)"	0	"mg"	0.7	"mg/kg"
"HDZ-005-S11"	"Iron (Fe)"	5.5	"mg"	188	"mg/kg"
"HDZ-005-S11"	"Manganese (Mn)"	1.5	"mg"	50	"mg/kg"
"HDZ-005-S11"	"Zinc (Zn)"	2.5	"mg"	86	"mg/kg"
"HDZ-021-S7"	"Calcium (Ca)"	321.7701592	"mg"	1.1	"%"
"HDZ-021-S7"	"Magnesium (Mg)"	157.3827213	"mg"	0.54	"%"
