Institution Name,Mnemonic,Country,Association,"Current
Holdings","Historic
Holdings"
Akron Zoological Park,AKRON,United States,"WAZA, AZA",2 (1.1.0),14 (5.5.4)
Miller Park Zoo,BLOOMINGT,"United
States",AZA,2 (1.1.0),3 (2.1.0)
Chicago Zoological Park / Brookfield Zoo,CHICAGOBR,United States,"WAZA, AZA, AMMPA",4 (1.3.0),"34
(16.16.2)"
"Lincoln Park Zoological
Gardens",CHICAGOLP,"United
States","WAZA, AZA",2 (1.1.0),12 (7.3.2)
Cincinnati Zoo & Botanical Garden,CINCINNAT,United States,"WAZA, AZA",1 (1.0.0),"24
(12.10.2)"
"Cleveland Metroparks
Zoo",CLEVELAND,"United
States",AZA,2 (2.0.0),"29
(12.10.7)"
Columbus Zoo and Aquarium,COLUMBUS,United States,"WAZA, AZA",4 (1.2.1),17 (7.7.3)
Lake Superior Zoological Gardens,DULUTH,United States,AZA,2 (1.1.0),2 (1.1.0)
El Paso Zoo,EL PASO,United States,AZA,2 (1.1.0),11 (5.5.1)
Mesker Park Zoo,EVANSVLLE,"United
States",AZA,2 (1.1.0),7 (3.3.1)
Lee Richardson Zoo,GARDENCT Y,United States,AZA,2 (1.1.0),9 (3.6.0)
"Little Rock Zoological
Gardens",LITTLEROC,"United
States",AZA,2 (1.1.0),6 (3.3.0)
Memphis Zoological Garden & Aquarium,MEMPHIS,United States,"AZA, WAZA",2 (1.1.0),11 (6.3.2)
"Aquarium & Rainforest at
Moody Gardens",MOODY,"United
States","AAZK, AZA",3 (1.2.0),16 (9.6.1)
Bronx Zoo/Wildlife Conservation Society,NY BRONX,United States,"AZA, WAZA",3 (2.1.0),18 (7.8.3)
"Omaha's Henry Doorly
Zoo",OMAHA,"United
States","C2S2,
WAZA, AZA",2 (1.1.0),18 (8.8.2)
Philadelphia Zoo,PHILADELP,United States,AZA,2 (1.1.0),"27
(13.10.4)"
Prospect Park Zoo,"PROSPECT
P","United
States",AZA,2 (1.1.0),3 (1.2.0)
Pueblo Zoo,PUEBLO,United States,AZA,2 (1.1.0),"31
(11.9.11)"
