Studbook ID,Current Location,"Current Local
ID",Sex Type,Birth Date,Current Status,Sire,Dam,Birth Type,Event Type,Date,Location
2605,AKRON,101471,Female,16-Mar-08,Alive,1130,2436,Captive Birth/Hatch,Birth/Hatch,16-Mar-08,PHILADELP
,,,,,,,,,Transfer,9-Jul-09,PROSPECTP
,,,,,,,,,Transfer,8-Oct-15,AKRON
2667,AKRON,101772,Male,25-Mar-16,Alive,2639,2642,"Captive
Birth/Hatch",Birth/Hatch,25-Mar-16,COLUMBUS
,,,,,,,,,Transfer,28-Aug-17,AKRON
2682,BLOOMINGT,M19007,Male,8-Aug-17,Alive,2634,2654,Captive Birth/Hatch,Birth/Hatch,8-Aug-17,LITTLEROC
,,,,,,,,,Transfer,14-Feb-19,BLOOMINGT
2661,BLOOMINGT,M17002,Female,9-Jun-15,Alive,2639,2642,"Captive
Birth/Hatch",Birth/Hatch,9-Jun-15,COLUMBUS
,,,,,,,,,Transfer,29-Jun-16,BUSCH TAM
,,,,,,,,,Transfer,3-Jan-17,BLOOMINGT
2707,CHICAGOBR,9545,Female,26-Aug-20,Alive,2631,2626,Captive Birth/Hatch,Birth/Hatch,26-Aug-20,CHICAGOBR
2631,CHICAGOBR,4919,Male,22-Mar-10,Alive,1121,1145,"Captive
Birth/Hatch",Birth/Hatch,22-Mar-10,MOODY
,,,,,,,,,Transfer,20-Feb-14,CHICAGOBR
2708,CHICAGOBR,9546,Female,26-Aug-20,Alive,2631,2626,Captive Birth/Hatch,Birth/Hatch,26-Aug-20,CHICAGOBR
2626,CHICAGOBR,4920,Female,6-Dec-10,Alive,2402,2451,Captive Birth/Hatch,Birth/Hatch,6-Dec-10,GARDENCTY
,,,,,,,,,Transfer,22-Apr-14,CHICAGOBR
2637,CHICAGOLP,23548,Female,4-Feb-11,Alive,2406,2608,"Captive
Birth/Hatch",Birth/Hatch,4-Feb-11,DUKE PRIM
,,,,,,,,,Transfer,26-Oct-11,CHICAGOBR
,,,,,,,,,Transfer,8-Jul-15,CHICAGOLP
2646,CHICAGOLP,23550,Male,26-Apr-13,Alive,2449,2632,Captive Birth/Hatch,Birth/Hatch,26-Apr-13,EL PASO
,,,,,,,,,Transfer,7-Jul-15,CHICAGOLP
2622,CINCINNAT,119021,Male,17-Sep-10,Alive,2498,2502,"Captive
Birth/Hatch",Birth/Hatch,17-Sep-10,DUKE PRIM
,,,,,,,,,Transfer,8-Feb-16,MEMPHIS
,,,,,,,,,Transfer,16-May-19,CINCINNAT
2690,CLEVELAND,200617,Male,28-May-19,Alive,2639,2659,"Captive
Birth/Hatch",Birth/Hatch,28-May-19,COLUMBUS
,,,,,,,,,Transfer,25-Jun-20,CLEVELAND
2689,CLEVELAND,200616,Male,28-May-19,Alive,2639,2659,Captive Birth/Hatch,Birth/Hatch,28-May-19,COLUMBUS
,,,,,,,,,Transfer,25-Jun-20,CLEVELAND
2711,COLUMBUS,221002,"Undeter
mined",25-Feb-21,Alive,2639,2642,"Captive
Birth/Hatch",Birth/Hatch,25-Feb-21,COLUMBUS
2659,COLUMBUS,216050,Female,18-May-15,Alive,2450,2414,Captive Birth/Hatch,Birth/Hatch,18-May-15,CLEVELAND
,,,,,,,,,Transfer,3-Jun-16,COLUMBUS
2639,COLUMBUS,213146,Male,14-Jun-11,Alive,1121,1145,Captive Birth/Hatch,Birth/Hatch,14-Jun-11,MOODY
,,,,,,,,,Transfer,4-Dec-13,COLUMBUS
2642,COLUMBUS,213145,Female,27-Oct-11,Alive,2402,2451,"Captive
Birth/Hatch",Birth/Hatch,27-Oct-11,GARDENCTY
,,,,,,,,,Transfer,23-Nov-13,COLUMBUS
2679,DULUTH,100503,Female,5-Feb-17,Alive,2639,2642,Captive Birth/Hatch,Birth/Hatch,5-Feb-17,COLUMBUS
,,,,,,,,,Transfer,11-Jul-19,DULUTH
2685,DULUTH,100504,Male,28-Nov-17,Alive,2646,2637,"Captive
Birth/Hatch",Birth/Hatch,28-Nov-17,CHICAGOLP
,,,,,,,,,Transfer,11-Jul-19,DULUTH
2450,EL PASO,202198,Male,17-Sep-05,Alive,1108,1146,Captive Birth/Hatch,Birth/Hatch,17-Sep-05,SANDIEGOZ
,,,,,,,,,Transfer,25-Nov-08,WILD WRLD
,,,,,,,,,Transfer,7-Oct-11,CLEVELAND
,,,,,,,,,Transfer,15-Oct-20,EL PASO
2632,EL PASO,201291,Female,9-Aug-10,Alive,1130,2436,Captive Birth/Hatch,Birth/Hatch,9-Aug-10,PHILADELP
,,,,,,,,,Transfer,1-Feb-12,EL PASO
2641,EVANSVLLE,118015,Male,9-Apr-12,Alive,2420,2608,"Captive
Birth/Hatch",Birth/Hatch,9-Apr-12,DUKE PRIM
,,,,,,,,,Transfer,11-Jun-14,SANDIEGOZ
,,,,,,,,,Transfer,23-May-18,EVANSVLLE
2502,EVANSVLLE,119021,Female,7-Jan-07,Alive,1138,2413,Captive Birth/Hatch,Birth/Hatch,7-Jan-07,CLEVELAND
,,,,,,,,,Transfer,5-May-09,DUKE PRIM
,,,,,,,,,Transfer,10-Sep-19,EVANSVLLE
2671,GARDENCTY,117022,Male,28-Sep-16,Alive,2449,2632,Captive Birth/Hatch,Birth/Hatch,28-Sep-16,EL PASO
,,,,,,,,,Transfer,25-Oct-17,GARDENCTY
2666,GARDENCTY,117017,Female,25-Mar-16,Alive,2639,2642,Captive Birth/Hatch,Birth/Hatch,25-Mar-16,COLUMBUS
,,,,,,,,,Transfer,30-Aug-17,GARDENCTY
2634,LITTLEROC,7403,Male,12-Aug-10,Alive,1131,2414,Captive Birth/Hatch,Birth/Hatch,12-Aug-10,ABQBIOPK
,,,,,,,,,Transfer,24-Apr-14,LITTLEROC
2654,LITTLEROC,7508,Female,22-Aug-14,Alive,2449,2632,Captive Birth/Hatch,Birth/Hatch,22-Aug-14,EL PASO
,,,,,,,,,Transfer,23-Sep-15,LITTLEROC
2673,MEMPHIS,19M042,Male,16-Dec-16,Alive,2649,2638,Captive Birth/Hatch,Birth/Hatch,16-Dec-16,MOODY
,,,,,,,,,Transfer,30-Jan-18,PUEBLO
,,,,,,,,,Transfer,4-Nov-19,MEMPHIS
2683,MEMPHIS,10M021,Female,8-Aug-17,Alive,2634,2654,Captive Birth/Hatch,Birth/Hatch,8-Aug-17,LITTLEROC
,,,,,,,,,Transfer,14-May-19,MEMPHIS
2630,MOODY,5889,Female,22-Mar-10,Alive,1121,1145,"Captive
Birth/Hatch",Birth/Hatch,22-Mar-10,MOODY
2649,MOODY,7832,Male,20-Jun-12,Alive,2498,2502,"Captive
Birth/Hatch",Birth/Hatch,20-Jun-12,DUKE PRIM
,,,,,,,,,Transfer,10-Sep-15,MOODY
2638,MOODY,6379,Female,14-Jun-11,Alive,1121,1145,Captive Birth/Hatch,Birth/Hatch,14-Jun-11,MOODY
2640,NY BRONX,M14053,Female,9-Apr-12,Alive,2420,2608,Captive Birth/Hatch,Birth/Hatch,9-Apr-12,DUKE PRIM
,,,,,,,,,Transfer,14-May-14,NY BRONX
2713,NY BRONX,M21015,Male,~ from 11/Mar/2021 to 12/Mar/2021,Alive,2623,2640,Captive Birth/Hatch,Birth/Hatch,11-Mar-21,NY BRONX
2623,NY BRONX,M14052,Male,17-Sep-10,Alive,2498,2502,Captive Birth/Hatch,Birth/Hatch,17-Sep-10,DUKE PRIM
,,,,,,,,,Transfer,1-Dec-11,SANDIEGOZ
,,,,,,,,,Transfer,14-May-14,NY BRONX
2652,OMAHA,24485,Male,21-Aug-13,Alive,2408,2418,"Captive
Birth/Hatch",Birth/Hatch,21-Aug-13,AKRON
,,,,,,,,,Transfer,8-Jun-17,OMAHA
2677,OMAHA,24709,Female,18-Jan-17,Alive,2496,2502,Captive Birth/Hatch,Birth/Hatch,18-Jan-17,DUKE PRIM
,,,,,,,,,Transfer,14-Sep-17,OMAHA
2676,PHILADELP,105322,Male,3-Nov-16,Alive,2631,2626,"Captive
Birth/Hatch",Birth/Hatch,3-Nov-16,CHICAGOBR
,,,,,,,,,Transfer,26-Oct-17,PHILADELP
2617,PHILADELP,104733,Female,5-Feb-10,Alive,1130,2436,Captive Birth/Hatch,Birth/Hatch,5-Feb-10,PHILADELP
2504,PROSPECTP,P09015,Male,18-Jan-07,Alive,1131,2403,Captive Birth/Hatch,Birth/Hatch,18-Jan-07,ABQBIOPK
