"date"	"subject"	"bristol_min"	"bristol_max"	"bristol_mean"
2023-10-26	"culi"	3	5	4
2023-10-26	"warble"	1	1	1
2023-10-27	"culi"	3	6	4.5
2023-10-27	"warble"	1	1	1
2023-10-28	"culi"	3	3	3
2023-10-28	"warble"	1	1	1
2023-10-29	"culi"	3	3	3
2023-10-29	"warble"	1	1	1
2023-10-30	"culi"	3	3	3
2023-10-30	"warble"	1	1	1
2023-10-31	"culi"	3	3	3
2023-10-31	"warble"	1	1	1
2023-11-01	"culi"	3	3	3
2023-11-01	"warble"	1	1	1
2023-11-02	"culi"	3	6	4.5
2023-11-02	"warble"	1	1	1
2023-11-03	"culi"	3	3	3
2023-11-03	"warble"	1	1	1
2023-11-04	"culi"	3	3	3
2023-11-04	"warble"	1	1	1
2023-11-05	"culi"	3	3	3
2023-11-05	"warble"	1	1	1
2023-11-06	"culi"	3	5	4
2023-11-06	"warble"	1	1	1
2023-11-07	"culi"	3	3	3
2023-11-07	"warble"	1	1	1
2023-11-08	"culi"	3	3	3
2023-11-08	"warble"	1	1	1
2023-11-09	"culi"	3	3	3
2023-11-09	"warble"	1	1	1
2023-11-10	"culi"	3	3	3
2023-11-10	"warble"	1	1	1
2023-11-11	"culi"	3	3	3
2023-11-11	"warble"	1	1	1
2023-11-12	"culi"	3	3	3
2023-11-12	"warble"	1	1	1
2023-11-13	"culi"	3	3	3
2023-11-13	"warble"	1	1	1
2023-11-14	"culi"	3	3	3
2023-11-14	"warble"	1	1	1
2023-11-15	"culi"	3	3	3
2023-11-15	"warble"	1	1	1
2023-11-16	"culi"	3	3	3
2023-11-16	"warble"	1	1	1
2023-11-17	"culi"	3	3	3
2023-11-17	"warble"	1	1	1
2023-11-18	"culi"	3	3	3
2023-11-18	"warble"	1	1	1
2023-11-19	"culi"	3	3	3
2023-11-19	"warble"	1	1	1
2023-11-20	"culi"	3	3	3
2023-11-20	"warble"	1	1	1
2023-11-21	"culi"	3	3	3
2023-11-21	"warble"	1	1	1
2023-11-22	"culi"	6	6	6
2023-11-22	"warble"	1	1	1
2023-11-23	"culi"	3	3	3
2023-11-23	"warble"	1	1	1
2023-11-24	"culi"	3	3	3
2023-11-24	"warble"	1	1	1
2023-11-25	"culi"	6	6	6
2023-11-25	"warble"	1	1	1
2023-11-26	"culi"	3	3	3
2023-11-26	"warble"	1	1	1
2023-11-27	"culi"	3	3	3
2023-11-27	"warble"	1	1	1
2023-11-28	"culi"	3	3	3
2023-11-28	"warble"	1	1	1
2023-11-29	"culi"	3	3	3
2023-11-29	"warble"	1	1	1
2023-11-30	"culi"	3	3	3
2023-11-30	"warble"	1	1	1
2023-12-01	"culi"	3	3	3
2023-12-01	"warble"	1	1	1
2023-12-02	"culi"	3	3	3
2023-12-02	"warble"	1	1	1
2023-12-03	"culi"	3	6	4.5
2023-12-03	"warble"	1	1	1
2023-12-04	"culi"	3	3	3
2023-12-04	"warble"	1	1	1
2023-12-05	"culi"	2	3	2.5
2023-12-05	"warble"	1	1	1
2023-12-06	"culi"	3	3	3
2023-12-06	"warble"	1	1	1
2023-12-07	"culi"	3	3	3
2023-12-07	"warble"	1	1	1
2023-12-08	"culi"	NA	NA	NA
2023-12-08	"warble"	1	1	1
2023-12-09	"culi"	3	3	3
2023-12-09	"warble"	1	1	1
2023-12-10	"culi"	3	3	3
2023-12-10	"warble"	1	1	1
2023-12-11	"culi"	3	3	3
2023-12-11	"warble"	1	1	1
2023-12-12	"culi"	3	3	3
2023-12-12	"warble"	1	1	1
2023-12-13	"culi"	3	3	3
2023-12-13	"warble"	1	1	1
2023-12-14	"culi"	3	3	3
2023-12-14	"warble"	1	1	1
2023-12-15	"culi"	5	6	5.5
2023-12-15	"warble"	1	1	1
2023-12-16	"culi"	3	3	3
2023-12-16	"warble"	1	1	1
2023-12-17	"culi"	3	6	4.5
2023-12-17	"warble"	1	1	1
2023-12-18	"culi"	3	3	3
2023-12-18	"warble"	1	1	1
2023-12-19	"culi"	3	3	3
2023-12-19	"warble"	1	1	1
2023-12-20	"culi"	2	2	2
2023-12-20	"warble"	1	1	1
2023-12-21	"culi"	3	3	3
2023-12-21	"warble"	1	1	1
2023-12-22	"culi"	3	3	3
2023-12-22	"warble"	1	1	1
2023-12-23	"culi"	3	3	3
2023-12-23	"warble"	1	1	1
2023-12-24	"culi"	3	3	3
2023-12-24	"warble"	1	1	1
2023-12-25	"culi"	3	3	3
2023-12-25	"warble"	1	1	1
2023-12-26	"culi"	3	3	3
2023-12-26	"warble"	1	1	1
2023-12-27	"culi"	3	5	4
2023-12-27	"warble"	1	1	1
2023-12-28	"culi"	3	3	3
2023-12-28	"warble"	1	1	1
2023-12-29	"culi"	3	3	3
2023-12-29	"warble"	1	1	1
2023-12-30	"culi"	3	6	4.5
2023-12-30	"warble"	1	1	1
2023-12-31	"culi"	3	3	3
2023-12-31	"warble"	1	1	1
2024-01-01	"culi"	3	3	3
2024-01-01	"warble"	1	1	1
2024-01-02	"culi"	3	3	3
2024-01-02	"warble"	1	1	1
2024-01-03	"culi"	3	6	4.5
2024-01-03	"warble"	1	1	1
2024-01-04	"culi"	3	3	3
2024-01-04	"warble"	1	1	1
2024-01-05	"culi"	3	3	3
2024-01-05	"warble"	1	1	1
2024-01-06	"culi"	6	6	6
2024-01-06	"warble"	1	1	1
2024-01-07	"culi"	3	3	3
2024-01-07	"warble"	1	1	1
2024-01-08	"culi"	3	3	3
2024-01-08	"warble"	1	1	1
2024-01-09	"culi"	3	3	3
2024-01-09	"warble"	1	1	1
2024-01-10	"culi"	3	3	3
2024-01-10	"warble"	1	1	1
2024-01-11	"culi"	3	3	3
2024-01-11	"warble"	1	1	1
2024-01-12	"culi"	3	3	3
2024-01-12	"warble"	1	1	1
2024-01-13	"culi"	3	3	3
2024-01-13	"warble"	1	1	1
2024-01-14	"culi"	3	3	3
2024-01-14	"warble"	1	1	1
2024-01-15	"culi"	3	3	3
2024-01-15	"warble"	1	1	1
2024-01-16	"culi"	0	0	0
2024-01-16	"warble"	1	1	1
2024-01-17	"culi"	3	6	4.5
2024-01-17	"warble"	1	1	1
2024-01-18	"culi"	2	2	2
2024-01-18	"warble"	1	1	1
2024-01-19	"culi"	1	1	1
2024-01-19	"warble"	1	1	1
2024-01-20	"culi"	2	2	2
2024-01-20	"warble"	1	1	1
2024-01-21	"culi"	6	6	6
2024-01-21	"warble"	1	1	1
2024-01-22	"culi"	6	6	6
2024-01-22	"warble"	1	1	1
2024-01-23	"culi"	2	2	2
2024-01-23	"warble"	1	1	1
2024-01-24	"culi"	2	2	2
2024-01-24	"warble"	1	1	1
2024-01-25	"culi"	5	6	5.5
2024-01-25	"warble"	1	1	1
2024-01-26	"culi"	5	5	5
2024-01-26	"warble"	1	1	1
2024-01-27	"culi"	6	6	6
2024-01-27	"warble"	1	1	1
2024-01-28	"culi"	2	2	2
2024-01-28	"warble"	1	1	1
2024-01-29	"culi"	2	2	2
2024-01-29	"warble"	1	1	1
2024-01-30	"culi"	2	2	2
2024-01-30	"warble"	1	1	1
2024-01-31	"culi"	2	2	2
2024-01-31	"warble"	1	1	1
2024-02-01	"culi"	3	3	3
2024-02-01	"warble"	1	1	1
2024-02-02	"culi"	2	2	2
2024-02-02	"warble"	1	1	1
2024-02-03	"culi"	2	2	2
2024-02-03	"warble"	1	1	1
2024-02-04	"culi"	2	2	2
2024-02-04	"warble"	1	1	1
2024-02-05	"culi"	2	2	2
2024-02-05	"warble"	1	1	1
2024-02-06	"culi"	2	2	2
2024-02-06	"warble"	1	1	1
2024-02-07	"culi"	3	3	3
2024-02-07	"warble"	1	1	1
2024-02-08	"culi"	3	6	4.5
2024-02-08	"warble"	1	1	1
2024-02-09	"culi"	2	2	2
2024-02-09	"warble"	1	1	1
2024-02-10	"culi"	6	6	6
2024-02-10	"warble"	1	1	1
2024-02-11	"culi"	2	2	2
2024-02-11	"warble"	1	1	1
2024-02-12	"culi"	2	2	2
2024-02-12	"warble"	1	1	1
2024-02-13	"culi"	2	2	2
2024-02-13	"warble"	1	1	1
2024-02-14	"culi"	3	6	4.5
2024-02-14	"warble"	1	1	1
2024-02-15	"culi"	2	2	2
2024-02-15	"warble"	1	1	1
2024-02-16	"culi"	3	3	3
2024-02-16	"warble"	1	1	1
2024-02-17	"culi"	2	2	2
2024-02-17	"warble"	1	1	1
2024-02-18	"culi"	2	2	2
2024-02-18	"warble"	1	1	1
2024-02-19	"culi"	2	2	2
2024-02-19	"warble"	1	1	1
2024-02-20	"culi"	2	2	2
2024-02-20	"warble"	1	1	1
2024-02-21	"culi"	3	3	3
2024-02-21	"warble"	1	1	1
2024-02-22	"culi"	3	3	3
2024-02-22	"warble"	1	1	1
2024-02-23	"culi"	2	2	2
2024-02-23	"warble"	1	1	1
2024-02-24	"culi"	2	2	2
2024-02-24	"warble"	1	1	1
2024-02-25	"culi"	2	2	2
2024-02-25	"warble"	1	1	1
2024-02-26	"culi"	2	2	2
2024-02-26	"warble"	1	1	1
2024-02-27	"culi"	2	2	2
2024-02-27	"warble"	1	1	1
2024-02-28	"culi"	2	2	2
2024-02-28	"warble"	1	1	1
2024-02-29	"culi"	2	2	2
2024-02-29	"warble"	1	1	1
2024-03-01	"culi"	2	2	2
2024-03-01	"warble"	1	1	1
2024-03-02	"culi"	2	2	2
2024-03-02	"warble"	1	1	1
2024-03-03	"culi"	2	6	4
2024-03-03	"warble"	1	1	1
2024-03-04	"culi"	6	6	6
2024-03-04	"warble"	1	1	1
2024-03-05	"culi"	2	3	2.5
2024-03-05	"warble"	1	1	1
2024-03-06	"culi"	2	5	3.33333333333333
2024-03-06	"warble"	1	1	1
2024-03-07	"culi"	3	3	3
2024-03-07	"warble"	1	1	1
2024-03-08	"culi"	3	6	4.5
2024-03-08	"warble"	1	1	1
2024-03-09	"culi"	3	6	4.5
2024-03-09	"warble"	1	1	1
2024-03-10	"culi"	3	6	4.5
2024-03-10	"warble"	1	1	1
2024-03-11	"culi"	3	5	4
2024-03-11	"warble"	1	1	1
2024-03-12	"culi"	3	3	3
2024-03-12	"warble"	1	1	1
2024-03-13	"culi"	4	6	5
2024-03-13	"warble"	1	1	1
2024-03-14	"culi"	3	3	3
2024-03-14	"warble"	1	1	1
2024-03-15	"culi"	3	6	4.5
2024-03-15	"warble"	1	1	1
2024-03-16	"culi"	5	6	5.5
2024-03-16	"warble"	1	1	1
2024-03-17	"culi"	3	3	3
2024-03-17	"warble"	1	1	1
2024-03-18	"culi"	3	5	4
2024-03-18	"warble"	1	1	1
2024-03-19	"culi"	5	5	5
2024-03-19	"warble"	1	1	1
2024-03-20	"culi"	5	5	5
2024-03-20	"warble"	1	1	1
2024-03-21	"culi"	3	5	4
2024-03-21	"warble"	1	1	1
2024-03-22	"culi"	5	6	5.5
2024-03-22	"warble"	1	1	1
2024-03-23	"culi"	5	6	5.5
2024-03-23	"warble"	1	1	1
2024-03-24	"culi"	3	6	4.5
2024-03-24	"warble"	1	1	1
2024-03-25	"culi"	5	5	5
2024-03-25	"warble"	1	1	1
2024-03-26	"culi"	3	3	3
2024-03-26	"warble"	1	1	1
2024-03-27	"culi"	3	6	4.5
2024-03-27	"warble"	1	1	1
2024-03-28	"culi"	2	3	2.5
2024-03-28	"warble"	1	1	1
2024-03-29	"culi"	3	3	3
2024-03-29	"warble"	1	1	1
2024-03-30	"culi"	3	3	3
2024-03-30	"warble"	1	1	1
2024-03-31	"culi"	4	6	5
2024-03-31	"warble"	1	1	1
2024-04-01	"culi"	3	6	4.5
2024-04-01	"warble"	1	1	1
2024-04-02	"culi"	3	3	3
2024-04-02	"warble"	1	1	1
2024-04-03	"culi"	3	6	4.5
2024-04-03	"warble"	1	1	1
2024-04-04	"culi"	3	6	4.5
2024-04-04	"warble"	1	1	1
2024-04-05	"culi"	3	4	3.5
2024-04-05	"warble"	1	1	1
2024-04-06	"culi"	3	4	3.5
2024-04-06	"warble"	1	1	1
2024-04-07	"culi"	3	6	4.5
2024-04-07	"warble"	1	1	1
2024-04-08	"culi"	3	6	4.5
2024-04-08	"warble"	1	1	1
2024-04-09	"culi"	3	6	4.5
2024-04-09	"warble"	1	1	1
2024-04-10	"culi"	3	6	4.5
2024-04-10	"warble"	1	1	1
2024-04-11	"culi"	3	6	4.5
2024-04-11	"warble"	1	1	1
2024-04-12	"culi"	3	4	3.5
2024-04-12	"warble"	1	1	1
2024-04-13	"culi"	3	4	3.5
2024-04-13	"warble"	1	1	1
2024-04-14	"culi"	3	6	4.5
2024-04-14	"warble"	1	1	1
2024-04-15	"culi"	NA	NA	NA
2024-04-15	"warble"	1	1	1
2024-04-16	"culi"	3	4	3.5
2024-04-16	"warble"	1	1	1
2024-04-17	"culi"	3	6	4.5
2024-04-17	"warble"	1	1	1
2024-04-18	"culi"	6	6	6
2024-04-18	"warble"	1	1	1
2024-04-19	"culi"	3	6	4.5
2024-04-19	"warble"	1	1	1
2024-04-20	"culi"	3	6	4.5
2024-04-20	"warble"	1	1	1
2024-04-21	"culi"	6	6	6
2024-04-21	"warble"	1	1	1
2024-04-22	"culi"	3	6	4.5
2024-04-22	"warble"	1	1	1
2024-04-23	"culi"	NA	NA	NA
2024-04-23	"warble"	1	1	1
2024-04-24	"culi"	NA	NA	NA
2024-04-24	"warble"	1	1	1
2024-04-25	"culi"	3	6	4.5
2024-04-25	"warble"	1	1	1
2024-04-26	"culi"	3	6	4.5
2024-04-26	"warble"	1	1	1
2024-04-27	"culi"	3	4	3.5
2024-04-27	"warble"	1	1	1
2024-04-28	"culi"	6	6	6
2024-04-28	"warble"	1	1	1
2024-04-29	"culi"	4	6	5
2024-04-29	"warble"	1	1	1
2024-04-30	"culi"	3	5	4
2024-04-30	"warble"	1	1	1
