"identifier"	"subject"	"rel_omega3"	"rel_omega6"	"rel_fats_total"	"omega3"	"omega6"	"fats_total"
"HDZ-013-S8"	"culi"	635	3370	2000	635	3370	2000
"HDZ-095-S300"	"warble"	635	3370	2000	635	3370	2000
"HDZ-014-S18"	"culi"	635	3370	2000	635	3370	2000
"HDZ-005-S11"	"warble"	635	3370	2000	635	3370	2000
"HDZ-021-S7"	"culi"	635	3370	2000	635	3370	2000
"HDZ-004-S3"	"warble"	635	3370	2000	635	3370	2000
"HDZ-011-S10"	"culi"	635	3370	2000	635	3370	2000
"HDZ-019-S13"	"warble"	635	3370	2000	635	3370	2000
"HDZ-018-S30"	"culi"	635	3370	2000	635	3370	2000
"HDZ-015-S28"	"warble"	635	3370	2000	635	3370	2000
"HDZ-010-S23"	"culi"	635	3370	2000	635	3370	2000
"HDZ-025-S17"	"warble"	635	3370	2000	635	3370	2000
"HDZ-016-S21"	"culi"	635	3370	2000	635	3370	2000
"HDZ-002-S93"	"warble"	635	3370	2000	635	3370	2000
"HDZ-024-S19"	"culi"	635	3370	2000	635	3370	2000
"HDZ-026-S15"	"culi"	635	3370	2000	635	3370	2000
"HDZ-022-S31"	"culi"	635	3370	2000	635	3370	2000
"HDZ-023-S20"	"warble"	635	3370	2000	635	3370	2000
"HDZ-020-S12"	"culi"	635	3370	2000	635	3370	2000
"HDZ-001-S231"	"warble"	635	3370	2000	635	3370	2000
"HDZ-028-S16"	"culi"	635	3370	2000	635	3370	2000
"HDZ-028-S36"	"culi"	635	3370	2000	635	3370	2000
"HDZ-027-S32"	"warble"	635	3370	2000	635	3370	2000
"HDZ-035-S185"	"culi"	635	3370	2000	635	3370	2000
"HDZ-030-S37"	"warble"	635	3370	2000	635	3370	2000
"HDZ-030-S6"	"warble"	635	3370	2000	635	3370	2000
"HDZ-045-S49"	"warble"	635	3370	2000	635	3370	2000
"HDZ-012-E1"	"culi"	635	3370	2000	635	3370	2000
"HDZ-050-S232"	"warble"	635	3370	2000	635	3370	2000
"HDZ-040-S187"	"culi"	635	3370	2000	635	3370	2000
"HDZ-036-S94"	"warble"	635	3370	2000	635	3370	2000
"HDZ-037-S186"	"culi"	635	3370	2000	635	3370	2000
"HDZ-031-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-032-S46"	"culi"	635	3370	2000	635	3370	2000
"HDZ-033-S43"	"warble"	635	3370	2000	635	3370	2000
"HDZ-038-S45"	"culi"	635	3370	2000	635	3370	2000
"HDZ-034-S44"	"warble"	635	3370	2000	635	3370	2000
"HDZ-042-S188"	"culi"	635	3370	2000	635	3370	2000
"HDZ-041-S53"	"warble"	635	3370	2000	635	3370	2000
"HDZ-052-S50"	"warble"	635	3370	2000	635	3370	2000
"HDZ-039-S33"	"culi"	635	3370	2000	635	3370	2000
"HDZ-046-S48"	"culi"	635	3370	2000	635	3370	2000
"HDZ-051-S54"	"warble"	635	3370	2000	635	3370	2000
"HDZ-047-S190"	"culi"	635	3370	2000	635	3370	2000
"HDZ-048-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-043-E1"	"culi"	635	3370	2000	635	3370	2000
"HDZ-053-S191"	"culi"	635	3370	2000	635	3370	2000
"HDZ-049-E1-S346"	"warble"	635	3370	2000	635	3370	2000
"HDZ-054-S192"	"culi"	635	3370	2000	635	3370	2000
"HDZ-044-S189"	"warble"	635	3370	2000	635	3370	2000
"HDZ-059-E1"	"culi"	635	3370	2000	635	3370	2000
"HDZ-094-S66"	"culi"	635	3370	2000	635	3370	2000
"HDZ-104-S69"	"warble"	635	3370	2000	635	3370	2000
"HDZ-058-S63"	"culi"	635	3370	2000	635	3370	2000
"HDZ-069-S193"	"culi"	635	3370	2000	635	3370	2000
"HDZ-079-S25"	"warble"	635	3370	2000	635	3370	2000
"HDZ-064-S2"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-078-S27"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-074-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-063-S1"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-068-S26"	"warble"	635	3370	2000	635	3370	2000
"HDZ-057-S233"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-073-S194"	"warble"	635	3370	2000	635	3370	2000
"HDZ-077-S38"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-067-S9"	"warble"	635	3370	2000	635	3370	2000
"HDZ-056-E1"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-072-S34"	"warble"	635	3370	2000	635	3370	2000
"HDZ-066-S5"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-061-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-076-S24"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-075-E1"	"warble"	635	3370	2000	635	3370	2000
"HDZ-071-S79"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-070-S29"	"warble"	635	3370	2000	635	3370	2000
"HDZ-065-S4"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-188-S62"	"warble"	635	3370	2000	635	3370	2000
"HDZ-187-S71"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-186-S73"	"warble"	635	3370	2000	635	3370	2000
"HDZ-184-S248"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-183-S84"	"warble"	635	3370	2000	635	3370	2000
"HDZ-182-S52"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-176-S51"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-185"	"warble"	635	3370	2000	635	3370	2000
"HDZ-195-S201"	"warble"	635	3370	2000	635	3370	2000
"HDZ-181-S74"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-179-S98"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-180-S99"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-175-S61"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-177-S47"	"warble"	635	3370	2000	635	3370	2000
"HDZ-167-S198"	"culi"	635	3370	2000	635	3370	2000
"HDZ-157-S241"	"warble"	635	3370	2000	635	3370	2000
"HDZ-173-S246"	"warble"	635	3370	2000	635	3370	2000
"HDZ-060-S80"	"culi"	635	3370	2000	635	3370	2000
"HDZ-156-S68"	"culi"	635	3370	2000	635	3370	2000
"HDZ-155-S67"	"warble"	635	3370	2000	635	3370	2000
"HDZ-174-S247"	"culi"	635	3370	2000	635	3370	2000
"HDZ-161-S77"	"warble"	635	3370	2000	635	3370	2000
"HDZ-168-S58"	"culi"	635	3370	2000	635	3370	2000
"HDZ-162-S243"	"warble"	635	3370	2000	635	3370	2000
"HDZ-169-S244"	"culi"	635	3370	2000	635	3370	2000
"HDZ-170-S245"	"warble"	635	3370	2000	635	3370	2000
"HDZ-163-S82"	"culi"	635	3370	2000	635	3370	2000
"HDZ-084-S35"	"culi"	635	3370	2000	635	3370	2000
"HDZ-099-S72"	"warble"	635	3370	2000	635	3370	2000
"HDZ-098-S238"	"culi"	635	3370	2000	635	3370	2000
"HDZ-103-S239"	"warble"	635	3370	2000	635	3370	2000
"HDZ-102-S96"	"culi"	635	3370	2000	635	3370	2000
"HDZ-093-S65"	"warble"	635	3370	2000	635	3370	2000
"HDZ-089-S64"	"culi"	635	3370	2000	635	3370	2000
