"identifier"	"subject"	"rel_biscuit"	"rel_HDZ_oatgel"	"rel_invertebrates"	"rel_protein_rotate"	"rel_gum_arabic"	"rel_seasonal_veggies"	"biscuit"	"gum_arabic"	"invertebrates"	"protein_rotate"	"seasonal_veggies"	"HDZ_oatgel"
"HDZ-013-S8"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-095-S300"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-014-S18"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-005-S11"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-021-S7"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-004-S3"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-011-S10"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-019-S13"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-018-S30"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-015-S28"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-010-S23"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-025-S17"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-016-S21"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-002-S93"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-024-S19"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-026-S15"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-022-S31"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-023-S20"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-020-S12"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-001-S231"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-028-S16"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-028-S36"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-027-S32"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-035-S185"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-030-S37"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-030-S6"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-045-S49"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-012-E1"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-050-S232"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-040-S187"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-036-S94"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-037-S186"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-031-E1"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-032-S46"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-033-S43"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-038-S45"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-034-S44"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-042-S188"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-041-S53"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-052-S50"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-039-S33"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-046-S48"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-051-S54"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-047-S190"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-048-E1"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-043-E1"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-053-S191"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-049-E1-S346"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-054-S192"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
