"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"culi_1"	"hdz-013-s8"	"hdz-013"	"hdz-013-e1"	"hdz-013-s8"
"warble_1"	"hdz-095-s300"	"hdz-095"	"hdz-095-e1"	"hdz-095-s300"
"culi_2"	"hdz-014-s18"	"hdz-014"	"hdz-014-e1"	"hdz-014-s18"
"warble_2"	"hdz-005-s11"	"hdz-005"	"hdz-005-e1"	"hdz-005-s11"
"culi_3"	"hdz-021-s7"	"hdz-021"	"hdz-021-e1"	"hdz-021-s7"
"warble_3"	"hdz-004-s3"	"hdz-004"	"hdz-004-e1"	"hdz-004-s3"
"culi_4"	"hdz-011-s10"	"hdz-011"	"hdz-011-e1"	"hdz-011-s10"
"warble_4"	"hdz-019-s13"	"hdz-019"	"hdz-019-e1"	"hdz-019-s13"
"culi_5"	"hdz-018-s30"	"hdz-018"	"hdz-018-e1"	"hdz-018-s30"
"warble_5"	"hdz-015-s28"	"hdz-015"	"hdz-015-e1"	"hdz-015-s28"
"culi_6"	"hdz-010-s23"	"hdz-010"	"hdz-010-e1"	"hdz-010-s23"
"warble_6"	"hdz-025-s17"	"hdz-025"	"hdz-025-e1"	"hdz-025-s17"
"culi_7"	"hdz-016-s21"	"hdz-016"	"hdz-016-e1"	"hdz-016-s21"
"warble_7"	"hdz-002-s93"	"hdz-002"	"hdz-002-e1"	"hdz-002-s93"
"culi_8"	"hdz-026-s15"	"hdz-026"	"hdz-026-e1"	"hdz-026-s15"
"culi_8"	"hdz-024-s19"	"hdz-024"	"hdz-024-e1"	"hdz-024-s19"
"unknown_NA"	"hdz-029-s14"	"hdz-029"	"hdz-029-e1"	"hdz-029-s14"
"culi_9"	"hdz-022-s31"	"hdz-022"	"hdz-022-e1"	"hdz-022-s31"
"warble_9"	"hdz-023-s20"	"hdz-023"	"hdz-023-e1"	"hdz-023-s20"
"culi_10"	"hdz-020-s12"	"hdz-020"	"hdz-020-e1"	"hdz-020-s12"
"warble_10"	"hdz-001-s231"	"hdz-001"	"hdz-001-e1"	"hdz-001-s231"
"culi_11"	"hdz-028-s16"	"hdz-028"	"hdz-028-e1"	"hdz-028-s16"
"culi_11"	"hdz-028-s36"	"hdz-028"	"hdz-028-e1"	"hdz-028-s36"
"warble_11"	"hdz-027-s32"	"hdz-027"	"hdz-027-e1"	"hdz-027-s32"
"culi_12"	"hdz-035-s185"	"hdz-035"	"hdz-035-e1"	"hdz-035-s185"
"warble_12"	"hdz-030-s6"	"hdz-030"	"hdz-030-e1"	"hdz-030-s6"
"warble_12"	"hdz-030-s37"	"hdz-030"	"hdz-030-e1"	"hdz-030-s37"
"warble_13"	"hdz-045-s49"	"hdz-045"	"hdz-045-e1"	"hdz-045-s49"
"culi_14"	"hdz-012-e1"	"hdz-012"	"hdz-012-e1"	NA
"warble_14"	"hdz-050-s232"	"hdz-050"	"hdz-050-e1"	"hdz-050-s232"
"culi_15"	"hdz-040-s187"	"hdz-040"	"hdz-040-e1"	"hdz-040-s187"
"warble_15"	"hdz-036-s94"	"hdz-036"	"hdz-036-e1"	"hdz-036-s94"
"culi_16"	"hdz-037-s186"	"hdz-037"	"hdz-037-e1"	"hdz-037-s186"
"warble_16"	"hdz-031-e1"	"hdz-031"	"hdz-031-e1"	NA
"culi_17"	"hdz-032-s46"	"hdz-032"	"hdz-032-e1"	"hdz-032-s46"
"warble_17"	"hdz-033-s43"	"hdz-033"	"hdz-033-e1"	"hdz-033-s43"
"culi_18"	"hdz-038-s45"	"hdz-038"	"hdz-038-e1"	"hdz-038-s45"
"warble_18"	"hdz-034-s44"	"hdz-034"	"hdz-034-e1"	"hdz-034-s44"
"culi_19"	"hdz-042-s188"	"hdz-042"	"hdz-042-e1"	"hdz-042-s188"
"warble_19"	"hdz-052-s50"	"hdz-052"	"hdz-052-e1"	"hdz-052-s50"
"warble_19"	"hdz-041-s53"	"hdz-041"	"hdz-041-e1"	"hdz-041-s53"
"culi_20"	"hdz-039-s33"	"hdz-039"	"hdz-039-e1"	"hdz-039-s33"
"culi_20"	"hdz-046-s48"	"hdz-046"	"hdz-046-e1"	"hdz-046-s48"
"warble_20"	"hdz-051-s54"	"hdz-051"	"hdz-051-e1"	"hdz-051-s54"
"culi_21"	"hdz-047-s190"	"hdz-047"	"hdz-047-e1"	"hdz-047-s190"
"warble_22"	"hdz-048-e1"	"hdz-048"	"hdz-048-e1"	NA
"culi_23"	"hdz-043-e1"	"hdz-043"	"hdz-043-e1"	NA
"culi_24"	"hdz-053-s191"	"hdz-053"	"hdz-053-e1"	"hdz-053-s191"
"warble_24"	"hdz-049-e1-s346"	"hdz-049"	"hdz-049-e1"	"hdz-049-e1-s346"
"culi_25"	"hdz-054-s192"	"hdz-054"	"hdz-054-e1"	"hdz-054-s192"
"warble_25"	"hdz-044-s189"	"hdz-044"	"hdz-044-e1"	"hdz-044-s189"
"culi_26"	"hdz-094-s66"	"hdz-094"	"hdz-094-e1"	"hdz-094-s66"
"culi_26"	"hdz-059-e1"	"hdz-059"	"hdz-059-e1"	NA
"warble_26"	"hdz-104-s69"	"hdz-104"	"hdz-104-e1"	"hdz-104-s69"
"culi_27"	"hdz-058-s63"	"hdz-058"	"hdz-058-e1"	"hdz-058-s63"
"culi_28"	"hdz-069-s193"	"hdz-069"	"hdz-069-e1"	"hdz-069-s193"
"warble_28"	"hdz-079-s25"	"hdz-079"	"hdz-079-e1"	"hdz-079-s25"
"culi_29"	"hdz-064-s2"	"hdz-064"	"hdz-064-e1"	"hdz-064-s2"
"culi_29"	"hdz-078-s27"	"hdz-078"	"hdz-078-e1"	"hdz-078-s27"
"warble_29"	"hdz-074-e1"	"hdz-074"	"hdz-074-e1"	NA
"culi_30"	"hdz-063-s1"	"hdz-063"	"hdz-063-e1"	"hdz-063-s1"
