Diet,Nutrient Class,Nutrient,,,,
Baseline,Total,Total,29.347505,g DM,,
Baseline,Total,Total,90,kcal,,
Baseline,Total,Total,52.3,g as fed,29.35,g DM
Baseline,Protein,Total,5.0590675,g,17.24,%
Baseline,Protein,Taurine,0.017952,g,0.06,%
Baseline,Protein,Methionine,0.0903356,g,0.31,%
Baseline,Fat,Total,1.6857462,g,5.74,%
Baseline,Fat,Omega 3 (ALA + EPA + DHA),634.668,mg,2.16,mg/g
Baseline,Fat,Omega 6 (LA + GLA + AA),3369.84,mg,11.48,mg/g
Baseline,"CHO, by diff",Total,1.5861385,g,5.4,%
Baseline,"CHO, by diff",WSC,,g,,%
Baseline,"CHO, by diff",Starch,2.72961,g,9.3,%
Baseline,"CHO, by diff",NDF,9.4258233,g,32.12,%
Baseline,"CHO, by diff",ADF,2.3736048,g,8.09,%
Baseline,"CHO, by diff",Crude Fiber,12.395,g,42.24,%
Baseline,"CHO, by diff",TDF,0.5337435,g,1.82,%
Baseline,Ash,Total,1.8134195,g,6.18,%
Baseline,Ash,Calcium,0.3217702,g,1.1,%
Baseline,Ash,Phosphorus,0.1671484,g,0.57,%
Baseline,Ash,Potassium,0.322689,g,1.1,%
Baseline,Ash,Magnesium,0.1573827,g,0.54,%
Baseline,Ash,Copper,0.4593334,mg,15.65,mg/kg
Baseline,Ash,Iron,5.5137864,mg,187.88,mg/kg
Baseline,Ash,Zinc,2.5222424,mg,85.94,mg/kg
Baseline,Ash,Manganese,1.4727425,mg,50.18,mg/kg
Baseline,Ash,Iodine,0.0217234,mg,0.74,mg/kg
Baseline,Ash,Ca:P,1.9250565,,,
Baseline,Vitamins,"Vit A, IU",640.9324571,IU,21.84,IU/g
Baseline,Vitamins,Vit D3,130.834,IU,4.46,IU/g
Baseline,Vitamins,Vit E,5.5752825,mg,189.97,mg/kg
Baseline,Vitamins,Vit K,0.048859,mg,1.66,mg/kg
Baseline,Vitamins,"Vit B1, Thiamin",0.1960026,mg,6.68,mg/kg
Baseline,Vitamins,"Vit B2, Riboflavin",0.2945504,mg,10.04,mg/kg
Baseline,Vitamins,"Vit B3, Niacin",1.9571923,mg,66.69,mg/kg
Baseline,Vitamins,Choline,37.5455667,mg,1279.34,mg/kg
Baseline,Vitamins,"Vit B5, Pantothenic Acid",1.1950879,mg,40.72,mg/kg
Baseline,Vitamins,"Vit B6, Pyridoxine",0.26034,mg,8.87,mg/kg
Baseline,Vitamins,"Vit B7, Biotin",0.008388,mg,0.29,mg/kg
Baseline,Vitamins,Folic Acid,0.24385,mg,8.31,mg/kg
Baseline,Vitamins,Vit B12,56.301165,mcg,1.92,mcg/g
Baseline,Vitamins,Vit C,11.7287727,mg,399.65,mg/kg
Baseline,Vitamins,Beta carotene,0.2790919,mg,9.51,mg/kg
Baseline,Vitamins,Lycopene,19.2825,mcg,0.66,mcg/g
Biscuit elimination,Total,Total,28.2426667,g DM,,
Biscuit elimination,Total,Total,90,kcal,,
Biscuit elimination,Total,Total,70,g as fed,28.24,g DM
Biscuit elimination,Protein,Total,4.4440375,g,15.74,%
Biscuit elimination,Protein,Taurine,,g,,%
Biscuit elimination,Protein,Methionine,0.0637905,g,0.23,%
Biscuit elimination,Fat,Total,1.8613351,g,6.59,%
Biscuit elimination,Fat,Omega 3 (ALA + EPA + DHA),1.513,mg,0.01,mg/g
Biscuit elimination,Fat,Omega 6 (LA + GLA + AA),5.44,mg,0.02,mg/g
Biscuit elimination,"CHO, by diff",Total,3.305837,g,11.71,%
