"study_day"	"subject"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"SampleID"	"CollectionDate"	"SampleNotes"	"ExtractID"	"ExtractDate"	"ExtractKit"	"ExtractedBy"	"ExtractNotes"	"SequenceID"	"LibraryCode"	"LibPrepKit"	"FlowCellType"	"FlowCellSerial"	"FlongleAdapter"	"SeqDevice"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"	"Omega_3"	"Omega_6"	"Methionine"	"Taurine"	"Calcium_Ca"	"Magnesium_Mg"	"Phosphorus_P"	"Potassium_K"	"Copper_Cu"	"Iodine_I"	"Iron_Fe"	"Manganese_Mn"	"Zinc_Zn"	"Acid_Detergent_Fiber"	"Neutral_Detergent_Fiber"	"Total_Dietary_Fiber"	"Water_Soluble_Carbohydrates"	"Crude_Fiber"	"Starch"	"Beta_Carotene"	"Lycopene"	"Choline"	"Folic_Acid_Vitamin_B9"	"Vitamin_B1_Thiamin"	"Vitamin_B2_Riboflavin"	"Vitamin_B3_Niacin"	"Vitamin_B5_Pantothenic_Acid"	"Vitamin_B6_Pyridoxine"	"Vitamin_B7_Biotin"	"Vitamin_B12_Cobalamin"	"Vitamin_C_Ascorbic_Acid"	"Vitamin_A"	"Vitamin_D3_Cholecalciferol"	"Vitamin_E"	"Vitamin_K"	"Biscuit"	"Gum_Arabic"	"Invertebrates"	"Protein_Rotation"	"Seasonal_Veggie_Rotation"	"Oat_Gel"	"subject_day"
1	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	4	"old"	"y"	"estrus"	NA	"yes"	"M"	10	"hdz-013"	2023-10-26	""	"hdz-013-e1"	2023-11-10	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-013-s8"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_1"
1	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	"hdz-095"	2023-10-26	""	"hdz-095-e1"	2024-08-26	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-095-s300"	"hdz14"	"SQK-16S114-24"	"FLO-FLG114"	"AVP124"	"FA-09291"	"Spike-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_1"
2	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	4.5	"old"	"y"	"estrus"	NA	"yes"	"M"	10	"hdz-014"	2023-10-27	""	"hdz-014-e1"	2023-11-10	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-014-s18"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_2"
2	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	"hdz-005"	2023-10-27	"Suspected date of conception"	"hdz-005-e1"	2023-11-03	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-005-s11"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_2"
3	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"y"	"estrus"	NA	"yes"	"M"	10	"hdz-021"	2023-10-28	""	"hdz-021-e1"	2024-01-10	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-021-s7"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_3"
3	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	"hdz-004"	2023-10-28	"Vaginal closure began"	"hdz-004-e1"	2023-11-03	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-004-s3"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_3"
4	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"y"	"estrus"	NA	"yes"	"M"	10	"hdz-011"	2023-10-29	""	"hdz-011-e1"	2023-11-10	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-011-s10"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_4"
4	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"y"	"estrus"	NA	"yes"	"F"	6	"hdz-019"	2023-10-29	"Complete vaginal closure"	"hdz-019-e1"	2023-11-15	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-019-s13"	"hdz1"	"SQK-16S114-24"	"FLO-MIN114"	"FAX08980"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_4"
5	"culi"	"baseline"	52000	90	29000	0	0	0	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-018"	2023-10-30	""	"hdz-018-e1"	2023-11-15	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-018-s30"	"hdz2"	"SQK-16S114-24"	"FLO-FLG114"	"AUD789"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_5"
5	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-015"	2023-10-30	""	"hdz-015-e1"	2023-11-15	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-015-s28"	"hdz2"	"SQK-16S114-24"	"FLO-FLG114"	"AUD789"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_5"
