"Taxa"	"culi_1"	"culi_2"	"culi_3"	"culi_4"	"culi_6"	"culi_7"	"culi_8"	"culi_10"	"culi_11"	"culi_12"	"culi_15"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"culi_43"	"culi_46"	"culi_48"	"culi_50"	"culi_51"	"culi_52"	"culi_54"	"culi_55"	"culi_58"	"culi_59"	"culi_61"	"culi_62"	"culi_64"	"culi_65"	"culi_68"	"culi_74"	"culi_75"	"culi_77"	"culi_81"	"culi_82"	"culi_83"	"culi_84"	"culi_85"	"culi_86"	"culi_87"	"culi_88"	"culi_89"	"culi_90"	"culi_91"	"culi_92"	"culi_93"	"culi_95"	"culi_96"	"culi_99"	"culi_100"	"culi_103"	"culi_105"	"culi_106"	"culi_107"	"culi_108"	"culi_109"	"culi_111"	"culi_113"	"culi_114"	"culi_115"	"culi_116"	"culi_117"	"culi_118"	"culi_119"	"culi_120"	"culi_121"	"culi_122"	"culi_123"	"culi_125"	"culi_126"	"culi_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"culi_136"	"culi_137"	"culi_138"	"culi_139"	"culi_140"	"culi_141"	"culi_142"	"culi_143"	"culi_144"	"culi_145"	"culi_146"	"culi_147"	"culi_148"	"culi_150"	"culi_151"	"culi_152"	"culi_153"	"culi_154"	"culi_156"	"culi_157"	"culi_159"	"culi_161"	"culi_172"	"culi_174"	"culi_177"	"culi_178"	"culi_183"	"culi_187"	"culi_192"	"culi_196"	"culi_199"	"culi_200"	"culi_201"	"culi_202"	"culi_416"
"k__Bacteria|p__Firmicutes"	0.518222222222222	0.629555555555556	0.394222222222222	0.604222222222222	0.706	0.645777777777778	0.579222222222222	0.567333333333333	0.586	0.445333333333333	0.652888888888889	0.554444444444444	0.683777777777778	0.622	0.706888888888889	0.712	0.8	0.755333333333333	0.683333333333333	0.574	0.657111111111111	0.473111111111111	0.501333333333333	0.607111111111111	0.507333333333333	0.637555555555556	0.554222222222222	0.675333333333333	0.690666666666667	0.626666666666667	0.552888888888889	0.674222222222222	0.803555555555556	0.629333333333333	0.649777777777778	0.625111111111111	0.716	0.502	0.726444444444444	0.444666666666667	0.598888888888889	0.662444444444444	0.641333333333333	0.539777777777778	0.756666666666667	0.692444444444444	0.506888888888889	0.511222222222222	0.646888888888889	0.629555555555556	0.646888888888889	0.513777777777778	0.652888888888889	0.594444444444444	0.844666666666667	0.668888888888889	0.654	0.677333333333333	0.596	0.433111111111111	0.656222222222222	0.592888888888889	0.540888888888889	0.678444444444444	0.520444444444444	0.430444444444444	0.684444444444444	0.621333333333333	0.492444444444444	0.474222222222222	0.487777777777778	0.544888888888889	0.690666666666667	0.523333333333333	0.326666666666667	0.505333333333333	0.627111111111111	0.462666666666667	0.684	0.671111111111111	0.593333333333333	0.467777777777778	0.831555555555556	0.520444444444444	0.773333333333333	0.624777777777778	0.460888888888889	0.524666666666667	0.671555555555556	0.716444444444444	0.537333333333333	0.673111111111111	0.575555555555556	0.701333333333333	0.736888888888889	0.797333333333333	0.628	0.5	0.403555555555556	0.511111111111111	0.681111111111111	0.856	0.572666666666667	0.556444444444444	0.565333333333333	0.706666666666667	0.599111111111111	0.682222222222222	0.555333333333333	0.571111111111111	0.0733333333333333	0.807777777777778	0.543333333333333	0.45	0.595333333333333	0.374888888888889	0.753111111111111	0.438222222222222
"k__Bacteria|p__Bacteroidota"	0.252888888888889	0.182888888888889	0.22	0.225111111111111	0.157111111111111	0.241333333333333	0.225888888888889	0.353111111111111	0.29	0.315777777777778	0.230666666666667	0.317555555555556	0.258	0.251777777777778	0.2	0.230444444444444	0.123777777777778	0.149777777777778	0.223555555555556	0.296666666666667	0.229555555555556	0.429111111111111	0.368666666666667	0.301111111111111	0.382888888888889	0.255111111111111	0.386	0.252222222222222	0.243777777777778	0.294222222222222	0.353111111111111	0.204666666666667	0.136222222222222	0.283111111111111	0.281777777777778	0.301333333333333	0.207111111111111	0.383777777777778	0.227555555555556	0.254666666666667	0.226888888888889	0.219333333333333	0.240666666666667	0.297111111111111	0.192222222222222	0.274666666666667	0.399555555555556	0.383888888888889	0.287333333333333	0.292	0.258888888888889	0.388222222222222	0.266222222222222	0.262888888888889	0.103777777777778	0.202222222222222	0.268222222222222	0.193555555555556	0.262	0.359333333333333	0.235555555555556	0.304666666666667	0.309555555555556	0.254666666666667	0.260444444444444	0.242666666666667	0.248444444444444	0.261777777777778	0.278888888888889	0.262444444444444	0.330666666666667	0.280666666666667	0.206222222222222	0.364888888888889	0.36	0.353333333333333	0.247333333333333	0.319111111111111	0.225555555555556	0.223333333333333	0.307111111111111	0.316444444444444	0.113333333333333	0.232444444444444	0.124	0.237555555555556	0.191555555555556	0.251111111111111	0.135333333333333	0.225111111111111	0.306222222222222	0.264	0.229333333333333	0.04	0.190666666666667	0.0915555555555556	0.286888888888889	0.235333333333333	0.175111111111111	0.196888888888889	0.172	0.0911111111111111	0.360444444444444	0.348444444444444	0.368666666666667	0.0546666666666667	0.254666666666667	0.173111111111111	0.195333333333333	0.344444444444444	0.00244444444444444	0.143333333333333	0.396444444444444	0.168222222222222	0.267555555555556	0.43	0.0628888888888889	0.208444444444444
"k__Bacteria|p__Proteobacteria"	0.224222222222222	0.184222222222222	0.385333333333333	0.169777777777778	0.134666666666667	0.100888888888889	0.192666666666667	0.0671111111111111	0.121777777777778	0.232444444444444	0.111111111111111	0.124888888888889	0.0462222222222222	0.122	0.0908888888888889	0.0553333333333333	0.0695555555555556	0.0846666666666667	0.0924444444444444	0.123555555555556	0.105333333333333	0.0955555555555556	0.128444444444444	0.0897777777777778	0.102222222222222	0.101555555555556	0.056	0.0684444444444444	0.0615555555555556	0.0735555555555556	0.09	0.115333333333333	0.0535555555555556	0.0717777777777778	0.0671111111111111	0.0695555555555556	0.0753333333333333	0.110666666666667	0.0428888888888889	0.296444444444444	0.170666666666667	0.113111111111111	0.112666666666667	0.16	0.0482222222222222	0.03	0.0868888888888889	0.100333333333333	0.0535555555555556	0.0757777777777778	0.084	0.0757777777777778	0.0793333333333333	0.139555555555556	0.0413333333333333	0.122	0.0751111111111111	0.121555555555556	0.14	0.205555555555556	0.103111111111111	0.0957777777777778	0.145555555555556	0.0557777777777778	0.217777777777778	0.321111111111111	0.0628888888888889	0.115555555555556	0.221333333333333	0.26	0.176666666666667	0.170666666666667	0.0882222222222222	0.110444444444444	0.310222222222222	0.138222222222222	0.116	0.216444444444444	0.0833333333333333	0.0995555555555555	0.0948888888888889	0.209111111111111	0.0504444444444444	0.245333333333333	0.101111111111111	0.133222222222222	0.343555555555556	0.220444444444444	0.189777777777778	0.052	0.113777777777778	0.0613333333333333	0.193555555555556	0.248666666666667	0.0611111111111111	0.105777777777778	0.0786666666666667	0.258	0.420222222222222	0.279777777777778	0.143111111111111	0.0413333333333333	0.0626666666666667	0.0768888888888889	0.0435555555555556	0.232888888888889	0.140222222222222	0.141333333333333	0.243111111111111	0.0806666666666667	0.923333333333333	0.0326666666666667	0.0508888888888889	0.378666666666667	0.135111111111111	0.187555555555556	0.123777777777778	0.350666666666667
"k__Bacteria|p__Actinobacteria"	0.00422222222222222	0.00266666666666667	0	0.000444444444444444	0.00177777777777778	0.0115555555555556	0.002	0.0124444444444444	0.00177777777777778	0.00555555555555556	0.004	0.00222222222222222	0.00911111111111111	0.002	0.002	0.00111111111111111	0.00666666666666667	0.0102222222222222	0.000444444444444444	0.00355555555555556	0.00777777777777778	0.00133333333333333	0.00133333333333333	0.00111111111111111	0.00311111111111111	0.00444444444444444	0.00244444444444444	0.00177777777777778	0.00377777777777778	0.00511111111111111	0.004	0.00133333333333333	0.00644444444444444	0.0155555555555556	0.00133333333333333	0.00355555555555556	0.00133333333333333	0.00222222222222222	0.00133333333333333	0.004	0.00333333333333333	0.00488888888888889	0.00511111111111111	0.00222222222222222	0.00244444444444444	0.00222222222222222	0.00533333333333333	0.004	0.0117777777777778	0.00266666666666667	0.00933333333333333	0.0217777777777778	0.00155555555555556	0.00266666666666667	0.00955555555555555	0.00666666666666667	0.00244444444444444	0.00577777777777778	0.00155555555555556	0.00177777777777778	0.00444444444444444	0.00622222222222222	0.00333333333333333	0.00466666666666667	0.000666666666666667	0.00555555555555556	0.00288888888888889	0.00111111111111111	0.00644444444444444	0.00288888888888889	0.00311111111111111	0.00177777777777778	0.0137777777777778	0.00111111111111111	0.00222222222222222	0.00222222222222222	0.00933333333333333	0.00155555555555556	0.00711111111111111	0.00244444444444444	0.00355555555555556	0.00466666666666667	0.00466666666666667	0.000444444444444444	0.00111111111111111	0.00388888888888889	0.00333333333333333	0.00333333333333333	0.00222222222222222	0.00377777777777778	0.0357777777777778	0.000888888888888889	0.00133333333333333	0.01	0.0104444444444444	0.00511111111111111	0.00577777777777778	0.00622222222222222	0.000666666666666667	0.012	0.000888888888888889	0.0111111111111111	0.00155555555555556	0.018	0.0224444444444444	0.00355555555555556	0.00311111111111111	0.00177777777777778	0.00177777777777778	0.00222222222222222	0.000222222222222222	0.0104444444444444	0.004	0.00222222222222222	0.00133333333333333	0.000444444444444444	0.0595555555555556	0.00244444444444444
"k__Bacteria|p__Tenericutes"	0.000222222222222222	0.000666666666666667	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000444444444444444	0.000222222222222222	0	0.000444444444444444	0.000888888888888889	0.00111111111111111	0.000888888888888889	0.00288888888888889	0.00222222222222222	0.000222222222222222	0.000444444444444444	0	0	0.000222222222222222	0.002	0.000222222222222222	0.000888888888888889	0	0.000888888888888889	0.00444444444444444	0.00133333333333333	0.000666666666666667	0.00222222222222222	0.000222222222222222	0.000444444444444444	0	0.004	0.000222222222222222	0.000222222222222222	0	0.000444444444444444	0.000222222222222222	0.00133333333333333	0.00177777777777778	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0.000888888888888889	0.000222222222222222	0.000222222222222222	0.00133333333333333	0.000222222222222222	0.000222222222222222	0	0.000666666666666667	0.000444444444444444	0	0.000444444444444444	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.00155555555555556	0.000444444444444444	0.000222222222222222	0.000666666666666667	0.000444444444444444	0.000666666666666667	0.00644444444444444	0.000222222222222222	0	0.00111111111111111	0.000222222222222222	0.000888888888888889	0.000222222222222222	0.00177777777777778	0.002	0.00111111111111111	0.000222222222222222	0.000888888888888889	0.000888888888888889	0.000222222222222222	0.000222222222222222	0	0.00333333333333333	0.00111111111111111	0.002	0	0.00133333333333333	0.000444444444444444	0.000555555555555556	0	0.000444444444444444	0.00111111111111111	0.00133333333333333	0.000666666666666667	0.000666666666666667	0	0	0.000888888888888889	0.000222222222222222	0.000666666666666667	0.000222222222222222	0.000222222222222222	0	0.00266666666666667	0.000444444444444444	0.00266666666666667	0	0	0.00222222222222222	0.00288888888888889	0.00155555555555556	0.00422222222222222	0.00155555555555556	0.000666666666666667	0.000222222222222222	0.000222222222222222	0.000888888888888889	0.000666666666666667	0.000666666666666667	0	0.000222222222222222
"k__Bacteria|p__Fusobacteria"	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0.000666666666666667	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0	0	0.00111111111111111	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0.00177777777777778	0.00222222222222222	0	0	0.00644444444444444	0.000666666666666667	0
"k__Bacteria|p__Spirochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133333333333333	0.00511111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0.00288888888888889	0	0	0	0	0
"k__Bacteria|p__Lentisphaerae"	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133333333333333	0	0	0	0	0	0
"k__Bacteria|p__Cyanobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Synergistetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0
