"Taxa"	"culi_1"	"culi_2"	"culi_3"	"culi_4"	"culi_6"	"culi_7"	"culi_8"	"culi_10"	"culi_11"	"culi_12"	"culi_15"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"culi_43"	"culi_46"	"culi_48"	"culi_50"	"culi_51"	"culi_52"	"culi_54"	"culi_55"	"culi_58"	"culi_59"	"culi_61"	"culi_62"	"culi_64"	"culi_65"	"culi_68"	"culi_74"	"culi_75"	"culi_77"	"culi_81"	"culi_82"	"culi_83"	"culi_84"	"culi_85"	"culi_86"	"culi_87"	"culi_88"	"culi_89"	"culi_90"	"culi_91"	"culi_92"	"culi_93"	"culi_95"	"culi_96"	"culi_99"	"culi_100"	"culi_103"	"culi_105"	"culi_106"	"culi_107"	"culi_108"	"culi_109"	"culi_111"	"culi_113"	"culi_114"	"culi_115"	"culi_116"	"culi_117"	"culi_118"	"culi_119"	"culi_120"	"culi_121"	"culi_122"	"culi_123"	"culi_125"	"culi_126"	"culi_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"culi_136"	"culi_137"	"culi_138"	"culi_139"	"culi_140"	"culi_141"	"culi_142"	"culi_143"	"culi_144"	"culi_145"	"culi_146"	"culi_147"	"culi_148"	"culi_150"	"culi_151"	"culi_152"	"culi_153"	"culi_154"	"culi_156"	"culi_157"	"culi_159"	"culi_161"	"culi_172"	"culi_174"	"culi_177"	"culi_178"	"culi_183"	"culi_187"	"culi_192"	"culi_196"	"culi_199"	"culi_200"	"culi_201"	"culi_202"	"culi_416"
"animal_parasites_or_symbionts"	0.320475089342022	0.359906992193988	0.29639327645916	0.45219512195122	0.328229147901279	0.268316723250466	0.26052757793765	0.331690952930077	0.349631310266591	0.418746268656717	0.241545893719807	0.328679817905918	0.304847260792729	0.243996974853469	0.261524477340605	0.355265157270931	0.163337393422655	0.206007992283313	0.41418725836275	0.360090960773167	0.271348381703093	0.402143477841074	0.342337219220927	0.29638388018524	0.351934171947413	0.333708990733784	0.276753081172971	0.272635135135135	0.294110049082924	0.307193999318104	0.448558116106284	0.328629334934695	0.267934143473148	0.297493403693931	0.314526876943581	0.372872680742163	0.291747978812378	0.531324345757335	0.499566160520607	0.132951176121763	0.210689326556544	0.284804152902313	0.432724923275723	0.468356202744329	0.273737980769231	0.311767578125	0.615850953718764	0.287662337662338	0.263876251137398	0.257759306746839	0.333797116114343	0.284419996764278	0.325796752856284	0.220428995103111	0.125908654505555	0.32253398900781	0.379691261860926	0.1927491869141	0.430872291904219	0.373992986446782	0.334778174400816	0.28125	0.285859613428281	0.299142156862745	0.261239226648032	0.140111945882846	0.358761987794246	0.258921525646646	0.411689145793192	0.178043254376931	0.325102194043547	0.186595174262735	0.27056050288109	0.366833677178505	0.611040447723226	0.526871131119865	0.41633947447901	0.45531914893617	0.299050838642569	0.245863409217101	0.250282273240497	0.37446452826246	0.315202231520223	0.470604625243801	0.541941875825628	0.423705722070845	0.128501827040195	0.44603629417383	0.200645942672588	0.172641772977	0.148193627609384	0.304611085235212	0.273816104661876	0.192128860843574	0.347665620963277	0.195877886254455	0.310324483775811	0.176455368693402	0.141613448265987	0.170783186635531	0.352173245277223	0.236878263259137	0.537119856887299	0.315426718021488	0.272088264080434	0.551391254968768	0.716318785578747	0.717274357441721	0.816135558927668	0.5	0.157742532286746	0.0698980653214063	0.255661613325847	0.199593991067803	0.703273040482343	0.352549068016294	0.169226044226044	0.17048571889624
"chemoheterotrophy"	0.189405087239857	0.185849526656701	0.14967480361517	0.133333333333333	0.212033867771573	0.202058920162085	0.223693045563549	0.187860362721459	0.200907543959161	0.167522388059702	0.220961982776728	0.194031360647446	0.211436505932845	0.227831348080923	0.216725100636281	0.170642759459049	0.242874543239951	0.240870883285104	0.159354513363591	0.183968163729392	0.215096142362355	0.174471372018924	0.198559378257985	0.21982461326239	0.199281187931524	0.193087903831706	0.203739906502337	0.22804054054054	0.208344097132524	0.196045005114218	0.164462913990681	0.167692538657859	0.23108584868679	0.210202286719437	0.208240781874722	0.181573896353167	0.219264008921104	0.142215173143008	0.149891540130152	0.13765566317454	0.19361499364676	0.218027371401605	0.156517525440155	0.160179221506581	0.191556490384615	0.1468505859375	0.120360786633151	0.186525974025974	0.204023860074816	0.196745954549474	0.19137364027321	0.188885293641806	0.200360793746242	0.187323263673357	0.270196132217803	0.209430141741394	0.174762781475712	0.261622345513679	0.17502850627138	0.172495498057056	0.178097909229985	0.205978260869565	0.173566006729791	0.213970588235294	0.174004192872117	0.167799096051962	0.197035745422842	0.198684787373959	0.165061014771997	0.166797116374871	0.157587386335197	0.208310991957105	0.22158198009429	0.187150014736222	0.106079877893666	0.146173325830051	0.177438840229538	0.156901254773595	0.206995189182161	0.218212104386452	0.220549491908167	0.190262250548532	0.220641562064156	0.163276678740596	0.147622192866579	0.166363911595519	0.14112193801597	0.167826442898076	0.217904723455793	0.223856969922712	0.225683448587863	0.210176991150442	0.171273263313064	0.261541016273663	0.212769883742388	0.231830156516349	0.19646017699115	0.166985769728331	0.149431541567628	0.158388719238369	0.199354937797573	0.222863424017587	0.132528324388789	0.199472937360633	0.231426283477178	0.137421919363998	0.0898956356736242	0.0815899581589958	0.0614567526555387	0.138149044928706	0.129326603560074	0.273004646002358	0.18032940295714	0.134997969955339	0.0803186907838071	0.103382298481669	0.157555282555283	0.161731482975633
"fermentation"	0.185200756779483	0.18070088025245	0.144184475040122	0.12780487804878	0.209151504233471	0.196364034607382	0.219280575539568	0.180102736135863	0.195802609188883	0.162746268656716	0.218336483931947	0.188973191704603	0.2026003534461	0.214690867838911	0.205687573042462	0.16623613432609	0.229598051157126	0.227917872399063	0.158514035972432	0.175554292211484	0.208766272542697	0.169450613111905	0.194104824187281	0.217853975761159	0.193511775276648	0.188079138492362	0.1972800679983	0.222972972972973	0.198915009041591	0.188089555631322	0.161440624606473	0.163939348446179	0.220893767150137	0.202616534740545	0.206796979120391	0.176199616122841	0.213130749930304	0.138117895849855	0.143600867678959	0.13658825854912	0.190914866581957	0.201392166116093	0.15005653367792	0.157378885466256	0.182842548076923	0.1435546875	0.11695992902558	0.179951298701299	0.199777575573754	0.191263595366522	0.185681760688085	0.18322277948552	0.196271797955502	0.184219601351817	0.259223700452613	0.204367949088805	0.170655714488033	0.247273770805433	0.170610034207526	0.167377499763056	0.175548189699133	0.201902173913044	0.170592378120354	0.210906862745098	0.171150710458887	0.163848064892694	0.19485614646905	0.196580447172293	0.159922928709056	0.165314109165808	0.154417285392509	0.205898123324397	0.214248297537978	0.182336182336182	0.103790384126177	0.142796848621272	0.173965569314407	0.153300600109111	0.202964503965674	0.21588006662965	0.20850583364697	0.184202277713928	0.205857740585774	0.159933129005294	0.143989431968296	0.161822585528308	0.139497902287184	0.161959339609769	0.210839725474364	0.2158487754912	0.185936793123505	0.208197484862599	0.167127326331306	0.248422451012952	0.19708433290275	0.227955989462266	0.193510324483776	0.159793014230272	0.145937741630631	0.152595652954913	0.192904315773307	0.221214619400934	0.126565295169946	0.192580579768903	0.218079900347006	0.106757524134015	0.0851518026565464	0.0777047220561865	0.0531107738998482	0.133306429916599	0.126506565121334	0.264752791068581	0.17480816020962	0.13020706455542	0.0693367786391042	0.0998024935193186	0.155917280917281	0.160440535743101
"anaerobic_chemoheterotrophy"	0.180260668488543	0.179206111941538	0.139623278993158	0.124878048780488	0.206809583858764	0.191216734202169	0.219088729016787	0.180102736135863	0.195575723199092	0.162388059701493	0.218336483931947	0.188770864946889	0.202347891946478	0.214123652864436	0.205687573042462	0.16623613432609	0.227161997563946	0.227504478434615	0.158514035972432	0.175099488345651	0.208407978024603	0.168678188664671	0.193251824471614	0.216967188885605	0.192471389388064	0.188079138492362	0.196940076498088	0.222972972972973	0.198269181090158	0.187066712126378	0.161188767157789	0.163038582795376	0.220893767150137	0.201846965699208	0.206241670368725	0.17530390275112	0.213130749930304	0.137721385144066	0.143600867678959	0.135639454437636	0.183052731893266	0.200802265219443	0.146341463414634	0.156818818258191	0.182542067307692	0.1397705078125	0.116368475528612	0.174756493506493	0.198362147406733	0.184896984702449	0.18454338477106	0.17836919592299	0.195189416716777	0.178839919994482	0.259223700452613	0.20393404686144	0.166265401501204	0.240960397933805	0.17018244013683	0.166998388778315	0.169811320754717	0.200815217391304	0.169183817200094	0.208455882352941	0.153098066620079	0.15552695381484	0.193548387096774	0.193423936869794	0.158124598587026	0.161812564366632	0.150996913322766	0.204758713136729	0.2124148768989	0.182139699381079	0.103535995929789	0.142796848621272	0.173361522198732	0.152973267866885	0.202054349239371	0.210216546363131	0.20850583364697	0.178769198620834	0.205857740585774	0.158957926999164	0.142338177014531	0.1537995761429	0.0922655298416566	0.161140674034657	0.196810658054098	0.215383182791694	0.185936793123505	0.208197484862599	0.163994840611756	0.239787446031219	0.196346189333825	0.225166589183326	0.193274336283186	0.145769728331177	0.139322431913858	0.150350278426442	0.192904315773307	0.221214619400934	0.125819916517591	0.192580579768903	0.218079900347006	0.104486087450312	0.0846774193548386	0.07501494321578	0.0523520485584218	0.127925746569814	0.126255096725522	0.264752791068581	0.170316301703163	0.127568006496143	0.0693367786391042	0.0994938896432539	0.155405405405405	0.153743746974342
"human_associated"	0.024910657977717	0.0232519515030726	0.0623363459751668	0.0341463414634146	0.0084669428931724	0.0351549665973059	0.0231175059952038	0.0372156410525212	0.0166761202495746	0.0272238805970149	0.030035706784289	0.0289327263530602	0.0214592274678112	0.026091888825865	0.030255810933645	0.0451299194651269	0.0314250913520098	0.0246658398787378	0.0356362413851067	0.0272882319499716	0.0285441299414786	0.0214347784107367	0.0181025495213724	0.0130062075081289	0.0161732715407169	0.0241672927623341	0.0287292817679558	0.0130630630630631	0.0277706019116507	0.0328446414365269	0.0193930235486715	0.054045939048191	0.0141121128969032	0.022207563764292	0.0174366948023101	0.0220089571337172	0.0177028157234458	0.0134813639968279	0.0177874186550976	0.0351848191342162	0.0324809402795426	0.0226521944313355	0.0239056695202714	0.0163819658359003	0.05078125	0.075927734375	0.00665385184089901	0.0416396103896104	0.0373066424021838	0.0374922627995402	0.0269415633695927	0.0417408186377609	0.0215273601924233	0.0571763569901372	0.0202989987656014	0.0164882846398611	0.0228013029315961	0.00564377271857662	0.0146807297605473	0.0344990996114112	0.0304691483936767	0.0310688405797102	0.0499256592847641	0.0142156862745098	0.048101560680177	0.0858151994971415	0.0149665794827085	0.0353353792196405	0.0258188824662813	0.0775695159629248	0.0516392758822057	0.0382037533512064	0.0182032477737035	0.022693781314471	0.0204782498092089	0.0122397298818233	0.0166112956810631	0.0224768139661757	0.0249642439214666	0.0238756246529706	0.0300150545728265	0.0161947549890294	0.00864714086471408	0.0122596823627752	0.00297225891677675	0.0137753557372086	0.0683110028420626	0.0173284213398827	0.0334073475979007	0.0483285222087718	0.067407742519227	0.0217745691662785	0.052791597567717	0.00863500498173364	0.00867318693485883	0.0311483031148303	0.0324483775811209	0.0717723156532988	0.0971963687390819	0.0882881264594934	0.0184303486407618	0.0263808738664468	0.0205724508050089	0.0301033853638759	0.0144140937805855	0.0193072118114708	0.0047438330170778	0.0086670651524208	0.00227617602427921	0.0260963142319074	0.124620552152749	0.0341169128354483	0.0479131574022085	0.0989443767762891	0.0178725236864772	0.080854215528947	0.0782145782145782	0.0721316766177182
"human_gut"	0.0209165440403616	0.0207606709848862	0.0459498268434834	0.0214634146341463	0.0084669428931724	0.0346073814478152	0.0231175059952038	0.0372156410525212	0.0166761202495746	0.0272238805970149	0.0293005671077505	0.0273141122913505	0.0212067659681899	0.024390243902439	0.0290871315413583	0.0451299194651269	0.0285018270401949	0.0241146479261403	0.0356362413851067	0.0229675952245594	0.0281858354233847	0.0202761417398861	0.017912994029002	0.0123164843826978	0.0161732715407169	0.0196594039569246	0.026774330641734	0.0128378378378378	0.0262206148282098	0.0318217979315831	0.0186374512026193	0.0513436420957814	0.0135241081928655	0.0217678100263852	0.0166592625499778	0.0199616122840691	0.0177028157234458	0.0129526830557758	0.0177874186550976	0.00707649733148843	0.0203303684879288	0.0221802737140161	0.0122758843482475	0.0161019322318678	0.05078125	0.0753173828125	0.00473162797575041	0.036038961038961	0.0363967242948135	0.0320099036165886	0.0255502150265621	0.0383433101439897	0.0186410102224895	0.0406924615490723	0.0183788232066932	0.0133063349725195	0.020535334938394	0.00526114405969007	0.0141106043329533	0.0313714339872998	0.0239673635900051	0.0268115942028986	0.033961968855153	0.0123774509803922	0.0416957838341486	0.054925319524679	0.013949433304272	0.022797018851381	0.019781631342325	0.0528115345005149	0.0352882289146576	0.0254691689008043	0.0165007857517025	0.0189606051675017	0.0160264563724243	0.0119583567810917	0.0166112956810631	0.0208401527550464	0.0228838902613444	0.0218767351471405	0.0278509597290177	0.0143140737644969	0.00864714086471408	0.0122596823627752	0.00297225891677675	0.00908265213442325	0.0642847475977805	0.0173284213398827	0.031893419459023	0.0412515131762734	0.067407742519227	0.0215416860735911	0.0349180025796941	0.00597808037196944	0.00830411515039675	0.0294436696110336	0.0311504424778761	0.0435187580853816	0.0537816088662333	0.0442338782108856	0.0178160036860697	0.0140148392415499	0.00730471079308288	0.0301033853638759	0.0136133107927752	0.0193072118114708	0.00213472485768501	0.00747160789001793	0.00227617602427921	0.0246166263115416	0.0233865608104467	0.0332847930101935	0.0472580947033502	0.0527405602923264	0.0135658914728682	0.0512899642019504	0.0463759213759214	0.0422785218654187
"mammal_gut"	0.0209165440403616	0.0207606709848862	0.0459498268434834	0.0214634146341463	0.0084669428931724	0.0346073814478152	0.0231175059952038	0.0372156410525212	0.0166761202495746	0.0272238805970149	0.0293005671077505	0.0273141122913505	0.0212067659681899	0.024390243902439	0.0290871315413583	0.0451299194651269	0.0285018270401949	0.0241146479261403	0.0356362413851067	0.0229675952245594	0.0281858354233847	0.0202761417398861	0.017912994029002	0.0123164843826978	0.0161732715407169	0.0196594039569246	0.026774330641734	0.0128378378378378	0.0262206148282098	0.0318217979315831	0.0186374512026193	0.0513436420957814	0.0135241081928655	0.0217678100263852	0.0166592625499778	0.0199616122840691	0.0177028157234458	0.0129526830557758	0.0177874186550976	0.00707649733148843	0.0203303684879288	0.0221802737140161	0.0122758843482475	0.0161019322318678	0.05078125	0.0753173828125	0.00473162797575041	0.036038961038961	0.0363967242948135	0.0320099036165886	0.0255502150265621	0.0383433101439897	0.0186410102224895	0.0406924615490723	0.0183788232066932	0.0133063349725195	0.020535334938394	0.00526114405969007	0.0141106043329533	0.0313714339872998	0.0239673635900051	0.0268115942028986	0.033961968855153	0.0123774509803922	0.0416957838341486	0.054925319524679	0.013949433304272	0.022797018851381	0.019781631342325	0.0528115345005149	0.0352882289146576	0.0254691689008043	0.0165007857517025	0.0189606051675017	0.0160264563724243	0.0119583567810917	0.0166112956810631	0.0208401527550464	0.0228838902613444	0.0218767351471405	0.0278509597290177	0.0143140737644969	0.00864714086471408	0.0122596823627752	0.00297225891677675	0.00908265213442325	0.0642847475977805	0.0173284213398827	0.031893419459023	0.0412515131762734	0.067407742519227	0.0215416860735911	0.0349180025796941	0.00597808037196944	0.00830411515039675	0.0294436696110336	0.0311504424778761	0.0435187580853816	0.0537816088662333	0.0442338782108856	0.0178160036860697	0.0140148392415499	0.00730471079308288	0.0301033853638759	0.0136133107927752	0.0193072118114708	0.00213472485768501	0.00747160789001793	0.00227617602427921	0.0246166263115416	0.0233865608104467	0.0332847930101935	0.0472580947033502	0.0527405602923264	0.0135658914728682	0.0512899642019504	0.0463759213759214	0.0422785218654187
"human_pathogens_all"	0.00567584612150515	0.00365387809333997	0.0304079736464228	0.0239024390243902	0.000360295442262655	0.00175227247837039	0.000287769784172662	0	0.000453771979580261	0	0.00136525939928586	0.00364188163884674	0.000883615248674577	0.00378143316316884	0.00207765225295416	0	0.00791717417783192	0.00124018189334436	0	0.00739056281978397	0.00107488355428162	0.00125518972675485	0.000189555492370391	0.000689723125431077	0.00018916107065166	0.00475832707237666	0.00212494687632809	0.000225225225225225	0.00142082149315422	0.00147744061825207	0.0011333585190782	0.00330280738627834	0.000392003136025088	0.000989445910290237	0.000777432252332297	0.00255918106206014	0	0.00118953211736717	0	0.028147855307373	0.0132623888182973	0.00106182161396885	0.0188984009045388	0.000280033604032484	0.000300480769230769	0.002197265625	0.00295726748484401	0.00779220779220779	0.00202204023860075	0.0122910955875851	0.00252972426005565	0.00817019899692607	0.00625375826819002	0.0184840333816125	0.00274310794129749	0.00361585189470639	0.0041070669876788	0.000860914482494739	0.00185290763968073	0.00616055350203772	0.0128760836308006	0.00570652173913044	0.0298927928632913	0.00306372549019608	0.00925925925925926	0.04627495585022	0.0015983725661145	0.0253397632617273	0.0106615285806037	0.0470030895983522	0.0315341620088429	0.0226541554959786	0.00235725510738607	0.00726986933883485	0.0103027219537013	0.00056274620146314	0.000302023557837512	0.00272776868521549	0.00351059680145625	0.00721821210438645	0.00207000376364321	0.00208964580503605	0	0	0	0.00484408113835907	0.0492285830288267	0.000272888525037522	0.00656035526846992	0.00772883881180743	0.000323143540360628	0.000465766185374942	0.043025612677354	0.00332115576220525	0.000738143568924156	0.00449403378273671	0.00212389380530973	0.0574385510996119	0.0810160657521693	0.0851446021196336	0.00061434495469206	0.0140148392415499	0.0146094215861658	0	0.000800782987810303	0.00113571834185122	0.00260910815939279	0.00209205020920502	0	0.00147968792036589	0.120543171734952	0.00117883641911102	0.00149728616881902	0.0872919204222493	0.0109819121447028	0.0578940871497346	0.0734029484029484	0.0593028884944328
"aerobic_chemoheterotrophy"	0.00914441875131385	0.00664341471516359	0.010051524622012	0.00829268292682927	0.0052242839128085	0.0107326689300186	0.00460431654676259	0.00775762658559598	0.00533182076006807	0.00501492537313433	0.00262549884478051	0.0052604957005564	0.00908861398636708	0.0138022310455663	0.011037527593819	0.00440662513295852	0.0157125456760049	0.0132286068623398	0.000672381912926542	0.00898237635019898	0.0066881643377523	0.00579318335425316	0.00530755378637096	0.00285742437678589	0.00680979854345976	0.00500876533934385	0.00688482787930302	0.00506756756756757	0.0100749160423663	0.00897829298783953	0.00340007555723461	0.00465395586248311	0.0101920815366523	0.00835532102022867	0.00199911150599734	0.00626999360204734	0.00627265124059102	0.00436161776367962	0.00629067245119306	0.00205574224154971	0.0105622617534943	0.0171071260028315	0.0101760620255209	0.00350042005040605	0.00916466346153845	0.007080078125	0.00399231110453941	0.0117694805194805	0.0056617126680821	0.0119373949951366	0.00683025550215026	0.0105160977188157	0.00517137702946482	0.0084833436788744	0.0111095871622548	0.00549609487995371	0.00849737997450786	0.0206619475798737	0.0048460661345496	0.00549710927874135	0.00828658847526772	0.00507246376811594	0.00438218952969716	0.00551470588235294	0.0209061262520382	0.0122721422371217	0.0036326649229875	0.00526085050416484	0.00693641618497109	0.00498455200823893	0.00659047301243013	0.00361930294906166	0.00916710319539026	0.00510855683269476	0.00254388196387688	0.00351716375914463	0.00407731803080641	0.00392798690671031	0.00494083994279027	0.00799555802332037	0.0120436582611968	0.0114930519276983	0.0147838214783821	0.00445806631373642	0.00528401585204756	0.0125643354526188	0.0488564081743132	0.0066857688634193	0.0211949939442874	0.0083806685911165	0.0397466554643573	0.00209594783418724	0.00727842270130827	0.0217535702424444	0.0164236944085625	0.0066635673330234	0.0031858407079646	0.0212160413971539	0.0101091096537702	0.00803844081192743	0.00645062202426663	0.00192360538609508	0.00670840787119857	0.00689235759172917	0.0134353590177062	0.0329358319136854	0.00521821631878557	0.00657501494321578	0.00910470409711684	0.0102232983588916	0.00307150683455176	0.00818251161500589	0.0100131012539772	0.0074299634591961	0.0109819121447028	0.00388840883841501	0.00214987714987715	0.00794739390027432
"nitrate_reduction"	0.00630649569056128	0.00182693904666999	0.0205253822113354	0.0159349593495935	0.0019816249324446	0.00492826634541671	0.000287769784172662	0	0.00022688598979013	0.000238805970149254	0.000735139676538542	0.00182094081942337	0.000883615248674577	0.00151257326526754	0.00142838592390599	0	0.00548112058465287	0.000551191952597492	0	0.00386583285957931	0.000477726024125164	0.00260693250941392	0.00407544308596342	0.00246329687653956	0.00217535231249409	0.00200350613573754	0.00875478113047174	0.00101351351351351	0.00051666236114699	0.00147744061825207	0	0.00135114847620477	0	0.00120932277924362	0.00322079075966237	0.00345489443378119	0	0.000264340470526038	0	0.0590630559399091	0.0186626429479034	0.00106182161396885	0.0130835083185269	0.00126015121814618	0.000600961538461538	0.004638671875	0.0026615407363596	0.00722402597402597	0.0016176321908806	0.0135290476611548	0.00227675183405009	0.00639055169066494	0.0015634395670475	0.0138630250362094	0.00178302016184337	0.000578536303153023	0.0059481659821555	0.00612205854218481	0.000570125427594071	0.00360155435503744	0.0110912799592045	0.00181159420289855	0.0167462242741999	0.00551470588235294	0.0241672490100163	0.0247538088539016	0.0018889857599535	0.0135028496273564	0.00578034682080924	0.0288362512873327	0.0172687077667473	0.0162198391420912	0.00471451021477213	0.00245603693879556	0.00457898753497838	0.00028137310073157	0.00105708245243129	0.000763775231860338	0.0016902873488493	0.0062187673514714	0.000188182160331201	0.00511963222233831	0	0.000975202006129842	0.00132100396301189	0.00877989706327581	0.0665516308025444	0.0024559967253377	0.0230117077109407	0.000651829779309061	0	0.000232883092687471	0.0210060807075732	0.00863500498173364	0.000738143568924156	0.00557880055788006	0.00129793510324484	0.0426908150064683	0.0463930811306166	0.0455811029279684	0	0	0.000596302921884317	0.00020271639975674	0	0.00227143668370244	0.00047438330170778	0.00268977884040645	0	0.00484261501210654	0.100749016578952	0.000832119825254837	0.0115103874227962	0.0456354039788875	0.00430663221360896	0.0280829527218862	0.023034398034398	0.04703888978538
