"Taxa"	"culi.1"	"culi.2"	"culi.3"	"culi.4"	"culi.6"	"culi.7"	"culi.8"	"culi.10"	"culi.11"	"culi.12"	"culi.15"	"culi.21"	"culi.25"	"culi.27"	"culi.28"	"culi.29"	"culi.30"	"culi.32"	"culi.36"	"culi.38"	"culi.39"	"culi.42"	"culi.43"	"culi.46"	"culi.48"	"culi.50"	"culi.51"	"culi.52"	"culi.54"	"culi.55"	"culi.58"	"culi.59"	"culi.61"	"culi.62"	"culi.64"	"culi.65"	"culi.68"	"culi.74"	"culi.75"	"culi.77"	"culi.81"	"culi.82"	"culi.83"	"culi.84"	"culi.85"	"culi.86"	"culi.87"	"culi.88"	"culi.89"	"culi.90"	"culi.91"	"culi.92"	"culi.93"	"culi.95"	"culi.96"	"culi.99"	"culi.100"	"culi.103"	"culi.105"	"culi.106"	"culi.107"	"culi.108"	"culi.109"	"culi.111"	"culi.113"	"culi.114"	"culi.115"	"culi.116"	"culi.117"	"culi.118"	"culi.119"	"culi.120"	"culi.121"	"culi.122"	"culi.123"	"culi.125"	"culi.126"	"culi.127"	"culi.128"	"culi.129"	"culi.133"	"culi.134"	"culi.135"	"culi.136"	"culi.137"	"culi.138"	"culi.139"	"culi.140"	"culi.141"	"culi.142"	"culi.143"	"culi.144"	"culi.145"	"culi.146"	"culi.147"	"culi.148"	"culi.150"	"culi.151"	"culi.152"	"culi.153"	"culi.154"	"culi.156"	"culi.157"	"culi.159"	"culi.161"	"culi.172"	"culi.174"	"culi.177"	"culi.178"	"culi.183"	"culi.187"	"culi.192"	"culi.196"	"culi.199"	"culi.200"	"culi.201"	"culi.202"	"culi.416"
"Metabolism|Global and overview maps"	0.394790015586147	0.399187441202927	0.394676780497679	0.39632585833021	0.400173076547039	0.392094272092157	0.394285067338167	0.393474618168163	0.394003323135235	0.398614296405162	0.390940814603251	0.390757807899047	0.387763679447012	0.383936891040777	0.391576174905291	0.394053215716727	0.383820906233143	0.389586817389577	0.394539917522836	0.392021988758123	0.390761618436476	0.387740098983344	0.392687315231369	0.391202525322537	0.390363834837204	0.39382089719067	0.386003446225487	0.391832479344613	0.391006843951775	0.388463899544393	0.393096629650621	0.397549133565267	0.38950487675215	0.384200005106817	0.385351408401409	0.390080428511704	0.386564952603415	0.396996941305233	0.398858957047491	0.376418773076241	0.38548801813179	0.387382558975243	0.392846363569435	0.396140154128374	0.395542878483501	0.396793955907734	0.395346823208465	0.387506733212274	0.388033237302951	0.381464137071297	0.394173836453329	0.385720913259027	0.38817024743186	0.380111805413473	0.383641905463854	0.39374940876268	0.391351121150662	0.384472759202055	0.391538546727093	0.38819700407698	0.386039177873077	0.383016862073974	0.38362020181643	0.388073115128943	0.384637470181954	0.369920453727098	0.388100779363093	0.379606252349084	0.395184918246073	0.375810956043974	0.386120775428103	0.382982457745595	0.391193179498309	0.382910675064551	0.393973440285429	0.394946076919282	0.391261779558615	0.391153852801639	0.392242070504049	0.387965894010357	0.389331793335728	0.394051038587512	0.396782173003739	0.395171649705128	0.397806646640474	0.393463551112867	0.371143384901945	0.394447312193769	0.386654496686729	0.36708804468564	0.371138847386638	0.382169726030068	0.383274652912025	0.39637943524152	0.392297891083312	0.386192999620335	0.389377838262619	0.374260458810067	0.367568909117753	0.367251169878015	0.392288792347387	0.395223124345155	0.393740378055414	0.390246068518674	0.378379245553594	0.401256857275553	0.399240135893126	0.399613594217118	0.399340344610914	0.388341201454908	0.365265458929344	0.367701805491211	0.366653531435492	0.368814670048022	0.3959296539392	0.375593859587046	0.376078226014767	0.373313566370184
"Metabolism|Carbohydrate metabolism"	0.0846390178305359	0.0844798075887786	0.0848859070557115	0.0877894462442892	0.0858051503777998	0.0920227931336958	0.0850035165129523	0.0923359074630078	0.0869426915420457	0.0832090877838669	0.093264576339707	0.0913077268086653	0.102569501840689	0.0941816071545715	0.0960851005499669	0.0952507018545449	0.104556771726085	0.0988579490525166	0.0897156348817743	0.0939488095772059	0.0917380389960673	0.0955534572572374	0.0894082091340695	0.0959875916161982	0.093615974095233	0.0938042301508457	0.103762939921124	0.0965224187215018	0.0977301003605237	0.0998485391701616	0.0917778038092599	0.0884071661312734	0.104384745257085	0.0990382046501519	0.0984870664833463	0.101873513706261	0.10096016052893	0.0916782821310379	0.0989372407818494	0.096784734766481	0.0941614071921114	0.0933299456862066	0.0972861337357805	0.0871655042624916	0.0982128984304069	0.10550632802981	0.0926373739715812	0.0992265218939573	0.102794893255293	0.105479819660828	0.0972225803727657	0.102102968896572	0.0988652130880253	0.0965865592594571	0.106786183666001	0.0919664616082373	0.0989771944782381	0.0982724692550146	0.0902261566244745	0.0903394938222009	0.0971231446872951	0.0959458723863761	0.0996339717277602	0.102319794522814	0.0970299831649924	0.106969697643401	0.100573325311666	0.100433447520058	0.0861364174820586	0.104151343714603	0.0948984449560197	0.0967702559316786	0.0977216811107899	0.0963532245979435	0.0827168182310436	0.0882725605712996	0.0903665844832435	0.0853216824747407	0.0940307299158806	0.0946177768787269	0.094218764005887	0.0852158227508285	0.10178704528281	0.0831254207815997	0.0922942749845221	0.0910707540009927	0.105489758183642	0.0853402602532523	0.0945529495888392	0.104757999880678	0.0984096728943548	0.1008592054874	0.0966596244535455	0.0855363666938988	0.101232288190378	0.0969553240602772	0.0952981244469705	0.106079114634981	0.112554585721223	0.113949473468637	0.0888201244674527	0.104416854865678	0.0957891582598164	0.0960503650801065	0.102585438423833	0.0857555571269598	0.0870302895174584	0.0870134491936682	0.081432241027061	0.0933095510176538	0.114113627050798	0.108778192768651	0.109779202061626	0.109072284899658	0.0862142373430777	0.104537363881982	0.113106471263346	0.104673201113109
"Environmental Information Processing|Membrane transport"	0.0551323423878784	0.0537566948430941	0.055731772194327	0.0560249173054746	0.0545671561119679	0.0616359103477946	0.0564959891686902	0.0605081926772774	0.057590289133388	0.0529571409665537	0.0627657113099269	0.0610447604023443	0.0707406388223261	0.0651941269411911	0.0629215791717487	0.0600933271816681	0.0730027682020507	0.0677598631687996	0.0586823538032055	0.059933798633264	0.0607376800995957	0.0634942691939564	0.0577640553303528	0.0629600776014026	0.0621803237608277	0.0580115359752094	0.0635255515108035	0.0634321178273438	0.0646595459460261	0.0655166134161052	0.0612102162386384	0.0559232219799303	0.0702046413820798	0.0704782320963805	0.0687887525540998	0.0680444613332248	0.070783222039848	0.0577330163013432	0.0615476091663601	0.0686242444369871	0.0653644861102058	0.0652927283365567	0.0644096921972517	0.0570680645718643	0.0614190855910346	0.0638818970248476	0.0606550028533098	0.0669528324374642	0.0693682988094328	0.0730100961418767	0.0641605406751236	0.0677132971768483	0.0679350866890233	0.0684145785081714	0.0743941098729828	0.060915090674181	0.0661289872501509	0.070309349852225	0.0608040414233345	0.0611740811661021	0.0685440466015074	0.067246309805318	0.0672490310855864	0.0692733776555401	0.0794125399592445	0.077816355552412	0.0694512831160902	0.073477671612038	0.0568752918870269	0.0733073466703311	0.0643954143574502	0.0655289476536709	0.0654478050757578	0.0696860082800477	0.055717673761043	0.0580154202395017	0.0617586247063742	0.057544922801304	0.062350992573291	0.0636321341909076	0.0621641609630711	0.0579385949386914	0.0647145570216275	0.0537498880235701	0.0588738705708859	0.0621394098256028	0.0820899174351379	0.055817112921085	0.0642001163880553	0.0764143841664807	0.0642267642363643	0.0698519022268858	0.0683777461887829	0.0575018677949693	0.0686079795685794	0.0674851676944544	0.0634807099207751	0.0774586714938828	0.0793961743727789	0.0815697628986924	0.0599285205346009	0.0661018113066913	0.061778724507542	0.0639145518977443	0.0742792286675514	0.0540683754204197	0.0550129296996216	0.0543126489253285	0.0517846727908575	0.0654122644648994	0.078969407223803	0.0733549786548565	0.0574441267746818	0.0754431821882148	0.0514940246337113	0.0683290006818874	0.0835532701235773	0.0755483890129632
"Metabolism|Amino acid metabolism"	0.0586995784360041	0.0596661496617265	0.058344435633993	0.0594911809499641	0.0600145744214373	0.0602236340510585	0.0588506917582197	0.0614527007890173	0.0597292398332416	0.0586216769277547	0.060174962232244	0.0595944312866873	0.0631029817642339	0.0598233107750667	0.0612904461286833	0.0627597695403237	0.060642912809919	0.0614671520649679	0.0606225359683212	0.0598430806680253	0.0599015417517326	0.0594214348283278	0.0596109526759443	0.0598224323431002	0.060089256216784	0.061469585198571	0.0632254054857083	0.0616470561345058	0.0626259612449949	0.0611074289161635	0.0608133651683009	0.0604742449821412	0.0633173957897969	0.0605434429673168	0.0607184888932485	0.0618967067738256	0.061039798871941	0.0602339420694633	0.0641636126907867	0.0639485836228615	0.059767706143233	0.0616562552829095	0.0604163992247577	0.0594830575694946	0.0649520036246976	0.0660618510307127	0.0610029179170518	0.0612535383685006	0.0617273809214075	0.0616211374101152	0.0612483039623918	0.0610291806436657	0.0612461128705726	0.0607629177578383	0.0627457606012668	0.0613003345418012	0.062702339413884	0.0607417941777983	0.0598607598580243	0.0580377838920934	0.0599498589303076	0.0602395110980733	0.058715922199451	0.0622811530226585	0.0564965827814901	0.0585129248815689	0.0615581211807653	0.0590280890477525	0.0590549864492339	0.0577934851063151	0.0586994393430179	0.0587508094948598	0.0625792172610858	0.0590172273001158	0.0575327344147439	0.0606095154435899	0.060245272181503	0.0579545920833939	0.0618235031756794	0.0604728349691247	0.0615227622555062	0.0583522536070514	0.0645654367342885	0.0576093289545601	0.0613777814666157	0.0602935157971309	0.0617464469083353	0.0587207755391572	0.0600575315552839	0.0613981457954943	0.0647948277558651	0.0610196054423237	0.0587368742690609	0.0605151193707285	0.0624892688403626	0.0610844846786663	0.0606227522040357	0.0586497450226257	0.0569907011374754	0.057728149507051	0.0586735086979192	0.0651145089335618	0.0642294218695008	0.0618441385508027	0.0630549593038784	0.06093439829806	0.059831086782999	0.0610190944655918	0.0587725189699964	0.0598941133733314	0.054376955824491	0.0603467393120113	0.0579214254045403	0.0551332246398337	0.0596792464816804	0.0578741615282339	0.0591939721067377	0.0573369965292987
"Metabolism|Energy metabolism"	0.0473867406211394	0.0474993713331487	0.0476671489226584	0.0468087769521956	0.047014554380813	0.0445961979508404	0.0467997979853289	0.0440039780747084	0.0460122857546433	0.0479660130281112	0.0441047626120271	0.0450334441445131	0.0403629851248504	0.0431317646792807	0.0431173330045602	0.0431603569477131	0.0407344281324982	0.0420168990498682	0.0451770941705973	0.0440901687112259	0.044465022661693	0.0436774847960421	0.045452307539201	0.0435276396980998	0.0441782976911814	0.0439734115386708	0.0400795955133662	0.0429010119121788	0.0419408938674333	0.0420760776605307	0.0445952667727744	0.0462205304897337	0.0402988729217771	0.0421698447439322	0.042052916015323	0.0417559012939331	0.0418163182805707	0.0453646269262219	0.0421662817821312	0.0439776237829859	0.044294663748501	0.0429226224549064	0.0436433440620127	0.0465382409521521	0.0417509313251265	0.0399135118006554	0.0446960831005994	0.041732648110264	0.0406744811094903	0.0397886996018154	0.0431218586879989	0.04136556391631	0.0421490329336991	0.0420424667067955	0.0387436558486236	0.0440131097646803	0.0423410607676848	0.0414954205408271	0.0451286917766963	0.0455043428912344	0.0430705931628716	0.0423543263418979	0.0431722375578194	0.0406945617731304	0.0413292764835648	0.040669010412274	0.0419206067247515	0.0422613270596964	0.0469728402184842	0.0422157756771282	0.0443731312344107	0.0436926239275757	0.0423640014399936	0.0431751610572109	0.0479845916391206	0.0459096533093842	0.0448465621021186	0.0464204469832467	0.043617148614167	0.0433835822101808	0.0428528916808524	0.0467076306561895	0.0410296765684815	0.0476143323543159	0.0444623702031402	0.0443579328474275	0.0396974504486623	0.0467929454278154	0.0431517382371965	0.0381691228707665	0.0380291208779003	0.0406360386098343	0.0434916372702219	0.046146919302055	0.0405233387831185	0.0418716612973395	0.0431172499599503	0.040664583613675	0.0400103431725291	0.0392494386413252	0.0454805184980721	0.0403892359038187	0.0425792161594968	0.0421446483242866	0.0386297652714653	0.0470294994434846	0.0465024488014999	0.0461741917586589	0.0480025896313909	0.043290861201726	0.0412061691712244	0.0370440083877177	0.0368017391590247	0.0418540438116177	0.0466698902046628	0.04227906941698	0.0383793934319896	0.0419193308303217
"Environmental Information Processing|Signal transduction"	0.036378408397974	0.0336601926904853	0.0346756945101876	0.0338460838630983	0.0326066839622381	0.0365443713275359	0.0370914475365452	0.0374051459387102	0.0364730962385162	0.0338915184890315	0.0396080924328323	0.0380038158734772	0.0402957147722767	0.0421624778021177	0.0378670477433069	0.0367502463081244	0.0397357449043599	0.0384319848977539	0.0351759378992129	0.0374979228370562	0.039812232636017	0.0418472957387968	0.0383126255019598	0.0382132387489955	0.0376577809478005	0.0373597490121052	0.0438401825813832	0.038085751725602	0.0405896224122287	0.0410530002578069	0.0379821124793314	0.0346738436363188	0.0406187599535032	0.0426325787413625	0.0424511446875524	0.0383561836050928	0.0415998235148086	0.03485788752092	0.0335503645853919	0.0426222579874644	0.0404489431838321	0.0402067997344352	0.0353029563352004	0.0350378150151859	0.0356545020636652	0.0344450422545108	0.0354939613103948	0.0382996454162417	0.0396646465212794	0.041963701514085	0.0359418702420126	0.0412272313779249	0.0399066461536576	0.0435392519282861	0.0432050144490744	0.0362704928267835	0.0384191380972342	0.0403728631024288	0.0385861496557072	0.0414749829057832	0.040069347216214	0.0441241591863289	0.0399600350070238	0.0392000096348148	0.0337607656083866	0.0443598472145751	0.0398725391221305	0.0425531626567629	0.0356500069029293	0.0419105339702616	0.0396626957552754	0.0418017591723127	0.0381391276604574	0.0426833111122905	0.0355151706563436	0.0372051607977805	0.0382190758116511	0.0368436380238507	0.0375760100902699	0.0395798715935327	0.0408922445224358	0.0348270348698522	0.035168202680837	0.0346191315554615	0.0333371853092461	0.0353745571844052	0.0407555736504139	0.0352301632469551	0.0411849841290306	0.0574884917848684	0.0547816863959955	0.04580708299049	0.0398500547746917	0.0339313927131216	0.0362497924937037	0.0415619988600424	0.040443365375362	0.0408013369301552	0.0441341165006151	0.0434512143197452	0.0358805364725484	0.0345372287042786	0.0360693537555528	0.0398955602450413	0.0442455046267953	0.0327891848298222	0.0325132480514314	0.032661561868803	0.0320461940346287	0.0379794769385353	0.0430360439339191	0.0587424724298111	0.0620994340644373	0.0410686231056474	0.0343487441268635	0.0438818943643907	0.0364744395864534	0.0422330137984218
"Cellular Processes|Cellular community - prokaryotes"	0.0330083641235504	0.0316333799294697	0.0326018355607503	0.0321682660458634	0.0315842884422592	0.035017284166609	0.0339491738099613	0.0353263195212404	0.0343015740063578	0.031538042214187	0.0367239656771452	0.0352588236592407	0.0397289504466959	0.0386188354851221	0.0355521670067758	0.0345012423099652	0.0386717771237124	0.0370354414741659	0.0338929253579775	0.0350424299384979	0.0364905613565703	0.0373046658966952	0.0347100349100458	0.0362360536837104	0.0350759568111722	0.034030367971723	0.039223495351198	0.0364391451912954	0.0374604717132884	0.0378193535564084	0.0355581203307437	0.0322118734507449	0.0394213932705529	0.0400715862176092	0.0393367073888647	0.0369457746909246	0.0397081111202738	0.0329185814068229	0.0338154133594543	0.0392560292775777	0.0369356137495936	0.0380878955751717	0.0351238423926278	0.0331268177802138	0.034339053565625	0.0347002730689205	0.0345002879126127	0.0379763943959498	0.0384739104869623	0.040464768371767	0.0350804665578551	0.0383829373364699	0.0381239644892283	0.0404084895136805	0.041263060970986	0.0355322982283017	0.0368354544812675	0.0404625716772006	0.0355579788868258	0.0364161394073533	0.0381088127892277	0.0402404992869426	0.0371733140317948	0.0390124764886119	0.0386951080433895	0.0420670943841993	0.0386672636412254	0.0409349487659583	0.033075974119887	0.0396224955617068	0.0365687461577648	0.0377569163416833	0.0367709347808779	0.0398261231227245	0.0332083857430188	0.0340360756063766	0.0363736891041658	0.0344263741076788	0.0358560445877151	0.0372423336822503	0.0374287480108759	0.0335369297917509	0.0355723118433403	0.0323272580059564	0.033436658626715	0.0352890622263429	0.0450606735560063	0.0329510843353984	0.0383445022649118	0.0474849966664691	0.0443369816395742	0.0421869627373564	0.0384037785683635	0.0332949665559067	0.0374978669197947	0.0395999692262206	0.0370703603845546	0.0413246916287473	0.041954062306688	0.0422736015308738	0.0350551513771916	0.035135261090733	0.0353614092795353	0.0374020798476286	0.0434322528358585	0.0312452202793355	0.0318481231296166	0.0315500518711978	0.0308818982779346	0.0379221944748454	0.0398807935963279	0.0473516479223633	0.0465166316207066	0.0380396550428504	0.0300938562927209	0.0382592838842497	0.0369349710192353	0.0408773606444852
"Metabolism|Metabolism of cofactors and vitamins"	0.0389003486249845	0.0391911223045455	0.0392498690182641	0.0391512661095012	0.0394166295933824	0.0375418401565607	0.0381119622278494	0.0370147955188522	0.0379422991677708	0.0393693236671083	0.0367120068700649	0.037288620282074	0.0353979367771953	0.0359827197905378	0.0374188411016187	0.0370802053068168	0.0350904646785826	0.0358718582390467	0.0376728494980624	0.0377579646110674	0.0367892797315272	0.0363234660901022	0.0377867351744446	0.0373539093678236	0.0367042729650186	0.0380781630716192	0.0355588584933367	0.0364866973724213	0.0359904931286944	0.0365421060827022	0.0374056601408803	0.0385637906516041	0.0354361198982608	0.0351907244470569	0.0355745163262006	0.0366052246857548	0.0357305814286982	0.0385206582086152	0.0380293463286904	0.0364563570779135	0.0373667668641088	0.0366694315845535	0.0381745719391252	0.0386219413796331	0.0367235128615888	0.0379740706435187	0.0379255653930995	0.0377123012232759	0.0362389084780358	0.0361237827249626	0.0382970683619858	0.0360610375718099	0.0362971419263108	0.0363197925001391	0.0335531420512195	0.0367656961569462	0.0365916586360048	0.0360569325647689	0.0371464585068167	0.0370890964681801	0.0359083816209594	0.0351438208354617	0.0369104895518683	0.0359665869233637	0.0386232264038933	0.0354822110843428	0.0359923045162323	0.0353399453693817	0.0383716302560389	0.0362815557773793	0.0372815542681341	0.0366644031631788	0.0365310899689315	0.0357698702114326	0.0391160254827057	0.0378135684186059	0.0367039386748844	0.0382209753050291	0.0367433388216452	0.0359995554057607	0.0362606598373299	0.0389552136201112	0.0366707048658402	0.0399225641569167	0.0386799127450924	0.0375743939667666	0.0350552945923915	0.0391019664370262	0.0370637948485144	0.0308296699466423	0.0331206232853651	0.0337628815698119	0.0366929284913918	0.0381763625413285	0.0369876745133728	0.035647068331156	0.0365523066296781	0.0360316569769682	0.0352856435510141	0.0350789243795387	0.0385209692381808	0.0368338308810226	0.0378766016729048	0.0359922649412593	0.0339842022600939	0.0390891488837184	0.0395295694217663	0.0390750034051403	0.0400130505838004	0.0359712555512679	0.0362180621573368	0.0301643127726432	0.0337587974930668	0.036325581965636	0.0403876732967723	0.0363447286089648	0.0324370006179253	0.035987813189532
"Metabolism|Nucleotide metabolism"	0.0305622915652972	0.0306303993443075	0.0303747042630193	0.0302713333722937	0.0305768867647334	0.0293385716801501	0.030421490663507	0.0289716815826501	0.0300799680979968	0.030934311896659	0.0288793157109413	0.0297215641470259	0.0274601083346485	0.0281468668248449	0.0288299350246598	0.0289738608464428	0.0277905242491941	0.028459494087049	0.0301660398530319	0.0294456685912486	0.0291866822483396	0.0284214916407162	0.0296743545110012	0.0290460017138276	0.0290118007521369	0.0295110345067097	0.0270633865588164	0.0287336989012173	0.0281281324517755	0.0280586767161479	0.0293311806201176	0.0298721448294835	0.0269803301754707	0.0278062251176962	0.0281239519204702	0.0280103886224375	0.0277004831513189	0.0296851043202106	0.0290288069337425	0.0271270771563145	0.028888505120018	0.0285688692003239	0.0291447733611064	0.0303244510414287	0.0284701173150752	0.027912623376894	0.0294866435983014	0.0283558394965998	0.0280200338940746	0.027194800979954	0.0291939163016182	0.0275506065104822	0.0284420074687623	0.0280847105850267	0.0269811515251847	0.0294042190701861	0.027961837257638	0.0277901484689056	0.0294343870549726	0.0292911107161147	0.0284490318754263	0.0284076214425333	0.0285824463193198	0.0279021899818237	0.0304462344351326	0.0265595080463412	0.0279127860322522	0.0279289205809014	0.0302999890817924	0.0275012874467715	0.0289966667553497	0.0286622020046364	0.0282197325919036	0.0286873106175686	0.0313426580610536	0.029760477972293	0.0294667036749929	0.0311840634900793	0.029033992407905	0.0287786345741013	0.0285823279362641	0.031184548351207	0.02810879932529	0.0319300651566821	0.0300376307158305	0.0298305896223636	0.0252554855738038	0.0311952959613991	0.0285472724696403	0.0253065020734297	0.0246794398635863	0.0273024915456075	0.0286006312929506	0.0302676323605983	0.0285096583798754	0.0284860955122849	0.0289254612090676	0.0269783234393709	0.0261703393373716	0.0260899903001995	0.0308362667170202	0.0279803493780968	0.0286260400279666	0.0284028781921737	0.0267574409497575	0.0301199065208881	0.0307962637705612	0.0307079987008585	0.0317933767380837	0.0294569495751843	0.0274585275081247	0.0249872070900756	0.0248587477290625	0.0287911598559279	0.0323667226666612	0.0280297080481857	0.0283662135659329	0.0273768326701673
"Genetic Information Processing|Translation"	0.0279880826227623	0.0286878054108748	0.0277297948354689	0.0273431341337504	0.0286055583412059	0.0259023671609091	0.0280977334639754	0.0256479494707659	0.027398484586295	0.0292752533471886	0.0254147464407717	0.0259965366250594	0.0220796572098881	0.0240138536174198	0.0248717073892759	0.0250429167583264	0.0225837688539659	0.0241111569913675	0.0269811586134188	0.025876930928468	0.0257306013913228	0.0246293092782557	0.0266188249236196	0.0254997496727529	0.0257866541248626	0.0256679455629468	0.0213680753904773	0.0247590535310512	0.0237324905003373	0.0234050093849267	0.0257170498267522	0.0273913976628958	0.0218826501470178	0.0228126702296995	0.0233109141087596	0.023272395345214	0.0227054187900389	0.0270268611851082	0.0248937565907146	0.0183287586440987	0.0237396237727639	0.0242866365692093	0.0250270749701287	0.0278306800909457	0.024129725785879	0.022476837194461	0.0260376850453503	0.0231111126229176	0.0229356859400035	0.020601935689922	0.025134911601276	0.0220990257439411	0.0235641558816853	0.0221799482634847	0.0211957381898988	0.0261197128830164	0.0232399287814418	0.023171658688879	0.0262406945767491	0.0260350318226672	0.0236602737294699	0.0235180158323341	0.0228685695625453	0.0226915593385669	0.0238112563233386	0.0175285053928997	0.0230423888146604	0.0217713951801224	0.0277763412695473	0.01972924518661	0.0240994737509196	0.0231949280576687	0.0238465879695651	0.0236073402501904	0.0289166807512889	0.0267185052376442	0.0260040208693515	0.0283513460859075	0.0250278158092646	0.0247058964572683	0.0244726550190315	0.0283276327714328	0.0237238865338066	0.0295797999983794	0.0269041358168547	0.0265063761863073	0.0176307507275063	0.0285373016091531	0.0242932909133763	0.0179719900128812	0.0189659043148366	0.0222243899332615	0.0231086344841215	0.0278747466417109	0.0242719241217279	0.0238756101899615	0.0247480212602171	0.0189242435009403	0.016315998803543	0.0159727584768879	0.027568435584662	0.0230932746681143	0.0239466255931066	0.0244942106417492	0.0208606679116171	0.0282575286658761	0.0286198090461709	0.0282731230317263	0.0301571103349112	0.0254947588094116	0.0167239565319858	0.0182204147418645	0.0181266284088203	0.020122575690849	0.0286640615365718	0.0200032831163582	0.0215926618648801	0.0191446036743523
