"Taxa"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"k__Bacteria|p__Firmicutes"	0.518428571428571	0.629428571428571	0.393714285714286	0.603714285714286	0.706857142857143	0.645428571428571	0.572857142857143	0.566571428571429	0.703428571428571	0.797	0.574	0.657285714285714	0.473142857142857	0.501714285714286	0.608142857142857	0.505571428571429	0.552857142857143	0.674714285714286	0.626142857142857	0.673571428571429	0.802714285714286	0.624428571428571	0.716142857142857	0.502571428571429	0.726714285714286	0.444571428571429	0.663	0.693714285714286	0.507285714285714	0.504285714285714	0.646714285714286	0.629571428571429	0.646857142857143	0.513142857142857	0.594714285714286	0.669	0.677142857142857	0.596571428571429	0.432857142857143	0.654571428571429	0.592714285714286	0.678857142857143	0.520714285714286	0.431428571428571	0.620714285714286	0.493142857142857	0.474	0.487714285714286	0.543857142857143	0.690428571428571	0.326428571428571	0.504714285714286	0.685	0.671	0.773714285714286	0.672285714285714	0.717	0.537	0.673714285714286	0.499	0.403428571428571	0.680714285714286	0.855857142857143	0.572142857142857	0.556428571428571	0.598857142857143	0.682285714285714	0.555285714285714	0.595142857142857	0.375142857142857	0.438285714285714
"k__Bacteria|p__Bacteroidota"	0.252428571428571	0.182428571428571	0.220571428571429	0.225285714285714	0.156571428571429	0.242	0.221428571428571	0.353142857142857	0.227857142857143	0.122857142857143	0.296428571428571	0.229428571428571	0.429142857142857	0.368714285714286	0.300285714285714	0.383714285714286	0.371857142857143	0.251714285714286	0.294285714285714	0.205285714285714	0.136285714285714	0.301142857142857	0.206857142857143	0.383	0.227714285714286	0.254571428571429	0.218857142857143	0.273285714285714	0.399428571428571	0.377142857142857	0.287428571428571	0.292428571428571	0.258857142857143	0.387714285714286	0.262714285714286	0.203142857142857	0.193714285714286	0.262	0.359571428571429	0.236142857142857	0.304142857142857	0.254714285714286	0.260142857142857	0.242428571428571	0.262	0.278285714285714	0.262142857142857	0.329857142857143	0.281142857142857	0.206428571428571	0.36	0.354428571428571	0.225142857142857	0.223285714285714	0.123857142857143	0.135142857142857	0.225142857142857	0.305857142857143	0.263285714285714	0.234857142857143	0.175571428571429	0.172571428571429	0.0908571428571429	0.360285714285714	0.348142857142857	0.254428571428571	0.172714285714286	0.195714285714286	0.267714285714286	0.429428571428571	0.208714285714286
"k__Bacteria|p__Proteobacteria"	0.224428571428571	0.184571428571429	0.385285714285714	0.169857142857143	0.134571428571429	0.100571428571429	0.203285714285714	0.0677142857142857	0.0645714285714286	0.0734285714285714	0.124	0.105571428571429	0.0951428571428571	0.128	0.0897142857142857	0.102571428571429	0.0697142857142857	0.0692857142857143	0.0737142857142857	0.115142857142857	0.0538571428571429	0.0707142857142857	0.0751428571428571	0.110857142857143	0.0425714285714286	0.296428571428571	0.113428571428571	0.0302857142857143	0.0865714285714286	0.112571428571429	0.053	0.075	0.0838571428571429	0.0768571428571429	0.139571428571429	0.121285714285714	0.121571428571429	0.139428571428571	0.205714285714286	0.104142857142857	0.0961428571428571	0.0557142857142857	0.217714285714286	0.320571428571429	0.116	0.221285714285714	0.260857142857143	0.177428571428571	0.171285714285714	0.0884285714285714	0.310428571428571	0.137857142857143	0.0831428571428571	0.1	0.101142857142857	0.189	0.0518571428571429	0.115	0.0614285714285714	0.259142857142857	0.419714285714286	0.142857142857143	0.0414285714285714	0.0632857142857143	0.0772857142857143	0.140571428571429	0.141571428571429	0.243	0.135	0.187571428571429	0.349857142857143
"k__Bacteria|p__Actinobacteria"	0.00428571428571429	0.00285714285714286	0.000142857142857143	0.000571428571428571	0.00157142857142857	0.0114285714285714	0.00228571428571429	0.0125714285714286	0.002	0.00657142857142857	0.00342857142857143	0.00757142857142857	0.00157142857142857	0.00128571428571429	0.001	0.00371428571428571	0.00357142857142857	0.002	0.00542857142857143	0.00171428571428571	0.007	0.00342857142857143	0.00157142857142857	0.00228571428571429	0.00114285714285714	0.00414285714285714	0.00457142857142857	0.00185714285714286	0.00542857142857143	0.00442857142857143	0.0125714285714286	0.003	0.00971428571428571	0.0218571428571429	0.00271428571428571	0.00642857142857143	0.00585714285714286	0.00142857142857143	0.00157142857142857	0.00457142857142857	0.00657142857142857	0.00428571428571429	0.000571428571428571	0.00528571428571429	0.00114285714285714	0.00642857142857143	0.00271428571428571	0.00328571428571429	0.00185714285714286	0.0135714285714286	0.002	0.00214285714285714	0.00657142857142857	0.00228571428571429	0.000857142857142857	0.00242857142857143	0.00342857142857143	0.0354285714285714	0.000857142857142857	0.00657142857142857	0.000571428571428571	0.001	0.0114285714285714	0.00171428571428571	0.018	0.00314285714285714	0.00185714285714286	0.00171428571428571	0.00142857142857143	0.000714285714285714	0.00285714285714286
"k__Bacteria|p__Tenericutes"	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0	0.002	0.000142857142857143	0.001	0.000142857142857143	0.000857142857142857	0.00442857142857143	0.000857142857142857	0.00228571428571429	0.000428571428571429	0.004	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.00128571428571429	0.00185714285714286	0.000285714285714286	0	0.000285714285714286	0.00128571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.00142857142857143	0.000571428571428571	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.00642857142857143	0.000285714285714286	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.00171428571428571	0.00185714285714286	0.00114285714285714	0.001	0.000857142857142857	0.000142857142857143	0.00328571428571429	0.000428571428571429	0.00114285714285714	0.00128571428571429	0.000571428571428571	0.000714285714285714	0.000285714285714286	0.000142857142857143	0.00271428571428571	0.000428571428571429	0.00257142857142857	0	0.003	0.00157142857142857	0.00414285714285714	0.000714285714285714	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Fusobacteria"	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0.00142857142857143	0.000142857142857143	0	0	0	0.000142857142857143	0	0	0.00114285714285714	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0.000285714285714286	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0.000571428571428571	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0.001	0	0.000142857142857143	0.000428571428571429	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0	0.00657142857142857	0
"k__Bacteria|p__Spirochaetes"	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00128571428571429	0.00514285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Cyanobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0	0	0	0	0	0	0	0.000714285714285714	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Armatimonadetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Gemmatimonadetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
