"Taxa"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.380714285714286	0.510857142857143	0.298714285714286	0.549285714285714	0.593571428571429	0.526571428571429	0.423428571428571	0.475571428571429	0.610428571428571	0.654	0.498285714285714	0.514857142857143	0.346142857142857	0.37	0.475	0.376714285714286	0.448285714285714	0.522857142857143	0.510571428571429	0.600428571428571	0.629571428571429	0.514	0.572142857142857	0.423571428571429	0.681571428571429	0.347285714285714	0.533142857142857	0.648	0.423142857142857	0.423285714285714	0.518714285714286	0.517714285714286	0.555428571428571	0.403714285714286	0.438142857142857	0.57	0.455	0.474428571428571	0.269142857142857	0.499285714285714	0.421142857142857	0.557857142857143	0.252	0.198142857142857	0.451	0.405285714285714	0.274857142857143	0.353857142857143	0.413571428571429	0.580142857142857	0.248285714285714	0.428714285714286	0.578	0.517571428571429	0.732	0.543428571428571	0.425285714285714	0.346142857142857	0.499285714285714	0.320714285714286	0.258428571428571	0.605142857142857	0.808285714285714	0.520428571428571	0.462571428571429	0.567714285714286	0.661571428571429	0.538428571428571	0.586	0.333142857142857	0.257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.252428571428571	0.182428571428571	0.220571428571429	0.225285714285714	0.156571428571429	0.242	0.221428571428571	0.353142857142857	0.227857142857143	0.122857142857143	0.296428571428571	0.229428571428571	0.429142857142857	0.368714285714286	0.300285714285714	0.383571428571429	0.371857142857143	0.251714285714286	0.294285714285714	0.205285714285714	0.136285714285714	0.301142857142857	0.206857142857143	0.383	0.227714285714286	0.254571428571429	0.218857142857143	0.273285714285714	0.399428571428571	0.377	0.287428571428571	0.292428571428571	0.258857142857143	0.387714285714286	0.262714285714286	0.203142857142857	0.193571428571429	0.262	0.359571428571429	0.236142857142857	0.304142857142857	0.254714285714286	0.260142857142857	0.242428571428571	0.262	0.278285714285714	0.262142857142857	0.329857142857143	0.281142857142857	0.206428571428571	0.359857142857143	0.354428571428571	0.225142857142857	0.223285714285714	0.123857142857143	0.135142857142857	0.225142857142857	0.305857142857143	0.263285714285714	0.234857142857143	0.175428571428571	0.172571428571429	0.0908571428571429	0.360285714285714	0.348142857142857	0.254428571428571	0.172714285714286	0.195714285714286	0.267714285714286	0.429428571428571	0.208714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.136571428571429	0.116857142857143	0.0941428571428571	0.0537142857142857	0.112285714285714	0.114857142857143	0.145	0.0881428571428571	0.0915714285714286	0.130571428571429	0.0725714285714286	0.140714285714286	0.125285714285714	0.128714285714286	0.128857142857143	0.119	0.102	0.150428571428571	0.113428571428571	0.073	0.171285714285714	0.106571428571429	0.142857142857143	0.077	0.0442857142857143	0.0967142857142857	0.128	0.0445714285714286	0.0738571428571429	0.0775714285714286	0.125714285714286	0.109571428571429	0.0905714285714286	0.108714285714286	0.154428571428571	0.097	0.22	0.121142857142857	0.158571428571429	0.151571428571429	0.170285714285714	0.120142857142857	0.267142857142857	0.228	0.167428571428571	0.086	0.198	0.126714285714286	0.127	0.107142857142857	0.0762857142857143	0.0748571428571429	0.105714285714286	0.149857142857143	0.0412857142857143	0.128	0.284857142857143	0.188571428571429	0.174428571428571	0.176571428571429	0.142571428571429	0.0745714285714286	0.0438571428571429	0.0494285714285714	0.092	0.0307142857142857	0.0148571428571429	0.0165714285714286	0.00385714285714286	0.0365714285714286	0.180571428571429
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.203	0.175428571428571	0.318285714285714	0.143714285714286	0.130428571428571	0.0874285714285714	0.189571428571429	0.0584285714285714	0.0484285714285714	0.0495714285714286	0.0995714285714286	0.0954285714285714	0.082	0.112142857142857	0.0761428571428571	0.0831428571428571	0.0378571428571429	0.059	0.0585714285714286	0.108142857142857	0.0441428571428571	0.0564285714285714	0.0678571428571429	0.105	0.0387142857142857	0.0577142857142857	0.0934285714285714	0.019	0.0791428571428571	0.055	0.0411428571428571	0.0361428571428571	0.0695714285714286	0.0494285714285714	0.082	0.111571428571429	0.0752857142857143	0.133	0.190285714285714	0.0848571428571429	0.08	0.044	0.053	0.0772857142857143	0.0778571428571429	0.206142857142857	0.100571428571429	0.124428571428571	0.110285714285714	0.0727142857142857	0.294571428571429	0.131857142857143	0.0741428571428571	0.0854285714285714	0.0988571428571429	0.136714285714286	0.0268571428571429	0.0498571428571429	0.0565714285714286	0.0831428571428571	0.0874285714285714	0.136428571428571	0.0337142857142857	0.0441428571428571	0.06	0.136428571428571	0.137571428571429	0.238857142857143	0.121285714285714	0.0787142857142857	0.113857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0172857142857143	0.00614285714285714	0.064	0.023	0.00257142857142857	0.00985714285714286	0.00942857142857143	0.00414285714285714	0.0111428571428571	0.01	0.0152857142857143	0.004	0.00771428571428571	0.0108571428571429	0.0112857142857143	0.0155714285714286	0.0224285714285714	0.00557142857142857	0.00514285714285714	0.00371428571428571	0.00228571428571429	0.00828571428571429	0.00214285714285714	0.00257142857142857	0.001	0.236142857142857	0.0168571428571429	0.009	0.004	0.05	0.00771428571428571	0.0352857142857143	0.00885714285714286	0.0201428571428571	0.0528571428571429	0.00614285714285714	0.041	0.00457142857142857	0.01	0.0172857142857143	0.0112857142857143	0.00957142857142857	0.159285714285714	0.230571428571429	0.0354285714285714	0.0107142857142857	0.154571428571429	0.049	0.0574285714285714	0.0127142857142857	0.0121428571428571	0.00285714285714286	0.00657142857142857	0.0124285714285714	0.00128571428571429	0.0485714285714286	0.0207142857142857	0.0575714285714286	0.00342857142857143	0.17	0.328	0.00242857142857143	0.00714285714285714	0.0161428571428571	0.014	0.00185714285714286	0.00271428571428571	0.00242857142857143	0.00842857142857143	0.103	0.231428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00428571428571429	0.00285714285714286	0.000142857142857143	0.000571428571428571	0.00157142857142857	0.0114285714285714	0.00228571428571429	0.0125714285714286	0.002	0.00657142857142857	0.00328571428571429	0.00757142857142857	0.00142857142857143	0.00128571428571429	0.000857142857142857	0.00328571428571429	0.00342857142857143	0.00171428571428571	0.00542857142857143	0.00142857142857143	0.007	0.00342857142857143	0.00142857142857143	0.00228571428571429	0.00114285714285714	0.00414285714285714	0.00457142857142857	0.00185714285714286	0.00542857142857143	0.00442857142857143	0.0125714285714286	0.00285714285714286	0.00971428571428571	0.0218571428571429	0.00271428571428571	0.00628571428571429	0.00571428571428571	0.00142857142857143	0.00142857142857143	0.00442857142857143	0.00657142857142857	0.00414285714285714	0.000571428571428571	0.00528571428571429	0.00114285714285714	0.00642857142857143	0.00271428571428571	0.00271428571428571	0.00157142857142857	0.0135714285714286	0.002	0.00214285714285714	0.00657142857142857	0.002	0.000857142857142857	0.00214285714285714	0.00314285714285714	0.0354285714285714	0.000714285714285714	0.00642857142857143	0.000571428571428571	0.000857142857142857	0.0112857142857143	0.00171428571428571	0.018	0.00314285714285714	0.00171428571428571	0.00157142857142857	0.00142857142857143	0.000714285714285714	0.00285714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00414285714285714	0.003	0.003	0.00314285714285714	0.00142857142857143	0.00314285714285714	0.00414285714285714	0.00514285714285714	0.00485714285714286	0.0138571428571429	0.00914285714285714	0.00571428571428571	0.00528571428571429	0.005	0.00214285714285714	0.00371428571428571	0.00942857142857143	0.00471428571428571	0.00985714285714286	0.00314285714285714	0.00714285714285714	0.006	0.005	0.003	0.00285714285714286	0.00242857142857143	0.00314285714285714	0.00228571428571429	0.003	0.00742857142857143	0.00414285714285714	0.00357142857142857	0.005	0.00714285714285714	0.00471428571428571	0.00342857142857143	0.00528571428571429	0.00185714285714286	0.00514285714285714	0.002	0.00457142857142857	0.00214285714285714	0.00542857142857143	0.0127142857142857	0.00271428571428571	0.00428571428571429	0.00542857142857143	0.004	0.00342857142857143	0.00257142857142857	0.00342857142857143	0.00314285714285714	0.00228571428571429	0.00214285714285714	0.001	0.00371428571428571	0.00414285714285714	0.00757142857142857	0.00142857142857143	0.006	0.00428571428571429	0.004	0.000571428571428571	0.003	0.00328571428571429	0.00214285714285714	0.00128571428571429	0.00171428571428571	0.00528571428571429	0.00585714285714286	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000714285714285714	0.000571428571428571	0.000714285714285714	0	0.000714285714285714	0.00342857142857143	0.004	0.00257142857142857	0.00128571428571429	0.0118571428571429	0.00228571428571429	0.001	0.00114285714285714	0.00214285714285714	0.004	0.00957142857142857	0.002	0.00128571428571429	0.002	0.000142857142857143	0.000857142857142857	0.00371428571428571	0.000142857142857143	0.00157142857142857	0.000428571428571429	0.000285714285714286	0.00157142857142857	0.00114285714285714	0.00971428571428571	0.00328571428571429	0.002	0.00214285714285714	0.000571428571428571	0.000571428571428571	0.00185714285714286	0.00142857142857143	0.002	0.000714285714285714	0.00471428571428571	0.00357142857142857	0.000571428571428571	0.000285714285714286	0.00142857142857143	0.005	0.002	0.00157142857142857	0.001	0.00614285714285714	0.00328571428571429	0.00228571428571429	0.00185714285714286	0.000714285714285714	0.000571428571428571	0.003	0.000428571428571429	0.000714285714285714	0.00457142857142857	0.002	0	0.00157142857142857	0.00228571428571429	0.000285714285714286	0.00357142857142857	0.00185714285714286	0.00171428571428571	0.000428571428571429	0.00457142857142857	0	0.00442857142857143	0.00528571428571429	0.000571428571428571
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0	0.002	0.000142857142857143	0.001	0.000142857142857143	0.000857142857142857	0.00442857142857143	0.000857142857142857	0.00228571428571429	0.000428571428571429	0.004	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.00128571428571429	0.00185714285714286	0.000285714285714286	0	0.000285714285714286	0.00128571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.00142857142857143	0.000571428571428571	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.00642857142857143	0.000285714285714286	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.00171428571428571	0.00185714285714286	0.00114285714285714	0.001	0.000857142857142857	0.000142857142857143	0.00328571428571429	0.000428571428571429	0.00114285714285714	0.00128571428571429	0.000571428571428571	0.000714285714285714	0.000285714285714286	0.000142857142857143	0.00271428571428571	0.000428571428571429	0.00257142857142857	0	0.003	0.00157142857142857	0.00414285714285714	0.000714285714285714	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia"	0.000428571428571429	0.00114285714285714	0.000142857142857143	0.000714285714285714	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.000571428571428571	0.000857142857142857	0.000714285714285714	0.000571428571428571	0.000857142857142857	0.000285714285714286	0.000285714285714286	0.000571428571428571	0.000142857142857143	0.000142857142857143	0	0.001	0.000142857142857143	0.001	0.000428571428571429	0.000428571428571429	0.000285714285714286	0.000285714285714286	0	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000714285714285714	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.001	0	0.000857142857142857	0	0.000428571428571429	0.000714285714285714	0.000571428571428571	0	0.000142857142857143	0.00228571428571429	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000428571428571429	0.000142857142857143	0	0.00128571428571429	0.000285714285714286	0.000857142857142857	0.000142857142857143	0
