"Taxa"	"W1"	"C1"	"W2"	"C2"	"C3"	"W4"	"C4"	"W6"	"C6"	"W7"	"C7"	"C8"	"W9"	"W10"	"C10"	"C29"	"C30"	"W33"	"C38"	"C39"	"W42"	"C42"	"W43"	"C43"	"C46"	"C48"	"C51"	"W52"	"C52"	"W54"	"C55"	"W57"	"C59"	"W60"	"C61"	"W63"	"C65"	"W68"	"C68"	"W73"	"C74"	"C75"	"C77"	"C82"	"W83"	"W84"	"W85"	"C86"	"W87"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"W93"	"W94"	"W95"	"C95"	"W96"	"W97"	"C99"	"W100"	"W101"	"C103"	"W104"	"C105"	"C106"	"W107"	"C107"	"W108"	"C108"	"W109"	"W111"	"C111"	"W112"	"C113"	"W114"	"C114"	"C116"	"C117"	"C118"	"C119"	"W120"	"C120"	"W121"	"C121"	"W122"	"W123"	"C123"	"C125"	"W126"	"W127"	"C128"	"C129"	"C137"	"W139"	"W140"	"C141"	"C142"	"C143"	"W144"	"C144"	"W150"	"C151"	"W152"	"C152"	"W153"	"W154"	"C154"	"C156"	"C157"	"C159"	"W164"	"W170"	"C174"	"C177"	"C178"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"C200"	"C201"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"	"C416"
"k__Bacteria|p__Firmicutes"	0.712285714285714	0.518428571428571	0.667428571428571	0.629428571428571	0.393714285714286	0.639571428571429	0.603714285714286	0.867285714285714	0.706714285714286	0.765	0.645285714285714	0.572714285714286	0.746857142857143	0.682857142857143	0.566571428571429	0.703428571428571	0.797	0.700857142857143	0.574	0.657285714285714	0.520571428571429	0.473142857142857	0.762	0.501714285714286	0.608142857142857	0.505571428571429	0.552857142857143	0.710571428571429	0.674714285714286	0.791428571428571	0.626571428571429	0.802428571428571	0.673571428571429	0.584142857142857	0.802714285714286	0.785142857142857	0.625285714285714	0.585142857142857	0.716428571428571	0.714142857142857	0.502428571428571	0.726714285714286	0.444571428571429	0.663	0.561714285714286	0.758428571428571	0.494571428571429	0.693714285714286	0.647142857142857	0.507285714285714	0.504428571428571	0.646714285714286	0.629571428571429	0.646857142857143	0.513142857142857	0.478142857142857	0.68	0.832	0.594857142857143	0.677857142857143	0.647571428571429	0.669	0.714142857142857	0.636714285714286	0.677142857142857	0.822857142857143	0.596428571428571	0.432857142857143	0.65	0.655	0.715	0.592714285714286	0.634142857142857	0.603714285714286	0.678857142857143	0.615857142857143	0.520714285714286	0.509	0.431571428571429	0.620714285714286	0.493142857142857	0.474	0.487714285714286	0.667714285714286	0.543857142857143	0.454714285714286	0.690428571428571	0.737285714285714	0.570857142857143	0.326571428571429	0.504714285714286	0.508	0.434571428571429	0.684857142857143	0.671	0.773714285714286	0.736285714285714	0.601285714285714	0.672285714285714	0.717	0.536857142857143	0.746428571428571	0.673857142857143	0.730142857142857	0.499142857142857	0.723714285714286	0.403285714285714	0.731428571428571	0.589428571428571	0.680714285714286	0.856	0.572428571428571	0.556428571428571	0.568142857142857	0.53	0.598857142857143	0.682285714285714	0.555285714285714	0.730714285714286	0.663857142857143	0.733	0.474571428571429	0.799857142857143	0.741285714285714	0.595142857142857	0.375285714285714	0.775857142857143	0.654	0.699571428571429	0.151428571428571	0.073	0.762428571428571	0.748	0.865571428571429	0.801857142857143	0.655142857142857	0.663428571428571	0.438285714285714
"k__Bacteria|p__Bacteroidota"	0.186142857142857	0.252428571428571	0.256	0.182428571428571	0.220571428571429	0.276714285714286	0.225285714285714	0.0854285714285714	0.156571428571429	0.175	0.242	0.221428571428571	0.194	0.226	0.353142857142857	0.227857142857143	0.123	0.181285714285714	0.296428571428571	0.229571428571429	0.320571428571429	0.429142857142857	0.141	0.368714285714286	0.300285714285714	0.383714285714286	0.371857142857143	0.196428571428571	0.251714285714286	0.136714285714286	0.294285714285714	0.125571428571429	0.205285714285714	0.264428571428571	0.136285714285714	0.122285714285714	0.301285714285714	0.219857142857143	0.206857142857143	0.184428571428571	0.383142857142857	0.227857142857143	0.254571428571429	0.218857142857143	0.311714285714286	0.147857142857143	0.424	0.273285714285714	0.291571428571429	0.399428571428571	0.377	0.287428571428571	0.292428571428571	0.258714285714286	0.387714285714286	0.334285714285714	0.246571428571429	0.138571428571429	0.262714285714286	0.262142857142857	0.265285714285714	0.203142857142857	0.224428571428571	0.276	0.193714285714286	0.101857142857143	0.262	0.359571428571429	0.178285714285714	0.236142857142857	0.219428571428571	0.304	0.266	0.273571428571429	0.254714285714286	0.263857142857143	0.260142857142857	0.335	0.242285714285714	0.262	0.278285714285714	0.262	0.329857142857143	0.226	0.281142857142857	0.271714285714286	0.206571428571429	0.189714285714286	0.218	0.359857142857143	0.354428571428571	0.153285714285714	0.0727142857142857	0.225142857142857	0.223285714285714	0.123857142857143	0.213285714285714	0.318428571428571	0.135142857142857	0.225142857142857	0.306285714285714	0.193857142857143	0.263142857142857	0.155714285714286	0.234857142857143	0.169142857142857	0.175428571428571	0.213428571428571	0.259857142857143	0.172571428571429	0.0905714285714286	0.360428571428571	0.348142857142857	0.310571428571429	0.393	0.254428571428571	0.172714285714286	0.195714285714286	0.190428571428571	0.216428571428571	0.231714285714286	0.284428571428571	0.153142857142857	0.158714285714286	0.267714285714286	0.429285714285714	0.158142857142857	0.284428571428571	0.217571428571429	0.0312857142857143	0.0101428571428571	0.149857142857143	0.109714285714286	0.0725714285714286	0.143714285714286	0.280428571428571	0.233	0.208714285714286
"k__Bacteria|p__Proteobacteria"	0.0972857142857143	0.224428571428571	0.0754285714285714	0.184571428571429	0.385285714285714	0.0805714285714286	0.169857142857143	0.0442857142857143	0.134714285714286	0.0468571428571429	0.100714285714286	0.203428571428571	0.0555714285714286	0.0774285714285714	0.0677142857142857	0.0645714285714286	0.0732857142857143	0.114	0.124	0.105285714285714	0.146142857142857	0.0951428571428571	0.0914285714285714	0.127857142857143	0.0897142857142857	0.102571428571429	0.0697142857142857	0.0901428571428571	0.0692857142857143	0.0698571428571429	0.0732857142857143	0.0645714285714286	0.115142857142857	0.146714285714286	0.0538571428571429	0.081	0.0697142857142857	0.194285714285714	0.0751428571428571	0.0901428571428571	0.111142857142857	0.0425714285714286	0.296428571428571	0.113428571428571	0.121428571428571	0.0907142857142857	0.077	0.0304285714285714	0.0562857142857143	0.0865714285714286	0.112428571428571	0.053	0.075	0.084	0.0768571428571429	0.150285714285714	0.0668571428571429	0.0234285714285714	0.139428571428571	0.0532857142857143	0.0807142857142857	0.121285714285714	0.0547142857142857	0.0768571428571429	0.121571428571429	0.0728571428571429	0.139571428571429	0.205714285714286	0.168142857142857	0.103714285714286	0.0605714285714286	0.0962857142857143	0.0957142857142857	0.117857142857143	0.0557142857142857	0.117142857142857	0.217714285714286	0.152857142857143	0.320571428571429	0.116	0.221285714285714	0.260857142857143	0.177428571428571	0.102857142857143	0.171285714285714	0.266428571428571	0.0882857142857143	0.0648571428571429	0.208	0.310428571428571	0.137857142857143	0.330714285714286	0.486571428571429	0.0832857142857143	0.1	0.101142857142857	0.0467142857142857	0.0685714285714286	0.189	0.0518571428571429	0.114714285714286	0.0544285714285714	0.0615714285714286	0.0952857142857143	0.259	0.101714285714286	0.42	0.0434285714285714	0.144142857142857	0.142857142857143	0.0414285714285714	0.0628571428571429	0.0772857142857143	0.117	0.0652857142857143	0.140571428571429	0.141571428571429	0.243	0.0625714285714286	0.0801428571428571	0.0298571428571429	0.236142857142857	0.0414285714285714	0.0971428571428571	0.135	0.187571428571429	0.0595714285714286	0.059	0.0808571428571429	0.816571428571429	0.913857142857143	0.0828571428571429	0.135428571428571	0.059	0.0512857142857143	0.0568571428571429	0.0798571428571429	0.349714285714286
"k__Bacteria|p__Actinobacteria"	0.00314285714285714	0.00428571428571429	0.000857142857142857	0.00285714285714286	0.000142857142857143	0.00285714285714286	0.000571428571428571	0.00214285714285714	0.00157142857142857	0.00742857142857143	0.0114285714285714	0.00228571428571429	0.00285714285714286	0.00885714285714286	0.0125714285714286	0.002	0.00657142857142857	0.00214285714285714	0.00342857142857143	0.00771428571428571	0.012	0.00157142857142857	0.00457142857142857	0.00142857142857143	0.001	0.00371428571428571	0.00357142857142857	0.00171428571428571	0.002	0.00171428571428571	0.00542857142857143	0.005	0.00171428571428571	0.00242857142857143	0.007	0.00671428571428571	0.00342857142857143	0.000571428571428571	0.00128571428571429	0.00471428571428571	0.002	0.001	0.00414285714285714	0.00457142857142857	0.00471428571428571	0.00242857142857143	0.00357142857142857	0.00185714285714286	0.00271428571428571	0.00542857142857143	0.00442857142857143	0.0125714285714286	0.003	0.00971428571428571	0.0218571428571429	0.0108571428571429	0.00214285714285714	0.00357142857142857	0.00271428571428571	0.00414285714285714	0.00271428571428571	0.00642857142857143	0.005	0.00514285714285714	0.00585714285714286	0.00185714285714286	0.00142857142857143	0.00157142857142857	0.00185714285714286	0.00457142857142857	0.00471428571428571	0.00657142857142857	0.002	0.00285714285714286	0.00428571428571429	0.000714285714285714	0.000714285714285714	0.002	0.00542857142857143	0.00114285714285714	0.00642857142857143	0.00285714285714286	0.00328571428571429	0.00271428571428571	0.00185714285714286	0.00685714285714286	0.0135714285714286	0.00771428571428571	0.00157142857142857	0.00214285714285714	0.00214285714285714	0.00442857142857143	0.00471428571428571	0.00657142857142857	0.00228571428571429	0.000857142857142857	0.00328571428571429	0.00571428571428571	0.00242857142857143	0.00342857142857143	0.0354285714285714	0.00357142857142857	0.000714285714285714	0.0178571428571429	0.00657142857142857	0.00428571428571429	0.000714285714285714	0.00642857142857143	0.00442857142857143	0.001	0.0115714285714286	0.00171428571428571	0.018	0.00371428571428571	0.00428571428571429	0.00314285714285714	0.00185714285714286	0.00171428571428571	0.0124285714285714	0.0355714285714286	0.002	0.00171428571428571	0.00371428571428571	0.00171428571428571	0.00142857142857143	0.000714285714285714	0.00271428571428571	0.00114285714285714	0.00114285714285714	0.000428571428571429	0.000571428571428571	0.00114285714285714	0.00557142857142857	0.00171428571428571	0.00228571428571429	0.00128571428571429	0.00314285714285714	0.00285714285714286
"k__Bacteria|p__Tenericutes"	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.000142857142857143	0	0.000428571428571429	0.000857142857142857	0.000428571428571429	0.00385714285714286	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.00428571428571429	0	0.000571428571428571	0	0.00171428571428571	0.002	0.000142857142857143	0.000714285714285714	0.001	0.000142857142857143	0.000142857142857143	0.000857142857142857	0.00442857142857143	0.000857142857142857	0.000142857142857143	0.00228571428571429	0.000285714285714286	0.000428571428571429	0.00228571428571429	0.004	0.00114285714285714	0.000142857142857143	0.00471428571428571	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.00657142857142857	0.00128571428571429	0.00185714285714286	0.000285714285714286	0	0.000285714285714286	0.000571428571428571	0.000857142857142857	0.000285714285714286	0.00214285714285714	0.00128571428571429	0.000571428571428571	0.000142857142857143	0	0.000571428571428571	0.000428571428571429	0.00128571428571429	0.00357142857142857	0.002	0.000285714285714286	0.00214285714285714	0.00228571428571429	0.000142857142857143	0.00114285714285714	0.00414285714285714	0.00142857142857143	0.000142857142857143	0.000571428571428571	0.000285714285714286	0.00142857142857143	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.00185714285714286	0.00642857142857143	0.00214285714285714	0.000285714285714286	0.00114285714285714	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0.00171428571428571	0.000714285714285714	0.00185714285714286	0.000285714285714286	0.00114285714285714	0.000285714285714286	0.00142857142857143	0.001	0.000857142857142857	0	0.000285714285714286	0.000142857142857143	0.00328571428571429	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.00114285714285714	0.00128571428571429	0.000571428571428571	0.000428571428571429	0.000714285714285714	0.000142857142857143	0.000285714285714286	0.000714285714285714	0.000142857142857143	0	0.00185714285714286	0.00271428571428571	0.000428571428571429	0.00257142857142857	0	0.000428571428571429	0	0.003	0.00157142857142857	0.00414285714285714	0.000142857142857143	0.001	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000714285714285714	0.000571428571428571	0.00371428571428571	0.000857142857142857	0.000714285714285714	0.000142857142857143	0	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Fusobacteria"	0	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0	0	0.00142857142857143	0	0	0.000285714285714286	0.000285714285714286	0	0.00142857142857143	0.000142857142857143	0	0	0	0	0	0.000857142857142857	0.000142857142857143	0	0	0.00114285714285714	0.001	0	0	0	0.000142857142857143	0	0.00114285714285714	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000285714285714286	0	0	0.000285714285714286	0	0	0	0	0.0231428571428571	0.000571428571428571	0	0	0	0.00142857142857143	0	0.000142857142857143	0.001	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0.00142857142857143	0	0	0.000285714285714286	0.000428571428571429	0	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0	0	0.00328571428571429	0.001	0	0	0	0	0	0	0	0.001	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000428571428571429	0.000142857142857143	0	0	0	0.000142857142857143	0.000142857142857143	0.000714285714285714	0	0	0.000142857142857143	0	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0.00657142857142857	0	0.000285714285714286	0	0.000142857142857143	0.00228571428571429	0.00271428571428571	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00528571428571429	0.02	0
"k__Bacteria|p__Spirochaetes"	0	0	0	0	0	0	0	0	0	0.000428571428571429	0	0	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0.002	0.000285714285714286	0.000428571428571429	0	0.000428571428571429	0	0	0.000428571428571429	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0.000428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0.000285714285714286	0.000142857142857143	0	0	0	0	0.00542857142857143	0	0.00128571428571429	0.00514285714285714	0.001	0	0.000857142857142857	0	0.000285714285714286	0	0.00414285714285714	0	0	0	0	0	0	0.00642857142857143	0	0	0	0.00342857142857143	0.00185714285714286	0.00214285714285714	0.00285714285714286	0.00128571428571429	0.000428571428571429	0	0	0	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Cyanobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000857142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Lentisphaerae"	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0.000857142857142857	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Synergistetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0.000714285714285714	0.000142857142857143	0	0	0	0	0	0.000285714285714286	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
