"Taxa"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.417	0.436714285714286	0.317857142857143	0.443714285714286	0.385285714285714	0.420285714285714	0.391428571428571	0.266285714285714	0.217142857142857	0.485142857142857	0.386714285714286	0.44	0.513571428571429	0.369428571428571	0.543142857142857	0.307571428571429	0.426428571428571	0.200714285714286	0.428285714285714	0.123857142857143	0.366714285714286	0.211714285714286	0.288714285714286	0.298	0.410142857142857	0.389428571428571	0.430571428571429	0.327571428571429	0.408571428571429	0.284571428571429	0.401428571428571	0.261571428571429	0.341857142857143	0.326	0.133571428571429	0.322714285714286	0.0824285714285714	0.384428571428571	0.267285714285714	0.184857142857143	0.185142857142857	0.294142857142857	0.294428571428571	0.483	0.400571428571429	0.298714285714286	0.207428571428571	0.318571428571429	0.205571428571429	0.0442857142857143	0.33	0.367285714285714	0.302	0.158714285714286	0.337714285714286	0.419	0.500142857142857	0.371571428571429	0.403	0.067	0.026	0.470714285714286	0.491571428571429	0.739	0.545142857142857	0.379	0.370571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.186	0.256	0.276714285714286	0.0854285714285714	0.175	0.194	0.226	0.181142857142857	0.320714285714286	0.141	0.196428571428571	0.136714285714286	0.126285714285714	0.264285714285714	0.122285714285714	0.220142857142857	0.184571428571429	0.311714285714286	0.148142857142857	0.424	0.291571428571429	0.334285714285714	0.246285714285714	0.138285714285714	0.262	0.264857142857143	0.224285714285714	0.276142857142857	0.101714285714286	0.178428571428571	0.219285714285714	0.266428571428571	0.273857142857143	0.263571428571429	0.335	0.226285714285714	0.271714285714286	0.189571428571429	0.218	0.153571428571429	0.0724285714285714	0.213142857142857	0.318571428571429	0.193857142857143	0.155857142857143	0.168857142857143	0.213285714285714	0.259714285714286	0.310428571428571	0.392571428571429	0.190428571428571	0.216	0.231571428571429	0.284142857142857	0.153428571428571	0.158571428571429	0.158142857142857	0.284428571428571	0.217571428571429	0.0311428571428571	0.00957142857142857	0.15	0.109714285714286	0.0725714285714286	0.143857142857143	0.280285714285714	0.233
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.159142857142857	0.125571428571429	0.216142857142857	0.364571428571429	0.138	0.139285714285714	0.0772857142857143	0.289	0.142714285714286	0.170428571428571	0.240142857142857	0.234857142857143	0.232571428571429	0.0838571428571429	0.158142857142857	0.123142857142857	0.222285714285714	0.172571428571429	0.253857142857143	0.155142857142857	0.213857142857143	0.0724285714285714	0.333714285714286	0.494428571428571	0.193	0.200571428571429	0.218142857142857	0.237428571428571	0.292714285714286	0.289714285714286	0.264285714285714	0.245857142857143	0.134	0.197714285714286	0.155	0.304	0.088	0.261	0.193428571428571	0.131285714285714	0.148428571428571	0.262285714285714	0.125142857142857	0.0642857142857143	0.136142857142857	0.052	0.0341428571428571	0.154571428571429	0.241571428571429	0.003	0.149428571428571	0.0464285714285714	0.161142857142857	0.166571428571429	0.300428571428571	0.129285714285714	0.156285714285714	0.179285714285714	0.12	0.0287142857142857	0.0114285714285714	0.0952857142857143	0.0551428571428571	0.0248571428571429	0.156285714285714	0.117571428571429	0.205285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.133	0.0952857142857143	0.105	0.0458571428571429	0.239	0.183285714285714	0.210285714285714	0.1	0.112714285714286	0.103857142857143	0.0821428571428571	0.103285714285714	0.052	0.128857142857143	0.0738571428571429	0.153714285714286	0.0637142857142857	0.127428571428571	0.0764285714285714	0.126	0.0585714285714286	0.182142857142857	0.0525714285714286	0.0374285714285714	0.0717142857142857	0.055	0.0617142857142857	0.0668571428571429	0.119	0.0737142857142857	0.0488571428571429	0.125571428571429	0.0847142857142857	0.09	0.142571428571429	0.0405714285714286	0.195714285714286	0.0908571428571429	0.109714285714286	0.158428571428571	0.0588571428571429	0.109142857142857	0.163714285714286	0.192714285714286	0.184714285714286	0.362428571428571	0.473142857142857	0.088	0.0818571428571429	0.442	0.232142857142857	0.245428571428571	0.195142857142857	0.0947142857142857	0.115285714285714	0.161571428571429	0.115857142857143	0.0977142857142857	0.166428571428571	0.0165714285714286	0.025	0.193714285714286	0.158	0.0904285714285714	0.0964285714285714	0.149	0.0641428571428571
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.0791428571428571	0.0415714285714286	0.0665714285714286	0.0385714285714286	0.0417142857142857	0.0494285714285714	0.066	0.0961428571428571	0.129571428571429	0.0715714285714286	0.0822857142857143	0.0625714285714286	0.0554285714285714	0.119142857142857	0.0744285714285714	0.184857142857143	0.0718571428571429	0.109428571428571	0.0857142857142857	0.0457142857142857	0.0372857142857143	0.0477142857142857	0.0395714285714286	0.0201428571428571	0.0425714285714286	0.047	0.0412857142857143	0.067	0.0661428571428571	0.161714285714286	0.0525714285714286	0.0888571428571429	0.0938571428571429	0.108714285714286	0.140714285714286	0.0948571428571429	0.089	0.0591428571428571	0.195714285714286	0.073	0.0715714285714286	0.0321428571428571	0.039	0.0467142857142857	0.0837142857142857	0.0925714285714286	0.0322857142857143	0.0722857142857143	0.0755714285714286	0.048	0.0524285714285714	0.0647142857142857	0.0201428571428571	0.0408571428571429	0.0272857142857143	0.067	0.0522857142857143	0.0354285714285714	0.0567142857142857	0.0104285714285714	0.0105714285714286	0.0677142857142857	0.028	0.0525714285714286	0.0348571428571429	0.0327142857142857	0.0395714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.00642857142857143	0.0287142857142857	0.001	0.00371428571428571	0.00128571428571429	0.000142857142857143	0.00185714285714286	0.00142857142857143	0.00914285714285714	0.0151428571428571	0.00228571428571429	0.00285714285714286	0.00571428571428571	0.0238571428571429	0.00414285714285714	0.000428571428571429	0.00142857142857143	0.006	0.002	0.0244285714285714	0.0158571428571429	0.0914285714285714	0.0224285714285714	0.000428571428571429	0.00314285714285714	0.008	0.00771428571428571	0.00671428571428571	0.00271428571428571	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.017	0.00342857142857143	0.00328571428571429	0.004	0.158714285714286	0.000571428571428571	0.00657142857142857	0.0125714285714286	0.318428571428571	0.00542857142857143	0.0154285714285714	0.00185714285714286	0.00528571428571429	0.00414285714285714	0.00157142857142857	0.066	0.0134285714285714	0.00328571428571429	0.00114285714285714	0.00171428571428571	0.004	0.0402857142857143	0.00142857142857143	0.0221428571428571	0.00114285714285714	0.00542857142857143	0.0131428571428571	0.619	0.854285714285714	0.006	0.0991428571428571	0.00271428571428571	0.00657142857142857	0.0141428571428571	0.0248571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0	0	0.000142857142857143	0.0108571428571429	0.000142857142857143	0.000142857142857143	0	0.0368571428571429	0.0465714285714286	0.000142857142857143	0	0.0101428571428571	0.000571428571428571	0.000714285714285714	0.00585714285714286	0.000571428571428571	0.001	0.0584285714285714	0	0.0877142857142857	0	0.000428571428571429	0	0	0.000142857142857143	0	0.000142857142857143	0	0.000428571428571429	0	0	0	0.0392857142857143	0.000142857142857143	0.0758571428571429	0	0.0861428571428571	0	0.000142857142857143	0	0	0.0702857142857143	0.0142857142857143	0.00157142857142857	0.00414285714285714	0.00385714285714286	0.0115714285714286	0.0221428571428571	0.0374285714285714	0.0364285714285714	0.016	0.00185714285714286	0.0708571428571429	0.0347142857142857	0.0385714285714286	0.0225714285714286	0.000714285714285714	0	0.000428571428571429	0	0	0.000285714285714286	0.000285714285714286	0.00142857142857143	0.00142857142857143	0.00371428571428571	0.001
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales"	0.00242857142857143	0.000285714285714286	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0.000571428571428571	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0.000142857142857143	0	0.00171428571428571	0	0.000285714285714286	0	0.00357142857142857	0	0	0.194428571428571	0.0678571428571429	0	0.000142857142857143	0	0	0.000285714285714286	0	0	0	0	0	0	0	0.143285714285714	0.000142857142857143	0	0	0.00428571428571429	0.001	0.109857142857143	0.0108571428571429	0.000285714285714286	0.00242857142857143	0.000142857142857143	0.00185714285714286	0.000857142857142857	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.003	0.000857142857142857	0.00285714285714286	0.00214285714285714	0.00685714285714286	0.00285714285714286	0.00814285714285714	0.00214285714285714	0.0114285714285714	0.00457142857142857	0.00171428571428571	0.00157142857142857	0.00485714285714286	0.00242857142857143	0.00628571428571429	0.000571428571428571	0.00385714285714286	0.00457142857142857	0.00214285714285714	0.00328571428571429	0.002	0.00957142857142857	0.00171428571428571	0.00357142857142857	0.00357142857142857	0.00228571428571429	0.00485714285714286	0.00442857142857143	0.00157142857142857	0.00171428571428571	0.00457142857142857	0.00185714285714286	0.00314285714285714	0.000571428571428571	0.002	0.00257142857142857	0.00671428571428571	0.00771428571428571	0.00128571428571429	0.00428571428571429	0.003	0.00342857142857143	0.00542857142857143	0.00342857142857143	0.0178571428571429	0.00371428571428571	0.00628571428571429	0.00428571428571429	0.00357142857142857	0.004	0.0124285714285714	0.0347142857142857	0.00185714285714286	0.00142857142857143	0.00357142857142857	0.00142857142857143	0.00242857142857143	0.00114285714285714	0.000714285714285714	0.000142857142857143	0.000428571428571429	0.00114285714285714	0.00471428571428571	0.00114285714285714	0.002	0.00128571428571429	0.00314285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00242857142857143	0.00957142857142857	0.000428571428571429	0.00185714285714286	0.001	0.00314285714285714	0.00342857142857143	0.00842857142857143	0.00128571428571429	0.002	0.000857142857142857	0.00314285714285714	0.00314285714285714	0.00128571428571429	0.004	0.000285714285714286	0.000428571428571429	0.00157142857142857	0.000142857142857143	0.00171428571428571	0.00771428571428571	0.011	0.00514285714285714	0.00142857142857143	0.00257142857142857	0.00257142857142857	0.00285714285714286	0.00442857142857143	0.00214285714285714	0.00185714285714286	0.000428571428571429	0.000714285714285714	0.00314285714285714	0.002	0.00157142857142857	0.000428571428571429	0.00142857142857143	0.001	0.000142857142857143	0.0272857142857143	0.0132857142857143	0.000428571428571429	0.00228571428571429	0.00471428571428571	0.00442857142857143	0.00671428571428571	0.00285714285714286	0.00557142857142857	0.00157142857142857	0.00314285714285714	0.002	0.00128571428571429	0.00171428571428571	0.0135714285714286	0.00714285714285714	0.00771428571428571	0.00257142857142857	0.00142857142857143	0.00771428571428571	0.000142857142857143	0.00228571428571429	0.00214285714285714	0.00485714285714286	0.00985714285714286	0.00185714285714286	0.00557142857142857	0.0222857142857143
