"Taxa"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"k__Bacteria|p__Firmicutes"	0.712285714285714	0.667428571428571	0.639571428571429	0.867285714285714	0.765	0.746714285714286	0.682857142857143	0.701	0.520714285714286	0.762	0.710571428571429	0.791428571428571	0.802	0.584142857142857	0.785142857142857	0.585285714285714	0.714	0.561428571428571	0.758714285714286	0.494571428571429	0.647	0.478	0.680428571428571	0.832	0.677857142857143	0.647571428571429	0.714142857142857	0.636714285714286	0.822857142857143	0.649857142857143	0.715	0.634142857142857	0.603142857142857	0.616	0.508857142857143	0.667714285714286	0.454571428571429	0.737285714285714	0.570857142857143	0.508285714285714	0.434142857142857	0.736428571428571	0.601142857142857	0.746428571428571	0.73	0.723857142857143	0.731428571428571	0.589428571428571	0.568	0.530285714285714	0.730714285714286	0.663714285714286	0.733	0.474714285714286	0.799714285714286	0.741428571428571	0.775857142857143	0.654	0.699571428571429	0.151428571428571	0.073	0.762714285714286	0.748	0.865571428571429	0.801714285714286	0.655142857142857	0.663428571428571
"k__Bacteria|p__Bacteroidota"	0.186142857142857	0.256	0.276714285714286	0.0854285714285714	0.175	0.194142857142857	0.226	0.181142857142857	0.320714285714286	0.141	0.196428571428571	0.136714285714286	0.126285714285714	0.264285714285714	0.122285714285714	0.220142857142857	0.184571428571429	0.311714285714286	0.148142857142857	0.424	0.291571428571429	0.334428571428571	0.246285714285714	0.138571428571429	0.262142857142857	0.265	0.224428571428571	0.276142857142857	0.101714285714286	0.178428571428571	0.219285714285714	0.266571428571429	0.273857142857143	0.263571428571429	0.335	0.226285714285714	0.271714285714286	0.189571428571429	0.218	0.153571428571429	0.0725714285714286	0.213142857142857	0.318571428571429	0.193857142857143	0.155857142857143	0.169	0.213428571428571	0.259857142857143	0.310571428571429	0.392714285714286	0.190428571428571	0.216142857142857	0.231714285714286	0.284285714285714	0.153428571428571	0.158571428571429	0.158142857142857	0.284428571428571	0.217571428571429	0.0312857142857143	0.00985714285714286	0.15	0.109714285714286	0.0725714285714286	0.144	0.280428571428571	0.233
"k__Bacteria|p__Proteobacteria"	0.0972857142857143	0.0754285714285714	0.0805714285714286	0.0442857142857143	0.0468571428571429	0.0555714285714286	0.0774285714285714	0.114	0.146142857142857	0.0914285714285714	0.0901428571428571	0.0698571428571429	0.0644285714285714	0.146857142857143	0.081	0.193571428571429	0.0902857142857143	0.121571428571429	0.0904285714285714	0.077	0.0564285714285714	0.150285714285714	0.0667142857142857	0.0234285714285714	0.0532857142857143	0.081	0.0547142857142857	0.0767142857142857	0.073	0.168285714285714	0.0605714285714286	0.0952857142857143	0.118	0.117285714285714	0.153	0.102428571428571	0.266571428571429	0.0648571428571429	0.208	0.330142857142857	0.487142857142857	0.0465714285714286	0.0685714285714286	0.0544285714285714	0.0952857142857143	0.101714285714286	0.0434285714285714	0.144142857142857	0.117142857142857	0.0651428571428571	0.0625714285714286	0.0805714285714286	0.0298571428571429	0.236285714285714	0.0412857142857143	0.0971428571428571	0.0595714285714286	0.059	0.0808571428571429	0.816571428571429	0.914142857142857	0.0822857142857143	0.135428571428571	0.059	0.0511428571428571	0.0568571428571429	0.0798571428571429
"k__Bacteria|p__Actinobacteria"	0.00314285714285714	0.000857142857142857	0.00285714285714286	0.00214285714285714	0.00742857142857143	0.00285714285714286	0.00885714285714286	0.00214285714285714	0.0117142857142857	0.00457142857142857	0.00171428571428571	0.00171428571428571	0.00485714285714286	0.00242857142857143	0.00671428571428571	0.000714285714285714	0.00457142857142857	0.00471428571428571	0.00214285714285714	0.00357142857142857	0.00271428571428571	0.0108571428571429	0.00214285714285714	0.00357142857142857	0.00414285714285714	0.00271428571428571	0.005	0.00514285714285714	0.00185714285714286	0.00185714285714286	0.00485714285714286	0.00185714285714286	0.00314285714285714	0.000714285714285714	0.002	0.00285714285714286	0.00685714285714286	0.00785714285714286	0.00157142857142857	0.00442857142857143	0.00485714285714286	0.00342857142857143	0.00571428571428571	0.00357142857142857	0.0178571428571429	0.00428571428571429	0.00642857142857143	0.00442857142857143	0.00371428571428571	0.00442857142857143	0.0124285714285714	0.0355714285714286	0.002	0.00171428571428571	0.00371428571428571	0.00171428571428571	0.00271428571428571	0.00114285714285714	0.00114285714285714	0.000428571428571429	0.000571428571428571	0.00128571428571429	0.00557142857142857	0.00171428571428571	0.00228571428571429	0.00128571428571429	0.00314285714285714
"k__Bacteria|p__Tenericutes"	0.00114285714285714	0.000142857142857143	0	0.000857142857142857	0.00385714285714286	0.000285714285714286	0.00428571428571429	0.00171428571428571	0.000714285714285714	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.00228571428571429	0.00114285714285714	0.00471428571428571	0.000142857142857143	0.00657142857142857	0.000428571428571429	0.000571428571428571	0.000857142857142857	0.00214285714285714	0.00128571428571429	0.00357142857142857	0.002	0.00214285714285714	0.00228571428571429	0.00114285714285714	0.00414285714285714	0.000142857142857143	0.00142857142857143	0.000142857142857143	0.000285714285714286	0.00185714285714286	0.00214285714285714	0.00114285714285714	0.000714285714285714	0.000285714285714286	0.000285714285714286	0.00142857142857143	0	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000714285714285714	0	0.00185714285714286	0.000428571428571429	0	0.000142857142857143	0.001	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.00371428571428571	0.000857142857142857	0.000714285714285714	0.000142857142857143	0	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Fusobacteria"	0	0.000142857142857143	0.000285714285714286	0	0.00142857142857143	0.000285714285714286	0.000285714285714286	0	0	0.000857142857142857	0.001	0	0.000142857142857143	0.00114285714285714	0	0	0	0.000142857142857143	0	0	0	0.0231428571428571	0.000571428571428571	0	0	0.00142857142857143	0.000142857142857143	0.001	0.000285714285714286	0.000142857142857143	0	0.00142857142857143	0	0.000285714285714286	0	0	0	0	0.000142857142857143	0.00328571428571429	0.001	0	0	0.000285714285714286	0	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.000714285714285714	0	0.00114285714285714	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0.000285714285714286	0	0.000142857142857143	0.00228571428571429	0.00271428571428571	0.000571428571428571	0.000285714285714286	0.000428571428571429	0.00528571428571429	0.02
"k__Bacteria|p__Spirochaetes"	0	0	0	0	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0.002	0.000285714285714286	0.000428571428571429	0.000428571428571429	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000428571428571429	0	0	0	0	0	0.000142857142857143	0	0.000285714285714286	0	0	0.00542857142857143	0.001	0.000857142857142857	0.000285714285714286	0.00414285714285714	0	0	0.00642857142857143	0.00342857142857143	0.00185714285714286	0.00214285714285714	0.00285714285714286	0.00128571428571429	0.000428571428571429	0	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Lentisphaerae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0	0	0	0	0	0	0.000142857142857143	0	0.000857142857142857	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Synergistetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0.000714285714285714	0.000142857142857143	0	0.000285714285714286	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Cyanobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
