"Taxa"	"hdz.095"	"hdz.005"	"hdz.004"	"hdz.019"	"hdz.025"	"hdz.002"	"hdz.023"	"hdz.001"	"hdz.050"	"hdz.036"	"hdz.067"	"hdz.186"	"hdz.183"	"hdz.195"	"hdz.161"	"hdz.162"	"hdz.170"	"hdz.099"	"hdz.101"	"hdz.096"	"hdz.106"	"hdz.193"	"hdz.259"	"hdz.251"	"hdz.323"	"hdz.246"	"hdz.247"	"hdz.209"	"hdz.207"	"hdz.260"	"hdz.205"	"hdz.208"	"hdz.194"	"hdz.200"	"hdz.239"	"hdz.199"	"hdz.307"	"hdz.315"	"hdz.306"	"hdz.331"	"hdz.303"	"hdz.312"	"hdz.313"	"hdz.333"	"hdz.332"	"hdz.325"	"hdz.242"	"hdz.334"	"hdz.302"	"hdz.232"	"hdz.309"	"hdz.344"	"hdz.409"	"hdz.346"	"hdz.210"	"hdz.393"	"hdz.340"	"hdz.349"	"hdz.406"	"hdz.391"	"hdz.316"	"hdz.223"	"hdz.217"	"hdz.228"	"hdz.403"	"hdz.402"	"hdz.387"	"hdz.378"	"hdz.379"	"hdz.359"	"hdz.355"	"hdz.360"	"hdz.380"	"hdz.451"	"hdz.453"	"hdz.449"	"hdz.448"	"hdz.439"	"hdz.432"	"hdz.440"	"hdz.443"	"hdz.165"	"hdz.214"	"hdz.446"	"hdz.447"	"hdz.475"	"hdz.441"	"hdz.464"	"hdz.164"	"hdz.474"	"hdz.415"	"hdz.171"	"hdz.159"	"hdz.463"	"hdz.158"	"hdz.461"	"hdz.466"	"hdz.488"	"hdz.483"	"hdz.479"	"hdz.487"
"animal_parasites_or_symbionts"	0.238143403011913	0.2187853335487	0.223340961098398	0.252759911682826	0.304333221363789	0.156756222836823	0.219273359568042	0.174633082110274	0.37740600827487	0.516415604480494	0.278475826276974	0.351145822628712	0.250843644544432	0.198140282401561	0.348148148148148	0.258199947520336	0.272908366533864	0.330580462482303	0.259195117928418	0.289647369413539	0.261521778420387	0.324742268041237	0.352238805970149	0.322281713344316	0.414879050661798	0.325864626434538	0.389258950874271	0.173774954627949	0.33793686583991	0.411835026897788	0.342179711706857	0.321784049388938	0.324837882672297	0.380552546045504	0.262549800796813	0.220061940812113	0.362311955661124	0.308057553956835	0.334103062712688	0.390322580645161	0.388491914253479	0.416224970553593	0.341750192752506	0.363822027716995	0.388074291300098	0.475605143721634	0.15877214073896	0.350223015165031	0.35971313537997	0.121384330502522	0.110326594090202	0.06111645813282	0.261017375975825	0.287226605412963	0.252846990324514	0.2105709783004	0.168105139270302	0.132073349083136	0.18637731375946	0.198161815903078	0.208160360574072	0.16726618705036	0.0849050180431674	0.380255941499086	0.173999086618968	0.232549629494099	0.249282351590309	0.327325646479346	0.0570681768677848	0.156024803083627	0.0646569646569646	0.121432568550644	0.140765991578103	0.12958575046981	0.153182957393484	0.189674523007856	0.213114754098361	0.0972155313614028	0.121746227447167	0.191960352422908	0.181164486167982	0.192538873644322	0.201811125485123	0.161300848379378	0.259729944400318	0.27722024387612	0.219392033542977	0.191096922940498	0.207451312447079	0.233630792387915	0.158577085196066	0.127823092260286	0.0605846132068795	0.166511411271542	0.123387216372534	0.163591359135914	0.301985219533401	0.243447037701975	0.273390842733908	0.254332496713278	0.256410256410256
"chemoheterotrophy"	0.174308833445718	0.155709901469876	0.195881006864989	0.164346740904291	0.199193819281156	0.238048202291584	0.165004118239224	0.203292344307814	0.171613599568268	0.149285438393202	0.21414913957935	0.179940396670435	0.174775028121485	0.212260360463781	0.176201733648542	0.195617948045133	0.207352408547628	0.187352524775838	0.155203694540656	0.18404676598152	0.172420025302729	0.179553264604811	0.170149253731343	0.192236408566722	0.154723870378822	0.180185806854555	0.148487371634749	0.169691470054446	0.15163472378805	0.157202630005977	0.157348780816382	0.165553735668389	0.16392700950083	0.144366197183099	0.145019920318725	0.196662078458362	0.157086302454473	0.159424460431655	0.170150704910063	0.152122241086587	0.163469976181522	0.147526501766785	0.19757131842714	0.152881108679796	0.150258343806731	0.127080181543116	0.169391680692474	0.170740410347904	0.149219929542023	0.225783794138305	0.14606531881804	0.269764883816857	0.226769075799547	0.174373314690902	0.187772925764192	0.226815371560189	0.225088269909769	0.200022499718753	0.200419440138598	0.227544910179641	0.211718657336022	0.188039568345324	0.258459862463403	0.153042569861583	0.211599939107931	0.184155155063581	0.174532093236881	0.195790887719691	0.228795469396646	0.195072900955254	0.252875952875953	0.241074426412983	0.225486264287147	0.229920745158918	0.235989974937343	0.230148709315376	0.226849800620292	0.264861740052028	0.12572281938632	0.198788546255507	0.205932288025567	0.191624199660264	0.221791001868622	0.220578638242332	0.186656076250993	0.165533613898781	0.188993710691824	0.192161035736455	0.192492238216201	0.216428341038598	0.195938178566867	0.142305600870038	0.130752353315875	0.219841639496973	0.172845914281477	0.24009900990099	0.185915084770323	0.209156193895871	0.190223401902234	0.179514760368113	0.190969899665552
"fermentation"	0.169813441222747	0.154013891132289	0.1941647597254	0.160890851492752	0.195162915686933	0.234887396286053	0.162350141850462	0.196251487504958	0.166216945493794	0.141753572808034	0.19857962305381	0.175521529133696	0.173368953880765	0.210653197107106	0.172734436564224	0.192993964838625	0.205541470481709	0.184285040113261	0.153636813458684	0.181783895907977	0.167901680824146	0.153951890034364	0.163701492537314	0.188735584843493	0.151072569602921	0.178077913966742	0.14571190674438	0.165562613430127	0.146984216459978	0.152420800956366	0.148592213390812	0.137205493259418	0.15834715729151	0.141657638136511	0.099800796812749	0.191844459738472	0.149485352335709	0.149352517985612	0.164316966456004	0.145840407470289	0.157828757678325	0.144876325088339	0.192559753276793	0.148942377826404	0.14676721128334	0.123676248108926	0.166867035345035	0.165744870651204	0.146074484146955	0.0964817061490326	0.124665629860031	0.265502543654613	0.223117602618988	0.166883052032358	0.179809915232469	0.222572433022185	0.214888191447627	0.197041286983913	0.197045682502052	0.223367219050272	0.209465069386787	0.185161870503597	0.253829917614217	0.151214416296683	0.196148576647892	0.178483212880798	0.166838902284993	0.173513937087205	0.226138096275321	0.179738562091503	0.248579348579348	0.234806939003917	0.220673751754562	0.220606258681265	0.233182957393484	0.12317620650954	0.212376310736967	0.254359764909914	0.12388212617431	0.191189427312775	0.196943972835314	0.181366784267607	0.215753916918212	0.21883837285186	0.184273232724384	0.155929642818604	0.186582809224319	0.185599006828057	0.187200112898673	0.186646597140093	0.191148294801379	0.119412724306688	0.125260103333569	0.216930600838379	0.169731573483613	0.234923492349235	0.178379944935517	0.196768402154399	0.183145321831453	0.175809728696068	0.176811594202899
"anaerobic_chemoheterotrophy"	0.16700382108339	0.143595541915684	0.1941647597254	0.160890851492752	0.194827007054081	0.234887396286053	0.162258625423263	0.195160650535502	0.165677280086346	0.141174198532252	0.198443048347446	0.173466241907307	0.158745781777278	0.210538399724486	0.171946414499606	0.190763579113094	0.204817095255342	0.182633317602643	0.146627082302491	0.181783895907977	0.167720947045003	0.153951890034364	0.162865671641791	0.186985172981878	0.151072569602921	0.170505113592006	0.140993616430752	0.137840290381125	0.142051860202931	0.151823072325164	0.147245049171494	0.133425727604888	0.155029407329211	0.140032502708559	0.0962151394422311	0.1906400550585	0.148693586698337	0.148920863309353	0.164073894020418	0.144821731748727	0.15695123480005	0.141637220259128	0.191788743253662	0.148212983223924	0.142996788158079	0.118003025718608	0.161697523443135	0.165388046387154	0.145193759436336	0.092012004341996	0.0674650077760498	0.265502543654613	0.219969780911609	0.166783181863577	0.179809915232469	0.22220875257607	0.213220870929776	0.197041286983913	0.193033646393727	0.221139117114608	0.209465069386787	0.183543165467626	0.253149043371689	0.150300339514234	0.196148576647892	0.177842832311774	0.160868067516362	0.173290048136125	0.22552820736223	0.179738562091503	0.248579348579348	0.227756015668718	0.2205734910768	0.220361140616063	0.230576441102757	0.120861391694725	0.212376310736967	0.253203584160324	0.116033132477816	0.184691629955947	0.195945271147508	0.180909447275578	0.215466436682478	0.215357842070916	0.178872120730739	0.154310996007338	0.185534591194969	0.182140640241199	0.186917866215072	0.186109020535426	0.170008941116362	0.00552836686605039	0.0598910043173614	0.216115510013973	0.132952691680261	0.233348334833483	0.178090131864947	0.190843806104129	0.172417606724176	0.175809728696068	0.164437012263099
"human_associated"	0.073387278040009	0.0751897916330157	0.0543478260869565	0.0734376499952002	0.0258649647295936	0.0364480442512841	0.0776974466916812	0.0650535501785006	0.0365173592372729	0.0115874855156431	0.0278612400983338	0.0308293083958483	0.0604611923509561	0.048214900700264	0.039558707643814	0.0498556809236421	0.0291561028612821	0.0323265691363851	0.0856836549562923	0.0465774090137658	0.0736490150009037	0.0489690721649484	0.0416716417910448	0.0289332784184514	0.0403925148334094	0.023421032086814	0.0438523452678324	0.0912885662431942	0.0570744081172492	0.0358637178720861	0.0608918227131887	0.0613581957918609	0.0544412607449857	0.0591820151679307	0.0464143426294821	0.059532002752925	0.0560570071258907	0.0703597122302158	0.0504375303840545	0.0460101867572156	0.0299611382725335	0.0428445229681979	0.019757131842714	0.0576221735959154	0.0525066331517944	0.045196671709531	0.0766610563436723	0.039964317573595	0.0611474584801208	0.0284783857991188	0.0859097978227061	0.0285301801182456	0.017124150088139	0.058523918905423	0.0587379056426064	0.0350345496423809	0.0508042369556689	0.0795365057936776	0.0594510805142701	0.035510374599638	0.0474439568259993	0.0726618705035971	0.0316606522775243	0.0275528858709846	0.0627188308722789	0.0691611014545787	0.0726834309335171	0.0342550095152804	0.0410803746460466	0.0731523378582202	0.0460845460845461	0.0404029099048685	0.0510326849809505	0.0558869188659204	0.0411027568922306	0.0523288439955107	0.0366267907251514	0.0335292417381251	0.113984058902183	0.0468061674008811	0.0432437830819934	0.0704952306285117	0.0452781371280725	0.0520991951272569	0.0548054011119937	0.0672277975612388	0.0477987421383648	0.0699654163341314	0.0671041490262489	0.0449414041500914	0.0562651679652574	0.122856624977343	0.0591832401443839	0.0543782021425245	0.0645854960699985	0.0369036903690369	0.0460802782205477	0.0402154398563734	0.0451227604512276	0.0662125014939644	0.0574136008918618
"human_gut"	0.0711395819285233	0.0743821676627362	0.0541189931350114	0.073053662282807	0.0191467920725563	0.0358553931252469	0.0776974466916812	0.0647560491868306	0.0365173592372729	0.0110081112398609	0.0269052171537831	0.0265132052204296	0.0579302587176603	0.0391459074733096	0.0371946414499606	0.049462083442666	0.0266207895689967	0.0304388862671071	0.0791687283523008	0.0399773712992646	0.0721127778781854	0.0391752577319588	0.0389253731343284	0.0269769357495881	0.0362848014605203	0.018502615348583	0.038578961976131	0.0849364791288566	0.0494644870349493	0.0355648535564854	0.0561767479455746	0.0579564067027844	0.0503694767003469	0.052546045503792	0.0320717131474104	0.0572952512044047	0.0555819477434679	0.0699280575539568	0.0483714146815751	0.0436332767402377	0.0205591074338724	0.0428445229681979	0.0184078643022359	0.0571845368344275	0.0513894707443095	0.0446293494704992	0.0444016991263926	0.0390722569134701	0.0535983895319577	0.019666687950961	0.0623950233281493	0.0285301801182456	0.0167464114832536	0.0451413162888245	0.051374261494991	0.0338222814886653	0.0464888191447627	0.0790302621217235	0.0594510805142701	0.035092605486701	0.0474439568259993	0.0722122302158273	0.0303669912167223	0.00874902063201881	0.0624143705282387	0.0683377550086909	0.0724537834424159	0.0342550095152804	0.0410803746460466	0.0729847494553377	0.0457380457380457	0.0398433128147734	0.0507319029476639	0.0553149767137838	0.0407017543859649	0.0259539842873176	0.0358883473637572	0.0326621061759322	0.0495771615121469	0.0411894273127753	0.0372515729551583	0.0620018293479681	0.0452781371280725	0.0480748314117903	0.0528991262907069	0.0625876767022769	0.0449685534591195	0.0653542608849872	0.0667513406717471	0.0436512202988926	0.045599693447439	0.112325539242342	0.0525019463514757	0.0540288775034932	0.046121904196945	0.0362286228622862	0.0452108390088393	0.0398563734290844	0.0446803804468038	0.0653758814389865	0.0560758082497213
"mammal_gut"	0.0711395819285233	0.0743821676627362	0.0541189931350114	0.073053662282807	0.0191467920725563	0.0358553931252469	0.0776974466916812	0.0647560491868306	0.0365173592372729	0.0110081112398609	0.0269052171537831	0.0265132052204296	0.0579302587176603	0.0391459074733096	0.0371946414499606	0.049462083442666	0.0266207895689967	0.0304388862671071	0.0791687283523008	0.0399773712992646	0.0721127778781854	0.0391752577319588	0.0389253731343284	0.0269769357495881	0.0362848014605203	0.018502615348583	0.038578961976131	0.0849364791288566	0.0494644870349493	0.0355648535564854	0.0561767479455746	0.0579564067027844	0.0503694767003469	0.052546045503792	0.0320717131474104	0.0572952512044047	0.0555819477434679	0.0699280575539568	0.0483714146815751	0.0436332767402377	0.0205591074338724	0.0428445229681979	0.0184078643022359	0.0571845368344275	0.0513894707443095	0.0446293494704992	0.0444016991263926	0.0390722569134701	0.0535983895319577	0.019666687950961	0.0623950233281493	0.0285301801182456	0.0167464114832536	0.0451413162888245	0.051374261494991	0.0338222814886653	0.0464888191447627	0.0790302621217235	0.0594510805142701	0.035092605486701	0.0474439568259993	0.0722122302158273	0.0303669912167223	0.00874902063201881	0.0624143705282387	0.0683377550086909	0.0724537834424159	0.0342550095152804	0.0410803746460466	0.0729847494553377	0.0457380457380457	0.0398433128147734	0.0507319029476639	0.0553149767137838	0.0407017543859649	0.0259539842873176	0.0358883473637572	0.0326621061759322	0.0495771615121469	0.0411894273127753	0.0372515729551583	0.0620018293479681	0.0452781371280725	0.0480748314117903	0.0528991262907069	0.0625876767022769	0.0449685534591195	0.0653542608849872	0.0667513406717471	0.0436512202988926	0.045599693447439	0.112325539242342	0.0525019463514757	0.0540288775034932	0.046121904196945	0.0362286228622862	0.0452108390088393	0.0398563734290844	0.0446803804468038	0.0653758814389865	0.0560758082497213
"aerobic_chemoheterotrophy"	0.00730501236232861	0.0120335971571636	0.0017162471395881	0.00335989248344053	0.00436681222707424	0.00316080600553141	0.00274549281596046	0.00813169377231258	0.00593631948192121	0.00811123986095017	0.0157060912319039	0.00657691912444764	0.016029246344207	0.00172196073929514	0.00425531914893617	0.00485436893203884	0.00235421948569359	0.0047192071731949	0.00857661223816593	0.00226287007354328	0.00469907825772637	0.0256013745704467	0.00716417910447762	0.00514827018121911	0.00387950707439525	0.00968069326254977	0.00749375520399667	0.0318511796733212	0.00972378804960542	0.00537955768081291	0.0101037316448875	0.0320020158750157	0.00889760217161816	0.00433369447453955	0.048804780876494	0.00602202339986235	0.00839271575613619	0.0105035971223022	0.00607681088964512	0.00730050933786078	0.00651874138147173	0.00588928150765607	0.00578257517347726	0.00466812545587163	0.00726155564865242	0.00926626323751891	0.00769415724933878	0.00535236396074933	0.00402617010568697	0.133771789796309	0.0786003110419907	0.00419359274027224	0.00679929488793755	0.00759013282732448	0.00796301053172361	0.00472784579949085	0.0117693213024716	0.00292496343795702	0.00738579374487098	0.00640579306503273	0.00225358794923497	0.0045863309352518	0.00531081909171376	0.00261164794985636	0.0154513624600396	0.00631232275180679	0.013664025720519	0.0225008395835665	0.00326726203441516	0.0153343388637506	0.00422730422730423	0.0133184107442641	0.0049127732103469	0.00955960454285481	0.00541353383458647	0.109287317620651	0.014473489883326	0.0115618074959052	0.00970705193880564	0.0142070484581498	0.00998701687805853	0.0107147523846857	0.00632456518614345	0.00511202958451164	0.00778395552025417	0.0112226178914428	0.00356394129979036	0.0100203954952558	0.00550381033022862	0.0303193205031717	0.0259931025673777	0.136759108210984	0.0708471937150541	0.00372612948299953	0.0398932226012161	0.00675067506750675	0.00782495290537603	0.018491921005386	0.0179163901791639	0.00358551452133381	0.0265328874024526
"human_pathogens_all"	0.00393346819510002	0.0193829752867065	0.00675057208237986	0.00259191705865412	0.012428619415519	0.00612406163571711	0.00137274640798023	0.00515668385561285	0.000359776938298255	0.00231749710312862	0.00177547118273696	0.00482992498201624	0.0061867266591676	0.00906899322695443	0.00315208825847124	0.00065599580162687	0.00633828323071351	0.00235960358659745	0.0118753092528451	0.00716575523288704	0.00153623712271824	0.00979381443298969	0.00346268656716418	0.00329489291598023	0.00410771337288909	0.00679209930517605	0.00582847626977519	0.00798548094373866	0.0108511837655017	0.000597728631201434	0.00538865687727334	0.00440972659695099	0.00557985220931986	0.00744853737811485	0.0150398406374502	0.0030970406056435	0.000475059382422803	0.000431654676258993	0.00218765192027224	0.0033955857385399	0.0218127115456939	0.000294464075382803	0.00144564379336931	0.000729394602479942	0.00111716240748499	0.00056732223903177	0.0537789532740242	0.00124888492417484	0.0078007045797685	0.00913096226294617	0.0344323483670296	0.000549979375773408	0.00226643162931252	0.0135823429541596	0.00753489168593202	0.00157594859983028	0.00833660258925069	0.000843739453256834	0.00182365277651135	0.000974794596852807	0.00118609892064998	0.00197841726618705	0.00183836045482399	0.0191956124314442	0.00159841680621099	0.00182965876863965	0.00149270869215754	0	0.0082770638205184	0.010306686777275	0.0105336105336105	0.000559597090095131	0.00190495287748145	0.00196094452161124	0.00050125313283208	0.0295314253647587	0.00118150937823069	0.00240870989498025	0.110215847326654	0.0078193832599119	0.00858883451513033	0.00862406899255194	0	0.0133782901892539	0.00238284352660842	0.00507176000863278	0.00670859538784067	0.00789216990334309	0.000493931696302568	0.00258036770239759	0.0165410652701494	0.0113286206271524	0.00934248708330384	0.000931532370749884	0.0302535963221118	0.00292529252925292	0.00202869149398638	0.000538599640933573	0.0046449900464499	0.00215130871280029	0.00434782608695652
"nitrate_reduction"	0.00202292650033715	0.0146179938620578	0.00022883295194508	0.00710377267927427	0.00738998992274101	0.00029632556301857	0.00366065708794729	0.000198333994446648	0	0.00154499806875241	0.00095602294455067	0.00308293083958483	0.0108267716535433	0.00286993456549191	0.00110323089046493	0.00104959328260299	0.00398406374501992	0.00896649362907031	0.00569025235032162	0.00188572506128606	0.000632568227001627	0.000515463917525773	0.00155223880597015	0.00401565074135091	0	0.0116324459364509	0.00721620871495975	0.00780399274047187	0.0195885005636979	0.00149432157800359	0.00134716421931833	0.00478770316240393	0.0067863067410647	0.00108342361863489	0.0349601593625498	0.00344115622849277	0	0.00100719424460432	0.00121536217792902	0.00594227504244482	0.0115331578287577	0.00191401648998822	0.00144564379336931	0.000437636761487965	0.000698226504678118	0.00132375189107413	0.0318185461248698	0.00231935771632471	0.000251635631605435	0.0251580358853202	0.0401555209953344	0.000206242265915028	0.0025182573659028	0.000299610506341756	0.000428118845791592	0.000363680446114681	0.00137308748528835	0	0.003373757636546	0.00278512741957945	0	0.00305755395683453	0.00102131136379111	0.0104465917994254	0	0.00320190284511939	0.00597083476863015	0.00055972237770066	0	0.000251382604323781	0.000138600138600139	0.00872971460548405	0.00120312813314618	0.000653648173870414	0.00050125313283208	0.0272166105499439	0.000738443361394181	0.00028904518739763	0.0739750290864258	0.0123348017621145	0.0128832517726955	0.00274402195217562	0.00043122035360069	0.00500326299760714	0.00270055599682288	0.00377684255962016	0.0121593291404612	0.00540924004611155	0.000352808354501834	0.00182776045586496	0.0167326606207689	0.0139206090266449	0.0697713921721282	0.000815090824406148	0.034776805576153	0.00157515751575157	0.000289813070569483	0.00305206463195691	0.0059721300597213	0.00143420580853352	0.00334448160535117
