"Taxa"	"warble_1"	"warble_2"	"warble_3"	"warble_4"	"warble_6"	"warble_7"	"warble_9"	"warble_10"	"warble_12"	"warble_14"	"warble_15"	"warble_20"	"warble_33"	"warble_42"	"warble_43"	"warble_45"	"warble_49"	"warble_50"	"warble_52"	"warble_53"	"warble_54"	"warble_57"	"warble_58"	"warble_60"	"warble_63"	"warble_68"	"warble_69"	"warble_73"	"warble_80"	"warble_83"	"warble_84"	"warble_85"	"warble_87"	"warble_88"	"warble_89"	"warble_90"	"warble_93"	"warble_94"	"warble_95"	"warble_96"	"warble_97"	"warble_100"	"warble_101"	"warble_103"	"warble_104"	"warble_106"	"warble_107"	"warble_108"	"warble_109"	"warble_110"	"warble_111"	"warble_112"	"warble_114"	"warble_117"	"warble_118"	"warble_119"	"warble_120"	"warble_121"	"warble_122"	"warble_123"	"warble_125"	"warble_126"	"warble_127"	"warble_135"	"warble_136"	"warble_137"	"warble_139"	"warble_140"	"warble_141"	"warble_144"	"warble_145"	"warble_147"	"warble_148"	"warble_149"	"warble_150"	"warble_151"	"warble_152"	"warble_153"	"warble_154"	"warble_157"	"warble_158"	"warble_159"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"warble_173"	"warble_178"	"warble_180"	"warble_181"	"warble_185"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"warble_192"	"warble_197"	"warble_200"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"
"Metabolism|Global and overview maps"	0.385594200675835	0.38069923961072	0.384883530970504	0.389716709005089	0.39961881981343	0.387440448721108	0.383342370296385	0.375353870006946	0.383185378090145	0.398190920138914	0.396903148162241	0.395543200872608	0.392484961654922	0.392011452909046	0.392831879313967	0.383176496772113	0.390589772557937	0.387978860766281	0.397793702596419	0.392702040763169	0.392676528645523	0.400496297527669	0.389326638159679	0.385510796902024	0.392740324426374	0.391282826339972	0.392066257451095	0.397769044092658	0.387630496716699	0.390297021370477	0.393786404769324	0.383764285391644	0.390189311617762	0.396528020768865	0.389713944514786	0.388850290721776	0.366472900954797	0.383752541345591	0.399874691898643	0.391390272170174	0.385253318882817	0.393864004669964	0.392106533013026	0.394417827522282	0.387957206795998	0.390682610992635	0.396058810101281	0.399400041506462	0.39127190553875	0.390776486925164	0.389479067190584	0.392141024894504	0.38814974944553	0.396406102362874	0.394311895626262	0.395014641923387	0.397946116151217	0.371673696180837	0.391966354560286	0.391649059010282	0.393632334968588	0.392067053331692	0.370556385844628	0.372189039297056	0.358723180971799	0.373645469112485	0.384862875634983	0.375916867658382	0.369644899790458	0.381491612648948	0.375352832229911	0.369004232983363	0.396916936074105	0.368068807501804	0.384978538001451	0.384731900186609	0.367787104595796	0.36048699197741	0.39081232017704	0.373033963242982	0.383534162399166	0.381492850936392	0.391864796820017	0.359104831178586	0.387443911646671	0.356670790336657	0.378569572944876	0.3620185804453	0.378706620845569	0.374647588751131	0.378068442490107	0.368065725605072	0.378370831126377	0.382565553439671	0.377093366387754	0.361106175845137	0.381790845402154	0.372700606590107	0.3782707827418	0.3986715447525	0.374509668262993	0.39096517532264	0.382100730756033	0.383980658047559	0.380062988985164	0.38197876028208	0.373888778358412	0.375766999916449	0.375442493538261	0.384603217896884	0.382799281175636	0.36507429969199	0.366683624664324	0.361291976095171	0.383519628400437	0.359955998894276	0.363427913971656	0.381631122518563	0.382235828024792	0.370907038871955	0.392614438494127	0.388844027441103	0.383925557172695	0.372558666045884	0.372909924429556	0.371730038461436	0.37941426460335	0.385018588934825	0.394959416381563	0.368156313192995	0.382227074099224	0.379024338849176	0.382199236937467	0.375898584639047	0.396321317163148	0.394235297898072	0.374025047892854	0.388024960865443
"Metabolism|Carbohydrate metabolism"	0.0963739210229674	0.106241310696089	0.0946302580989286	0.094764638447875	0.100141553926082	0.0997849525567958	0.100052090466312	0.103771920366595	0.100261755564743	0.0994514121022653	0.0889048767467742	0.0966641624007853	0.0918474164357518	0.0905141378768727	0.0999456101683672	0.101078846775215	0.0908177349108772	0.10287938325884	0.0942485034780535	0.101092726145652	0.0978412787469949	0.100665384264366	0.101056770221924	0.0953368546298899	0.0961006236411938	0.0887214861595302	0.091630338216453	0.0956077251297488	0.0983591577831775	0.0928195142590892	0.0919990608606372	0.100661464663022	0.106559363048102	0.10306137357924	0.0958957375712014	0.100323066613306	0.110764341018817	0.104442614907363	0.106669036096925	0.0996093912158762	0.0947586432664524	0.103579826628022	0.0959257051063751	0.0930027384779684	0.0997359973800139	0.0990121134217315	0.0861530082945747	0.0947054021629103	0.090940450706227	0.101788476452147	0.0948544984357615	0.090850121118807	0.0897908037938179	0.0918961537226121	0.0910593310431324	0.0847198904914712	0.0894431333075657	0.106484322527325	0.0956977394698194	0.0861717271419691	0.0956598533454131	0.0874030934773429	0.107135121364818	0.0992281663266184	0.110995083097471	0.0995408152764037	0.104141777533018	0.101926105848888	0.10750269553753	0.101594000543367	0.104842599418556	0.110447057384319	0.0891012318565346	0.108300187485896	0.0980622952397679	0.0934510266216552	0.10290650819919	0.11178123998928	0.0943059063861015	0.107870831821498	0.105156730250553	0.106915819436712	0.0966542907728283	0.110587633911906	0.094360273303157	0.112677214529559	0.0963942698656043	0.10951288486778	0.105287680212291	0.104478973391279	0.101036141071306	0.109521693675058	0.0940867352089727	0.108666297471753	0.102618809321817	0.119617699518121	0.0994188764502444	0.1022726245893	0.106053460705549	0.0939399284267893	0.117599091269929	0.101672663926753	0.0963353213750433	0.100972194499542	0.101378158417847	0.102013083662802	0.103230389127371	0.105598975456139	0.0969633909689223	0.0955624553708414	0.101393805537105	0.117506457429804	0.108925971480796	0.117158241613949	0.0957899027860839	0.113568148159943	0.115543236977258	0.0979827071341095	0.104752709844912	0.112248565648166	0.0996047169704622	0.0928934476228767	0.101831318328036	0.106534033047289	0.108498435771296	0.101284785423691	0.106063281744925	0.10780694957577	0.10384419984479	0.115453602987582	0.106091048214411	0.101729530676161	0.0985226547952232	0.110244834818812	0.0915931653860562	0.0963559705403942	0.108681490814905	0.0992151384611709
"Environmental Information Processing|Membrane transport"	0.0648574975907164	0.0703209429355158	0.0645233839220962	0.0563520555707583	0.0621327711408542	0.06352871739792	0.0669278143812804	0.0716855147942743	0.0694069929323406	0.0609334966547151	0.0575733821877675	0.0603449865711162	0.0604018625912921	0.0587126070549333	0.0619983174901784	0.0689803933111237	0.0569326070145582	0.0645587719142066	0.0580239792613664	0.0640103083374623	0.062968560622332	0.0603657005293004	0.0630666322326774	0.061533740292493	0.0610838873124209	0.0568924713141444	0.0585666968125856	0.0578817180200763	0.0639363323128246	0.0631093831833057	0.0603193142248817	0.0716672341773575	0.0688639257009841	0.0652198185893813	0.0638197545487442	0.0696120175890299	0.072202179513999	0.0705861152180528	0.0642547302044779	0.062863215795757	0.0620920810172829	0.0629541166651397	0.0620935370605942	0.0531617321401578	0.065824223966074	0.0667508142424579	0.0562516333037264	0.0577684624973871	0.0595726250246185	0.0656575516458808	0.0627975539363428	0.0586392576197378	0.0629596059214587	0.0583413844394101	0.0593900704598295	0.0554769353621302	0.0561591687471749	0.0750244004072042	0.0625787575638914	0.0579591520096175	0.0616003651316047	0.049069637983054	0.0742906524524604	0.0607037314663834	0.0690691751477616	0.0684424414945519	0.0718105481258903	0.0706726407042935	0.0731103480021565	0.0701261187186846	0.0747710635321117	0.0517936219295029	0.0566590323078139	0.0688432219371529	0.0682309790223857	0.063241125097855	0.0770377588436974	0.067549639424108	0.0615034133783478	0.0696799403755533	0.0662810202151715	0.0706302947990148	0.0629406488556039	0.086336073826356	0.0624293997942394	0.0442713084923848	0.0562060719611936	0.082491329889488	0.074751667845264	0.0627443961561681	0.0651891395726818	0.0723912917762078	0.0549686137004243	0.0734555436632964	0.0746175410731655	0.0849372816699208	0.0680521741658708	0.0747092100750678	0.0658833643042628	0.0581492863856525	0.0825823578940385	0.0663416953388857	0.0567351496128112	0.0690188153617241	0.0714137202586724	0.0606154259975587	0.0645754032587071	0.0599659089970108	0.070943567254478	0.0604287556726901	0.0585702282634264	0.0848475514604022	0.0760877839608543	0.0801058047172058	0.0667710225370301	0.0851265821159538	0.0830233641596342	0.0684685744379416	0.0681250489343502	0.0814576633643551	0.0659601845178992	0.0629549236082943	0.0698681947104755	0.0768184353141458	0.0777151160169557	0.0697716505104019	0.0670255406959404	0.0670323137997311	0.0668771470682434	0.0839704096662843	0.0688323247377407	0.0702184130860172	0.0648812790709538	0.0750082960062419	0.0589674674223906	0.0635850448585997	0.0766027243177816	0.0641662842016339
"Metabolism|Amino acid metabolism"	0.0607550864884941	0.0612485808085877	0.0597590935938685	0.0610318039051965	0.0639541121381744	0.0616946954572758	0.0604853546806484	0.0594735936191231	0.0615246352995061	0.0636622542525919	0.0605951343509024	0.0620467485315577	0.0600344356013188	0.0589506521225725	0.0624012485401458	0.0627133827116695	0.0576767073803737	0.0630396201113623	0.0622530211896948	0.0645056002366782	0.0626210716722386	0.0654778436521537	0.062764563977393	0.0591895385464891	0.0624162369667063	0.0584404791030107	0.059322120905509	0.0633052731371159	0.0608191979029014	0.0592446567402966	0.0615876417245419	0.0607494992718653	0.0636518095432271	0.0655094698093991	0.0615811937175216	0.0611120869384065	0.0604258885214978	0.0631334474129585	0.0659601866031637	0.0630787954412991	0.0653924433237034	0.0649197446412121	0.0614504656815895	0.0730858860185662	0.0624708469359273	0.062314734136286	0.0593449353298851	0.063472365106994	0.0598880539001648	0.0640397625575453	0.0595497209602368	0.0597854467410717	0.0583921362822535	0.0608584045183028	0.060276636498671	0.0583845656343421	0.0607107092570944	0.0586973590730642	0.062161407581422	0.0581098713158974	0.0622205507635576	0.0768819287999147	0.0636224631009519	0.0575096044486876	0.0562646250455379	0.0595020982958837	0.0627760451341798	0.0624386558384403	0.0611860022059523	0.0621062421035309	0.0599130617117643	0.0580330516972977	0.0612818021368946	0.0611911256381889	0.061158968720354	0.0595158098541694	0.05901246750166	0.0560733260285977	0.0640564209969725	0.0632729606531349	0.0640249885524416	0.0647295264853755	0.0609685199299989	0.061921976741566	0.062828906217455	0.0526886637067664	0.059305172787414	0.0585088672509515	0.0616876808955436	0.0591346767728545	0.0595764535437375	0.0597280946010833	0.0684863554638819	0.0636519933520418	0.0605461816412414	0.0558069561559247	0.0613964989247282	0.0596287280516431	0.0629435195154188	0.0640411474506461	0.0616044465758413	0.063457537726675	0.075631025147094	0.0638719788244477	0.0613773563537166	0.0605311580077332	0.0614864924416828	0.0611348311932384	0.0634140114680971	0.0598718155578083	0.0731007244349815	0.0599397415254827	0.0597284916130612	0.059696620800856	0.0592958129905541	0.0599031308269485	0.0568901626354295	0.0609134979943232	0.0625904685531938	0.0613498609566981	0.0633970592609774	0.060609334425388	0.0638950391956156	0.061558164886464	0.0596062402621154	0.0624883693756933	0.0623000330749549	0.0646570082223629	0.0663481472998337	0.0632870590198795	0.0628209849403168	0.0626267846373336	0.0634060313121395	0.0628966288322593	0.0646054668727816	0.0623108749750937	0.0649054312783025	0.0624216236837284
"Environmental Information Processing|Signal transduction"	0.0428992521984111	0.040686659020483	0.0445742506286221	0.0416590293589573	0.032336807992887	0.0406952892860795	0.042812618204739	0.0483630865337148	0.0432008465762956	0.0333165433286916	0.0340222735397471	0.0372360068848154	0.0369412268991359	0.0379710975017208	0.0372957075182074	0.0451542787342495	0.0382302668613614	0.0414357969475516	0.0338029942760202	0.0379933984764625	0.0368268289233088	0.0317869242336659	0.0401370185677731	0.0422323551466724	0.0374185789051757	0.03905755735901	0.036936808561145	0.0348734167922879	0.0409948616259309	0.0381386096154308	0.0367756177522178	0.0394888336907935	0.0344656958236761	0.0348602033598781	0.0387544714859449	0.0390221964799436	0.0534290246517487	0.0377379249813959	0.0317833479095619	0.0385762440782905	0.0415059652437971	0.0355001457216531	0.0365024796355334	0.0353735530348208	0.0416178573955722	0.036830086697417	0.0341692988291009	0.0334714735868271	0.0388480396219614	0.0387432415135546	0.0369108805941574	0.0378171310641653	0.0391624525908948	0.0338162784320645	0.0355058387612512	0.0356409541955977	0.0334607027033051	0.045893567786619	0.0379493681759029	0.0371751663605375	0.0372246265767005	0.0365564563955709	0.0426434297168028	0.0591702555861843	0.0677135857984737	0.0553167312955998	0.0421657343834193	0.0490150793427121	0.053932105851609	0.0446661982482353	0.0461047952610705	0.0642515359292552	0.0340948507675493	0.0572220076713936	0.0406402334039589	0.0413664742344695	0.0513586574204113	0.0654303471536501	0.0362213334570525	0.0503674612136265	0.0452325293674768	0.0441926172288314	0.0378657844176936	0.0436126440867889	0.0407371049559726	0.0788241438429614	0.0524058266352565	0.0588108287258995	0.0466813533270176	0.0545059608233963	0.0499346289686973	0.0584329405391449	0.0493381358138037	0.0429204574150003	0.046201274158248	0.0446824471833949	0.0434926107273035	0.0489225192233062	0.0487395548787616	0.0347958210838666	0.0428763228761375	0.0370697831196656	0.0413318335557886	0.0410094619159694	0.0454298687612677	0.0467343579301124	0.055807323010352	0.0516937314984751	0.0454698404194357	0.045439901807773	0.0394141101655946	0.0459400144768137	0.0552513531470056	0.047480442133108	0.0435709397217402	0.046544584602678	0.0464211053189571	0.0459460152218568	0.0465355488945903	0.0447977432388837	0.0357337653268545	0.0400835840988805	0.0414184936343941	0.0490098201460546	0.0461932214081297	0.0520475810861626	0.0496200142981056	0.0417313530269688	0.0349663259111745	0.0434783699160246	0.0431110668883366	0.0447087281141774	0.0426519550174687	0.0425070276159894	0.0352752008807954	0.0347916455085769	0.0419890649277784	0.0406212647451724
"Metabolism|Energy metabolism"	0.0427454897222677	0.0403209652840345	0.0433790484256872	0.0432279649705677	0.0419215891501327	0.0418160538425085	0.0417141723305829	0.0402020171430878	0.0414707106529679	0.042424289804337	0.0458141008013197	0.0430888385714898	0.0446747990499991	0.0453290417266756	0.0427089878460151	0.0408148204094728	0.0458977005822641	0.0410234002458793	0.0442438225039237	0.0412054846645412	0.0427093190507812	0.0422784310002821	0.0412342245602036	0.0436396794360074	0.0432763564405283	0.0455156293211279	0.0450777650553459	0.0434014527654818	0.0422061207102134	0.0446296046297087	0.0441615745308769	0.0417217324518007	0.0405458476612365	0.0407020851383609	0.0431218713752697	0.0416982958034296	0.0389114281913495	0.0406816931547492	0.0396311231956896	0.042049082459703	0.0413084242498601	0.0409280964569923	0.0438417252330447	0.0407072615118832	0.0414712963399087	0.0420656136264326	0.0467899212110455	0.0437540829706948	0.0447855381036662	0.0412064651182868	0.044341947621116	0.0450513326080691	0.0453582671627207	0.044936352781365	0.0451329372482442	0.0473142710237651	0.0458144727766812	0.041040191571334	0.0428730876635574	0.0467713105360426	0.0431025640959779	0.0402198110523277	0.0396790459691568	0.0405674463869684	0.0362308297855487	0.0405388006830253	0.0393603597110977	0.0398124933408523	0.0381909423494617	0.0407409897493657	0.0404581847954718	0.0368749332165557	0.0453121618371506	0.0372544834085671	0.0423098205939567	0.0435638759766024	0.0396683376946326	0.0364104202441579	0.0434331005386966	0.0370693091509496	0.0390815444520732	0.0384060601931518	0.0431203714071588	0.0370769727367376	0.0418826449082228	0.0348473351117992	0.0413485848477914	0.0372396537157369	0.0395919613403703	0.0391234123095204	0.040763444867872	0.037401482129853	0.0384325594725212	0.0386052105393835	0.0401564414772376	0.0394893691474398	0.0416062882219711	0.040463614903797	0.0385685810039451	0.043603561239324	0.0378937142581338	0.0415585611999468	0.0374238229870799	0.0405949970530938	0.0413688650873967	0.0408196223478836	0.0396039156586292	0.0387575142608068	0.0400073390440975	0.0427246124456808	0.0390942851055157	0.0387759021121058	0.0389544677283734	0.0381200271433302	0.0432334646279738	0.0403806266467167	0.0391976924022119	0.041966688796884	0.0401330357329062	0.0386538279419383	0.0426569697249653	0.0440072170500676	0.0399259323883945	0.0388249137436632	0.0393838068958939	0.0381437904492262	0.0383426624475798	0.0385428217003264	0.0395511179391717	0.0373565399464403	0.0395623925898916	0.0404338226517622	0.0407519483866729	0.0396437126725668	0.0438372067549729	0.0434732513601443	0.0384397413590604	0.041905515160698
"Cellular Processes|Cellular community - prokaryotes"	0.0378284102777477	0.0380481506867756	0.0383136641385676	0.0356349680823961	0.0336268010058251	0.0365803231731661	0.0378986204560049	0.0405280630014299	0.0387656245018692	0.0327076940739749	0.0328110383667428	0.0344962781327617	0.034731903750706	0.0345668716593621	0.0340538815217004	0.0402291677216461	0.0335609299576347	0.0368542228040836	0.0323679522482519	0.0359067298791245	0.0347038812186514	0.0316857835384124	0.0363280231611945	0.0367286403683823	0.0341793446123508	0.0346018296358729	0.0338933771263057	0.0329659159422554	0.0381582728295156	0.0359704767826502	0.0342749570200011	0.0389765839694033	0.034860080105256	0.0348398827478063	0.0363848364550192	0.0388185876343668	0.0434095370307612	0.0368048934321449	0.0334590036734343	0.0346817002392576	0.0378436382078125	0.0339724385372903	0.0338207807999985	0.0348133203146722	0.037528933106817	0.03607044524612	0.0320837372461522	0.0323572629385672	0.0349531879493934	0.0358332713777197	0.0353827008843794	0.0343998260667113	0.0362607401782631	0.0326790534588071	0.0339195537848312	0.0327634536542616	0.0319310385419552	0.0414301159077594	0.0356656078236337	0.0338102393562223	0.0356372107535778	0.034807444414409	0.0398155674662594	0.0447395845021851	0.04916206803399	0.0440827665533506	0.0409454649876516	0.0415879772827753	0.0444621864575191	0.0395620573248644	0.0403546162033487	0.0450260266455841	0.0329673128269663	0.0436615515536749	0.036893147501917	0.0359743470666713	0.0405237052404459	0.0479767716481861	0.0345916971739684	0.042881037683201	0.0393791994839383	0.039826341514269	0.0354024743076908	0.0483691098185823	0.0384904104023389	0.0512808608631298	0.0398338349777007	0.0483909609601969	0.0415838886740389	0.0420905437104687	0.0401978720855402	0.0465228285422507	0.0406378392453011	0.0399018329217158	0.0408795730241378	0.0426150351336626	0.0381932383753038	0.041924131702659	0.0408256403126672	0.0329565871366444	0.0385244152412314	0.0347460604760102	0.0385175000586535	0.0367279404387853	0.0384540029245901	0.0387190219971179	0.0427478059936515	0.0409750863869174	0.0419752753634118	0.0376788338123031	0.0371104389892679	0.0427009516000244	0.0454695638622886	0.0416073942260674	0.0377747642961054	0.0429882250589072	0.0431313759706229	0.0395625011417662	0.0392284076871933	0.0425200972567758	0.0343573981316155	0.0363758052735332	0.0401427898312773	0.0441005598431627	0.041416713958436	0.0458952365185523	0.0430031742477	0.0382879983456013	0.0369449507593878	0.042320011689653	0.0392118521838417	0.0403553268549159	0.0394030705974444	0.0397158593189006	0.0336203708416588	0.0340006888896935	0.040331554279128	0.0365963229404662
"Metabolism|Metabolism of cofactors and vitamins"	0.0355517798407052	0.0353242318656049	0.0348993694492055	0.0367301002403381	0.0384537582643683	0.0356079361702334	0.0349678172640847	0.0331059446418545	0.0341841413722714	0.0378569204907591	0.0385384374380921	0.0378530287623606	0.0376533719618699	0.0382863075404438	0.0369537287744669	0.0341227665737929	0.0378429647637566	0.0352474886604359	0.0385130380148081	0.035978349608988	0.0367472331883184	0.0375625298295787	0.0355524592093892	0.0362894409871753	0.0362767381357105	0.0377579441102215	0.037625887473156	0.0374843784135662	0.0367662645971655	0.0374365954222188	0.0374266292832406	0.0361598373011309	0.0358290290245278	0.0365741433967579	0.0362842220485181	0.0366873300459113	0.0328683192918597	0.0360363292400656	0.0388133573166681	0.0360302837680992	0.0364066287127011	0.036501282743306	0.0369342368580721	0.0371311346266036	0.0353943088248984	0.0366325374570004	0.0388971874838918	0.0379175308147283	0.0373354382774251	0.0357987162573504	0.0373786912279455	0.037427268275618	0.0373462954564739	0.0382840872051482	0.038109285084933	0.0388759173058171	0.0392025945738859	0.0348759133195792	0.0365312805818626	0.0383541304756227	0.0371564168245272	0.0362721278273754	0.0362115130131844	0.0330367646079253	0.030231629546279	0.0321898616209631	0.034858373122685	0.0337828907974848	0.031838193264148	0.0334954281535867	0.0330207266658683	0.0319918220904731	0.0384825384981015	0.0315726138017535	0.0350207238080262	0.036086466575102	0.0322336725065122	0.0307266778451559	0.0381264361330196	0.0317309677952907	0.0340958013541972	0.0343289019292604	0.0373648892699037	0.03613083062567	0.0372320101449424	0.0324150199099885	0.0358500768294632	0.0295030318615121	0.0338356287978772	0.0339275367913217	0.0338629726135163	0.0318329189049912	0.0356702356828807	0.0339879032741434	0.032111984961771	0.0349312951733854	0.035123132994072	0.0333342226397679	0.0343157821840314	0.0375743959365039	0.0310101274646325	0.0359310884533309	0.0357099808864536	0.0352255309026901	0.0341081226343382	0.0347045746998292	0.0328732670102164	0.0338584973378556	0.03517208277269	0.036468796143101	0.0370323236541015	0.0327444714757963	0.0308371911641437	0.0361648413058046	0.0353318692494295	0.0352930418075521	0.0340966564401844	0.0341673896004829	0.0339238465242755	0.0336026731748005	0.0351139796382299	0.0358314120889813	0.0337650926338326	0.0318747665407135	0.0313453163648599	0.0321937697474019	0.0325810184050905	0.034479526532223	0.0360675086870699	0.0344161511214583	0.0329362043401592	0.034623091563986	0.0353170397458014	0.0336486210091383	0.0371530284819514	0.0373375009773488	0.0342993650025675	0.035347185056137
"Metabolism|Nucleotide metabolism"	0.0282421045112353	0.0269694938336004	0.0282410091487988	0.028581268562368	0.0290071252624219	0.0280427246442288	0.0282886965794277	0.027128919039075	0.0276733385621018	0.0290741131639555	0.0301863919545174	0.0289599872237547	0.0295878270785914	0.0299506108678473	0.0279384797784148	0.0269859258853805	0.0300183111825799	0.0275063685518808	0.0296390227728157	0.027813381086087	0.0287835144233925	0.0281546234609815	0.0279145815880693	0.0285415233825367	0.0287799540234336	0.0300876145740747	0.0294906343272263	0.028720820997892	0.0282678057066077	0.0294010234890409	0.0296483360171596	0.0278757023591032	0.0276905892993342	0.0282592826229934	0.0285933469920674	0.0284399750146278	0.0246612377480464	0.0274683798288066	0.0288630986767446	0.0280556180428994	0.0265563886917811	0.0278210664235995	0.0289760774701444	0.026094750077717	0.0278611551197387	0.0287900881559865	0.030874326532498	0.0291845995645835	0.0296683065381347	0.027578171742233	0.0292563459854559	0.0296024851131239	0.0300811682689412	0.0300162618577971	0.0299486310747977	0.0307171608393976	0.0303204139794971	0.0265321721384382	0.0289835156848312	0.0305996858017048	0.028965839152808	0.0247712264853259	0.0244998021816019	0.0265361206969248	0.0243683346674213	0.0264214767933525	0.027331289111148	0.0269893566652265	0.0256042764089354	0.0274431159158072	0.0269847243126635	0.0247943837878204	0.0299728231428391	0.024855104965699	0.0284935443043123	0.0296998984453931	0.0269303620513593	0.0246258501875904	0.0288668257681072	0.0255652061446477	0.0264285902637777	0.0257399098596327	0.0290827787501076	0.0242966199401632	0.0277819627614439	0.023731035492408	0.0274986995094371	0.024741512285256	0.0266842270534549	0.0268057278085018	0.0271588657163322	0.0250792263544355	0.026708340993862	0.0265134710939475	0.0272145955509193	0.025482765415231	0.0277766542823252	0.0273580588123749	0.0261410421526129	0.0287355805106763	0.0258476932351497	0.0279232292236483	0.0230739650387177	0.026987049765455	0.0274361910411244	0.0276674538997339	0.0254456571613856	0.0261951093919736	0.0263835605039049	0.0285636271015251	0.0234201560952406	0.0252741738853395	0.0252543773243741	0.0220794460987501	0.0285151533918484	0.0234476010092855	0.0256309038902114	0.0275487041649908	0.0262393576543552	0.0249608675858669	0.027819645638472	0.0285843264086545	0.0270794906954744	0.0258608301808852	0.026665275576906	0.0255970359890161	0.0260729962369695	0.0263599915036209	0.0278432526347343	0.0233954535392911	0.0269582772657133	0.0261873316199385	0.0270183962598949	0.025803006896384	0.0286819001396236	0.0289456439199013	0.0258367479955686	0.0279693343585712
"Genetic Information Processing|Translation"	0.0236832885320299	0.0210801585520852	0.0241005172141462	0.0245595982196164	0.0248651654118033	0.0233808883425429	0.0233469913822053	0.0215196785886587	0.022583852198121	0.0251413932304859	0.0273641392953014	0.0251312438453549	0.0263392989044127	0.0267699231266988	0.0238141208915808	0.0214238249528812	0.0272290560354985	0.0225438468369206	0.0262518604443805	0.0228757294318961	0.0245389359228459	0.0245195806869003	0.0231647948585898	0.0241276615610959	0.0250050256122544	0.0273737063714653	0.026393795951903	0.0254516862965175	0.0237076053110372	0.0257702590863239	0.0261126448196615	0.0221448386007035	0.0227850050053794	0.0233831170172564	0.0244414428542496	0.0236367825341899	0.0176685769511921	0.021773633519641	0.0236968981372943	0.0237878292835794	0.0221327121229528	0.0230429150621235	0.0253101007659763	0.0203328935327414	0.0232379040954368	0.0241508159981274	0.0284512557126364	0.0259030674654407	0.0264177053488162	0.0229090584165661	0.024995261132552	0.026553682824349	0.0263535683515685	0.0270713350335854	0.0268211410569325	0.0285386144365938	0.0274948588822053	0.0181441988387677	0.0249252799002288	0.0279140112387969	0.0248631624455221	0.0192239915571809	0.0153531447674647	0.0213787907334021	0.0174498056885262	0.0210701617203004	0.0217424875850402	0.0203014841339598	0.0186773974925775	0.0221112708208962	0.0214566189549647	0.0183727265657839	0.0272770405936948	0.0183144065335285	0.0238333020458793	0.025370393140105	0.0213923004976485	0.017875993178661	0.0234864170934884	0.0189680532642978	0.0207084438751611	0.019628206838917	0.0251842215804204	0.0154265024373521	0.02352555024849	0.0170182237521514	0.0226860390047111	0.0177949418251298	0.02021117672195	0.020770564671251	0.0220716951950311	0.0180528338669483	0.0193598400167381	0.0206643595819149	0.0219220744181946	0.0134827592277227	0.0223016363126526	0.0208655747761531	0.0195152502953158	0.0253326932527741	0.0196765779734269	0.0231348253179874	0.015593195339498	0.0216971172273625	0.0217468440668403	0.0222446342064517	0.0194271453475959	0.0199501178720618	0.0209047104149248	0.0239515625490399	0.0147817733074184	0.0179111230619836	0.0189451707659442	0.0121349780293407	0.0241704019837923	0.0125151846055059	0.0151137262359044	0.0227215486263077	0.0205924065896296	0.0161569537425168	0.0239932673249	0.0250349551749651	0.021624936534636	0.0194746939124005	0.0212080812786405	0.019407590914524	0.0202375516296796	0.0205031871716188	0.0226143110771391	0.0144462640045578	0.0215648427502181	0.0205359181977616	0.0219365394505181	0.0200526547239738	0.0250886166610069	0.0250687571542591	0.0170029259432371	0.0232181214705377
