"","hdz-013","hdz-014","hdz-021","hdz-011","hdz-010","hdz-016","hdz-026","hdz-024","hdz-020","hdz-028","hdz-035","hdz-040","hdz-047","hdz-054","hdz-069","hdz-064","hdz-063","hdz-057","hdz-071","hdz-065","hdz-187","hdz-184","hdz-181","hdz-180","hdz-167","hdz-060","hdz-174","hdz-169","hdz-163","hdz-098","hdz-102","hdz-097","hdz-088","hdz-091","hdz-087","hdz-085","hdz-192","hdz-264","hdz-258","hdz-269","hdz-274","hdz-245","hdz-253","hdz-252","hdz-249","hdz-240","hdz-272","hdz-250","hdz-270","hdz-273","hdz-262","hdz-271","hdz-203","hdz-266","hdz-204","hdz-394","hdz-254","hdz-196","hdz-235","hdz-198","hdz-326","hdz-330","hdz-318","hdz-317","hdz-308","hdz-314","hdz-319","hdz-324","hdz-305","hdz-310","hdz-320","hdz-301","hdz-241","hdz-327","hdz-236","hdz-233","hdz-230","hdz-222","hdz-400","hdz-398","hdz-339","hdz-321","hdz-384","hdz-347","hdz-396","hdz-345","hdz-221","hdz-408","hdz-219","hdz-220","hdz-348","hdz-392","hdz-341","hdz-229","hdz-405","hdz-350","hdz-224","hdz-390","hdz-215","hdz-227","hdz-226","hdz-388","hdz-377","hdz-357","hdz-352","hdz-354","hdz-361","hdz-362","hdz-452","hdz-437","hdz-426","hdz-442","hdz-445","hdz-311"
"hdz-013",0,0.416779570083558,0.363784735549602,0.462786986748554,0.610344706534156,0.307020336440302,0.557921937889258,0.633913821903574,0.608618330213122,0.563657161106923,0.668075133106,0.564265224579673,0.473937233301986,0.561354497386778,0.516320999084018,0.654541489934084,0.44144849265777,0.527160715360975,0.389030769456302,0.538084893527866,0.282344165143174,0.428009349545954,0.481644102062464,0.556320655590673,0.389199450194127,0.363994662861449,0.471698540926391,0.539983801258057,0.34331697709816,0.666350598831947,0.489916668256474,0.662519674922542,0.426289934016356,0.427135914844304,0.35599827918668,0.656331087985377,0.606253264629002,0.743649393772074,0.620964247219828,0.414101866003423,0.466169285952547,0.480118726885024,0.672277023049253,0.614678051154639,0.413185394714444,0.650149954994741,0.299362451032751,0.270662683749227,0.441053295685363,0.265051442458299,0.430666490584858,0.303623237514155,0.426824277532473,0.370415704947678,0.51051379957555,0.601377678586578,0.313364865418068,0.426670227178617,0.651151157159518,0.503949384445405,0.385295589026042,0.494775177315609,0.539338091355247,0.416225957906609,0.442003418911114,0.61484767067825,0.581821468719503,0.383360535262371,0.421594624790801,0.440524832109372,0.411330364150704,0.433433618920756,0.384007478438749,0.667481480939672,0.703451884769535,0.61011586125055,0.506198051316187,0.406512406820716,0.644110841606842,0.460852653552684,0.732496642405554,0.772975795274394,0.452897107617341,0.638615393936312,0.618363990960146,0.650436684511663,0.359244179466268,0.600653941788665,0.675146193539087,0.578292494430603,0.401270113598904,0.663802714073236,0.688962269287523,0.49484460979588,0.552926056577937,0.552552128557149,0.660090856893842,0.582883099563012,0.690076102196888,0.69695098052043,0.573699007565549,0.58157240051027,0.562453126380032,0.860840800559733,0.817716935158462,0.775808720163667,0.887096185577526,0.545544312784699,0.684978200179969,0.701065039640934,0.343543533237402,0.692128992640227,0.470297031722143,0.528707058316265
"hdz-014",0.416779570083558,0,0.545747482809768,0.381190556070735,0.362838862375929,0.395586066351061,0.492026801834419,0.647258135025645,0.668335985240034,0.513341910138132,0.601907922316429,0.576126980806412,0.457771790746137,0.546903177345127,0.461759668593345,0.63154539755562,0.366210315544605,0.581372614463872,0.387234191764192,0.58502306084062,0.290556854258184,0.383644326153198,0.334086910686157,0.419611896301079,0.388009838368682,0.58215824851648,0.334297535772904,0.566763914203435,0.300937926065138,0.599876256378628,0.320191204884135,0.616264001921571,0.371963654571388,0.32102819098099,0.38876862790055,0.592952115887075,0.42121314311965,0.645711958588488,0.620974059222977,0.512606020330354,0.333314176083152,0.373553073199411,0.459389012800078,0.53869993872809,0.38110725551815,0.461503650368952,0.551207948460469,0.511387024558337,0.34566464063347,0.456491961535475,0.240966891384606,0.490041157708037,0.334826060116973,0.55003835196691,0.553953994683676,0.535402296007793,0.325722426468487,0.448041215354669,0.501435764000069,0.508669458263533,0.404742184479961,0.430523836433202,0.48327475188292,0.267568377693601,0.638417174963958,0.75450841229194,0.380595640542619,0.479869155687731,0.276926829807788,0.662160614660389,0.450606239024846,0.580815372544658,0.25257401501407,0.564542891349828,0.590259893014423,0.408158577656711,0.327912319984459,0.437320214092484,0.689883054136445,0.41961172774151,0.671029354101265,0.515010907223818,0.514233116915121,0.399539392982589,0.680550062032612,0.541953004956926,0.515697636727033,0.54797242449925,0.699745099185312,0.568942627112634,0.480563102513071,0.634320252942426,0.511242866835229,0.312990577943449,0.498141248881726,0.722939356165331,0.731778044791441,0.759384354716615,0.605125045174767,0.629697347025998,0.485801191158091,0.624614211376831,0.616498950897327,0.748115427319654,0.748744691075528,0.52537944966434,0.846141193317559,0.372921764856167,0.701802262229747,0.707753751260815,0.410049398534768,0.674484734243704,0.704057005386649,0.688848104332858
"hdz-021",0.363784735549602,0.545747482809768,0,0.402617705570141,0.694383772868307,0.455715315443935,0.682820644764271,0.739392711915892,0.696746226446405,0.692630430233926,0.674949078799752,0.713558098518296,0.609208281344819,0.634883195154138,0.61025238581357,0.717873417130115,0.485456773158838,0.717159126467062,0.554578496710589,0.671549922599987,0.449703558338084,0.566078080579676,0.653390819395539,0.600935278441559,0.563019022451543,0.460488572247702,0.59524471958552,0.668027955190042,0.46428033544388,0.725237000890134,0.546541436948433,0.703623818679277,0.610727782674127,0.602469881478754,0.497426344549149,0.705070161230793,0.68998779183594,0.784663610964763,0.664126355702383,0.440329967100096,0.624148984661305,0.45569823670599,0.71313260151,0.615453372296757,0.329479905956529,0.758931978715735,0.215931233522708,0.323285698454927,0.537083963857494,0.262030511606014,0.552082345093851,0.300951620119584,0.611558096839435,0.254568478867633,0.738301642616306,0.66213573209441,0.36131723727529,0.544607090651275,0.698274597617289,0.574918780674302,0.391349023726881,0.559609922694234,0.441942594444379,0.462121564526733,0.416149019325967,0.581796045582169,0.667532252715578,0.427953546176219,0.491921297361658,0.428574059366264,0.333592139851094,0.45621229390747,0.507390908618405,0.748733141443744,0.778029525392009,0.662397625892462,0.596407806531803,0.520090033276218,0.659707596065077,0.54649415293263,0.820329350224692,0.738156703993456,0.580355515582673,0.704013374812577,0.555777440511915,0.695845907871707,0.357813121678763,0.616648463772111,0.65281355760679,0.740050345655808,0.397711706254114,0.675125196051885,0.72915337138183,0.571707334122617,0.668033275839616,0.569363529993605,0.574662780973737,0.467194163957101,0.739626941927377,0.809361885859002,0.683454783930083,0.670346715899138,0.69206607316683,0.877333783551148,0.823301327995353,0.75653429984569,0.884501431132457,0.581801476794641,0.624628385455294,0.701835111277789,0.316738188848802,0.835988093458306,0.373830895524403,0.504600035230705
"hdz-011",0.462786986748554,0.381190556070735,0.402617705570141,0,0.619376871468117,0.424632105197842,0.584388959188475,0.737296132323264,0.731708737780781,0.669430484206901,0.617509040526075,0.722538210766112,0.619328468532334,0.62708797202646,0.628483091304512,0.679356317426405,0.471511697143971,0.724207351324032,0.475690642150177,0.685776543543115,0.336414245036271,0.495931182272154,0.563935413888127,0.538862006473162,0.467560017552517,0.524487011740036,0.522475801459639,0.678106453901556,0.473675866477389,0.663374573486192,0.502576442771107,0.654402954827391,0.558006844141953,0.497817956905865,0.389232297560404,0.590136407652586,0.513403239937461,0.663554067585683,0.63240493003971,0.528912543891565,0.560032214554077,0.374637280526968,0.58814608432505,0.599302092398779,0.385473191434709,0.576038941463865,0.425107506094165,0.404855787838564,0.545036897983301,0.393060695087686,0.435824325924331,0.394958913908752,0.458842978855066,0.479140206020321,0.696867846091427,0.647454863285351,0.311313515273798,0.461951106956843,0.543402082979322,0.491053141859185,0.283759572800252,0.445403098966711,0.490566768545263,0.388651256435423,0.538556246240062,0.789047537918969,0.585933756155934,0.552763462526311,0.313973910724252,0.689675282840434,0.557643862696763,0.546496752126692,0.394960299226928,0.505668216630062,0.668840630439966,0.510095278380929,0.447607703017897,0.506288160271646,0.685840494014743,0.448160826615254,0.72792583163241,0.552068223422459,0.491514535584385,0.566923153767261,0.650806951488406,0.537891030086386,0.410546456564361,0.629853742346651,0.775659100968039,0.732005564692914,0.539204189986061,0.680425548066189,0.650997867641772,0.463779457030441,0.573450633947191,0.73779414713559,0.731093167577631,0.641685586120617,0.627607688896334,0.686407046743425,0.518730079403132,0.710143151291713,0.691071285810082,0.795906735211167,0.741511340256568,0.581120691435048,0.817124831424283,0.453997943994307,0.782750779232277,0.771240020232828,0.39339377895704,0.690911628142401,0.605691689632641,0.739047263349121
"hdz-010",0.610344706534156,0.362838862375929,0.694383772868307,0.619376871468117,0,0.557602743248208,0.535483516005627,0.648118414488863,0.654992914454524,0.370084372850075,0.537189733207287,0.586124162057239,0.502467744767192,0.6448439665732,0.508033507293171,0.568375395719933,0.497860187482044,0.557904692552272,0.543590759423134,0.590182982083551,0.525781774499694,0.377332937275426,0.3046847676421,0.300923094132436,0.421274836177326,0.709808628936264,0.301652593348075,0.587605374135343,0.475742534907289,0.598271348974306,0.583372942575783,0.609929158908465,0.406110638031418,0.366089038516276,0.483024400167487,0.594031621760673,0.471779747508007,0.567450192566863,0.754884442930317,0.737035585285373,0.384599049754872,0.556183417806467,0.361949676236389,0.468305095904907,0.524999160904406,0.489780137840084,0.715523936678399,0.703236971274984,0.581990187796034,0.62509748362715,0.436407322212003,0.652399540833022,0.553554755274872,0.675169764537983,0.594751205054162,0.60178973951579,0.512427880484467,0.52552819248622,0.586612039029385,0.678919059672928,0.594029365935884,0.617986635290128,0.579680020509403,0.505150444434,0.71689277628951,0.829730980862862,0.348887767589391,0.610999042902427,0.470093750466914,0.761794552993054,0.56856153250297,0.715283330370623,0.441691178204794,0.709838048871217,0.509299880783671,0.413755485908047,0.486940411336276,0.567142056821123,0.740278212517739,0.650954295963857,0.532126190125277,0.456367517410637,0.533594686565835,0.405961551415613,0.707276371478386,0.588323452173339,0.612091138884824,0.584873835052173,0.759529182548586,0.535952743679937,0.582043829645643,0.554197948449954,0.340528493246398,0.496436388719136,0.616660730837629,0.739923836204879,0.826644833361428,0.723312719032616,0.557382397882082,0.539496252980442,0.591584020880425,0.590675310729253,0.68535272752987,0.5821794020079,0.693109506088899,0.435124466900549,0.760863534203898,0.557649370272092,0.765147478431356,0.766825387344661,0.599108665390881,0.645436247633669,0.760329854382988,0.779633950787752
"hdz-016",0.307020336440302,0.395586066351061,0.455715315443935,0.424632105197842,0.557602743248208,0,0.429067240405681,0.623004521385636,0.592913804911004,0.514488949138227,0.633264032640598,0.562280570277154,0.492809857265702,0.574019682160854,0.519706558177548,0.638213147775188,0.442855931179831,0.559145471279582,0.463886734036048,0.555118156651121,0.258864958549687,0.44598543523694,0.438676176860838,0.520269688055734,0.457655050809858,0.399176447669514,0.483829459764182,0.565395381633544,0.372969900926793,0.661526060131303,0.501317798498718,0.674865940209069,0.484335070487878,0.471017066555169,0.363267995901504,0.64808296017695,0.56704547440677,0.74121515619752,0.541558134234243,0.487316211890952,0.411726813292401,0.61741591416361,0.609707917766738,0.629918119203044,0.35854648758945,0.534226481174272,0.427084835792685,0.36766097079529,0.424564913501261,0.346195699437622,0.375114851547542,0.396871144113931,0.434736176078487,0.448827876539549,0.607599763526282,0.644901102983316,0.416179069592192,0.344599383183928,0.51680277225248,0.416351046264287,0.385606703294667,0.425588624515079,0.433763194953083,0.472334984758671,0.443207849001702,0.704246102155956,0.575660187756869,0.565224888633277,0.415782371385014,0.568518607747655,0.509248698261224,0.49538532931877,0.259134600878214,0.541906796935002,0.638960432097029,0.545123035190015,0.38520734648122,0.502230031871145,0.592505513875047,0.500173682072753,0.73188685913325,0.628563204374287,0.469496382404072,0.501647202923626,0.566897367630408,0.529720938626394,0.414276939475917,0.536604279948558,0.63884197359407,0.543634089375422,0.499617002330224,0.64264607410332,0.649118453423536,0.437668953775923,0.38167281190765,0.594540185718752,0.688414992638726,0.573514689515536,0.664690968884967,0.715053494848442,0.586778225489818,0.5670668015328,0.600634396757878,0.855212309278049,0.803802135552531,0.619955995615963,0.879155680086622,0.586993028719063,0.786881741253155,0.689940902353898,0.253340878449841,0.744214608352012,0.573603899911303,0.650370139328215
"hdz-026",0.557921937889258,0.492026801834419,0.682820644764271,0.584388959188475,0.535483516005627,0.429067240405681,0,0.508573657991623,0.502898834882903,0.460791481026317,0.565849779647924,0.440294732060318,0.51671018909363,0.430518981300422,0.563486698571636,0.486908832717893,0.586829800885829,0.368997084975206,0.533020346537749,0.374769929275956,0.441428369287976,0.537000443545012,0.521917724069826,0.558417957332162,0.561536775359963,0.672606709276749,0.533057784147534,0.348472810849685,0.484782885662157,0.504356264336175,0.566502492857827,0.603059266642011,0.557043954042423,0.567048750700037,0.545436254378721,0.427327366485296,0.493164462950191,0.580726854966865,0.569254925111915,0.624814231910343,0.5472227875327,0.659736244208477,0.61640448896047,0.609613461706757,0.578809325153143,0.517440134945174,0.684917248915408,0.65435251712085,0.530278533263561,0.592741092821969,0.38743818110684,0.622863528686187,0.458904900792098,0.66901528839502,0.495567546058914,0.50191776944142,0.5378536180461,0.613082027657904,0.272932293779223,0.539273044751111,0.576590783722849,0.547444809427049,0.572457058137032,0.608303940159674,0.641397947898161,0.787378826229328,0.587375276746002,0.637103960470275,0.540074270257928,0.72389318604226,0.586288165106528,0.595874235502712,0.447585713275331,0.478488364554133,0.473176549147012,0.409393771830525,0.420284260643079,0.585879798760268,0.57868229693547,0.595962506462022,0.604730224506041,0.593522958431857,0.63890275496317,0.488752630536599,0.771221658525193,0.290366746673676,0.637697283201082,0.646110056322627,0.628311737668483,0.372372830469839,0.614716399242426,0.575586003421982,0.660403676167149,0.551745846465886,0.261924686151907,0.705681527394934,0.777476269457722,0.801837993084294,0.487650482718629,0.578121143330751,0.411747826654029,0.353570308570171,0.54572095918435,0.802577276447333,0.678102717051547,0.674516575642916,0.768129457908772,0.619761654194425,0.873744870787051,0.682925206651811,0.559129745480803,0.657588777574234,0.768674863727216,0.72335663083421
"hdz-024",0.633913821903574,0.647258135025645,0.739392711915892,0.737296132323264,0.648118414488863,0.623004521385636,0.508573657991623,0,0.236547555839043,0.526175282075539,0.642231103881472,0.314435182002573,0.565174640632231,0.595320641799041,0.622784475964093,0.365380940182962,0.67506237431824,0.487730316731558,0.654740673546874,0.48158347442558,0.628746866001385,0.560541864919498,0.604267924278997,0.608946187126355,0.616617119949013,0.683070371719786,0.581572689316694,0.496450510162097,0.620937319475193,0.570719953312096,0.687622423225527,0.676033824910852,0.582173147038104,0.631097953331911,0.653344808036766,0.508999297668628,0.725498564869698,0.572843333962212,0.625368957444463,0.625901534229419,0.590866599542103,0.767759418126634,0.682836503173873,0.66251990328666,0.699621231694926,0.756868325077742,0.698645116925774,0.6830786677513,0.610633654246183,0.617231981784689,0.601725100547957,0.641512692751446,0.625098760040793,0.668227882998281,0.496848344754619,0.644984200386635,0.67317039760104,0.715497829722752,0.698205387203878,0.667513303222348,0.667976589125733,0.640396043887367,0.675467125481687,0.73846536952844,0.693517269894251,0.765879668960772,0.672206847949723,0.644146774359037,0.688174620810533,0.721036169917183,0.645008889657728,0.587003643656583,0.657434905938013,0.709850942130664,0.631169102253956,0.717457481766262,0.687965124899808,0.702484636944786,0.550821736221287,0.725332650707234,0.550968071877971,0.877781543496763,0.712704283284877,0.746881832166449,0.766360001781098,0.640294930431513,0.664786156449262,0.67834841086506,0.579980401400498,0.409451261727451,0.659738580575986,0.703480175632583,0.811501092459894,0.725287486833136,0.578559987925626,0.719039238702528,0.804155176138718,0.721520544707424,0.613864449496285,0.65369821295977,0.65544497253533,0.349293031645504,0.531969356722294,0.870488479374961,0.818544106957914,0.88907284119014,0.818145579617058,0.744065182654764,0.869301855915947,0.545346358903345,0.686297491991863,0.718938828777312,0.7813252056174,0.708208245523339
"hdz-020",0.608618330213122,0.668335985240034,0.696746226446405,0.731708737780781,0.654992914454524,0.592913804911004,0.502898834882903,0.236547555839043,0,0.533145742653567,0.597388733070118,0.408946425439378,0.570083633594874,0.567482272152096,0.619299302913645,0.311318014023353,0.641341533406853,0.478243687194554,0.566378162264189,0.495220078260016,0.627239638129095,0.564019654412763,0.639703361790258,0.569498796963825,0.584533664498176,0.669141037696844,0.583728997473418,0.468241453604404,0.577158471579839,0.544657377160641,0.629258438710173,0.668352313691993,0.584536084079757,0.581723378855799,0.611707147687842,0.548588945237848,0.686914024563298,0.524693266683215,0.705180442403145,0.653463567359714,0.613049183424387,0.723448175522148,0.637600380044312,0.546595477658695,0.664343545023122,0.716028898259728,0.677293382768543,0.610187950615559,0.624782437115806,0.632357950136679,0.619148946832534,0.611570514890889,0.643785315911282,0.687182848397519,0.471283029074714,0.635682717394808,0.679909601360242,0.754060884408096,0.685377301422807,0.614925021418413,0.687643870460957,0.671817952078397,0.685538032535665,0.707658183479859,0.72039327305932,0.80329196668003,0.621939576585299,0.624398796153747,0.640541810739192,0.742654056664145,0.618014983193484,0.62878363869329,0.652803398083163,0.694067509504337,0.574062753364133,0.711443491299607,0.69840784808513,0.670819751036803,0.569367596978513,0.706472333710572,0.484849583511809,0.847440789968822,0.662747715770957,0.751434867685105,0.7814500948702,0.647434984364802,0.587167497231872,0.67616916498362,0.620464516671706,0.403068404551083,0.611149054296052,0.664405253266435,0.778815046430527,0.715962734732735,0.589369148537906,0.743093196189414,0.830914883342367,0.755959753489046,0.564217770579594,0.601120295779378,0.612405132170597,0.31742684623868,0.581154691742932,0.867203092158845,0.772291251232405,0.889572652391209,0.808042913934793,0.715984562621264,0.87926176358683,0.628459077933938,0.648730064372162,0.686275910932121,0.742543303138825,0.750516616201604
"hdz-028",0.563657161106923,0.513341910138132,0.692630430233926,0.669430484206901,0.370084372850075,0.514488949138227,0.460791481026317,0.526175282075539,0.533145742653567,0,0.234737743619355,0.52554227690399,0.2621743821091,0.556715597192033,0.302307495943076,0.563568743851194,0.543725186161891,0.450863191186397,0.462051061291915,0.474438377336438,0.520925781349863,0.39517623439544,0.358061388214831,0.350956542771747,0.48646610903898,0.6514550008953,0.410396013453808,0.479548601604428,0.524377149763557,0.567415136332483,0.467888481629697,0.673456857513125,0.438896573531012,0.448725488977177,0.50903249425652,0.557875568226194,0.340162553597455,0.644768178287986,0.666093658116206,0.658245883063792,0.365920821364448,0.575155817916388,0.400192795065594,0.422658012980544,0.602987514326414,0.47762572636933,0.697552300074837,0.667849979203773,0.398895412017842,0.604955877060147,0.452706784800115,0.639005282023061,0.375774641288315,0.66853871438214,0.538290376101462,0.605254437821234,0.56829565344257,0.646823845469638,0.61854495313111,0.471777619395418,0.604769910964644,0.53276451663773,0.61262674644411,0.600272061398376,0.698284454845505,0.796007439142535,0.41066244391115,0.515310975469276,0.544791182451364,0.741165482531442,0.490562729993571,0.648161687286184,0.505063774734237,0.711907676232469,0.505961413368199,0.331316428281719,0.448840730463791,0.482362093391638,0.593312596759058,0.457432986345028,0.644083304919519,0.660800806380464,0.599217299927035,0.424119784450937,0.734894806982569,0.562404865260965,0.617135002217427,0.520709156070951,0.708123568104968,0.395616647632792,0.502433151917717,0.656259417604223,0.485794472867405,0.533384458042927,0.588526282749706,0.711665218198332,0.810509692493364,0.720716987273458,0.570093625173503,0.614444566383544,0.633059703840599,0.456844200913803,0.577003837034916,0.509411359960743,0.73658364325462,0.6785154011229,0.821993679954238,0.511030484735728,0.79225375065209,0.720575176699603,0.596490272598019,0.694104140158614,0.748757312287207,0.740038131363324
