"","hdz-013","hdz-014","hdz-021","hdz-011","hdz-010","hdz-016","hdz-026","hdz-024","hdz-020","hdz-035","hdz-040","hdz-047","hdz-054","hdz-069","hdz-064","hdz-063","hdz-057","hdz-071","hdz-065","hdz-187","hdz-184","hdz-181","hdz-180","hdz-167","hdz-060","hdz-174","hdz-163","hdz-098","hdz-102","hdz-097","hdz-087","hdz-085","hdz-192","hdz-264","hdz-258","hdz-274","hdz-252","hdz-249","hdz-240","hdz-272","hdz-250","hdz-270","hdz-273","hdz-262","hdz-271","hdz-203","hdz-266","hdz-394","hdz-196","hdz-235","hdz-198","hdz-326","hdz-330","hdz-318","hdz-317","hdz-308","hdz-314","hdz-319","hdz-324","hdz-305","hdz-310","hdz-320","hdz-301","hdz-241","hdz-327","hdz-236","hdz-230","hdz-222","hdz-398","hdz-339","hdz-321","hdz-221","hdz-408","hdz-219","hdz-220","hdz-392","hdz-229","hdz-405","hdz-350","hdz-224","hdz-215","hdz-227","hdz-226","hdz-388","hdz-352","hdz-354","hdz-361","hdz-452","hdz-426","hdz-442","hdz-445","hdz-311"
"hdz-013",0,0.421407810951035,0.459023430269143,0.712108309541822,0.609368359659951,0.487421809428597,0.271362447317074,0.622119885191342,0.688444133398316,0.653465187498948,0.45440276843073,0.415047567530544,0.625427964570668,0.613223880296404,0.558210448890627,0.419145428599065,0.448800264602999,0.496109821257117,0.546414807234447,0.364198970042347,0.516348001446154,0.459349062493906,0.553065755084201,0.510077620449753,0.603192500124467,0.483331151955284,0.450890635527783,0.460480762083795,0.66071407577505,0.70422336307657,0.407660853951246,0.631627650873091,0.375219327975607,0.667212068669111,0.510212384182363,0.50334874231266,0.652320587909689,0.44585436686996,0.527827087828144,0.410303230549709,0.389974087520168,0.405843094766859,0.305905276479738,0.420162127705028,0.483719418288344,0.474947211218986,0.399615350229698,0.577564426107388,0.621184120730981,0.469349526585229,0.488609590525557,0.345149053865737,0.571874772989866,0.454478889152537,0.539739305975585,0.61684975221996,0.435290758304,0.471096568229764,0.368758051420069,0.376150092244418,0.380683148843605,0.386341093467999,0.329129860109345,0.558071337192959,0.422793292369292,0.682769701726686,0.423327238007225,0.333549957722019,0.562437836467949,0.713115775437559,0.763949120255413,0.511352634473823,0.483271767171625,0.636033938496821,0.691359249754022,0.582247443958512,0.377782739124163,0.531472937063751,0.462938837276109,0.401423987374512,0.734462321408234,0.556194650443653,0.464151588138106,0.606902349647432,0.813613485376913,0.715432564942282,0.785865602469382,0.762820767899295,0.575491072256021,0.685623570605663,0.739899027289561,0.430114560411508
"hdz-014",0.421407810951035,0,0.323493531101032,0.455184327738745,0.389289677238144,0.258820257714643,0.196052389669471,0.526317498754793,0.602717943296301,0.616152130695028,0.503243761375319,0.506127375593798,0.54745768283904,0.677994088853153,0.63501149401712,0.481368040640534,0.573072989686848,0.577138829410411,0.703533856406005,0.394687730070701,0.608487421676339,0.535711081677747,0.604017122912263,0.635358478290294,0.639822590435244,0.496515144764171,0.440989652455147,0.578284944040114,0.711891827035408,0.654278768797081,0.479708275660649,0.573997338632659,0.422313998234661,0.694741005810579,0.555921504063148,0.443452821043572,0.569239542303116,0.569473452586075,0.411464323904543,0.592174751511668,0.525843815812674,0.385439217789479,0.538929426197167,0.413069917077728,0.56530146801804,0.472146861917403,0.524583561474473,0.477394643110525,0.403768715046572,0.219607245948563,0.511159152300959,0.368248844689632,0.533284957166389,0.444342026147135,0.494301422217292,0.563738633309017,0.560240105428763,0.494876187007317,0.481540200353002,0.296000660573283,0.539642407594409,0.527145645961142,0.398852356605443,0.449232326382284,0.360995923298307,0.595491539491783,0.379295810703484,0.504382806340591,0.403597783570292,0.585720573837731,0.531855385354475,0.594215121376591,0.626919635538077,0.689214639376393,0.597006124390395,0.447803391447864,0.411840664816394,0.511830907446963,0.571714272929599,0.521190641207527,0.695567818619633,0.43455278351714,0.144413627736187,0.667755114850651,0.696961987879495,0.553825026441841,0.735794809261688,0.65720308919974,0.658240508667282,0.69241929181548,0.756427992475614,0.561399288329386
"hdz-021",0.459023430269143,0.323493531101032,0,0.511224468002542,0.557978937857141,0.500950566759637,0.418133474323417,0.634156971447684,0.700474666992041,0.657818990381869,0.607659869298382,0.612054742141416,0.543954000075184,0.749453090348524,0.74016731373407,0.53668872961027,0.692295134492782,0.689178419392533,0.751919741030887,0.539800033920413,0.716361742203656,0.636235136822751,0.63601406302942,0.746860234050519,0.708881386650242,0.606851871079739,0.586230933162597,0.626862480477274,0.771506145050288,0.711647738234285,0.636736154943854,0.70624801312527,0.563057969558112,0.745983668118096,0.682240412909321,0.611300249248216,0.543453988098353,0.578498229386738,0.59108814350864,0.535825181179419,0.478070869464684,0.571180168918145,0.564049845683298,0.558439619771263,0.558491032936148,0.642558520476693,0.566272704637407,0.496999520296886,0.59482381796769,0.418015905948054,0.597127215428131,0.36723075408115,0.638530817479508,0.58167511061838,0.488925270893662,0.647254073346966,0.548812159728469,0.595547538380104,0.479709609943307,0.364424313586944,0.543843942264374,0.469625206513627,0.435902623809618,0.629505540133206,0.428638251111771,0.617907096575631,0.461517381587847,0.569863467089042,0.539360101801094,0.713168506582134,0.599468468437833,0.561938952232915,0.696905196144281,0.735157369135764,0.697905756419813,0.48000205260029,0.488504360049781,0.664935765741777,0.611452586974177,0.440443447196877,0.724761134240987,0.594423616539803,0.393938760492544,0.759427589571127,0.73082044155372,0.543672262352675,0.716768764462408,0.71028869490121,0.662550848176902,0.7354995394817,0.727137188502232,0.577087189176123
"hdz-011",0.712108309541822,0.455184327738745,0.511224468002542,0,0.619392981488103,0.504808982335301,0.56282475578304,0.604143405654029,0.593679763961816,0.639827092759928,0.720914332494376,0.733827985971517,0.666084616170523,0.721341743778022,0.701644838436772,0.657676209853584,0.772686081573826,0.760458739814608,0.729683602726643,0.582604484201471,0.720424097690753,0.730004127774323,0.705884676003507,0.740857592594117,0.77092623456528,0.681587142117494,0.60646874566615,0.720661357218661,0.700507708410598,0.678128502249352,0.710694934236012,0.678961308249256,0.68794097465239,0.71891671794068,0.659924090721852,0.714797106187311,0.665057936997657,0.7932882661346,0.35721689763036,0.760568595951625,0.716023500932055,0.655276910197843,0.755625249186287,0.582389658320611,0.664874830034632,0.489710967971241,0.747512337442751,0.60283693821658,0.419619192923552,0.426183039715355,0.524542982284052,0.569244943010206,0.453720555404133,0.538879373277378,0.547318361698744,0.596543225931881,0.737748751190915,0.68362315289088,0.708653285894835,0.523429872327286,0.670639068572251,0.579499336079414,0.680928560647598,0.464678744201128,0.458968522960784,0.582177742993664,0.50316411947488,0.743034218829115,0.387502216597057,0.591637586595139,0.264705583111923,0.747976129717751,0.799759270120752,0.805132620858458,0.607676252720484,0.608453141165046,0.626808156333467,0.502205154162828,0.79294143231656,0.7167231096645,0.682085775545673,0.65032319029087,0.46112549818145,0.725641449394891,0.612183873943451,0.638227720931836,0.640273642990277,0.731736991621541,0.752102083981452,0.660645401334605,0.757668702502438,0.664238231954598
"hdz-010",0.609368359659951,0.389289677238144,0.557978937857141,0.619392981488103,0,0.467756481233777,0.501819994009985,0.544821781571,0.607902645175055,0.676908615349794,0.386661563472482,0.549824930317184,0.419598159912053,0.605227976462994,0.58821877808988,0.622795478245046,0.479635234389581,0.536170702176008,0.650344404225402,0.557346592719893,0.590277644890566,0.424487371614181,0.58351117689996,0.572884273989967,0.567675271715546,0.384964146988282,0.546309460083103,0.497853955546334,0.703510501957434,0.576059877667094,0.416074242307372,0.493330401807882,0.456360447735522,0.644840726307094,0.570925665877267,0.384354891470872,0.432010177652952,0.632886525442975,0.600489871854668,0.646444383371543,0.621056862092193,0.546193420120337,0.623497635318331,0.519592742868252,0.667550943516548,0.596665234964674,0.622517828226587,0.414243789414965,0.535477270907714,0.417890416024293,0.740325986424964,0.572201075923034,0.678074301465791,0.662583608735923,0.62749984819618,0.579667048823421,0.690604101238848,0.458856869428083,0.570757749934259,0.583293042621836,0.681466802984707,0.697940850404003,0.540791918752653,0.567892375286842,0.564583002052154,0.608216461298818,0.56279283032083,0.617965296872998,0.651738253061489,0.444651478391957,0.612711324720047,0.636082606948275,0.658189144632982,0.681368230191312,0.543180543028098,0.38581308085541,0.566099739020255,0.657536366204299,0.573340873719466,0.632762190759725,0.634845027972238,0.328575280173516,0.373989790962714,0.611545203890862,0.537857232603851,0.344176576556767,0.688621589652899,0.846836695517693,0.738755050354568,0.697727526513178,0.793917565495915,0.685394250858615
"hdz-016",0.487421809428597,0.258820257714643,0.500950566759637,0.504808982335301,0.467756481233777,0,0.302878001670819,0.523041610331389,0.539440731219117,0.605074370899108,0.423492398168061,0.44979750730555,0.491425113167123,0.601103558259126,0.56188531119647,0.380462201749693,0.500802701219223,0.509295921362278,0.605429640804072,0.37142552044429,0.584007354281162,0.506471685678036,0.603070906619445,0.575009414315723,0.596205693496627,0.494741347473493,0.341626894287353,0.53830573074109,0.659182460239342,0.650940145353505,0.439691676731103,0.538334457838636,0.507450198718791,0.725256589297832,0.618636909743547,0.355703569548049,0.50680864021114,0.553150647918254,0.455976566338865,0.549916311585629,0.505473120780392,0.334548551954658,0.450476129069349,0.322148836924787,0.491952169957413,0.394777619376196,0.495779538637976,0.507032248978109,0.391182866637058,0.298221659126545,0.519636604317139,0.363902307194221,0.413737318045068,0.434530724657654,0.481863016205972,0.567270893016302,0.509383265258828,0.416303517408243,0.508704164137741,0.393893825207915,0.546310525516185,0.543466244331181,0.3776126736288,0.345562538910452,0.424513708537372,0.706543724229412,0.321637072720514,0.525788792725927,0.435571061841439,0.591936945575452,0.506914935170765,0.593019456142437,0.584192935690198,0.663486169562089,0.563318437902538,0.56510424396571,0.402534646185588,0.392418082324994,0.519730125314357,0.531989281245826,0.645109850785363,0.350490206720334,0.236975545880589,0.551175053353403,0.690681984381812,0.578392573770327,0.801782072319529,0.696878604175509,0.62028362418288,0.719852690238606,0.765491874576098,0.577517596797486
"hdz-026",0.271362447317074,0.196052389669471,0.418133474323417,0.56282475578304,0.501819994009985,0.302878001670819,0,0.548021106075993,0.632394951601557,0.61332678504876,0.354623821476849,0.35662098033191,0.582182763255405,0.579478792700162,0.511476969665406,0.379702631843412,0.476012726598312,0.477215659479152,0.624750866570668,0.288114986789267,0.515437294154283,0.444825617821732,0.506396997409302,0.523454102977859,0.595720193079822,0.421704028040743,0.386480876189645,0.468337480957026,0.615978508647452,0.70331317825796,0.353822274864159,0.61067223386678,0.329528161788819,0.655714740164148,0.481568210922474,0.477098605547249,0.597641883834887,0.494669021123226,0.362635053765765,0.513538656390165,0.452564180243469,0.282362646439102,0.45082982531841,0.288506546636864,0.502577369230491,0.352886426615079,0.474353835393726,0.521930269339765,0.447914461941122,0.319768298048692,0.401212226114595,0.288883103247789,0.448677930689762,0.351195107491749,0.532566310528661,0.576581150121811,0.533918225604935,0.397467998360473,0.398380849264828,0.187535034213994,0.440125124934928,0.431845757508089,0.327294012318236,0.492861205874325,0.284141163347893,0.650628453890125,0.241226157485526,0.421609375594453,0.440356875976276,0.651153683628504,0.614426209094945,0.52147102358368,0.576832796113718,0.685067891567754,0.631492101757385,0.523717335500389,0.31150787794919,0.43594117874506,0.470907115825403,0.449889626518323,0.698175924644043,0.510415056695611,0.250190350356986,0.58738625760384,0.74606126756435,0.627353615472475,0.77194003202695,0.692466472177188,0.649213305552016,0.640068940690552,0.729218739699308,0.447805483624266
"hdz-024",0.622119885191342,0.526317498754793,0.634156971447684,0.604143405654029,0.544821781571,0.523041610331389,0.548021106075993,0,0.294506151631282,0.379502793341415,0.498507509097938,0.541153208645088,0.542882873240808,0.472819680171007,0.413686830692518,0.684406269596298,0.633265476491242,0.640217005035109,0.563678334022168,0.626670855468512,0.468926845709184,0.576247826985913,0.648491606541131,0.499000484495575,0.68895066827328,0.548576298886972,0.649214313169735,0.612355918641871,0.61209175314339,0.54258754311697,0.553776647872202,0.395652202062648,0.544950352968563,0.628867831499432,0.450211180766283,0.498612102244136,0.557111778509149,0.727511404460407,0.540663684035758,0.728163144473519,0.726571716001248,0.679572132146912,0.686515891466409,0.628047350341012,0.62202143467517,0.565075606738052,0.713000359246045,0.520402386831417,0.57528475094431,0.539998593658166,0.636192597029147,0.628126581058507,0.598267875584314,0.553329094529972,0.590102051618465,0.334124355636782,0.707134705786158,0.563002705508687,0.631377722006148,0.615085885203468,0.563609944740398,0.597473637084876,0.637725375168321,0.540806363383723,0.642442511119377,0.426318061229203,0.605421998119794,0.637873632880876,0.536193833569142,0.377348626746583,0.648584567264107,0.708478125527734,0.664249839137155,0.743853760778457,0.306165080079998,0.610802868881271,0.678366609571918,0.572052991375969,0.654268184685927,0.685530543427021,0.472721552983242,0.525286641553059,0.551802184753337,0.468371087850519,0.554022916000751,0.661495192758209,0.622246480480367,0.905492027875958,0.725773626257643,0.649459675652446,0.69185411095526,0.58278035279578
"hdz-020",0.688444133398316,0.602717943296301,0.700474666992041,0.593679763961816,0.607902645175055,0.539440731219117,0.632394951601557,0.294506151631282,0,0.355680188129503,0.553375974666786,0.521543007374403,0.553224074524613,0.533627555705253,0.405182703562551,0.689458079691901,0.61532863807541,0.642546788704733,0.564939305567792,0.634182137868727,0.476471736242005,0.595139433882136,0.620788239079965,0.494705153569185,0.647477927234344,0.528918499161661,0.636494232295816,0.6388015636342,0.574030625140649,0.630040367470279,0.567774613840741,0.426701275605783,0.614110887693131,0.681973452600328,0.501642055693611,0.557700222318859,0.546348496430929,0.711374786911252,0.568180854156716,0.704050216499576,0.68503678906409,0.645342379015445,0.695831232116863,0.664473724459547,0.588349202987146,0.61730902958943,0.703293827353867,0.520856680807256,0.560035954832945,0.601861902762211,0.641037201108481,0.648028445577468,0.599634520016283,0.584091359873858,0.611732619123978,0.364671377376999,0.656504054344612,0.61155872002606,0.703540932744245,0.669289318332628,0.577781299028924,0.641387108937652,0.634917502994431,0.552296901305066,0.698076899580589,0.547475881696696,0.622465280064744,0.64253186404996,0.54558356792082,0.359043026425679,0.696096551108477,0.717993047795599,0.642230188343736,0.716603113238764,0.260775459834316,0.655980032130836,0.720379210473204,0.567928338833407,0.651075329060001,0.693974984159353,0.53252568030478,0.507756621365205,0.572157775962292,0.395220229732434,0.576273956013054,0.70279507909478,0.637927162358661,0.903311053989937,0.695305728068076,0.693901872951555,0.687179138566232,0.592536860068491
"hdz-035",0.653465187498948,0.616152130695028,0.657818990381869,0.639827092759928,0.676908615349794,0.605074370899108,0.61332678504876,0.379502793341415,0.355680188129503,0,0.589558786008914,0.492844897476303,0.567986053011892,0.483669431902604,0.522917456637876,0.689326351186076,0.676710340142754,0.689508610426148,0.565417940899713,0.661701482441293,0.533868831598606,0.649532532258283,0.642137030425014,0.573098366041192,0.739512782377576,0.618138469355024,0.698394062403808,0.635164817052522,0.611634177412174,0.581133914597393,0.619386838224881,0.506049992527987,0.595941049240153,0.699842700572252,0.578364540009291,0.572083255038538,0.587416580977963,0.767581055766078,0.633154308007003,0.724003798479869,0.713783594218262,0.714699132433702,0.716639612572185,0.708486711773244,0.692403602648327,0.64167434837747,0.749020090535097,0.497508274826817,0.578225953762682,0.634781438091228,0.536588976826941,0.643477758806205,0.58805585675103,0.619278829555621,0.565831104638216,0.415490820351273,0.71988877461922,0.567916653326186,0.714799152655165,0.614611473179927,0.606065142885775,0.60044508129117,0.673541026656872,0.647539503464551,0.658057094040786,0.305707910382438,0.627599364528857,0.665818105795885,0.469986288917069,0.526540452435223,0.71282713672053,0.724592278663142,0.650843592610216,0.772611449317214,0.383840806703326,0.536738743368646,0.721310321704344,0.609272238328664,0.704449021171414,0.699809916360982,0.449239453887011,0.624305602379163,0.633657860527137,0.534797079807495,0.549750938718578,0.68282799104477,0.51474812681513,0.880340313534075,0.780768635108107,0.688471176242128,0.64769159133994,0.61871243922279
