"","culi_1","culi_2","culi_3","culi_4","culi_6","culi_7","culi_8","culi_10","culi_11","culi_12","culi_15","culi_21","culi_25","culi_27","culi_28","culi_29","culi_30","culi_32","culi_36","culi_38","culi_39","culi_42","culi_43","culi_46","culi_48","culi_50","culi_51","culi_52","culi_54","culi_55","culi_58","culi_59","culi_61","culi_62","culi_64","culi_65","culi_68","culi_74","culi_75","culi_77","culi_81","culi_82","culi_83","culi_84","culi_85","culi_86","culi_87","culi_88","culi_89","culi_90","culi_91","culi_92","culi_93","culi_95","culi_96","culi_99","culi_100","culi_103","culi_105","culi_106","culi_107","culi_108","culi_109","culi_111","culi_113","culi_114","culi_115","culi_116","culi_117","culi_118","culi_119","culi_120","culi_121","culi_122","culi_123","culi_125","culi_126","culi_127","culi_128","culi_129","culi_133","culi_134","culi_135","culi_136","culi_137","culi_138","culi_139","culi_140","culi_141","culi_142","culi_143","culi_144","culi_145","culi_146","culi_147","culi_148","culi_150","culi_151","culi_152","culi_153","culi_154","culi_156","culi_157","culi_159","culi_161","culi_172","culi_174","culi_177","culi_178","culi_183","culi_187","culi_192","culi_196","culi_199","culi_200","culi_201","culi_202","culi_416"
"culi_1",0,0.0804115659748199,0.105823846589007,0.0835116255750793,0.119977081923583,0.0830541011741578,0.0503073437128493,0.113040612703647,0.0647489931811414,0.0607940265351646,0.095087337566691,0.0760284863273564,0.108468567477668,0.075274800360581,0.123322922193224,0.128306557903011,0.177591836362762,0.163211911538987,0.114274108692874,0.095561908709535,0.094904335662194,0.133811133059953,0.103993725129159,0.10664263695259,0.1149347140422,0.0894513175294935,0.140521097689935,0.0956443320474257,0.109837021323155,0.104963691962043,0.119443198997438,0.126447528758913,0.174670003855883,0.09940265696146,0.107126369661044,0.109624228470757,0.119959690104983,0.117706251663678,0.145825402750151,0.122811528393842,0.0807257519157197,0.0953855547265237,0.0938624842836415,0.073623033047844,0.155502566141547,0.144696058484123,0.135869102961641,0.155123132912927,0.117606934014132,0.123316073271701,0.105356061473875,0.132811421718571,0.0934204489642896,0.0927266275139517,0.201703164672539,0.106589195449919,0.107429082435037,0.127053923538266,0.066755814126333,0.0930646882413128,0.0820667720253313,0.0938360647914211,0.0844280734580462,0.102936653306206,0.14260255878865,0.173797941827542,0.100319597912262,0.0828563204377119,0.0452970109758747,0.115201700046728,0.0922784306141402,0.0972328870872059,0.121077610359833,0.102362331687853,0.131136689668543,0.101914880661674,0.0819065306228567,0.0705290482987146,0.11309422267963,0.0986738469835332,0.100853846712572,0.0721229384300498,0.213898979095222,0.059434435012981,0.187657367141304,0.0864280597187964,0.177685937134604,0.0439347583292443,0.125330335878034,0.138826214969276,0.131209530376903,0.0929550745627129,0.0761705823374312,0.175972427510631,0.159507665277656,0.18171286270303,0.099164452630949,0.142203798980108,0.217520060882611,0.158870180329169,0.12931525687662,0.237993973379802,0.143179029381883,0.120834146833903,0.133982952331864,0.19872374617413,0.0967615042186471,0.145417487051391,0.102005608337084,0.113532842863859,0.502841211961574,0.194149115406297,0.131605010010126,0.18102874189117,0.107792613526783,0.172875974423739,0.265285523346096,0.146530985795161
"culi_2",0.0804115659748199,0,0.140037832760966,0.0584744135648512,0.0558679569525113,0.0643336728052462,0.0641086489989772,0.120529837878939,0.0859013460861419,0.114760793158505,0.0809711652454977,0.108236684927813,0.103665605927718,0.0878305755418005,0.0718953668592553,0.0936664555221661,0.123673459288573,0.102251964320369,0.0759947775559845,0.106060259842815,0.0677212944560796,0.173467034503602,0.143454329396711,0.121093248434965,0.154831770515203,0.08120990406438,0.159660673396509,0.0964364076570094,0.0909489650219298,0.0986969516563043,0.135008464130815,0.0687476999905386,0.10880646117273,0.10769652123631,0.110856750780426,0.104537005773623,0.0792289813925487,0.138127331560926,0.117495384399938,0.168020276721774,0.0788342863264381,0.0683768655849537,0.0837088347380425,0.0874129186300194,0.0934317377449298,0.125932652725001,0.152481841620976,0.185332034498821,0.116199693752429,0.131699696395193,0.105403623730245,0.16969404988774,0.0968806388737249,0.111091850391792,0.142591608049074,0.0548540357268558,0.0960574215428344,0.105777229090374,0.0674156102478152,0.149584327746331,0.06921026969514,0.120836133762197,0.11620072255507,0.0979693248717889,0.190412927613242,0.216885062315042,0.0862814929872845,0.106357964027703,0.09068358812699,0.163974218789628,0.12977109336311,0.122218431943264,0.0757082222119156,0.144494361043483,0.185902408585586,0.124148516189162,0.0708169673505796,0.122733004794771,0.0745619255617294,0.0715068188932345,0.110030668280491,0.119597881470224,0.143042977310157,0.0864648300168897,0.115318614225988,0.0693865161518653,0.172887071550907,0.0813776456827698,0.0836677627477209,0.133701505439042,0.165190030827914,0.0938028694637903,0.0808728025022067,0.130140363560899,0.113212852207702,0.120142042797758,0.0856176568706991,0.165734760905376,0.212660519051235,0.151839599696984,0.068846100693043,0.166248493437067,0.139095473488545,0.134887560768167,0.152968445265906,0.136848213827563,0.0850189161216785,0.0784657446624315,0.0770862420348256,0.121186985056974,0.51304144622531,0.170786014169424,0.160400072238925,0.174597981129622,0.101683998114279,0.216691416791959,0.211642949430206,0.165171908728801
"culi_3",0.105823846589007,0.140037832760966,0,0.12897165378535,0.181368862616584,0.159735989385964,0.121195760479941,0.192665819654574,0.161626168024532,0.119267347582204,0.159724593454473,0.172740141445653,0.197634710430366,0.163771544954875,0.191587872755761,0.187254170480978,0.252098559403753,0.227837337580339,0.167480189259886,0.167979610403208,0.169832185235329,0.203556958857334,0.177867077398888,0.184311755973344,0.192090162712645,0.169983601823294,0.213861846296571,0.187063894654264,0.188021507114496,0.189434007663782,0.19292008065031,0.177982808813585,0.246163009601426,0.188654757547748,0.188636537447671,0.192031416152006,0.187965209452602,0.188339224604703,0.1998757210646,0.148499026459142,0.136660576091031,0.161603607771947,0.163018461564175,0.14946764885687,0.212518453249464,0.209776939031222,0.207267152779498,0.204242828061755,0.19452714258031,0.184047117083908,0.176241386779701,0.202533597819512,0.180577495634573,0.14892714114062,0.278773851646073,0.165014111580351,0.18443949869261,0.180317180645251,0.151387879944966,0.152954424194378,0.160276218203071,0.18139194754297,0.153990843853564,0.190489670322778,0.171880277831908,0.183639583073639,0.183681643524729,0.163547169946193,0.119397706851103,0.140243544577869,0.143285122073061,0.151294100848496,0.182027824063754,0.183823324289162,0.122968706290136,0.179413682785862,0.164179230122164,0.132545245024031,0.177031160712036,0.173334619083462,0.186969963608356,0.130479623951276,0.266044344623329,0.101588458360872,0.235902776637487,0.153061029441114,0.168035426423167,0.113988701835018,0.18227257020289,0.219052846739519,0.213752450808149,0.185124441392455,0.112334307000808,0.215841867906027,0.202319091566,0.248505804093325,0.17824848161326,0.149621098927384,0.178817190036359,0.17398175662434,0.18098380925952,0.290007770050078,0.213128404671219,0.196646025886154,0.213449459030979,0.23637064333938,0.164541582641411,0.189993574249082,0.135162971259885,0.188144016446588,0.456379430811823,0.277079048902313,0.204567744943881,0.171366575426925,0.173656466123191,0.193689782899006,0.300260157747607,0.137196202666288
"culi_4",0.0835116255750793,0.0584744135648512,0.12897165378535,0,0.0765407778404849,0.0639798811725026,0.0786109748681881,0.105486620108944,0.0783514021771601,0.111392427131308,0.0902856589066818,0.101016076897242,0.101245454016578,0.0860439284016834,0.0944945894549004,0.073012507367434,0.152660008539083,0.128775840547567,0.0536662035782552,0.080888141036124,0.0783650519470238,0.165764180630348,0.135593866252176,0.113141291883351,0.145191177051912,0.0654949623132848,0.140123422238058,0.0945089226977816,0.0819684871947869,0.0929103061461917,0.117363185188689,0.0636362210761456,0.139984066339106,0.104015168228888,0.104133667611235,0.0935924161008088,0.0886346862643792,0.118911129029102,0.0858046544728411,0.144431043214588,0.0758373386767901,0.0707918801963925,0.0605474839084359,0.0744421419709897,0.0993660641938858,0.0999079618042043,0.131264989567498,0.153644986691967,0.113556393892501,0.115226723142183,0.0871935891723013,0.152035210022243,0.0907119656855391,0.101601557027308,0.167328611203031,0.0585792632431512,0.070531873311346,0.124005980693207,0.0578340601976447,0.154623472494996,0.0627221729425181,0.114410812296851,0.102166361050094,0.0877550745411687,0.176068818612421,0.220965584667385,0.0746461024475371,0.0922589365364292,0.087340203360923,0.15998514787608,0.116048270404583,0.118158499885896,0.0832982868073103,0.134771108029078,0.176145420578774,0.101737793647163,0.0585278021974995,0.123647080985543,0.0687597820180377,0.0770385595097937,0.107699584733583,0.111185774914439,0.145408301314698,0.0828448074917938,0.113224029910163,0.0444548170156764,0.188579562058037,0.0781412195766972,0.108243645090579,0.137020903784381,0.166557149728866,0.0917245289239522,0.0701863617633429,0.145312026300701,0.11824655863035,0.140977580560949,0.0803336515556914,0.161032067688564,0.23048099324569,0.168103756053166,0.0850243202897217,0.166503506447066,0.103557818175032,0.122298877900767,0.144218984365308,0.14845928081197,0.0456469534096413,0.0721414933658228,0.0678980669220066,0.099033656407242,0.519610481795669,0.206473090633693,0.140467194853212,0.173817225056973,0.0533847654358501,0.177709349070139,0.203253484148284,0.177420396024838
"culi_6",0.119977081923583,0.0558679569525113,0.181368862616584,0.0765407778404849,0,0.0718158268476719,0.101404572606333,0.136986926256753,0.100933127690702,0.158377908233563,0.0823773610018239,0.130560774285508,0.101910952832689,0.103238768366579,0.0621751301952362,0.0858180634423979,0.0893526208138703,0.0690328514877366,0.0739974697588162,0.117656140415568,0.0790661251484247,0.193353448091743,0.162629251839967,0.128094705437789,0.171443187133318,0.092487370772517,0.173561341872581,0.0974654429993373,0.085902218312638,0.113301703158274,0.142702829382611,0.064167279793778,0.0783170776532667,0.118442163301904,0.112092010529123,0.117387470099774,0.0699093670643291,0.157790220539808,0.0976140775616017,0.194576269751996,0.100390108974612,0.0704172534295157,0.0820979644858549,0.117949538176987,0.0731709457835028,0.1055678562843,0.171737794960598,0.189500074079784,0.119803931284779,0.135341411986815,0.102486668750609,0.181912627810611,0.0995306393499355,0.122264616371523,0.109033780880049,0.0620116419670797,0.105057646597388,0.0985411308767095,0.0905024531458393,0.195620095335588,0.0881503067917343,0.137036171688127,0.139293770376116,0.0923049726791197,0.214831346026015,0.240184458690429,0.0858874029523747,0.11357535553068,0.137945944886076,0.190514207792897,0.159308535119365,0.140810404619519,0.067792599238646,0.163198489543369,0.229029649289684,0.146565494248422,0.0933882501593177,0.163317886401601,0.0823853856894767,0.0832341307893701,0.127819742030717,0.15983252864461,0.105724997684882,0.11566776295494,0.0755655357321661,0.0735348730496328,0.183905553561701,0.118278096780717,0.0647454060424105,0.129432522008512,0.169859319089445,0.101680918613926,0.0926047163173746,0.135272566878016,0.0942582072029406,0.0847718280370625,0.101063999791324,0.181329524892527,0.231964046527969,0.163843827052248,0.0491778793367162,0.128722882964748,0.154541997970812,0.148363811196197,0.165450782703547,0.124083992516683,0.0812014196055339,0.0594833741338405,0.109250338303157,0.133341756882847,0.530508256883375,0.157304766579169,0.172029394388417,0.191158811697483,0.103072342966461,0.237804801709625,0.184108913804617,0.191741436970726
"culi_7",0.0830541011741578,0.0643336728052462,0.159735989385964,0.0639798811725026,0.0718158268476719,0,0.072317628215369,0.0772728297646402,0.0580463600613057,0.117036088175329,0.0497208654159737,0.0763664071991476,0.0543369685254521,0.0489282429131492,0.056381999229942,0.0579513492578604,0.108652648079182,0.0894262563824513,0.0509706458967555,0.0674204888481229,0.0348402214524123,0.134241643796274,0.114550558180021,0.0748558130878931,0.109574802959506,0.0353074364554618,0.112157364844362,0.0475024550759518,0.0427505317631455,0.0515174052147298,0.0897260394278611,0.0638243413850911,0.104290130046704,0.0569525721726328,0.0620228674204244,0.0587127427999111,0.0539747918307512,0.109075681748311,0.0787451223203615,0.137069487977119,0.0603406795537369,0.0347026881473285,0.0393428424258406,0.0806622507841272,0.0814419430844443,0.0772122101047041,0.117247969292729,0.13541670538016,0.0637066539077669,0.0819365223355385,0.0532755081339427,0.117463041925657,0.0482555229292994,0.0713396143231844,0.132009515109358,0.0495081068680233,0.0520103136234393,0.0857471231254044,0.0528627604963854,0.152334030424032,0.0317515844214658,0.0750684041868292,0.0867602286469013,0.0471012234135695,0.157934624974924,0.185676989341166,0.0405317279454097,0.0594640590103751,0.0946891052112442,0.136934821269375,0.114489985360416,0.0948117094473371,0.0468383766158507,0.107999676005072,0.188964869368874,0.109722610622105,0.0450818804998885,0.122316215496972,0.0445882030595148,0.0448337166009911,0.0687659324727169,0.118127737963772,0.138815503846576,0.0856672201182328,0.118982523013041,0.0376334163883046,0.173766935958035,0.0783786891129948,0.096980071823327,0.106566217708548,0.126608767233409,0.0487867534103561,0.0662243122456578,0.177969196068516,0.0945421619303635,0.113673463233544,0.0413086328645226,0.134816254994936,0.220673920932753,0.146451899503557,0.0836681055290318,0.158246964547335,0.0993613662873211,0.0819578003235272,0.10191107750309,0.179215666283734,0.0668120962080315,0.0953366475737763,0.11312903529237,0.0846672465254543,0.550377653221892,0.164333420306925,0.115454364767877,0.209040494058851,0.0800665090989968,0.193367938582175,0.212336830452513,0.167969358269466
"culi_8",0.0503073437128493,0.0641086489989772,0.121195760479941,0.0786109748681881,0.101404572606333,0.072317628215369,0,0.121323192165891,0.0705895013432329,0.0954134792749394,0.0607737887444117,0.0887943762966623,0.102531896461117,0.0665501916221701,0.103233317663151,0.110379253651349,0.158108139344827,0.141344893763703,0.0959634462475313,0.09461570371848,0.0701109923342375,0.145942210239659,0.108666638076924,0.0917013882674126,0.12354353975169,0.0899674947395324,0.13830726859377,0.0823068998493758,0.100081350399463,0.105143733020125,0.117230043483751,0.106792211597949,0.151713595480033,0.094043939950004,0.0943325731389063,0.110264678267268,0.0927775917541006,0.130272665611894,0.129061225721107,0.148235624220067,0.0583201351132685,0.0741100067309356,0.0929332978947349,0.0785456735019475,0.137556722125828,0.14054488856601,0.148911152708034,0.155688687940092,0.110972189900368,0.115811176369121,0.100501181615491,0.143524432513776,0.0880139729664417,0.0816016593522783,0.176765681097794,0.0871295388393133,0.109512355486491,0.0982862689798626,0.0661234119970829,0.109956479309797,0.0743670175464358,0.0857620838415313,0.0928510584180525,0.100378537262701,0.154415451612397,0.180469058236102,0.0971465938907659,0.0761053904753086,0.0756573428000916,0.125315098713982,0.107359997031136,0.0897840486442697,0.100946031626629,0.110436712531471,0.159391151112891,0.118579097460418,0.0839953883829295,0.0941393233900456,0.0902840812907674,0.0798433428162859,0.0912517385998449,0.087720192324163,0.193460229312474,0.0605168977980394,0.164949607584027,0.0810021336247524,0.168336437157051,0.0582201817218421,0.105255123125187,0.134810971986334,0.150685086324081,0.0853616740958335,0.060896383644852,0.173227020578049,0.131658032918087,0.166390743336958,0.0947689988080628,0.142168185698523,0.212940557237018,0.156568183454759,0.106020237955715,0.219709771624886,0.149109182981006,0.118840347534921,0.127128839616027,0.188825336224977,0.0957372077763059,0.125347559030051,0.103612693000777,0.120871018338353,0.521138841835062,0.181249497669604,0.143899818927449,0.203537290722632,0.115115968044244,0.198672128001183,0.264287748820156,0.143488538772135
"culi_10",0.113040612703647,0.120529837878939,0.192665819654574,0.105486620108944,0.136986926256753,0.0772728297646402,0.121323192165891,0,0.0630165973168291,0.0915561813359561,0.11303821591357,0.0625541011676651,0.0887732724723012,0.0909042939736626,0.115735091013311,0.094652754770443,0.164578205739441,0.145623630099911,0.0978445322094594,0.0730510854244367,0.100001327813054,0.0936681376919736,0.0797552053146184,0.0788866268220519,0.0750949377845163,0.07996767023271,0.0607310660212012,0.0857246493993113,0.0878055002697331,0.057909928505778,0.053833633372605,0.113545505706905,0.157618407941347,0.0659593347236625,0.0796369899110122,0.0563611891030333,0.110656736632394,0.0674859300600272,0.117139485649593,0.146187547143597,0.117067746238767,0.103677729629558,0.0916174799291072,0.0743866363492537,0.119617543920581,0.0980663816125645,0.0693143823692352,0.0860967902939687,0.0789100084232493,0.0870145709937808,0.0873367117732047,0.0687196879365264,0.0803322753487809,0.106472611363808,0.184110129912726,0.109144812624828,0.0722760771443506,0.14524433990339,0.0771072184885846,0.113280676697381,0.0887654683004354,0.0743917506176817,0.0785461924630962,0.0829677742009363,0.167672734680795,0.218757520588989,0.081398207781612,0.0962897520700327,0.0965639388366169,0.162384269561556,0.0929958086823951,0.121361155106269,0.105076377489561,0.0739629597425013,0.146983408102716,0.0668975273015909,0.0819810471907229,0.102659998358927,0.0947455454477922,0.100273783119203,0.0678986738466041,0.0993531177643285,0.180171563751315,0.128245908967037,0.175772640930592,0.0864526205810079,0.220313253702405,0.111321141988942,0.169632473797841,0.137652046205872,0.114207427405777,0.0749214609296152,0.117246983749484,0.228907936716216,0.140839708452287,0.181009381161931,0.0573223584285084,0.176318294144113,0.256843588408165,0.185499324381399,0.142412205722079,0.20115379853032,0.0547426022468458,0.0352694508508495,0.0547525692992489,0.238221265974823,0.100489539362356,0.154178936617877,0.146859477328831,0.0379570000527785,0.576743416320687,0.196720139914912,0.0711079554231915,0.238895351198495,0.0994379277972434,0.1438240225977,0.247738373009917,0.212568855240884
"culi_11",0.0647489931811414,0.0859013460861419,0.161626168024532,0.0783514021771601,0.100933127690702,0.0580463600613057,0.0705895013432329,0.0630165973168291,0,0.074529505391611,0.0808169083834201,0.032448499678273,0.0819824088107374,0.0545657539386018,0.0986166626206159,0.0985683253411549,0.154481668266876,0.138723530171265,0.08619669207453,0.05232968996788,0.0718946956379266,0.105938261721103,0.0780997197692941,0.0623371927556441,0.0863630646500428,0.0673592322401327,0.101182883215457,0.0715671172217124,0.0844197655730362,0.0606637572548758,0.0722993429178947,0.097281701068104,0.146517060610828,0.0587821836874767,0.0628277699773157,0.0569392514111228,0.0917897160027959,0.0743196754282797,0.117972863264911,0.136786915561559,0.0745844485133742,0.074065583176589,0.0766574240887711,0.0440778246382763,0.127239219999263,0.106586741786618,0.0933517509717686,0.123228921916676,0.0828441023232146,0.0868536789158269,0.083183183684206,0.10979017508568,0.0624195962442517,0.0806892345802595,0.173986686940162,0.0801553178705227,0.0664341502886576,0.113883047492212,0.035778039771294,0.103065822078457,0.0604812723008584,0.0578372608753676,0.0559353338455837,0.0775453538857516,0.153721306792132,0.194283724258853,0.0724568329557925,0.0607650512216962,0.065981123820634,0.131998859624099,0.0793837059416785,0.0896478911320781,0.0972086295512515,0.074165857418385,0.147827245564386,0.0645835825439415,0.0527077748375311,0.0801934015426994,0.0852429260230227,0.072234040273437,0.0613192483092481,0.0834714641912394,0.184556863538278,0.0975986290248248,0.158034845347228,0.0576721906320182,0.198522937238856,0.0778307597105345,0.128101346779251,0.121335576802331,0.111700710818368,0.0578658712243085,0.0798776788285707,0.20046039521677,0.142091218070525,0.157891762013327,0.0539015944582084,0.161591072070389,0.236070579928774,0.176309774155224,0.113925730533147,0.20876290282314,0.0895968889593354,0.0783934885757376,0.0934360181794446,0.212384180158623,0.0679257829965413,0.12819312136417,0.120552394236143,0.0623736110743253,0.54920394786729,0.18020228250055,0.108341749153155,0.210084900445463,0.0738171340650332,0.159381009305032,0.244476579798735,0.168343411590586
"culi_12",0.0607940265351646,0.114760793158505,0.119267347582204,0.111392427131308,0.158377908233563,0.117036088175329,0.0954134792749394,0.0915561813359561,0.074529505391611,0,0.130464068115801,0.0631104108183469,0.131557383202014,0.112348967824209,0.152385703197987,0.148628235873809,0.213395070200458,0.187398757187744,0.135434011673328,0.080896739617027,0.125211009295132,0.111552009156243,0.0881370581483717,0.10465878783177,0.100114635114754,0.109170075627912,0.115508057596379,0.127185673707805,0.134998227489661,0.100290569498661,0.0885756745426168,0.13988605592164,0.20764037104399,0.106882162038947,0.11288786386207,0.0931692736418574,0.150856018607004,0.0835872141872188,0.16100047124986,0.130642038406857,0.120996665671808,0.129002412981184,0.114711058572188,0.0545575005137386,0.180700509175313,0.150022159526892,0.101722874170209,0.13081146959056,0.121146689424245,0.1252510281543,0.117858907061379,0.115106331123067,0.112729635988604,0.121966975472245,0.239451150855535,0.131335168914754,0.112749100328268,0.171252448040208,0.0813884287301884,0.0700931340711129,0.120472727887674,0.0946469082762992,0.0760153873627866,0.128756362921762,0.169611727359973,0.203175465229609,0.127258181890055,0.118525265758129,0.0399533399664163,0.142548617732683,0.0732800988695549,0.118560618749715,0.145409583832975,0.0919595621947624,0.0855315589614932,0.0706928437734197,0.103264646756863,0.0404323844024547,0.135342537504529,0.137575615178711,0.0979639374950321,0.0452220280211551,0.230449383865207,0.0742462917792567,0.204565916603686,0.105833587557367,0.198418219092708,0.0617098203376465,0.164305782007808,0.184206075834354,0.144859471966288,0.121226717667717,0.118706562827552,0.199213060907177,0.181218088571392,0.217698150337895,0.0994207145977788,0.165756506610288,0.234697036471348,0.190716923702195,0.143801740939163,0.255875153283498,0.115599111162941,0.0946138996703443,0.11554587583441,0.208163972474199,0.104517341783293,0.162539071934426,0.114249364693627,0.0944644894090299,0.507247789588699,0.240981540771157,0.12742442177252,0.199378978532704,0.114537727882631,0.148729207807273,0.294289957202837,0.181785517267588
