"","W1","C1","W2","C2","C3","W4","C4","W6","C6","W7","C7","C8","W9","W10","C10","C29","C30","W33","C38","C39","W42","C42","W43","C43","C46","C48","C51","W52","C52","W54","C55","W57","C59","W60","C61","W63","C65","W68","C68","W73","C74","C75","C77","C82","W83","W84","W85","C86","W87","C87","C88","C89","C90","C91","C92","W93","W94","W95","C95","W96","W97","C99","W100","W101","C103","W104","C105","C106","W107","C107","W108","C108","W109","W111","C111","W112","C113","W114","C114","C116","C117","C118","C119","W120","C120","W121","C121","W122","W123","C123","C125","W126","W127","C128","C129","C137","W139","W140","C141","C142","C143","W144","C144","W150","C151","W152","C152","W153","W154","C154","C156","C157","C159","W164","W170","C174","C177","C178","W181","W185","W187","W188","W189","W197","C200","C201","W221","W227","W228","W247","W251","W262","W265","W269","W280","W282","W318","C416"
"W1",0,0.201554769539516,0.0983731239284254,0.111445927844072,0.30190806541092,0.111616882257782,0.135541433238766,0.196866428766778,0.098888394244256,0.0999165471444351,0.10335698872122,0.173831160009067,0.057849713457304,0.112446444119002,0.188979711043819,0.0828978148736387,0.140595339105359,0.0938062816715122,0.181483925134698,0.117852288560795,0.210129417992914,0.270689436128045,0.0807100392586123,0.247766613570923,0.187919886660434,0.244899369108746,0.228140768475411,0.0722209055455701,0.140013600166156,0.0952571773621363,0.150254869035453,0.136852803963555,0.0824852632250817,0.127425086867046,0.126513203172209,0.115919191355041,0.164337866853246,0.13064742079298,0.093827522821841,0.0793035277982614,0.245226350392527,0.161008879145982,0.276924491835022,0.101522257941563,0.188791885880717,0.0966516555342723,0.280728545455369,0.161516501186448,0.148999252794538,0.247466237574996,0.277441460620611,0.177803291012996,0.203820002056177,0.163092968730959,0.255992535822386,0.261358065177763,0.149273411919172,0.195865524765253,0.174655184832311,0.112996978899719,0.124031565060462,0.0897814966266828,0.101869301885418,0.134500948382122,0.154700346937013,0.121947948798746,0.151574424918898,0.302386299690052,0.114489703328196,0.111895062224727,0.104983003006226,0.183501510975824,0.12596902384683,0.143708864843136,0.129684511931646,0.128911201426787,0.312734408594371,0.233300268110609,0.325093067563047,0.161743875792092,0.224804394040957,0.279041345881767,0.245885570629188,0.127316689200322,0.204328145219303,0.285380353696252,0.0940762555404882,0.0859659946608884,0.142463108822499,0.361605390406345,0.240315968019503,0.215078978127657,0.388096020234096,0.0941551824086205,0.0942038622919849,0.138318820386797,0.120882139396991,0.171982320405664,0.128344597985454,0.154437080053517,0.217982489512032,0.0891941555080167,0.136747799232593,0.0730375696480257,0.268142981571691,0.164805533139568,0.325330877279279,0.263863776355849,0.154562748258027,0.116543247295672,0.20322754705096,0.2115241461293,0.208891239811704,0.190725853215282,0.405151469866669,0.169696229920836,0.133180653369284,0.18381442415721,0.112096904357075,0.154377577014119,0.121046101347037,0.255176006878363,0.119520222479617,0.0519068201284394,0.164513388209149,0.349206468656244,0.0784941108590894,0.120362062588868,0.0767487374759448,0.782279924792655,0.88478348841914,0.0903406202486108,0.162437869692889,0.214019210207587,0.10892179639177,0.139083557392561,0.113814558281802,0.288072794113325
"C1",0.201554769539516,0,0.179013802778287,0.122896384215991,0.154962548702687,0.163829837144975,0.131851914502012,0.367490636757187,0.184301539445329,0.249914684814385,0.125196526643701,0.0635582307523473,0.20898340905306,0.193739294142206,0.168376994395423,0.193869607223794,0.277178667740239,0.200363410240632,0.147328293998174,0.143576532393718,0.119193369472585,0.198026878582443,0.258253946731356,0.154469165865576,0.159682551477708,0.172467737816446,0.198458329012295,0.207481562099425,0.143385066772184,0.268828369554292,0.156833231049405,0.313600897341387,0.194099161751573,0.124483401696487,0.268981362348184,0.292743279283352,0.163649555282955,0.110576693148869,0.182049729594833,0.238698795274883,0.175348616717849,0.226315420743195,0.190147584369899,0.147528457620728,0.123846935422622,0.262370677871657,0.218603512897729,0.223090262760714,0.198788034580308,0.20382248370167,0.227672152420551,0.177943528015576,0.190590874379287,0.160941715239421,0.201912420315573,0.205144437976604,0.205494754289051,0.34107257564786,0.143910203721014,0.187367721458517,0.19178473534121,0.163043516237542,0.220517174543609,0.171594495952345,0.195462593285281,0.303885533745074,0.0989855898018152,0.137620964131606,0.181962538220984,0.124699532644012,0.236891728163979,0.138754597783568,0.130581459970433,0.136379814645336,0.154368364192494,0.125492534610327,0.225201861877817,0.125727013249654,0.268028625303166,0.12729164859237,0.067301990834097,0.179561877664861,0.141651393625792,0.19057895650228,0.152302887226187,0.202370093496921,0.18673562703016,0.225593656926287,0.10208597629196,0.19500942092768,0.152494820407028,0.242762710011623,0.428944527042372,0.172223215342922,0.148344661351605,0.293145486436087,0.199501849044472,0.152380331487713,0.196405260049953,0.214569399760606,0.200249640492926,0.215410019583894,0.137506490256455,0.22226817400559,0.221969261265778,0.225435802348372,0.331010326987428,0.295776067247583,0.148873868182163,0.200177919573662,0.375079175673996,0.217923355612347,0.182710284126814,0.17441120793426,0.356596655495695,0.148420402259469,0.227096781376857,0.158775161139913,0.228103928543759,0.212008040842736,0.20472756121192,0.199196816158729,0.271394545870962,0.217903781213703,0.165648269060607,0.268648829726952,0.252339164496338,0.185234533728523,0.177252431614413,0.789721366841959,0.88950377101589,0.246679025273553,0.305874085815741,0.367186526267585,0.283341332030596,0.153670027082434,0.206695262280715,0.221037239831056
"W2",0.0983731239284254,0.179013802778287,0,0.148741562313068,0.276809784227995,0.069589079390279,0.121735258064219,0.232090231589867,0.155316558677635,0.144371187940027,0.0915546788503204,0.179031044229643,0.0923026527307319,0.136435527114026,0.130217223384734,0.0591806264448751,0.193151743622985,0.144941122172579,0.151649945714369,0.122905491391747,0.180426370878496,0.24143297834947,0.1350470697885,0.219536469413338,0.164579096282966,0.208271100641686,0.166411452269427,0.104699755300196,0.112060365353981,0.14645450477891,0.111302115915841,0.17929326548093,0.094767861379809,0.0918908186315794,0.182042631205251,0.176190938694495,0.120548223333127,0.1587520724021,0.120138752130226,0.118567413717289,0.204902479250738,0.138075944367525,0.212178128193932,0.120063659106247,0.170906076846412,0.156740155828628,0.22935769476726,0.104300195296453,0.089442656637719,0.205890790815925,0.220155991362735,0.12750626028401,0.138811697709324,0.121195571629481,0.200084789758208,0.199963209407158,0.0962157210497353,0.23031945250193,0.147870199431368,0.0596291341006591,0.0662396615758422,0.102482805874539,0.079627931712482,0.0912730735531932,0.17987632569389,0.190359678826756,0.127351693162873,0.27678181790467,0.163223452795409,0.108090930593707,0.0979786531383389,0.164978436136021,0.108024431118957,0.104807012248839,0.0875217802813864,0.101816338621463,0.251495844743351,0.216681050198741,0.301467728675405,0.135011060630907,0.186016853388735,0.237989490468942,0.209783974900565,0.127802126080455,0.181451517757822,0.252036971527247,0.111836095014158,0.114374342898461,0.152575862480172,0.322598837267165,0.201280728835165,0.269218215447144,0.425015333742168,0.0851687516687966,0.0944534993872052,0.19749263929022,0.114515837892221,0.121643650224231,0.193616173806266,0.161092454201451,0.188365524108878,0.119949941369158,0.100820289271269,0.149997453056365,0.241388196921956,0.236351544142292,0.355960142061774,0.280281115927548,0.111699789719066,0.167534153146996,0.235551001506431,0.150070080042134,0.160949680886322,0.157253984712155,0.378626818620713,0.143144977472324,0.165532929741889,0.188443055365505,0.167982323597154,0.18096564251674,0.135344116323102,0.195473291769893,0.161895426066936,0.118458201338649,0.13810387107702,0.299981580148528,0.126952150540813,0.0600446522869057,0.0806238113153705,0.773332364615506,0.875580027360358,0.153854832081504,0.192397944563793,0.241773542206873,0.142437832877138,0.0857967830326034,0.0659716741669948,0.287799993297738
"C2",0.111445927844072,0.122896384215991,0.148741562313068,0,0.209489794716683,0.138768034104255,0.093148883775063,0.258377761483852,0.0879787961505374,0.164967691248703,0.0995106565525827,0.0920394497040796,0.126310287859567,0.170173445767375,0.184406049424225,0.139367443949839,0.196364776056431,0.111929407079491,0.164745069617675,0.10450724575049,0.167843631498761,0.261416580135705,0.159532751303719,0.217732580243278,0.185328681673234,0.234389748816254,0.232094013059644,0.116795178730832,0.148230369073138,0.165438400115917,0.150918720324213,0.207455170288275,0.108265959566344,0.124228872031726,0.171022260222984,0.187777695226468,0.15996137245615,0.102595207661002,0.122343183241348,0.136330723754719,0.21057864185709,0.186283335955544,0.255055285661726,0.105684190906303,0.162717938452006,0.154629378735537,0.282260078129309,0.198944132555363,0.184659514212225,0.231035872180412,0.278165967611155,0.178180910787726,0.204395204349846,0.163930374544602,0.257171753126604,0.281045017949252,0.18384172662607,0.241678723453978,0.17283157980305,0.16148650794595,0.166744789586394,0.0865985647054314,0.157181725378127,0.156265530580418,0.165454622679207,0.201039795880838,0.103563970971524,0.228514233148059,0.0938685163563574,0.107380192532769,0.162831113235564,0.185890577707191,0.135868795284113,0.128505663823341,0.150406331201327,0.11634489972795,0.297599605139423,0.198538431364156,0.332769334033877,0.165958202570286,0.139390064777793,0.250585760184384,0.198001459900724,0.14049682691063,0.189996730294445,0.275473109235663,0.117894212605989,0.130774424332629,0.0899542892932436,0.28069116677473,0.191035531015018,0.238415661858144,0.405466843236582,0.115574829572567,0.110678942242096,0.183858867279139,0.149070654174267,0.186800538676885,0.130790416761556,0.210842809981763,0.255054743959089,0.155872753794611,0.144318383752074,0.135307956645387,0.25476411813155,0.19971745345616,0.319436880045392,0.309825974856769,0.146443663440111,0.109520032873745,0.266455333115641,0.214702135728109,0.204868648798871,0.192409779105564,0.422193923878979,0.134402794164868,0.126833736941269,0.12315492077988,0.164148448631073,0.206769235424336,0.178402800657428,0.25427378300446,0.174842007767999,0.128741114608189,0.162368848145642,0.336305843825372,0.158240748608908,0.157230796176833,0.130355998949495,0.788420937699945,0.89062673795807,0.173712341193852,0.23739301300019,0.278889491513688,0.181767572733616,0.165187931731447,0.154375985618701,0.248427332226065
"C3",0.30190806541092,0.154962548702687,0.276809784227995,0.209489794716683,0,0.276364790453516,0.189405628245669,0.437013496728291,0.27422970851107,0.360314693721243,0.235685639481407,0.164092960311755,0.302324699903316,0.312829877953835,0.280683262754987,0.276016352811434,0.387479585998931,0.288234832905641,0.247272334900607,0.251897632202359,0.232306374638572,0.29557417680516,0.33588030958759,0.259615215378545,0.272008679090851,0.282006755850598,0.300751209881849,0.284691732560104,0.276048538870265,0.356799579130654,0.277573308478135,0.385288786610483,0.266695722747059,0.23937047898053,0.376853918786287,0.369813252393243,0.281341664736359,0.21526625587335,0.283480313629176,0.310303711855745,0.273017868293729,0.298826157045071,0.233377952072235,0.243676050522435,0.242718530437571,0.333363334569162,0.309703772788699,0.31453492521131,0.295966666926204,0.301725487173936,0.286721457077935,0.288786189287085,0.274599757370345,0.261145152701045,0.295773698894422,0.278073045356,0.284057969080293,0.412272691900612,0.223826374636421,0.283189706434459,0.278497871120266,0.246941186410403,0.29101624443382,0.268873047484169,0.279561782369529,0.400139990124723,0.220583934077111,0.223011975266049,0.253902645136166,0.235705178906533,0.306966372852283,0.266362336637986,0.255895592344131,0.237451938757991,0.280808732362366,0.230249960485976,0.268161450363681,0.233281937567303,0.294852441528966,0.241130415238633,0.171315821268191,0.220434743275015,0.210650853480406,0.258847703710336,0.229028439481438,0.254165309946511,0.274631931682774,0.301037440181247,0.18364755054253,0.177743366366978,0.260738612014103,0.301555212505137,0.416206848678566,0.262014413089593,0.257920364573552,0.361523493996913,0.291209529941777,0.27935867716001,0.283554912482076,0.331759842702219,0.325602720414845,0.333823450884332,0.271991588032311,0.335436431910734,0.237715625523964,0.331431826039064,0.291464372142178,0.374360681654518,0.226191415824775,0.273656837487014,0.449770859877429,0.313495292020708,0.28976226886862,0.268984919972203,0.45553431107384,0.241813314022062,0.289502030465074,0.20358949619368,0.337133257498061,0.332221411384681,0.319701599413731,0.25276517474355,0.362791468793723,0.313035277212733,0.256909088466696,0.297061480217928,0.350114706734344,0.288396181443883,0.277809023951501,0.757578019719208,0.855268976762851,0.361472263731518,0.403125589011244,0.460571375755885,0.365215352923844,0.27850552115841,0.276290231999642,0.222760527563209
"W4",0.111616882257782,0.163829837144975,0.069589079390279,0.138768034104255,0.276364790453516,0,0.134178451369697,0.252760439851705,0.131047069331548,0.162683781200601,0.0683159781858201,0.158131826229063,0.117234809187023,0.133588423050941,0.113440515555555,0.089623356495027,0.187838794234045,0.12068294923373,0.108927640147015,0.0924401310859478,0.143459462478704,0.208221828979755,0.157404102233639,0.183740262449564,0.113333358537691,0.176707800336076,0.148381013481773,0.102998117365,0.0862238289219576,0.153236131139342,0.0733333138437094,0.194939474064084,0.115561378018638,0.0949147532288309,0.176204357794319,0.197430660785136,0.084786168354035,0.139399465014567,0.0989574635411134,0.122353054624671,0.178513717990208,0.135671712400996,0.21013713149474,0.0893248022278503,0.125123292286472,0.157592781002851,0.213525298011163,0.0863991558617976,0.0835469933710581,0.181482390023885,0.186869807072305,0.0894764389888693,0.113332642631103,0.0903150209349575,0.168582629973288,0.190076437038148,0.0964309116298006,0.223696445744237,0.117247285685242,0.0729876553363654,0.0722721254715594,0.114881658323843,0.10003241385924,0.051465654598423,0.154596516220932,0.186120689801319,0.111463913338518,0.244598018713199,0.133576060698187,0.0983746274070655,0.108805502163503,0.124556827099859,0.0550935638663527,0.0955101846866863,0.080331393575048,0.065229595027257,0.246044884801498,0.172419965294394,0.297473758770986,0.111210845034519,0.160378921568577,0.221253743056584,0.181921870382283,0.10817288213882,0.14472211166289,0.225915092329358,0.0914079263779759,0.105619235978242,0.117612128368584,0.294476500527425,0.180671159405659,0.251297616304316,0.417051756190758,0.097850875296392,0.101510065881582,0.202460441560142,0.105035057274163,0.105999196094334,0.17293107729209,0.171988652447941,0.163042396053341,0.147679090536432,0.0865620984830463,0.154284864840874,0.217266396074521,0.220220788213989,0.351866785726461,0.278670334841072,0.0993344967666851,0.146342242624853,0.259886091233808,0.147067631581932,0.119234400660774,0.105529865157652,0.352281816729718,0.119957581771712,0.171008420584528,0.206769843909654,0.153875366329832,0.169657949185603,0.126045104233949,0.169922879041544,0.157531778592673,0.144358648381413,0.132005583666299,0.284152991412233,0.153653442398349,0.0514078969113297,0.0996883929322263,0.792854902020442,0.893002281617203,0.171145900184948,0.248485396709941,0.286435100853155,0.180578173118992,0.0860620411908061,0.087764823683188,0.27901661819484
"C4",0.135541433238766,0.131851914502012,0.121735258064219,0.093148883775063,0.189405628245669,0.134178451369697,0,0.248276227372478,0.11968273121973,0.202873995209049,0.0991093017339031,0.123518880716702,0.146435889584726,0.179067542664016,0.159581013955314,0.110106428152391,0.241056831820197,0.151960029504088,0.124263115038049,0.121353792260753,0.153303902484855,0.250518952943352,0.167789830097319,0.206554587022995,0.174164313915831,0.22198016077081,0.204285087377964,0.117683252724144,0.145121339769753,0.187905354489102,0.140906098096979,0.201904102639747,0.0971224689008221,0.115583804841082,0.219930526221307,0.193215349552077,0.142767795882052,0.135500751771562,0.137601775017183,0.136029335793632,0.17977323825878,0.132669547820041,0.217082557385501,0.110717229542799,0.1520503262879,0.157688727805485,0.26321365144562,0.153969822784917,0.121077416338108,0.196909490148718,0.233505101678822,0.174339648849943,0.179975107522721,0.133870049343031,0.229442070927569,0.267832245424115,0.132801293309397,0.246855252142223,0.16054855236739,0.115014382643155,0.10741444727517,0.0903986259325772,0.118970345374747,0.107868834656324,0.194657678928758,0.227471697725353,0.0895956405703898,0.237080279307392,0.120900521806629,0.0976754436664079,0.128984075908154,0.176094468319215,0.129373676033166,0.0868279300986903,0.133818922957728,0.0806603897565748,0.275425134974616,0.184168602253632,0.340857959777733,0.145626765333985,0.132837010013079,0.245573564187644,0.178118608103735,0.0914146026419672,0.186341387818672,0.277490110167141,0.129251210340894,0.137293886239851,0.112769949092884,0.264827173907642,0.154741544342395,0.280705126892099,0.405608556070348,0.105960882413948,0.120087611021876,0.176914372603299,0.151910875393425,0.170011684909467,0.168057317045192,0.216640887575762,0.259355074879558,0.178163531777557,0.141319002419408,0.170966463424673,0.24817251625931,0.250155532623426,0.34852761005785,0.331818599044227,0.102864104430151,0.132341504897511,0.262985733464716,0.157105904095214,0.185295148167265,0.164229093525181,0.436981252512456,0.0690621785634752,0.1130868879899,0.105814537714114,0.20650477021862,0.224413369495673,0.187753212346124,0.2239402041446,0.21191519143492,0.155640330562314,0.0828271040234273,0.273273277275337,0.183384477026281,0.132352145777779,0.129936512446959,0.780810483339349,0.880859367055675,0.202516170799142,0.258519596363463,0.292258432063923,0.19730070586005,0.145493378237408,0.111702116538814,0.266166790870656
"W6",0.196866428766778,0.367490636757187,0.232090231589867,0.258377761483852,0.437013496728291,0.252760439851705,0.248276227372478,0,0.190527469160062,0.21955947057734,0.255196492721706,0.338503327004818,0.200065648481072,0.271951429795125,0.315951626749242,0.199395749327552,0.136973054210851,0.200305581804758,0.304767938108628,0.266260419290146,0.36552138909491,0.42600723393335,0.154577752700107,0.407534272813215,0.324714684387415,0.398785210648019,0.348708578337258,0.179128906182143,0.270584625055627,0.120192121364446,0.280552466597882,0.102883790865982,0.211034107848194,0.307307942471475,0.148195795249113,0.131716526404624,0.283809620788447,0.315734423467075,0.224025982964893,0.165899442884856,0.370666155992406,0.158066184299193,0.405553220750548,0.253540437129878,0.343387230744851,0.130993068135794,0.416757404102959,0.195839691558745,0.233396483772717,0.366613750813473,0.365099098806254,0.270914050059705,0.287899399222073,0.247527458956163,0.376044135671105,0.425645048127268,0.194107632911742,0.102077761415649,0.330952761009511,0.208880426777022,0.220315406953219,0.229071141473607,0.170975312341482,0.239305959145435,0.291972408094304,0.0963381381528228,0.305565164815611,0.469415965652534,0.215296077034683,0.272327391780311,0.1592592705714,0.34882147372515,0.272515080719613,0.282216119148445,0.243986350464482,0.266435531323708,0.457733538159623,0.400789951387252,0.50943059331704,0.321278066224572,0.366481322263341,0.452016274868346,0.404302923844276,0.194310327490662,0.370351420758691,0.46705511756026,0.215937818004072,0.158918278583683,0.301586973411304,0.498445160817711,0.365276694582282,0.380319277989551,0.420355064319619,0.23116269047863,0.259681560624087,0.106867905947404,0.193203249606494,0.322896383392999,0.226380722925447,0.302640116336704,0.376344377806104,0.225092062729403,0.280394711567601,0.205375291055287,0.407992229050202,0.312439164831666,0.476903513365368,0.391410016154973,0.283787726992912,0.202074039693139,0.0612728011694023,0.298409336567611,0.330348925364932,0.304012494004576,0.545639432335968,0.257683011320565,0.189585397224039,0.289290506818956,0.245192903283593,0.310916611115358,0.248629517246683,0.379432522795679,0.129935005859175,0.18749915372514,0.271474752811986,0.467980908070399,0.150636956874208,0.244270594686819,0.240525721724535,0.78163393576381,0.888195951018023,0.201252875833134,0.220706422802047,0.1450491463543,0.128294773093344,0.280100439034144,0.210779694270173,0.465911902366227
"C6",0.098888394244256,0.184301539445329,0.155316558677635,0.0879787961505374,0.27422970851107,0.131047069331548,0.11968273121973,0.190527469160062,0,0.153889401245018,0.112047302874409,0.155573218880343,0.116575467256827,0.173472455820838,0.212048078085081,0.130180832084383,0.142370717188349,0.0804703537948584,0.183130085436771,0.12353628894352,0.20545124452804,0.294226044701894,0.116683768806298,0.249003313492259,0.196768611198715,0.261658437231329,0.257545258430315,0.0846682703700504,0.152049926119896,0.103202547835035,0.174472319589661,0.148697399181901,0.102607597889025,0.160036255191966,0.123945545004492,0.151255529788832,0.181295786021544,0.147181138247371,0.109720708873426,0.105753647866254,0.24309147398184,0.156140428652078,0.293872331015987,0.109524403863964,0.188836407097543,0.0951246482561717,0.307581670693128,0.166557477917015,0.174077755356874,0.263627926719398,0.285743816014452,0.183442774818472,0.210715536185519,0.158674804886889,0.27709692591636,0.301665135136307,0.15366049583279,0.176479736205619,0.190365473055864,0.149829857163644,0.157832034201675,0.098290026068797,0.134351099029429,0.145457498822077,0.153409908564641,0.138625584146712,0.141269367270232,0.300010728303347,0.0833169956088277,0.139552911018772,0.128642087790232,0.212622895679037,0.128266216358497,0.164481585038885,0.143001882873372,0.125996067433047,0.332721370713352,0.22953085647375,0.366890977344831,0.178199474564408,0.213343376409629,0.289097033518149,0.241514418873768,0.11703245944288,0.216327557826209,0.315852811076084,0.104155708308736,0.0948017450263733,0.130413572833997,0.347766726325194,0.228516898974088,0.236158025215177,0.403647622795461,0.129649169368388,0.131369330108647,0.121477555734095,0.117984445138199,0.215655392947304,0.0936794949418398,0.207694120323264,0.264858135848333,0.145027273289668,0.1599173823288,0.109191059312214,0.274343185990549,0.191250022152454,0.349227947270436,0.307563543721934,0.177868698812453,0.0790381942659666,0.206438901140754,0.240082751714991,0.225974865849527,0.197916839883677,0.450008988231001,0.128766695393888,0.096885974225487,0.173871229387466,0.156334074867049,0.207908766434268,0.164405352607005,0.277215360843119,0.11915549032696,0.105159563721788,0.164529594420411,0.365757442234675,0.107270224607173,0.156765325503016,0.127981225625812,0.78959145255493,0.892996111498432,0.135501402508582,0.210569552772372,0.236498843803698,0.138551076966699,0.175921586668247,0.141888130211793,0.287591454525857
"W7",0.0999165471444351,0.249914684814385,0.144371187940027,0.164967691248703,0.360314693721243,0.162683781200601,0.202873995209049,0.21955947057734,0.153889401245018,0,0.15496609680685,0.217323053208434,0.0870080873447295,0.111709608022187,0.218888924747793,0.132092271607828,0.161145665542892,0.15933407124181,0.241302763449,0.1628711359903,0.26148785163225,0.316638835394074,0.134948757815339,0.295099805131033,0.236951806383724,0.286381574496603,0.2541705062167,0.142023178150577,0.165832705459971,0.137492967959876,0.190978092765535,0.169012627464012,0.149496430847258,0.188793924998038,0.127655204915488,0.161268522353827,0.203033489995087,0.176375888445772,0.142177008744416,0.139684375399757,0.290443252899879,0.19184670159906,0.316042822752069,0.163780397231784,0.243240603613068,0.154916719035662,0.310346561225823,0.203598623825099,0.182508562791583,0.288633616901678,0.318009723576365,0.201963958258127,0.236087932444676,0.212819713028649,0.28921185473917,0.282409048439536,0.18643655071578,0.206844628034816,0.231995137408134,0.153410653935282,0.171380588828218,0.154128930422446,0.142828333920031,0.183570898012068,0.146372645158099,0.16566171481754,0.203487851891334,0.343438545500195,0.174284269058666,0.159193967848081,0.152794423076115,0.220145142458064,0.171969382024681,0.198810629021753,0.163533800527302,0.185917329659023,0.332476665880754,0.283061499852975,0.351173187397205,0.199628412183155,0.276041389851703,0.317141056964075,0.298642854920972,0.195061959982229,0.262443894517932,0.31179394838783,0.156607302047151,0.12966109746638,0.204111614827636,0.413036597155334,0.286420997713343,0.231587077966578,0.434231875049981,0.149957218400218,0.132726946705223,0.191189044600766,0.154851775855586,0.19610478203106,0.18664867706168,0.112599067673152,0.225298508017377,0.0776039788338543,0.146963440592688,0.0874958343842151,0.309869190454041,0.154436465765999,0.370150798617191,0.199815964240012,0.208203148157056,0.175100787656293,0.220779885830253,0.237811836074873,0.240730522459394,0.241015781070313,0.366024669931207,0.2317902195333,0.197249521341989,0.241985317515357,0.104888758893255,0.133478084753983,0.1225056582039,0.293652361854699,0.135243046791714,0.103987613123846,0.240159592376894,0.402532522048381,0.09813433500031,0.158703636493346,0.103911402570946,0.793796184996107,0.893909369601459,0.0934081083081286,0.181180498068618,0.239245992042175,0.132569036134453,0.152022416013573,0.161935219439922,0.325657940929022
